frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,584.00,55.00,46.00,68.00,584.00,55.00,46.00,68.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,738,13258,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,26.1554,5.2945,3002,7,10,0.0187,594.06,76.25,46.00,68.00,595.00,78.00,46.00,68.00,0.9128,1.99,1,0,3.1905,ACCEPT,0,2052,566,12378,0,0,3002,0,0,0,0
2,0,1,1,ACCEPT,22.3215,5.5297,4186,8,12,0.0659,605.56,101.75,46.00,68.00,604.00,102.00,46.00,70.00,0.9085,1.58,1,0,3.2073,ACCEPT,0,3274,493,13758,0,0,4186,0,0,0,0
3,0,1,1,ACCEPT,17.8568,3.3346,4525,6,11,0.1406,614.19,125.12,46.00,68.00,615.00,127.00,48.00,70.00,0.9081,2.04,1,0,3.2426,ACCEPT,0,3943,461,15152,0,0,4525,0,0,0,0
4,0,1,1,ACCEPT,17.4540,3.4912,3774,7,11,0.1799,624.25,148.50,46.00,68.00,623.00,152.50,48.00,69.00,0.8457,4.19,1,0,3.1161,ACCEPT,0,3355,349,14872,0,0,3774,0,0,0,0
5,0,1,1,ACCEPT,16.2698,3.4039,3455,7,12,0.0935,634.31,174.00,46.00,68.00,631.00,179.50,48.00,71.00,0.7476,6.42,1,0,3.2463,ACCEPT,0,3156,293,13460,0,0,3455,0,0,0,0
6,0,1,1,ACCEPT,15.2517,3.4386,3583,5,12,0.1931,641.50,199.50,46.00,68.00,639.50,205.00,45.00,70.00,0.7857,5.85,1,0,3.2767,ACCEPT,0,3262,271,15504,0,0,3583,0,0,0,0
7,0,1,1,ACCEPT,13.8485,3.1459,3127,5,13,0.2670,648.69,227.12,46.00,68.00,646.00,233.00,46.00,70.00,0.7566,6.46,1,0,3.2858,ACCEPT,0,2950,214,11567,0,0,3127,0,0,0,0
8,0,1,1,ACCEPT,14.3159,2.2869,3499,5,13,0.3481,655.88,254.75,46.00,68.00,653.50,260.50,43.00,71.00,0.7683,6.22,1,0,3.3843,ACCEPT,0,3200,123,12004,0,0,3499,0,0,0,0
9,0,1,1,ACCEPT,14.2325,2.9059,3676,5,14,0.1608,663.06,284.50,46.00,68.00,660.50,291.00,45.00,70.00,0.7466,6.99,1,0,3.2997,ACCEPT,0,3557,201,10515,0,0,3676,0,0,0,0
10,0,1,1,ACCEPT,14.0972,3.2327,3404,5,14,0.2145,670.25,314.25,46.00,68.00,667.00,322.50,46.00,69.00,0.6912,8.87,1,0,2.9681,ACCEPT,0,3112,113,11465,0,0,3404,0,0,0,0
