frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,37.50,213.50,37.00,61.00,37.50,213.50,37.00,61.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,256,21957,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,47.6338,9.1137,4247,1,0,0.7942,38.66,213.50,37.00,61.00,40.00,212.00,34.00,60.00,0.8756,2.01,1,0,3.1426,ACCEPT,0,2260,207,16412,0,0,4247,0,0,0,0
2,0,1,1,ACCEPT,36.5261,6.8044,3409,2,0,0.6319,40.97,213.50,37.00,61.00,40.50,211.50,33.00,63.00,0.8404,2.05,1,0,2.9739,ACCEPT,0,1881,154,19032,0,0,3409,0,0,0,0
3,0,1,1,ACCEPT,33.4269,5.0223,3827,2,0,0.7915,43.28,213.50,37.00,61.00,42.00,210.50,34.00,63.00,0.8383,3.26,1,0,2.7500,ACCEPT,0,2412,144,20486,0,0,3827,0,0,0,0
4,0,1,1,ACCEPT,32.7494,6.0611,4564,2,-1,0.7379,45.59,211.59,37.00,61.00,43.50,212.00,33.00,60.00,0.8726,2.13,1,0,2.9635,ACCEPT,0,2810,109,23506,0,0,4564,0,0,0,0
5,0,1,1,ACCEPT,34.0498,6.3808,5060,0,0,1.0000,45.59,211.59,37.00,61.00,45.50,211.50,35.00,59.00,0.9149,0.13,1,0,2.9146,ACCEPT,0,3545,105,19406,0,0,5060,0,0,0,0
6,0,1,1,ACCEPT,33.8708,6.0127,4732,1,0,0.8267,46.75,211.59,37.00,61.00,46.00,211.00,32.00,60.00,0.8482,0.96,1,0,2.7327,ACCEPT,0,2923,92,18445,0,0,4732,0,0,0,0
7,0,1,1,ACCEPT,33.6194,5.2866,4372,2,-1,0.6626,49.06,209.69,37.00,61.00,45.50,210.50,33.00,61.00,0.7957,3.65,1,0,2.9022,ACCEPT,0,2632,78,16200,0,0,4372,0,0,0,0
8,0,1,1,ACCEPT,33.1240,4.7679,4129,2,0,0.7866,51.38,209.69,37.00,61.00,48.00,209.50,32.00,63.00,0.7996,3.38,1,0,2.9576,ACCEPT,0,2775,71,16424,0,0,4129,0,0,0,0
9,0,1,1,ACCEPT,35.3793,5.8869,4268,1,0,0.8229,52.53,209.69,37.00,61.00,50.00,210.00,30.00,62.00,0.8002,2.55,1,0,2.8023,ACCEPT,0,2657,68,15436,0,0,4268,0,0,0,0
