frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,225.50,610.00,45.00,52.00,225.50,610.00,45.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,483,13684,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,43.1914,6.2167,5222,0,-1,0.9609,225.50,608.38,46.80,54.08,224.50,610.00,47.00,56.00,0.9043,1.91,1,1,2.9510,ACCEPT,0,2255,356,15059,0,0,5222,0,0,0,0
2,0,1,1,ACCEPT,34.2088,5.2008,5336,-1,-1,0.9535,224.03,606.69,46.80,54.08,225.50,607.50,51.00,57.00,0.8706,1.68,1,0,3.2380,ACCEPT,0,2657,322,16744,0,0,5336,0,0,0,0
3,0,1,1,ACCEPT,28.2468,4.0422,6128,0,-1,0.8455,224.03,605.00,48.67,56.24,224.50,604.50,51.00,55.00,0.9342,0.69,1,1,2.9372,ACCEPT,0,3547,277,21399,0,0,6128,0,0,0,0
4,0,1,1,ACCEPT,26.6103,4.1590,6800,-1,-1,0.9053,222.52,603.25,48.67,56.24,224.00,601.50,52.00,53.00,0.8813,2.29,1,0,3.1548,ACCEPT,0,4131,198,22232,0,0,6800,0,0,0,0
5,0,1,1,ACCEPT,27.6522,4.7427,7005,-1,-1,0.9352,221.00,601.50,46.80,54.08,222.50,599.50,51.00,51.00,0.8549,2.50,1,-1,3.0010,ACCEPT,0,4156,187,21477,0,0,7005,0,0,0,0
6,0,1,1,ACCEPT,30.6727,5.6570,8180,0,-1,0.8098,221.00,599.81,46.80,54.08,222.50,599.00,51.00,52.00,0.8852,1.71,1,0,3.1161,ACCEPT,0,4537,201,21348,0,0,8180,0,0,0,0
7,0,1,1,ACCEPT,29.7310,5.5276,8402,0,-1,0.9595,221.00,598.12,46.80,54.08,220.00,597.50,50.00,45.00,0.7873,1.18,1,0,2.9918,ACCEPT,0,4849,198,22560,0,0,8402,0,0,0,0
8,0,1,1,ACCEPT,11.6081,1.8238,4419,1,-1,0.8595,222.47,596.44,46.80,54.08,218.50,599.00,49.00,34.00,0.5525,4.72,1,0,2.7008,ACCEPT,0,4934,210,21179,0,0,4419,0,0,0,0
9,0,1,1,ACCEPT,8.0233,1.4126,2318,-4,-4,0.1993,216.59,589.69,46.80,54.08,219.00,600.50,52.00,19.00,0.3381,11.08,1,0,2.5901,ACCEPT,0,4964,144,18438,0,0,2318,0,0,0,0
10,0,1,1,ACCEPT,7.8546,1.4284,1657,1,-4,0.1249,218.06,582.94,46.80,54.08,216.00,598.00,46.00,16.00,0.2774,15.20,1,2,1.6489,LOW_CONF,0,3968,137,12338,0,0,1657,0,0,0,0
11,0,1,1,ACCEPT,9.0550,1.7721,1205,0,-1,0.8091,218.06,581.25,48.67,56.24,214.50,596.50,45.00,21.00,0.3276,15.66,1,1,2.2881,ACCEPT,0,2519,188,14511,0,0,1205,0,0,0,0
