frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,219.00,316.00,168.00,48.00,219.00,316.00,168.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1659,24357,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,66.7222,15.7456,8046,0,1,0.9795,219.00,317.50,168.00,48.00,219.50,316.00,169.00,50.00,0.9351,1.58,1,0,3.3179,ACCEPT,0,3000,1336,25674,0,0,8046,0,0,0,0
2,0,1,1,ACCEPT,62.3367,13.8031,8130,0,0,1.0000,219.00,317.50,168.00,48.00,219.00,317.00,168.00,50.00,0.9600,0.50,1,0,3.3047,ACCEPT,0,3112,994,25632,0,0,8130,0,0,0,0
3,0,1,1,ACCEPT,56.5524,11.2661,7368,0,1,0.9567,219.00,319.00,168.00,48.00,219.50,318.50,167.00,49.00,0.9739,0.71,1,0,3.2744,ACCEPT,0,2938,739,24124,0,0,7368,0,0,0,0
4,0,1,1,ACCEPT,51.8605,9.0725,6378,0,1,0.9650,219.00,320.50,168.00,48.00,216.50,321.00,171.00,48.00,0.9512,2.55,1,0,3.2228,ACCEPT,0,2660,533,24528,0,0,6378,0,0,0,0
5,0,1,1,ACCEPT,49.9349,9.1096,5903,0,0,1.0000,219.00,320.50,168.00,48.00,220.50,321.50,165.00,49.00,0.9430,1.80,1,0,3.2403,ACCEPT,0,2497,430,23907,0,0,5903,0,0,0,0
6,0,1,1,ACCEPT,48.1106,9.1327,5781,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,167.00,50.00,0.8979,2.55,1,0,3.2512,ACCEPT,0,2491,453,22927,0,0,5781,0,0,0,0
7,0,1,1,ACCEPT,45.3687,10.5914,6662,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,169.00,50.00,0.8977,2.55,1,0,3.2917,ACCEPT,0,2927,608,20994,0,0,6662,0,0,0,0
8,0,1,1,ACCEPT,40.5860,9.6832,8192,0,0,1.0000,219.00,320.50,168.00,48.00,220.00,322.50,168.00,49.00,0.9103,2.24,1,0,3.2660,ACCEPT,0,3988,755,16935,0,0,8192,0,0,0,0
9,0,1,1,ACCEPT,36.0250,6.4686,8655,0,-1,0.9806,219.00,319.00,168.00,48.00,218.50,322.50,163.00,49.00,0.8416,3.54,1,0,3.1295,ACCEPT,0,4727,719,14447,0,0,8655,0,0,0,0
10,0,1,1,ACCEPT,34.9175,8.2681,8789,0,0,1.0000,219.00,319.00,168.00,48.00,216.50,322.50,161.00,47.00,0.8288,4.30,1,0,3.2119,ACCEPT,0,4890,685,13161,0,0,8789,0,0,0,0
11,0,1,1,ACCEPT,33.6048,7.2981,8641,0,-1,0.9189,219.00,317.50,168.00,48.00,216.50,320.00,161.00,48.00,0.8652,3.54,1,0,3.1384,ACCEPT,0,4950,544,11740,0,0,8641,0,0,0,0
12,0,1,1,ACCEPT,31.5815,6.0274,7709,0,-2,0.8041,219.00,314.50,168.00,48.00,216.00,318.00,160.00,46.00,0.8223,4.61,1,0,2.9874,ACCEPT,0,4587,457,10666,0,0,7709,0,0,0,0
13,0,1,1,ACCEPT,32.7476,6.0705,7922,0,-1,0.9214,219.00,313.00,168.00,48.00,215.00,316.00,158.00,46.00,0.8296,5.00,1,0,3.0515,ACCEPT,0,4523,465,11391,0,0,7922,0,0,0,0
