frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,406.50,207.00,145.00,64.00,406.50,207.00,145.00,64.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1912,21262,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,29.5081,5.6809,6408,1,3,0.2720,411.03,213.00,134.06,59.17,414.00,212.50,160.00,57.00,0.8120,3.01,1,-2,2.4857,ACCEPT,0,3727,1794,17351,0,0,6408,0,0,0,0
2,0,1,1,ACCEPT,16.1543,3.1108,4887,0,4,0.0681,411.03,220.38,145.00,64.00,418.50,220.00,169.00,56.00,0.7643,7.48,1,2,2.4746,ACCEPT,0,4273,1136,13448,0,0,4887,0,0,0,0
3,0,1,1,ACCEPT,21.9154,3.4910,5610,1,5,0.4535,415.56,230.38,145.00,64.00,422.00,226.00,172.00,76.00,0.7099,7.78,1,0,2.7402,ACCEPT,0,4345,1050,26743,0,0,5610,0,0,0,0
4,0,1,1,ACCEPT,22.3988,3.8656,8427,0,4,0.1597,415.56,238.38,145.00,64.00,421.50,232.00,173.00,102.00,0.5259,8.71,1,0,2.4050,ACCEPT,0,5714,1171,15575,0,0,8427,0,0,0,0
5,0,1,1,ACCEPT,23.9162,4.2219,8182,0,5,0.1248,415.56,248.38,145.00,64.00,423.00,237.00,176.00,134.00,0.3935,13.59,1,0,2.4211,ACCEPT,0,5566,987,14247,0,0,8182,0,0,0,0
6,0,1,1,ACCEPT,23.5109,3.5470,8105,0,5,0.0876,415.56,258.38,145.00,64.00,421.50,258.50,177.00,153.00,0.3427,5.94,1,0,2.5309,ACCEPT,0,5946,992,11675,0,0,8105,0,0,0,0
7,0,1,1,ACCEPT,24.1184,4.2648,7344,1,6,0.0658,420.09,270.38,150.80,66.56,429.00,254.50,186.00,125.00,0.4317,18.20,1,1,2.2697,ACCEPT,0,5375,936,11760,0,0,7344,0,0,0,0
8,0,1,1,ACCEPT,24.3329,3.9700,8873,0,5,0.0008,420.09,280.77,156.83,69.22,426.00,287.00,204.00,128.00,0.4158,8.59,1,1,2.6352,ACCEPT,0,6394,649,15390,0,0,8873,0,0,0,0
9,0,1,1,ACCEPT,22.4880,4.1925,8188,1,6,0.0010,425.00,293.70,163.11,71.99,414.50,303.50,227.00,103.00,0.5022,14.36,1,1,2.1518,ACCEPT,0,6286,695,10290,0,0,8188,0,0,0,0
10,0,1,1,ACCEPT,28.4979,4.5778,9412,0,6,0.0114,425.00,307.20,169.63,74.87,410.50,317.50,235.00,101.00,0.5351,17.78,1,1,2.6684,ACCEPT,0,6216,441,12492,0,0,9412,0,0,0,0
11,0,1,1,ACCEPT,26.4431,4.8157,10060,0,6,0.0455,425.00,321.27,176.41,77.87,407.00,329.00,224.00,88.00,0.6573,19.59,1,1,2.3103,ACCEPT,0,7260,439,11421,0,0,10060,0,0,0,0
12,0,1,1,ACCEPT,24.2890,4.1766,8704,0,6,0.0063,425.00,335.89,176.41,77.87,402.00,343.00,218.00,102.00,0.6054,24.07,1,0,2.0691,ACCEPT,0,6256,586,9076,0,0,8704,0,0,0,0
13,0,1,1,ACCEPT,25.1332,4.5902,9419,1,6,0.0228,430.52,350.52,183.47,80.98,406.00,374.00,214.00,126.00,0.4999,33.95,1,1,2.3040,ACCEPT,0,6895,436,9568,0,0,9419,0,0,0,0
14,0,1,1,ACCEPT,26.4433,3.9661,7845,0,6,0.1526,430.52,365.70,183.47,80.98,417.50,398.50,213.00,137.00,0.4651,35.29,1,0,2.0357,ACCEPT,0,5399,560,8276,0,0,7845,0,0,0,0
15,0,1,1,ACCEPT,24.7984,3.3110,7943,0,7,0.0896,430.52,383.42,183.47,80.98,440.00,424.50,192.00,143.00,0.4260,42.16,1,0,1.8659,LOW_CONF,0,5563,661,9266,0,0,7943,0,0,0,0
16,0,1,1,ACCEPT,24.1299,2.8526,9134,1,6,0.0378,436.25,398.61,190.81,84.22,448.00,444.00,206.00,150.00,0.3986,46.89,1,1,2.4312,ACCEPT,0,6632,585,12313,0,0,9134,0,0,0,0
17,0,1,1,ACCEPT,22.2726,3.7586,9934,1,6,0.0639,442.22,414.36,183.47,80.98,457.00,472.50,206.00,165.00,0.3139,59.99,1,-1,2.3789,ACCEPT,0,9011,614,14180,0,0,9934,0,0,0,0
18,0,1,1,ACCEPT,18.0564,3.5472,10223,1,6,0.1284,447.95,429.55,183.47,80.98,464.50,487.00,213.00,168.00,0.3167,59.79,1,0,1.9466,LOW_CONF,0,9983,621,12914,0,0,10223,0,0,0,0
19,0,1,1,ACCEPT,17.4209,3.0189,9769,0,4,0.4085,447.95,439.67,176.41,77.87,473.00,499.00,218.00,174.00,0.2852,64.40,1,-1,2.2226,ACCEPT,0,10310,454,12617,0,0,9769,0,0,0,0
20,0,1,1,ACCEPT,13.7229,2.0805,6770,-1,4,0.4216,442.44,449.42,183.47,80.98,481.00,500.50,210.00,205.00,0.2840,64.00,1,1,2.2238,ACCEPT,0,11525,481,14590,0,0,6770,0,0,0,0
21,0,1,1,ACCEPT,11.8060,1.6411,5683,0,7,0.3723,442.44,467.14,190.81,84.22,490.00,503.50,188.00,237.00,0.2454,59.87,1,1,2.1216,ACCEPT,0,9743,545,15068,0,0,5683,0,0,0,0
22,0,1,1,ACCEPT,12.7997,2.3558,6700,1,7,0.3130,448.41,485.52,190.81,84.22,495.50,501.50,173.00,237.00,0.2483,49.73,1,0,1.9329,LOW_CONF,0,9256,423,17741,0,0,6700,0,0,0,0
23,0,1,1,ACCEPT,13.8659,3.2149,6851,-1,2,0.7767,442.44,490.77,206.38,91.09,465.50,523.50,231.00,219.00,0.3456,40.04,1,2,2.1273,ACCEPT,0,9280,442,16586,0,0,6851,0,0,0,0
24,0,1,1,ACCEPT,14.7161,2.9393,6681,-1,3,0.6348,435.98,499.30,206.38,91.09,445.50,538.00,319.00,218.00,0.2703,39.86,1,1,1.9824,LOW_CONF,0,7569,682,10814,0,0,6681,0,0,0,0
25,0,1,1,ACCEPT,10.5009,2.4807,4237,0,6,0.4008,435.98,516.36,214.64,94.74,431.50,528.50,353.00,247.00,0.2332,12.94,1,1,2.1165,ACCEPT,0,6196,511,14197,0,0,4237,0,0,0,0
26,0,1,1,ACCEPT,9.7083,1.7591,3951,1,5,0.3452,442.69,531.12,214.64,94.74,428.50,533.00,361.00,246.00,0.2290,14.31,1,3,1.9212,MAX_STEP,0,6855,667,11018,0,0,3951,0,0,0,0
27,0,1,1,ACCEPT,11.9117,2.0377,6492,1,8,0.1009,449.39,554.75,223.22,98.53,429.00,557.50,358.00,163.00,0.3769,20.58,1,1,2.3664,ACCEPT,0,10044,456,12230,0,0,6492,0,0,0,0
28,0,1,1,ACCEPT,15.7686,3.3750,9008,1,3,0.5438,456.36,563.98,223.22,98.53,426.00,567.00,362.00,190.00,0.3198,30.51,1,0,2.1455,ACCEPT,0,12835,560,11583,0,0,9008,0,0,0,0
29,0,1,1,ACCEPT,13.7514,1.9883,9331,0,1,0.9490,456.36,567.06,223.22,98.53,425.50,590.50,367.00,243.00,0.2466,38.75,1,0,2.2415,ACCEPT,0,14935,406,11667,0,0,9331,0,0,0,0
30,0,1,1,ACCEPT,12.0011,1.8786,6966,-1,1,0.9058,449.39,570.14,232.15,102.47,430.50,617.50,359.00,303.00,0.2187,50.99,1,1,2.2182,ACCEPT,0,9213,479,9928,0,0,6966,0,0,0,0
31,0,1,1,ACCEPT,9.9212,1.3304,5069,0,0,1.0000,449.39,570.14,232.15,102.47,460.50,625.00,275.00,320.00,0.2703,55.97,1,0,2.1263,ACCEPT,0,7305,442,13870,0,0,5069,0,0,0,0
32,0,1,1,ACCEPT,7.3312,1.4021,4948,1,0,0.9941,456.64,570.14,232.15,102.47,465.50,625.50,187.00,321.00,0.2964,56.06,1,1,1.8166,LOW_CONF,0,9167,639,8352,0,0,4948,0,0,0,0
33,0,1,0,NEGATIVE_PEAK,-4.3584,1.0276,-2230,-5,-3,0.6525,456.64,570.14,232.15,102.47,489.00,632.00,214.00,288.00,0.2966,69.81,0,0,0.0000,NOT_RUN,0,10514,467,0,0,0,2230,0,0,0,0
34,0,1,0,LOW_PSR,4.7988,1.0362,2264,2,2,0.3816,456.64,570.14,232.15,102.47,478.00,613.00,290.00,294.00,0.2790,47.89,0,0,0.0000,NOT_RUN,0,9460,489,0,0,0,2264,0,0,0,0
35,0,1,0,LOW_PSR,4.3468,1.0330,2222,3,6,0.2466,456.64,570.14,232.15,102.47,475.50,629.50,329.00,261.00,0.2770,62.28,0,0,0.0000,NOT_RUN,0,11117,537,0,0,0,2222,0,0,0,0
36,0,1,0,LOW_PSR,4.8887,1.0501,2283,4,7,0.0845,456.64,570.14,232.15,102.47,430.00,641.00,434.00,190.00,0.1972,75.70,0,0,0.0000,NOT_RUN,0,11417,498,0,0,0,2283,0,0,0,0
37,0,1,0,LOW_PSR,4.6250,1.0740,2076,5,10,0.3805,456.64,570.14,232.15,102.47,422.50,699.50,437.00,131.00,0.0000,133.79,0,0,0.0000,NOT_RUN,0,11030,633,0,0,0,2076,0,0,0,0
38,0,1,0,NEGATIVE_PEAK,-4.2707,1.0199,-1900,-5,19,0.4947,456.64,570.14,232.15,102.47,410.50,737.50,421.00,231.00,0.0000,173.60,0,0,0.0000,NOT_RUN,0,10435,480,0,0,0,1900,0,0,0,0
39,0,1,0,NEGATIVE_PEAK,-5.5217,1.3050,-2349,-6,12,0.4917,456.64,570.14,232.15,102.47,395.00,743.00,358.00,274.00,0.0302,183.52,0,0,0.0000,NOT_RUN,0,9646,525,0,0,0,2349,0,0,0,0
40,0,1,0,NEGATIVE_PEAK,-5.7375,1.2298,-2285,-5,5,0.1387,456.64,570.14,232.15,102.47,404.00,731.50,268.00,317.00,0.0963,169.73,0,0,0.0000,NOT_RUN,0,9011,467,0,0,0,2285,0,0,0,0
41,0,1,0,NEGATIVE_PEAK,-4.5609,1.1886,-1563,-3,0,0.5611,456.64,570.14,232.15,102.47,367.00,710.00,188.00,352.00,0.1325,166.12,0,0,0.0000,NOT_RUN,0,7304,520,0,0,0,1563,0,0,0,0
42,0,1,0,NEGATIVE_PEAK,-6.2834,1.1776,-2540,-1,13,0.0772,456.64,570.14,232.15,102.47,362.00,713.50,192.00,323.00,0.1049,171.78,0,0,0.0000,NOT_RUN,0,8594,538,0,0,0,2540,0,0,0,0
43,0,1,0,NEGATIVE_PEAK,-6.0562,1.0423,-2662,0,6,0.5120,456.64,570.14,232.15,102.47,358.50,674.00,219.00,354.00,0.1480,142.89,0,0,0.0000,NOT_RUN,0,5872,443,0,0,0,2662,0,0,0,0
44,0,1,1,ACCEPT,7.9413,1.5149,3413,-8,4,0.5816,398.64,582.95,232.15,102.47,333.50,667.50,297.00,329.00,0.2022,106.73,1,7,1.9714,MAX_STEP,0,6501,344,13058,0,0,3413,0,0,0,0
45,0,1,1,ACCEPT,6.7607,1.1911,2805,2,-9,0.3843,413.14,554.12,232.15,102.47,313.50,657.00,373.00,252.00,0.1469,143.22,1,7,2.0491,MAX_STEP,0,5653,248,14425,0,0,2805,0,0,0,0
46,0,1,1,ACCEPT,8.6789,1.4213,3070,2,-10,0.3336,427.64,522.09,232.15,102.47,299.50,670.50,429.00,187.00,0.0000,196.07,1,7,1.9591,MAX_STEP,0,4931,324,14947,0,0,3070,0,0,0,0
47,0,1,1,ACCEPT,10.2063,1.6788,3376,2,-10,0.1232,442.14,490.06,232.15,102.47,281.50,681.50,447.00,119.00,0.0000,249.91,1,7,2.2932,MAX_STEP,0,4752,254,14289,0,0,3376,0,0,0,0
48,0,1,1,ACCEPT,11.3830,1.7966,3622,1,-9,0.1916,449.39,461.23,232.15,102.47,288.50,673.50,459.00,177.00,0.0000,266.35,1,0,1.6376,LOW_CONF,0,4568,337,15258,0,0,3622,0,0,0,0
49,0,1,1,ACCEPT,12.9210,1.9881,3839,2,-10,0.2212,463.89,429.20,232.15,102.47,286.00,693.50,428.00,245.00,0.0000,318.59,1,8,1.3730,MAX_STEP,0,4341,329,14447,0,0,3839,0,0,0,0
50,0,1,1,ACCEPT,13.6850,1.9124,3863,2,-10,0.1271,478.39,397.17,232.15,102.47,288.50,700.00,377.00,312.00,0.0000,357.44,1,8,1.9455,MAX_STEP,0,4131,270,12115,0,0,3863,0,0,0,0
51,0,1,1,ACCEPT,17.2301,3.1062,4007,1,-9,0.1210,485.64,368.34,232.15,102.47,290.00,701.50,286.00,355.00,0.0000,386.35,1,8,1.7600,MAX_STEP,0,3871,212,10867,0,0,4007,0,0,0,0
