frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,95.00,174.00,60.00,48.00,95.00,174.00,60.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,826,32025,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,63.6664,17.1212,5085,0,0,1.0000,95.00,174.00,60.00,48.00,95.50,174.00,59.00,48.00,0.9833,0.50,1,0,3.3600,ACCEPT,0,2065,743,29825,0,0,5085,0,0,0,0
2,0,1,1,ACCEPT,63.5119,16.9731,5041,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3610,ACCEPT,0,2032,643,30102,0,0,5041,0,0,0,0
3,0,1,1,ACCEPT,62.3892,15.6792,4986,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3396,ACCEPT,0,2054,545,30305,0,0,4986,0,0,0,0
4,0,1,1,ACCEPT,55.6633,13.3477,4645,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.00,60.00,50.00,0.9600,0.00,1,0,3.2415,ACCEPT,0,2057,484,27726,0,0,4645,0,0,0,0
5,0,1,1,ACCEPT,47.5466,11.6214,4451,0,-1,0.9919,95.00,172.50,60.00,48.00,94.00,173.50,56.00,51.00,0.8819,1.41,1,0,2.9105,ACCEPT,0,2172,439,27802,0,0,4451,0,0,0,0
6,0,1,1,ACCEPT,43.5412,9.8851,4300,0,0,1.0000,95.00,172.50,60.00,48.00,94.00,173.00,56.00,48.00,0.9147,1.12,1,0,2.9314,ACCEPT,0,2183,347,25812,0,0,4300,0,0,0,0
7,0,1,1,ACCEPT,38.6984,8.9716,4100,0,0,1.0000,95.00,172.50,60.00,48.00,92.00,172.00,56.00,48.00,0.8839,3.04,1,0,2.9359,ACCEPT,0,2230,254,24778,0,0,4100,0,0,0,0
8,0,1,1,ACCEPT,32.1395,6.7177,3688,-1,0,0.9946,93.12,172.50,60.00,48.00,89.00,172.50,58.00,47.00,0.8521,4.12,1,0,2.9593,ACCEPT,0,2187,214,20149,0,0,3688,0,0,0,0
9,0,1,1,ACCEPT,25.6053,5.4646,3246,0,0,1.0000,93.12,172.50,60.00,48.00,87.50,172.50,59.00,45.00,0.7794,5.62,1,0,2.9101,ACCEPT,0,2086,163,19203,0,0,3246,0,0,0,0
10,0,1,1,ACCEPT,19.8424,4.3961,2941,0,1,0.9493,93.12,174.00,60.00,48.00,85.50,175.50,61.00,47.00,0.7338,7.77,1,0,2.8459,ACCEPT,0,2334,162,16790,0,0,2941,0,0,0,0
11,0,1,1,ACCEPT,15.4615,3.1053,2624,0,1,0.9764,93.12,175.50,60.00,48.00,84.50,177.50,61.00,47.00,0.6969,8.85,1,0,2.7317,ACCEPT,0,2602,148,17307,0,0,2624,0,0,0,0
12,0,1,1,ACCEPT,12.9212,1.5470,2633,1,-1,0.9408,95.00,174.00,60.00,48.00,82.00,181.00,60.00,48.00,0.5027,14.76,1,0,3.1290,ACCEPT,0,2863,178,20156,0,0,2633,0,0,0,0
13,0,1,1,ACCEPT,13.5425,1.5671,3330,0,1,0.9979,95.00,175.50,60.00,48.00,79.50,184.50,63.00,45.00,0.4323,17.92,1,0,3.0883,ACCEPT,0,3260,201,19140,0,0,3330,0,0,0,0
14,0,1,1,ACCEPT,12.4456,1.3944,3228,0,0,1.0000,95.00,175.50,60.00,48.00,77.50,187.00,65.00,48.00,0.3769,20.94,1,0,3.0848,ACCEPT,0,3494,190,19927,0,0,3228,0,0,0,0
15,0,1,1,ACCEPT,12.7895,1.7202,3172,0,1,0.9921,95.00,177.00,60.00,48.00,74.00,188.50,64.00,47.00,0.3345,23.94,1,0,2.7620,ACCEPT,0,3479,187,20244,0,0,3172,0,0,0,0
16,0,1,1,ACCEPT,14.2283,2.7771,3302,0,1,0.8998,95.00,178.50,60.00,48.00,73.50,190.00,63.00,50.00,0.3311,24.38,1,0,2.7372,ACCEPT,0,3417,160,26088,0,0,3302,0,0,0,0
17,0,1,1,ACCEPT,14.5205,3.4195,3929,0,1,0.8969,95.00,180.00,60.00,48.00,74.50,195.50,63.00,47.00,0.2897,25.70,1,0,2.7073,ACCEPT,0,4267,189,32767,0,0,3929,0,0,0,0
18,0,1,1,ACCEPT,11.5963,2.3591,3475,0,3,0.7462,95.00,184.50,60.00,48.00,76.00,201.00,60.00,46.00,0.2849,25.16,1,0,2.5783,ACCEPT,0,4641,193,32767,0,0,3475,0,0,0,0
19,0,1,1,ACCEPT,10.9020,2.4698,3270,1,1,0.8740,96.88,186.00,60.00,48.00,81.50,202.00,57.00,48.00,0.3258,22.19,1,0,2.5101,ACCEPT,0,4672,202,32767,0,0,3270,0,0,0,0
20,0,1,1,ACCEPT,8.4532,1.5781,3961,1,1,0.9472,98.75,187.50,60.00,48.00,84.00,208.50,56.00,49.00,0.2682,25.66,1,0,2.4754,ACCEPT,0,7960,193,32767,0,0,3961,0,0,0,0
21,0,1,1,ACCEPT,7.6101,1.6650,3002,0,-1,0.8984,98.75,186.00,60.00,48.00,88.50,211.50,57.00,49.00,0.2432,27.48,1,0,2.8864,ACCEPT,0,6093,211,29386,0,0,3002,0,0,0,0
22,0,1,1,ACCEPT,10.2094,2.4193,4195,0,0,1.0000,98.75,186.00,60.00,48.00,91.00,220.50,56.00,45.00,0.1257,35.36,1,0,2.6337,ACCEPT,0,6212,204,31507,0,0,4195,0,0,0,0
23,0,1,1,ACCEPT,12.2081,3.4614,5019,0,-1,0.9534,98.75,184.50,60.00,48.00,93.00,224.00,58.00,46.00,0.0776,39.92,1,0,2.8472,ACCEPT,0,6797,230,31207,0,0,5019,0,0,0,0
24,0,1,1,ACCEPT,14.9553,3.8241,6390,0,-1,0.9194,98.75,183.00,60.00,48.00,93.00,228.50,58.00,45.00,0.0098,45.86,1,0,2.8634,ACCEPT,0,7351,234,26715,0,0,6390,0,0,0,0
25,0,1,1,ACCEPT,19.1461,4.4077,7925,0,0,1.0000,98.75,183.00,60.00,48.00,96.50,233.00,57.00,46.00,0.0000,50.05,1,0,2.9132,ACCEPT,0,7245,217,26211,0,0,7925,0,0,0,0
26,0,1,1,ACCEPT,22.3676,5.2982,9664,0,-1,0.9697,98.75,181.50,60.00,48.00,97.50,234.00,57.00,46.00,0.0000,52.51,1,0,2.8982,ACCEPT,0,7684,221,23541,0,0,9664,0,0,0,0
27,0,1,1,ACCEPT,26.4924,5.8096,10010,0,0,1.0000,98.75,181.50,60.00,48.00,102.50,236.50,55.00,49.00,0.0000,55.13,1,0,2.9511,ACCEPT,0,7086,239,19908,0,0,10010,0,0,0,0
28,0,1,1,ACCEPT,29.9264,6.6099,9928,0,-1,0.9900,98.75,180.00,60.00,48.00,104.00,239.00,56.00,52.00,0.0000,59.23,1,0,2.7449,ACCEPT,0,6546,222,20020,0,0,9928,0,0,0,0
29,0,1,1,ACCEPT,34.1138,7.4423,10516,0,1,0.9872,98.75,181.50,60.00,48.00,109.00,242.50,50.00,53.00,0.0000,61.86,1,0,2.8633,ACCEPT,0,6763,211,20222,0,0,10516,0,0,0,0
30,0,1,1,ACCEPT,37.3983,8.0945,11219,0,-1,0.9679,98.75,180.00,60.00,48.00,110.50,249.00,49.00,48.00,0.0000,69.99,1,0,2.8143,ACCEPT,0,6420,213,23291,0,0,11219,0,0,0,0
31,0,1,1,ACCEPT,41.7543,9.1431,11886,0,1,0.9376,98.75,181.50,60.00,48.00,113.50,249.50,51.00,49.00,0.0000,69.58,1,0,2.9774,ACCEPT,0,6587,231,25262,0,0,11886,0,0,0,0
32,0,1,1,ACCEPT,44.9997,9.4199,12227,0,0,1.0000,98.75,181.50,60.00,48.00,117.00,251.50,48.00,49.00,0.0000,72.34,1,0,3.0464,ACCEPT,0,6219,220,25965,0,0,12227,0,0,0,0
33,0,1,1,ACCEPT,48.2724,11.1540,12024,0,0,1.0000,98.75,181.50,60.00,48.00,118.50,252.00,45.00,48.00,0.0000,73.21,1,0,3.0130,ACCEPT,0,5828,213,27857,0,0,12024,0,0,0,0
34,0,1,1,ACCEPT,49.8144,11.4990,11706,0,0,1.0000,98.75,181.50,60.00,48.00,121.00,248.00,40.00,46.00,0.0000,70.12,1,0,2.9236,ACCEPT,0,5575,204,31289,0,0,11706,0,0,0,0
35,0,1,1,ACCEPT,50.0879,12.3496,11374,0,0,1.0000,98.75,181.50,57.69,46.15,123.00,245.50,36.00,39.00,0.0000,68.44,1,-1,2.8659,ACCEPT,0,5286,216,32767,0,0,11374,0,0,0,0
36,0,1,1,ACCEPT,45.2216,10.6416,10599,0,0,1.0000,98.75,181.50,57.69,46.15,121.50,238.50,35.00,41.00,0.0000,61.37,1,0,2.9052,ACCEPT,0,5074,179,32767,0,0,10599,0,0,0,0
37,0,1,1,ACCEPT,45.4458,11.1073,10663,0,0,1.0000,98.75,181.50,57.69,46.15,117.00,228.50,30.00,41.00,0.0000,50.42,1,0,2.8826,ACCEPT,0,5022,187,28815,0,0,10663,0,0,0,0
38,0,1,1,ACCEPT,42.0657,9.0554,10468,0,0,1.0000,98.75,181.50,57.69,46.15,112.00,221.50,34.00,43.00,0.0375,42.14,1,0,2.9512,ACCEPT,0,5321,169,22542,0,0,10468,0,0,0,0
39,0,1,1,ACCEPT,35.4648,9.0297,10032,0,0,1.0000,98.75,181.50,57.69,46.15,107.50,212.50,35.00,43.00,0.1287,32.21,1,0,3.0620,ACCEPT,0,5818,169,18489,0,0,10032,0,0,0,0
40,0,1,1,ACCEPT,26.4578,4.5602,8377,-1,0,0.9742,96.95,181.50,57.69,46.15,103.50,203.00,35.00,44.00,0.2443,22.47,1,0,2.9558,ACCEPT,0,6693,199,19064,0,0,8377,0,0,0,0
41,0,1,1,ACCEPT,18.9286,3.9136,6027,0,-1,0.8639,96.95,180.06,57.69,46.15,97.00,195.50,36.00,53.00,0.3678,15.44,1,0,2.9621,ACCEPT,0,5244,258,20455,0,0,6027,0,0,0,0
42,0,1,1,ACCEPT,10.2904,1.8916,4574,1,0,0.9202,98.75,180.06,60.00,48.00,93.50,188.50,37.00,45.00,0.4490,9.94,1,1,3.3417,ACCEPT,0,5590,246,27167,0,0,4574,0,0,0,0
43,0,1,1,ACCEPT,14.7939,2.6232,6941,0,-1,0.9568,98.75,178.56,60.00,48.00,89.00,179.50,32.00,47.00,0.5149,9.79,1,0,3.2963,ACCEPT,0,7179,185,28905,0,0,6941,0,0,0,0
44,0,1,1,ACCEPT,17.2925,2.7985,9361,0,-1,0.8445,98.75,177.06,60.00,48.00,82.50,170.00,37.00,40.00,0.3759,17.72,1,0,3.0913,ACCEPT,0,8836,225,25229,0,0,9361,0,0,0,0
45,0,1,1,ACCEPT,24.4583,3.8451,11789,0,-1,0.9585,98.75,175.56,60.00,48.00,77.00,159.50,36.00,39.00,0.2021,27.04,1,0,2.9401,ACCEPT,0,8616,207,23304,0,0,11789,0,0,0,0
46,0,1,1,ACCEPT,31.3334,6.8967,13483,0,-1,0.8370,98.75,174.06,60.00,48.00,72.50,150.50,39.00,43.00,0.1260,35.27,1,0,2.8783,ACCEPT,0,8033,184,18317,0,0,13483,0,0,0,0
47,0,1,1,ACCEPT,31.9551,7.1656,11945,0,-1,0.9139,98.75,172.56,60.00,48.00,68.00,144.00,40.00,46.00,0.0813,41.97,1,0,2.8920,ACCEPT,0,7073,181,17801,0,0,11945,0,0,0,0
48,0,1,1,ACCEPT,34.4317,7.5061,12933,0,-1,0.8355,98.75,171.06,60.00,48.00,65.00,136.50,42.00,43.00,0.0420,48.31,1,0,2.9048,ACCEPT,0,7262,183,17033,0,0,12933,0,0,0,0
49,0,1,1,ACCEPT,36.5305,7.6474,12144,0,-1,0.9121,98.75,169.56,60.00,48.00,61.00,125.50,42.00,39.00,0.0000,58.02,1,0,2.8959,ACCEPT,0,6533,181,17761,0,0,12144,0,0,0,0
50,0,1,1,ACCEPT,37.2651,7.7955,12426,0,-1,0.8335,98.75,168.06,60.00,48.00,60.00,117.00,44.00,38.00,0.0000,64.10,1,0,2.8824,ACCEPT,0,6663,189,16873,0,0,12426,0,0,0,0
51,0,1,1,ACCEPT,38.8113,8.3420,11587,0,-1,0.9089,98.75,166.56,60.00,48.00,59.00,108.50,42.00,37.00,0.0000,70.37,1,0,2.9006,ACCEPT,0,6018,177,19146,0,0,11587,0,0,0,0
52,0,1,1,ACCEPT,39.7580,8.1801,12581,0,-1,0.8421,98.75,165.06,60.00,48.00,58.50,103.00,43.00,36.00,0.0000,73.97,1,0,2.9380,ACCEPT,0,6467,184,17618,0,0,12581,0,0,0,0
53,0,1,1,ACCEPT,40.7391,7.6347,11956,0,-1,0.9429,98.75,163.56,60.00,48.00,58.50,97.00,45.00,36.00,0.0000,77.79,1,0,2.9600,ACCEPT,0,5900,187,20339,0,0,11956,0,0,0,0
54,0,1,1,ACCEPT,43.2109,7.9988,13382,0,-1,0.9106,98.75,162.06,60.00,48.00,59.50,90.50,47.00,35.00,0.0000,81.62,1,0,3.0171,ACCEPT,0,6367,179,21360,0,0,13382,0,0,0,0
55,0,1,1,ACCEPT,44.7282,8.2871,13798,0,0,1.0000,98.75,162.06,62.40,49.92,61.00,86.50,50.00,39.00,0.0000,84.47,1,1,2.8790,ACCEPT,0,6583,183,23817,0,0,13798,0,0,0,0
56,0,1,1,ACCEPT,41.6605,7.9976,13404,-1,-1,0.9943,96.80,160.50,62.40,49.92,62.50,81.00,51.00,40.00,0.0000,86.58,1,0,2.9823,ACCEPT,0,6935,208,22040,0,0,13404,0,0,0,0
57,0,1,1,ACCEPT,43.9041,8.6526,14173,0,0,1.0000,96.80,160.50,62.40,49.92,63.00,77.50,54.00,45.00,0.0000,89.62,1,0,2.8921,ACCEPT,0,6904,203,19218,0,0,14173,0,0,0,0
58,0,1,1,ACCEPT,45.1196,9.2788,13148,0,-1,0.9914,96.80,158.94,62.40,49.92,65.00,74.00,58.00,44.00,0.0000,90.69,1,0,2.8489,ACCEPT,0,6353,200,18192,0,0,13148,0,0,0,0
59,0,1,1,ACCEPT,46.4900,9.7757,12943,0,1,0.9944,96.80,160.50,64.90,51.92,68.50,67.50,63.00,49.00,0.0000,97.21,1,1,2.7852,ACCEPT,0,6217,200,18464,0,0,12943,0,0,0,0
60,0,1,1,ACCEPT,41.9910,9.6795,12322,0,-1,0.9776,96.80,158.88,62.40,49.92,72.00,67.00,62.00,52.00,0.0000,95.16,1,-1,2.8563,ACCEPT,0,6167,148,23044,0,0,12322,0,0,0,0
61,0,1,1,ACCEPT,49.5753,11.0008,14004,0,0,1.0000,96.80,158.88,62.40,49.92,75.50,66.00,67.00,58.00,0.0000,95.29,1,0,2.9811,ACCEPT,0,6643,200,20900,0,0,14004,0,0,0,0
62,0,1,1,ACCEPT,50.9992,11.6448,13997,0,0,1.0000,96.80,158.88,62.40,49.92,81.50,70.50,71.00,57.00,0.0000,89.69,1,0,2.9514,ACCEPT,0,6560,197,20708,0,0,13997,0,0,0,0
63,0,1,1,ACCEPT,52.2504,12.5537,14487,0,1,0.9699,96.80,160.44,64.90,51.92,89.00,85.00,66.00,54.00,0.0000,75.84,1,1,2.8773,ACCEPT,0,6634,205,21940,0,0,14487,0,0,0,0
64,0,1,1,ACCEPT,46.9676,12.2622,13329,0,1,0.9749,96.80,162.06,67.49,53.99,93.00,101.50,62.00,57.00,0.0000,60.68,1,1,2.8055,ACCEPT,0,6403,188,23156,0,0,13329,0,0,0,0
65,0,1,1,ACCEPT,39.4637,9.6203,12237,0,0,1.0000,96.80,162.06,64.90,51.92,98.50,114.00,57.00,46.00,0.0086,48.09,1,-1,2.8362,ACCEPT,0,6440,219,20896,0,0,12237,0,0,0,0
66,0,1,1,ACCEPT,22.6587,4.8623,8086,0,1,0.8704,96.80,163.69,64.90,51.92,97.50,133.50,57.00,41.00,0.1941,30.20,1,0,2.9319,ACCEPT,0,6348,190,22105,0,0,8086,0,0,0,0
67,0,1,1,ACCEPT,11.7425,2.2726,3818,0,1,0.9282,96.80,165.31,64.90,51.92,101.00,149.50,60.00,33.00,0.4087,16.36,1,0,3.1968,ACCEPT,0,5351,262,21567,0,0,3818,0,0,0,0
68,0,1,1,ACCEPT,9.1183,2.1712,2727,1,1,0.8464,98.83,166.94,67.49,53.99,102.50,167.50,59.00,37.00,0.5990,3.71,1,1,2.1921,ACCEPT,0,4756,266,25026,0,0,2727,0,0,0,0
69,0,1,1,ACCEPT,13.4216,2.2911,5068,0,3,0.4219,98.83,172.00,67.49,53.99,102.50,179.00,61.00,42.00,0.6671,7.90,1,0,2.5434,ACCEPT,0,5354,215,16649,0,0,5068,0,0,0,0
70,0,1,1,ACCEPT,17.5886,2.8046,8038,0,2,0.4973,98.83,175.38,67.49,53.99,105.00,192.00,52.00,32.00,0.3483,17.73,1,0,2.5551,ACCEPT,0,7399,241,16419,0,0,8038,0,0,0,0
71,0,1,1,ACCEPT,20.0814,3.8709,8303,0,3,0.4609,98.83,180.44,67.49,53.99,108.50,203.00,55.00,34.00,0.2507,24.55,1,0,2.8439,ACCEPT,0,7680,273,14990,0,0,8303,0,0,0,0
72,0,1,1,ACCEPT,24.4072,6.3250,9829,0,2,0.6322,98.83,183.81,67.49,53.99,108.50,210.50,55.00,33.00,0.1888,28.39,1,0,2.8487,ACCEPT,0,7520,289,15802,0,0,9829,0,0,0,0
73,0,1,1,ACCEPT,27.9384,6.2287,11274,0,1,0.8159,98.83,185.50,64.90,51.92,110.00,216.50,60.00,39.00,0.1492,32.95,1,-1,2.6169,ACCEPT,0,7630,262,16628,0,0,11274,0,0,0,0
74,0,1,1,ACCEPT,29.1950,7.2038,11879,0,2,0.6991,98.83,188.75,64.90,51.92,114.00,227.00,52.00,30.00,0.0244,41.15,1,0,2.7226,ACCEPT,0,7531,188,19971,0,0,11879,0,0,0,0
75,0,1,1,ACCEPT,27.8103,5.9774,11877,0,2,0.7160,98.83,192.00,64.90,51.92,109.50,231.00,63.00,38.00,0.0583,40.43,1,0,2.7640,ACCEPT,0,7663,173,20455,0,0,11877,0,0,0,0
76,0,1,1,ACCEPT,27.4694,4.9042,13055,0,2,0.7505,98.83,195.25,64.90,51.92,112.00,231.50,58.00,39.00,0.0857,38.57,1,0,2.8342,ACCEPT,0,8299,166,19682,0,0,13055,0,0,0,0
77,0,1,1,ACCEPT,27.4545,4.5685,12746,0,1,0.8265,98.83,196.88,62.40,49.92,110.50,228.50,65.00,39.00,0.1340,33.71,1,-1,2.7832,ACCEPT,0,8196,153,20324,0,0,12746,0,0,0,0
78,0,1,1,ACCEPT,27.1166,4.1840,12799,0,1,0.9040,98.83,198.44,62.40,49.92,108.50,227.00,63.00,40.00,0.1825,30.16,1,0,2.8542,ACCEPT,0,8778,215,15338,0,0,12799,0,0,0,0
79,0,1,1,ACCEPT,26.0183,3.7445,12413,0,1,0.9123,98.83,200.00,62.40,49.92,111.50,225.00,57.00,46.00,0.2318,28.03,1,0,2.9830,ACCEPT,0,10091,216,14133,0,0,12413,0,0,0,0
80,0,1,1,ACCEPT,22.2484,3.1842,12482,0,0,1.0000,98.83,200.00,62.40,49.92,109.00,220.00,54.00,54.00,0.3414,22.44,1,0,3.0597,ACCEPT,0,11632,217,16074,0,0,12482,0,0,0,0
81,0,1,1,ACCEPT,23.8886,3.6313,12332,0,-1,0.9435,98.83,198.44,62.40,49.92,107.00,217.50,58.00,45.00,0.3478,20.74,1,0,2.9536,ACCEPT,0,10118,230,16665,0,0,12332,0,0,0,0
82,0,1,1,ACCEPT,20.6242,4.3228,9536,-1,-1,0.8452,96.88,196.88,60.00,48.00,100.50,200.50,55.00,43.00,0.7548,5.13,1,-1,2.7490,ACCEPT,0,8137,228,16006,0,0,9536,0,0,0,0
83,0,1,1,ACCEPT,9.2772,1.2903,4431,0,-3,0.6233,96.88,192.38,60.00,48.00,98.00,198.50,56.00,57.00,0.7473,6.23,1,0,3.0149,ACCEPT,0,6848,218,26157,0,0,4431,0,0,0,0
84,0,1,1,ACCEPT,5.9827,1.0891,2738,2,11,0.5044,100.62,208.88,60.00,48.00,96.00,192.00,54.00,56.00,0.4526,17.50,1,0,2.7429,ACCEPT,0,6586,201,31005,0,0,2738,0,0,0,0
85,0,1,1,ACCEPT,5.9104,1.1017,3303,-2,-5,0.0088,96.88,201.38,60.00,48.00,93.50,184.50,61.00,59.00,0.4769,17.21,1,0,2.5578,ACCEPT,0,7124,216,19121,0,0,3303,0,0,0,0
86,0,1,1,ACCEPT,5.8151,1.0676,3362,6,0,0.2760,108.12,201.38,60.00,48.00,83.50,173.50,59.00,55.00,0.1554,37.19,1,0,2.5117,ACCEPT,0,7168,152,17773,0,0,3362,0,0,0,0
