frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,297.00,455.50,154.00,229.00,297.00,455.50,154.00,229.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2114,31776,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,65.4190,10.7185,9025,0,0,1.0000,297.00,455.50,154.00,229.00,298.50,449.50,149.00,217.00,0.9168,6.18,1,0,3.3389,ACCEPT,0,3669,1856,31413,0,0,9025,0,0,0,0
2,0,1,1,ACCEPT,65.1068,10.4629,9176,0,0,1.0000,297.00,455.50,154.00,229.00,294.00,450.00,152.00,218.00,0.9159,6.26,1,0,3.3497,ACCEPT,0,3629,1635,29805,0,0,9176,0,0,0,0
3,0,1,1,ACCEPT,63.7736,10.2620,8538,0,0,1.0000,297.00,455.50,154.00,229.00,294.50,450.50,149.00,217.00,0.9168,5.59,1,0,3.2214,ACCEPT,0,3381,1592,25230,0,0,8538,0,0,0,0
4,0,1,1,ACCEPT,63.3006,10.1736,8556,-1,0,0.9118,292.19,455.50,154.00,229.00,292.00,450.50,150.00,217.00,0.9230,5.00,1,0,3.2271,ACCEPT,0,3775,1160,26833,0,0,8556,0,0,0,0
5,0,1,1,ACCEPT,64.6922,10.7536,8861,0,0,1.0000,292.19,455.50,154.00,229.00,292.50,450.50,149.00,217.00,0.9168,5.01,1,0,3.2966,ACCEPT,0,3607,997,26405,0,0,8861,0,0,0,0
6,0,1,1,ACCEPT,64.1463,10.7191,8511,0,0,1.0000,292.19,455.50,154.00,229.00,289.50,449.50,149.00,217.00,0.9146,6.57,1,0,3.0038,ACCEPT,0,3335,972,24161,0,0,8511,0,0,0,0
7,0,1,1,ACCEPT,65.6291,11.9577,9040,-1,0,0.9289,287.38,455.50,154.00,229.00,288.00,449.50,150.00,217.00,0.9230,6.03,1,0,3.2868,ACCEPT,0,3583,872,24624,0,0,9040,0,0,0,0
8,0,1,1,ACCEPT,65.4815,11.7311,9596,0,0,1.0000,287.38,455.50,154.00,229.00,286.00,449.50,148.00,217.00,0.9107,6.16,1,0,3.2840,ACCEPT,0,3521,715,23433,0,0,9596,0,0,0,0
9,0,1,1,ACCEPT,65.0150,11.1310,9261,0,0,1.0000,287.38,455.50,154.00,229.00,285.50,449.50,147.00,217.00,0.9045,6.29,1,0,3.0394,ACCEPT,0,3389,742,20932,0,0,9261,0,0,0,0
10,0,1,1,ACCEPT,65.0732,11.0729,9113,0,0,1.0000,287.38,455.50,154.00,229.00,283.50,449.50,147.00,217.00,0.9001,7.14,1,0,3.0627,ACCEPT,0,3291,641,20160,0,0,9113,0,0,0,0
11,0,1,1,ACCEPT,63.6437,10.6678,9057,-1,0,0.9982,282.56,455.50,154.00,229.00,284.00,450.50,148.00,217.00,0.9107,5.20,1,0,3.0643,ACCEPT,0,3496,548,18464,0,0,9057,0,0,0,0
12,0,1,1,ACCEPT,65.3875,10.6043,8791,0,0,1.0000,282.56,455.50,154.00,229.00,283.00,450.50,148.00,217.00,0.9107,5.02,1,0,3.2845,ACCEPT,0,3301,473,18766,0,0,8791,0,0,0,0
13,0,1,1,ACCEPT,64.8159,11.4400,9152,0,0,1.0000,282.56,455.50,154.00,229.00,283.00,451.00,146.00,218.00,0.9025,4.52,1,0,3.2495,ACCEPT,0,3394,511,19151,0,0,9152,0,0,0,0
14,0,1,1,ACCEPT,65.6624,11.2364,9270,0,0,1.0000,282.56,455.50,154.00,229.00,280.50,450.50,149.00,217.00,0.9168,5.41,1,0,3.2501,ACCEPT,0,3362,512,18858,0,0,9270,0,0,0,0
15,0,1,1,ACCEPT,63.2398,11.9135,9090,0,0,1.0000,282.56,455.50,154.00,229.00,280.00,451.50,148.00,217.00,0.9107,4.75,1,0,3.1752,ACCEPT,0,3651,544,16970,0,0,9090,0,0,0,0
16,0,1,1,ACCEPT,64.2738,12.1989,8893,0,0,1.0000,282.56,455.50,154.00,229.00,280.50,452.50,147.00,217.00,0.9045,3.64,1,0,3.0951,ACCEPT,0,3229,443,18294,0,0,8893,0,0,0,0
17,0,1,1,ACCEPT,62.3959,10.6495,9723,-1,0,0.9592,277.75,455.50,154.00,229.00,279.50,451.00,149.00,218.00,0.9211,4.83,1,0,3.0068,ACCEPT,0,3717,488,16964,0,0,9723,0,0,0,0
18,0,1,1,ACCEPT,63.7693,10.0419,10313,0,0,1.0000,277.75,455.50,154.00,229.00,279.00,451.50,150.00,217.00,0.9230,4.19,1,0,3.2151,ACCEPT,0,3867,457,19534,0,0,10313,0,0,0,0
