frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1069,16237,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,64.6620,14.2415,5426,0,0,1.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,3.3660,ACCEPT,0,2325,897,16003,0,0,5426,0,0,0,0
2,0,1,1,ACCEPT,36.1587,8.6987,4071,0,2,0.6249,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.1958,ACCEPT,0,1834,835,12820,0,0,4071,0,0,0,0
3,0,1,1,ACCEPT,40.4570,9.8228,4047,0,0,1.0000,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.2005,ACCEPT,0,1762,713,13182,0,0,4047,0,0,0,0
4,0,1,1,ACCEPT,33.3009,6.5826,3864,0,1,0.8191,140.50,191.47,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,7.68,1,-1,3.0330,ACCEPT,0,1825,868,9571,0,0,3864,0,0,0,0
5,0,1,1,ACCEPT,35.5769,7.0668,3915,0,1,0.9292,140.50,193.06,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.12,1,0,3.2365,ACCEPT,0,1978,418,15795,0,0,3915,0,0,0,0
6,0,1,1,ACCEPT,33.6996,7.3624,4307,0,0,1.0000,140.50,193.06,163.65,49.00,136.50,204.50,179.00,71.00,0.6218,12.12,1,-1,2.9991,ACCEPT,0,2312,632,11750,0,0,4307,0,0,0,0
7,0,1,1,ACCEPT,34.6960,7.5022,5124,0,0,1.0000,140.50,193.06,163.65,49.00,136.50,204.50,179.00,71.00,0.6218,12.12,1,0,3.1942,ACCEPT,0,2758,348,16025,0,0,5124,0,0,0,0
8,0,1,1,ACCEPT,27.8849,6.4069,4991,-1,-1,0.8529,135.39,191.53,170.19,50.96,139.00,205.00,182.00,78.00,0.6110,13.94,1,1,3.0795,ACCEPT,0,3148,515,13435,0,0,4991,0,0,0,0
9,0,1,1,ACCEPT,30.4859,6.3227,5722,1,-1,0.9327,140.70,189.94,163.65,49.00,139.00,205.00,182.00,78.00,0.5548,15.16,1,-1,2.7032,ACCEPT,0,3487,517,12221,0,0,5722,0,0,0,0
10,0,1,1,ACCEPT,24.2506,3.7288,5101,-1,-2,0.7118,135.59,186.88,163.65,49.00,138.00,203.00,180.00,80.00,0.5459,16.30,1,0,3.2086,ACCEPT,0,4064,357,18626,0,0,5101,0,0,0,0
11,0,1,1,ACCEPT,27.0487,3.7308,6085,0,0,1.0000,135.59,186.88,163.65,49.00,138.00,203.00,180.00,80.00,0.5459,16.30,1,0,3.2151,ACCEPT,0,4169,386,16913,0,0,6085,0,0,0,0
12,0,1,1,ACCEPT,23.8104,3.9001,5542,0,-3,0.3961,135.59,182.28,163.65,49.00,136.50,195.50,183.00,75.00,0.5801,13.25,1,0,3.1237,ACCEPT,0,4471,441,14404,0,0,5542,0,0,0,0
13,0,1,1,ACCEPT,26.2115,3.5104,6610,0,0,1.0000,135.59,182.28,163.65,49.00,136.50,195.50,183.00,75.00,0.5801,13.25,1,0,3.1309,ACCEPT,0,4692,426,13399,0,0,6610,0,0,0,0
