frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,642.00,1121.50,54.00,41.00,642.00,1121.50,54.00,41.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,936,6584,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,9.4308,1.6100,1090,-1,3,0.6046,640.31,1125.34,54.00,41.00,626.50,1123.00,61.00,32.00,0.5051,14.01,1,0,2.8219,ACCEPT,0,1454,773,5565,0,0,1090,0,0,0,0
2,0,1,1,ACCEPT,8.3484,1.0819,1361,-12,2,0.0588,620.06,1127.91,54.00,41.00,621.00,1117.50,60.00,45.00,0.5581,10.45,1,0,2.1800,ACCEPT,0,1876,451,6446,0,0,1361,0,0,0,0
3,0,1,1,ACCEPT,6.5413,1.2919,540,8,2,0.3019,633.56,1130.47,54.00,41.00,621.50,1088.00,61.00,32.00,0.0000,44.15,1,0,3.0060,ACCEPT,0,1078,207,12333,0,0,540,0,0,0,0
4,0,1,1,ACCEPT,9.2420,1.7030,1967,1,2,0.7306,635.25,1133.03,54.00,41.00,602.50,1065.00,25.00,28.00,0.0000,75.50,1,0,2.7875,ACCEPT,0,3131,191,12397,0,0,1967,0,0,0,0
5,0,1,1,ACCEPT,10.3526,2.0719,1757,3,6,0.2214,640.31,1140.72,54.00,41.00,629.00,1024.00,68.00,42.00,0.0000,117.27,1,0,2.9043,ACCEPT,0,2224,220,11755,0,0,1757,0,0,0,0
6,0,1,1,ACCEPT,12.0010,2.1524,1935,4,4,0.2439,647.06,1145.84,54.00,41.00,641.00,986.00,78.00,70.00,0.0000,159.96,1,0,2.9234,ACCEPT,0,2254,237,10202,0,0,1935,0,0,0,0
7,0,1,1,ACCEPT,13.6634,2.5561,2165,2,6,0.0850,650.44,1153.53,54.00,41.00,642.50,954.00,75.00,62.00,0.0000,199.69,1,0,2.9173,ACCEPT,0,2167,239,9959,0,0,2165,0,0,0,0
8,0,1,1,ACCEPT,15.7814,2.9987,2282,3,6,0.0451,655.50,1161.22,54.00,41.00,637.00,949.00,74.00,68.00,0.0000,213.02,1,0,2.8804,ACCEPT,0,2354,213,9812,0,0,2282,0,0,0,0
9,0,1,1,ACCEPT,19.2529,3.9338,2557,3,5,0.1513,660.56,1167.62,54.00,41.00,636.00,939.00,48.00,58.00,0.0000,229.94,1,0,2.9399,ACCEPT,0,2197,226,8636,0,0,2557,0,0,0,0
