frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,367.00,198.00,104.00,128.00,367.00,198.00,104.00,128.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1865,17757,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,37.7438,7.7141,4883,-1,0,0.9486,363.75,198.00,104.00,128.00,366.00,203.50,106.00,137.00,0.8826,5.94,1,0,2.8434,ACCEPT,0,2704,1696,15715,0,0,4883,0,0,0,0
2,0,1,1,ACCEPT,22.8066,4.9745,4691,1,2,0.6276,367.00,206.00,104.00,128.00,372.00,214.00,106.00,140.00,0.8102,9.43,1,0,2.8585,ACCEPT,0,3267,1494,17751,0,0,4691,0,0,0,0
3,0,1,1,ACCEPT,15.4782,3.0957,4269,0,3,0.7585,367.00,218.00,108.16,133.12,371.50,222.00,107.00,136.00,0.8687,6.02,1,1,2.8754,ACCEPT,0,4320,1186,16066,0,0,4269,0,0,0,0
4,0,1,1,ACCEPT,13.9549,3.1398,4336,-1,5,0.2613,363.62,238.78,108.16,133.12,370.00,232.00,102.00,132.00,0.8037,9.31,1,0,2.6231,ACCEPT,0,4634,1082,15803,0,0,4336,0,0,0,0
5,0,1,1,ACCEPT,14.9369,3.2657,5630,0,4,0.3190,363.62,255.41,108.16,133.12,374.00,243.50,108.00,131.00,0.6985,15.79,1,0,2.5769,ACCEPT,0,6627,877,15609,0,0,5630,0,0,0,0
6,0,1,1,ACCEPT,15.2050,3.2397,5919,0,2,0.6572,363.62,263.72,108.16,133.12,369.00,257.50,98.00,123.00,0.8183,8.22,1,0,2.7105,ACCEPT,0,7326,718,13889,0,0,5919,0,0,0,0
7,0,1,1,ACCEPT,11.5626,2.5425,4846,0,2,0.6587,363.62,272.03,108.16,133.12,367.50,265.00,99.00,120.00,0.8192,8.03,1,0,2.7467,ACCEPT,0,5951,741,10415,0,0,4846,0,0,0,0
8,0,1,1,ACCEPT,8.6420,1.9235,3345,-1,2,0.7982,360.25,280.34,108.16,133.12,367.50,269.00,101.00,122.00,0.7341,13.46,1,0,1.8953,LOW_CONF,0,4585,550,14715,0,0,3345,0,0,0,0
9,0,1,1,ACCEPT,10.0741,2.1721,4607,1,2,0.7491,363.62,288.66,108.16,133.12,368.50,273.00,101.00,128.00,0.7219,16.40,1,-1,1.7068,LOW_CONF,0,6145,555,11355,0,0,4607,0,0,0,0
