frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,281.50,828.00,103.00,178.00,281.50,828.00,103.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2752,24095,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,45.7924,10.2451,10993,0,0,1.0000,281.50,828.00,107.12,185.12,284.50,827.50,99.00,171.00,0.8537,3.04,1,1,2.8855,ACCEPT,0,5510,2431,21967,0,0,10993,0,0,0,0
2,0,1,1,ACCEPT,36.1524,7.3759,9751,0,0,1.0000,281.50,828.00,107.12,185.12,291.00,829.50,90.00,177.00,0.7883,9.62,1,0,2.6488,ACCEPT,0,5230,2200,17831,0,0,9751,0,0,0,0
3,0,1,1,ACCEPT,34.1821,7.8235,9263,0,1,0.9816,281.50,833.78,111.40,192.52,291.50,830.50,91.00,177.00,0.7510,10.52,1,1,2.8398,ACCEPT,0,5417,1859,15372,0,0,9263,0,0,0,0
4,0,1,1,ACCEPT,29.9819,6.7041,8427,0,0,1.0000,281.50,833.78,115.86,200.23,292.50,830.50,87.00,179.00,0.6713,11.48,1,1,2.7539,ACCEPT,0,5246,1830,14741,0,0,8427,0,0,0,0
5,0,1,1,ACCEPT,27.1715,5.8790,8695,0,0,1.0000,281.50,833.78,120.50,208.23,293.50,832.50,91.00,177.00,0.6419,12.07,1,1,2.4130,ACCEPT,0,5836,1624,13915,0,0,8695,0,0,0,0
6,0,1,1,ACCEPT,22.0503,5.3932,7572,-1,1,0.9395,277.73,840.28,130.33,225.23,292.00,835.00,94.00,172.00,0.5508,15.21,1,2,2.1461,ACCEPT,0,6147,1412,15190,0,0,7572,0,0,0,0
7,0,1,1,ACCEPT,20.1108,4.2554,7681,0,0,1.0000,277.73,840.28,135.54,234.24,293.50,836.50,93.00,171.00,0.5009,16.21,1,1,2.1618,ACCEPT,0,6379,1433,12280,0,0,7681,0,0,0,0
8,0,1,1,ACCEPT,20.3705,4.3337,8520,0,1,0.9948,277.73,847.59,130.33,225.23,293.50,843.50,95.00,175.00,0.5664,16.29,1,-1,2.3019,ACCEPT,0,7183,1453,12167,0,0,8520,0,0,0,0
9,0,1,1,ACCEPT,24.1412,5.2843,9554,0,0,1.0000,277.73,847.59,130.33,225.23,292.50,840.50,97.00,163.00,0.5386,16.38,1,0,2.3761,ACCEPT,0,7388,1020,12521,0,0,9554,0,0,0,0
