frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,264.00,438.50,136.00,103.00,264.00,438.50,136.00,103.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3327,23905,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,56.9181,12.6946,10600,1,-1,0.9345,268.25,435.28,141.44,107.12,266.00,437.00,134.00,104.00,0.9171,2.83,1,1,2.9697,ACCEPT,0,4132,2754,20717,0,0,10600,0,0,0,0
2,0,1,1,ACCEPT,50.5487,11.0278,9925,1,1,0.9197,272.67,438.62,136.00,103.00,270.50,437.00,133.00,102.00,0.9384,2.71,1,-1,2.7320,ACCEPT,0,4360,2506,18165,0,0,9925,0,0,0,0
3,0,1,1,ACCEPT,18.9105,3.3275,5740,2,0,0.5765,281.17,438.62,130.77,99.04,284.00,438.50,120.00,101.00,0.9013,2.83,1,-1,2.5333,ACCEPT,0,4527,1847,13619,0,0,5740,0,0,0,0
4,0,1,1,ACCEPT,7.9027,1.0018,2230,5,0,0.2175,301.64,438.62,136.00,103.00,302.50,445.00,121.00,110.00,0.7969,6.43,1,1,3.2410,ACCEPT,0,4054,1504,12989,0,0,2230,0,0,0,0
5,0,1,1,ACCEPT,11.6312,2.6133,2642,6,0,0.1764,327.14,438.62,141.44,107.12,323.00,464.50,100.00,113.00,0.4669,26.20,1,1,2.4137,ACCEPT,0,3111,1144,12384,0,0,2642,0,0,0,0
6,0,1,1,ACCEPT,7.1378,1.4854,1830,2,2,0.2240,335.98,445.31,130.77,99.04,326.00,487.00,90.00,120.00,0.3460,42.87,1,-2,2.1049,ACCEPT,0,3410,1484,12414,0,0,1830,0,0,0,0
7,0,1,1,ACCEPT,7.1187,1.1561,2029,5,-1,0.2114,356.45,442.22,136.00,103.00,350.50,528.00,87.00,114.00,0.0900,85.99,1,1,3.0654,ACCEPT,0,3901,1236,11613,0,0,2029,0,0,0,0
8,0,1,1,ACCEPT,16.2916,4.0536,2797,2,0,0.4351,364.95,442.22,136.00,103.00,353.00,555.50,98.00,87.00,0.0000,113.91,1,0,3.0883,ACCEPT,0,3398,926,6661,0,0,2797,0,0,0,0
9,0,1,1,ACCEPT,16.1546,3.8793,1897,3,-5,0.0137,377.70,426.12,136.00,103.00,356.00,572.50,118.00,81.00,0.0000,147.98,1,0,3.0201,ACCEPT,0,2287,809,5755,0,0,1897,0,0,0,0
10,0,1,1,ACCEPT,16.0914,4.0429,1791,0,-8,0.0530,377.70,400.38,136.00,103.00,357.00,570.00,110.00,94.00,0.0000,170.88,1,0,3.0687,ACCEPT,0,2162,312,6871,0,0,1791,0,0,0,0
11,0,1,1,ACCEPT,5.1789,1.0584,906,13,4,0.5177,432.95,413.25,136.00,103.00,358.50,449.00,97.00,74.00,0.1169,82.59,1,11,1.7528,MAX_STEP,0,1843,1077,22312,0,0,906,0,0,0,0
12,0,1,1,ACCEPT,5.2998,1.4512,1309,-24,0,0.3911,330.95,413.25,141.44,107.12,346.00,376.50,100.00,69.00,0.3032,39.71,1,1,2.0954,ACCEPT,0,4432,1104,14688,0,0,1309,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.0886,1.1346,-801,-14,-2,0.0125,330.95,413.25,141.44,107.12,343.00,315.50,112.00,77.00,0.0000,98.49,0,0,0.0000,NOT_RUN,0,3907,1266,0,0,0,801,0,0,0,0
14,0,1,1,ACCEPT,8.3049,2.3546,1328,-6,-6,0.0745,304.42,393.19,147.10,111.40,349.00,336.00,100.00,88.00,0.1538,72.51,1,1,2.6186,ACCEPT,0,4281,854,19409,0,0,1328,0,0,0,0
15,0,1,1,ACCEPT,6.0025,1.2193,2396,0,2,0.9316,304.42,400.16,147.10,111.40,338.50,382.00,99.00,62.00,0.3243,38.61,1,0,2.0197,ACCEPT,0,8229,716,22698,0,0,2396,0,0,0,0
16,0,1,1,ACCEPT,5.5763,1.1825,2112,1,5,0.2685,309.02,417.58,147.10,111.40,333.50,419.50,111.00,57.00,0.3557,24.56,1,-4,2.0723,MAX_STEP,0,6379,610,22780,0,0,2112,0,0,0,0
17,0,1,1,ACCEPT,5.5400,1.0928,2509,-1,4,0.5261,304.42,431.52,147.10,111.40,334.00,476.50,102.00,67.00,0.2208,53.84,1,1,1.9258,LOW_CONF,0,7977,714,23565,0,0,2509,0,0,0,0
18,0,1,1,ACCEPT,6.2033,1.3538,2426,0,5,0.7601,304.42,448.94,147.10,111.40,342.00,512.50,100.00,69.00,0.1091,73.84,1,0,2.1690,ACCEPT,0,7730,499,15916,0,0,2426,0,0,0,0
19,0,1,1,ACCEPT,8.1106,1.7953,2271,-1,-1,0.8648,299.83,445.45,147.10,111.40,325.50,532.00,111.00,56.00,0.0000,90.27,1,0,2.4011,ACCEPT,0,5593,412,14459,0,0,2271,0,0,0,0
20,0,1,1,ACCEPT,10.2419,2.2694,2898,-1,-2,0.8416,295.23,438.48,147.10,111.40,322.00,537.50,108.00,47.00,0.0000,102.57,1,0,2.5103,ACCEPT,0,5804,408,13971,0,0,2898,0,0,0,0
21,0,1,1,ACCEPT,11.8998,2.4969,3226,0,-3,0.6141,295.23,428.03,147.10,111.40,328.00,532.00,88.00,44.00,0.0000,109.01,1,0,2.4792,ACCEPT,0,5783,335,12108,0,0,3226,0,0,0,0
