frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,212.00,524.00,28.00,20.00,212.00,524.00,28.00,20.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,244,13366,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,18.6319,5.0641,790,3,14,0.0089,214.62,532.75,28.00,20.00,213.00,533.50,28.00,19.00,0.8277,1.79,1,0,3.1052,ACCEPT,0,853,132,17891,0,0,790,0,0,0,0
2,0,1,1,ACCEPT,13.0017,2.9549,1507,7,14,0.0338,220.75,541.50,28.00,20.00,219.50,543.00,27.00,20.00,0.7904,1.95,1,0,2.9259,ACCEPT,0,1554,138,13605,0,0,1507,0,0,0,0
3,0,1,1,ACCEPT,14.6473,3.4622,2382,7,13,0.0227,226.88,549.62,28.00,20.00,225.50,551.00,31.00,20.00,0.7920,1.94,1,0,2.8301,ACCEPT,0,1958,129,12998,0,0,2382,0,0,0,0
4,0,1,1,ACCEPT,15.3349,2.5102,1963,4,-2,0.0423,230.38,548.38,26.92,19.23,229.00,550.50,28.00,19.00,0.7307,2.53,1,-1,2.6791,ACCEPT,0,1803,141,11232,0,0,1963,0,0,0,0
5,0,1,1,ACCEPT,14.2019,2.0940,1671,2,-1,0.7768,232.06,547.78,26.92,19.23,230.50,549.50,27.00,19.00,0.7503,2.32,1,0,2.9758,ACCEPT,0,1695,93,12895,0,0,1671,0,0,0,0
6,0,1,1,ACCEPT,6.2231,1.4940,1488,2,-15,0.2258,233.75,538.88,26.92,19.23,232.00,541.00,26.00,20.00,0.7138,2.75,1,0,2.8733,ACCEPT,0,2717,121,10321,0,0,1488,0,0,0,0
7,0,1,1,ACCEPT,10.3264,2.3890,2432,5,-14,0.0744,237.97,530.56,26.92,19.23,237.00,531.00,26.00,16.00,0.7756,1.06,1,0,2.7506,ACCEPT,0,3633,155,8204,0,0,2432,0,0,0,0
8,0,1,1,ACCEPT,10.0374,2.3812,1674,5,-19,0.2384,242.19,519.28,26.92,19.23,239.50,520.00,25.00,16.00,0.6828,2.78,1,0,2.9521,ACCEPT,0,2393,187,9280,0,0,1674,0,0,0,0
9,0,1,1,ACCEPT,16.1474,4.0084,2381,-1,-7,0.0437,241.34,515.12,26.92,19.23,239.50,516.50,29.00,19.00,0.7653,2.30,1,0,3.0303,ACCEPT,0,2255,88,11675,0,0,2381,0,0,0,0
