frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,171.00,259.00,68.00,54.00,171.00,259.00,68.00,54.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,834,9613,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,22.5073,4.5322,2325,1,-1,0.8142,173.12,257.31,68.00,54.00,173.50,255.50,65.00,55.00,0.8960,1.85,1,0,2.7712,ACCEPT,0,1709,695,14529,0,0,2325,0,0,0,0
2,0,1,1,ACCEPT,10.8044,1.8566,2330,0,-1,0.8614,173.12,255.62,68.00,54.00,170.50,252.50,69.00,57.00,0.8304,4.08,1,0,2.8217,ACCEPT,0,3369,667,11473,0,0,2330,0,0,0,0
3,0,1,1,ACCEPT,7.4639,1.7543,1435,0,-2,0.7275,173.12,252.25,68.00,54.00,169.50,250.00,71.00,56.00,0.8327,4.27,1,-5,1.8926,MAX_STEP,0,2666,645,6772,0,0,1435,0,0,0,0
4,0,1,1,ACCEPT,8.2066,2.1458,1148,-2,-2,0.8650,168.88,248.88,68.00,54.00,167.50,248.00,71.00,56.00,0.9235,1.63,1,0,2.6740,ACCEPT,0,1947,436,8634,0,0,1148,0,0,0,0
5,0,1,1,ACCEPT,9.8182,2.5848,1463,-1,-1,0.8489,166.75,247.19,70.72,56.16,164.00,244.00,68.00,60.00,0.8319,4.21,1,1,2.3753,ACCEPT,0,2029,538,6006,0,0,1463,0,0,0,0
6,0,1,1,ACCEPT,12.4347,3.2125,1542,-2,-1,0.7879,162.34,245.44,70.72,56.16,160.50,241.50,69.00,65.00,0.8238,4.35,1,0,2.3896,ACCEPT,0,1838,304,9326,0,0,1542,0,0,0,0
7,0,1,1,ACCEPT,15.7024,3.7436,2482,-1,-1,0.9009,160.14,243.69,73.55,58.41,157.50,240.00,65.00,64.00,0.7925,4.54,1,1,2.7240,ACCEPT,0,2686,213,14169,0,0,2482,0,0,0,0
8,0,1,1,ACCEPT,17.2088,4.2531,3798,-2,-1,0.6103,155.55,241.86,70.72,56.16,152.00,239.00,64.00,66.00,0.7771,4.56,1,-1,2.4954,ACCEPT,0,3613,263,15303,0,0,3798,0,0,0,0
9,0,1,1,ACCEPT,17.1765,3.5129,4219,-2,-1,0.6208,151.14,240.11,70.72,56.16,148.50,238.00,69.00,62.00,0.8437,3.38,1,0,2.2665,ACCEPT,0,4410,190,8753,0,0,4219,0,0,0,0
10,0,1,1,ACCEPT,15.2956,2.9864,1756,-2,-2,0.6617,146.73,236.61,70.72,56.16,143.00,235.00,70.00,62.00,0.8188,4.07,1,0,2.8153,ACCEPT,0,2247,177,13853,0,0,1756,0,0,0,0
11,0,1,1,ACCEPT,13.9718,3.4527,2776,-2,-2,0.7010,142.33,233.11,73.55,58.41,139.00,231.50,72.00,63.00,0.8493,3.70,1,1,2.8432,ACCEPT,0,4324,170,15245,0,0,2776,0,0,0,0
12,0,1,1,ACCEPT,12.9567,2.9284,3107,-2,-2,0.7300,137.73,229.45,70.72,56.16,135.00,229.00,70.00,64.00,0.8161,2.77,1,-1,2.6064,ACCEPT,0,5445,169,17530,0,0,3107,0,0,0,0
13,0,1,1,ACCEPT,12.7189,3.0530,4262,-2,-1,0.8341,133.33,227.70,70.72,56.16,132.00,226.00,72.00,64.00,0.8464,2.16,1,0,3.0441,ACCEPT,0,7840,138,23548,0,0,4262,0,0,0,0
14,0,1,1,ACCEPT,13.9412,3.3091,5364,-1,-1,0.8818,131.12,225.95,70.72,56.16,127.00,223.00,68.00,66.00,0.7639,5.07,1,0,2.5634,ACCEPT,0,8479,177,16681,0,0,5364,0,0,0,0
15,0,1,1,ACCEPT,14.5564,2.4611,5092,-2,0,0.9067,126.72,225.95,70.72,56.16,123.50,222.00,63.00,66.00,0.7706,5.10,1,0,2.6673,ACCEPT,0,7880,165,15339,0,0,5092,0,0,0,0
16,0,1,1,ACCEPT,15.6650,3.1406,4871,0,0,1.0000,126.72,225.95,70.72,56.16,122.50,222.50,63.00,67.00,0.7525,5.45,1,0,3.1490,ACCEPT,0,7021,207,14976,0,0,4871,0,0,0,0
17,0,1,1,ACCEPT,15.5141,3.0350,4768,0,0,1.0000,126.72,225.95,70.72,56.16,121.00,221.00,66.00,60.00,0.7229,7.57,1,0,2.5874,ACCEPT,0,6951,179,15768,0,0,4768,0,0,0,0
18,0,1,1,ACCEPT,16.0731,3.6108,4629,0,0,1.0000,126.72,225.95,68.00,54.00,120.00,221.00,66.00,62.00,0.7003,8.35,1,-1,2.3213,ACCEPT,0,6316,239,13130,0,0,4629,0,0,0,0
19,0,1,1,ACCEPT,14.9451,2.1748,4565,-1,0,0.9858,124.59,225.95,68.00,54.00,120.00,223.50,66.00,67.00,0.7134,5.21,1,0,2.7082,ACCEPT,0,6143,226,14957,0,0,4565,0,0,0,0
