frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,200.00,466.00,44.00,40.00,200.00,466.00,44.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,294,16898,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,49.9465,12.3597,3436,0,-3,0.1708,200.00,462.25,44.00,40.00,199.00,462.00,46.00,42.00,0.9110,1.03,1,0,3.3005,ACCEPT,0,1659,227,15865,0,0,3436,0,0,0,0
2,0,1,1,ACCEPT,37.1909,8.6657,2877,-1,-3,0.1317,198.62,458.50,44.00,40.00,199.50,459.00,45.00,42.00,0.9160,1.01,1,0,3.1892,ACCEPT,0,1776,180,19179,0,0,2877,0,0,0,0
3,0,1,1,ACCEPT,30.1389,5.5124,2894,0,-4,0.0373,198.62,453.50,44.00,40.00,198.50,455.50,45.00,45.00,0.8691,2.00,1,0,2.9928,ACCEPT,0,1873,170,16891,0,0,2894,0,0,0,0
4,0,1,1,ACCEPT,20.9568,4.1733,2312,0,-4,0.3460,198.62,448.50,44.00,40.00,199.00,452.50,46.00,45.00,0.7931,4.02,1,0,2.8277,ACCEPT,0,1980,212,13274,0,0,2312,0,0,0,0
5,0,1,1,ACCEPT,18.4290,3.5548,1980,0,-3,0.4601,198.62,444.75,44.00,40.00,198.50,447.00,47.00,46.00,0.8141,2.25,1,0,2.8833,ACCEPT,0,1731,146,16286,0,0,1980,0,0,0,0
6,0,1,1,ACCEPT,15.0627,2.8729,1899,-1,-3,0.4808,197.25,441.00,44.00,40.00,196.50,445.00,47.00,46.00,0.7779,4.07,1,0,3.1518,ACCEPT,0,1890,143,14488,0,0,1899,0,0,0,0
7,0,1,1,ACCEPT,14.7127,3.1708,1671,-1,-2,0.5709,195.88,438.50,44.00,40.00,197.00,442.00,50.00,46.00,0.7485,3.68,1,0,3.2617,ACCEPT,0,1562,138,17440,0,0,1671,0,0,0,0
8,0,1,1,ACCEPT,14.7518,3.3771,2364,-1,-3,0.1920,194.50,434.75,44.00,40.00,193.00,439.00,48.00,46.00,0.7534,4.51,1,0,3.1576,ACCEPT,0,2321,124,26194,0,0,2364,0,0,0,0
9,0,1,1,ACCEPT,16.2792,3.4326,3793,-1,-3,0.3309,193.12,431.00,44.00,40.00,194.00,435.00,52.00,46.00,0.7044,4.09,1,0,3.1633,ACCEPT,0,3450,118,20863,0,0,3793,0,0,0,0
10,0,1,1,ACCEPT,17.8951,3.2029,3709,-1,-2,0.6244,191.75,428.50,44.00,40.00,191.00,432.00,50.00,46.00,0.7485,3.58,1,0,3.2529,ACCEPT,0,3300,153,30846,0,0,3709,0,0,0,0
11,0,1,1,ACCEPT,16.6007,3.3580,5984,-1,-3,0.3740,190.38,424.75,44.00,40.00,189.50,431.00,51.00,46.00,0.6497,6.31,1,0,2.9300,ACCEPT,0,5493,148,24251,0,0,5984,0,0,0,0
12,0,1,1,ACCEPT,16.4682,2.8044,5048,-1,-1,0.7458,189.00,423.50,44.00,40.00,188.00,428.50,56.00,45.00,0.6274,5.10,1,0,3.3051,ACCEPT,0,5441,117,24549,0,0,5048,0,0,0,0
13,0,1,1,ACCEPT,18.5554,3.4991,5700,-1,-2,0.5544,187.62,421.00,44.00,40.00,186.00,427.00,54.00,46.00,0.6223,6.22,1,0,3.2665,ACCEPT,0,5385,105,21450,0,0,5700,0,0,0,0
14,0,1,1,ACCEPT,18.3488,4.0937,6247,-1,-1,0.9046,186.25,419.75,44.00,40.00,185.50,426.50,55.00,45.00,0.5909,6.79,1,0,2.9807,ACCEPT,0,5591,106,16259,0,0,6247,0,0,0,0
15,0,1,1,ACCEPT,17.0055,3.8951,5609,0,-1,0.9364,186.25,418.50,44.00,40.00,183.50,425.50,57.00,45.00,0.5653,7.52,1,0,3.2536,ACCEPT,0,6081,77,18096,0,0,5609,0,0,0,0
16,0,1,1,ACCEPT,16.7239,4.0524,5726,-1,-1,0.8206,184.88,417.25,44.00,40.00,182.50,425.50,59.00,47.00,0.5201,8.59,1,0,3.2384,ACCEPT,0,5446,65,18175,0,0,5726,0,0,0,0
17,0,1,1,ACCEPT,10.6055,2.2366,4547,-2,0,0.8223,182.12,417.25,44.00,40.00,179.50,427.50,55.00,43.00,0.5000,10.58,1,0,3.0687,ACCEPT,0,6839,80,18285,0,0,4547,0,0,0,0
18,0,1,1,ACCEPT,12.4418,2.6195,5053,-1,2,0.6653,180.75,419.75,44.00,40.00,178.00,430.00,58.00,46.00,0.4824,10.61,1,0,3.1596,ACCEPT,0,5768,126,13663,0,0,5053,0,0,0,0
19,0,1,1,ACCEPT,13.2781,2.9035,5447,-2,2,0.4140,178.00,422.25,44.00,40.00,172.50,434.50,53.00,45.00,0.4573,13.43,1,0,2.7517,ACCEPT,0,7674,136,23615,0,0,5447,0,0,0,0
20,0,1,1,ACCEPT,13.8005,2.9569,5556,-3,4,0.1652,173.88,427.25,44.00,40.00,172.00,440.00,60.00,48.00,0.4211,12.89,1,0,3.1618,ACCEPT,0,7854,109,20670,0,0,5556,0,0,0,0
21,0,1,1,ACCEPT,17.0206,3.8116,6678,-2,4,0.1860,171.12,432.25,44.00,40.00,168.00,445.50,60.00,45.00,0.4056,13.61,1,0,3.1314,ACCEPT,0,8187,108,22794,0,0,6678,0,0,0,0
22,0,1,1,ACCEPT,18.9683,4.0344,6092,-2,5,0.1305,168.38,438.50,44.00,40.00,165.00,452.50,64.00,47.00,0.3741,14.40,1,0,3.0977,ACCEPT,0,6424,117,22110,0,0,6092,0,0,0,0
23,0,1,1,ACCEPT,9.5238,1.6022,4736,-1,5,0.0171,167.00,444.75,44.00,40.00,164.50,463.00,69.00,50.00,0.2918,18.42,1,-13,1.3881,MAX_STEP,0,9052,113,23464,0,0,4736,0,0,0,0
24,0,1,1,ACCEPT,11.1043,2.1405,2926,-3,6,0.2146,162.88,452.25,44.00,40.00,164.50,471.00,73.00,54.00,0.2788,18.82,1,0,2.7449,ACCEPT,0,6019,126,17342,0,0,2926,0,0,0,0
25,0,1,1,ACCEPT,8.1382,1.4845,2013,-3,7,0.3105,158.75,461.00,44.00,40.00,161.00,482.50,84.00,57.00,0.2216,21.62,1,-11,1.4883,MAX_STEP,0,5130,143,22277,0,0,2013,0,0,0,0
26,0,1,1,ACCEPT,13.4808,2.4618,3257,-3,6,0.1538,154.62,468.50,44.00,40.00,153.00,490.00,84.00,58.00,0.2232,21.56,1,0,1.8869,LOW_CONF,0,4606,132,22816,0,0,3257,0,0,0,0
27,0,1,1,ACCEPT,14.1286,2.7463,4405,-4,6,0.2477,149.12,476.00,44.00,40.00,146.50,497.50,87.00,63.00,0.2229,21.66,1,0,1.5198,LOW_CONF,0,5495,116,21396,0,0,4405,0,0,0,0
28,0,1,1,ACCEPT,8.5159,1.6507,3313,-4,5,0.2514,143.62,482.25,44.00,40.00,141.50,507.50,91.00,69.00,0.1906,25.34,1,-1,1.4961,LOW_CONF,0,5846,72,17083,0,0,3313,0,0,0,0
29,0,1,1,ACCEPT,8.1852,1.5729,3314,-5,6,0.6358,136.75,489.75,44.00,40.00,137.00,520.50,106.00,77.00,0.1403,30.75,1,-7,1.8907,MAX_STEP,0,7352,125,13167,0,0,3314,0,0,0,0
30,0,1,1,ACCEPT,8.2542,1.7916,2759,-6,6,0.0692,128.50,497.25,44.00,40.00,127.50,529.00,117.00,82.00,0.1278,31.77,1,0,1.9926,LOW_CONF,0,4624,48,19615,0,0,2759,0,0,0,0
31,0,1,1,ACCEPT,7.9667,1.5273,2430,-6,5,0.1370,120.25,503.50,44.00,40.00,118.50,536.00,125.00,88.00,0.1219,32.55,1,-5,1.3221,MAX_STEP,0,4888,93,15732,0,0,2430,0,0,0,0
32,0,1,1,ACCEPT,7.8531,1.3369,2095,-3,3,0.6181,116.12,507.25,44.00,40.00,112.50,543.50,133.00,101.00,0.1101,36.43,1,-15,1.6865,MAX_STEP,0,4278,115,14793,0,0,2095,0,0,0,0
33,0,1,1,ACCEPT,9.0884,1.5029,3329,-3,2,0.3112,112.00,509.75,44.00,40.00,107.00,545.50,142.00,107.00,0.1086,36.10,1,-15,1.6995,MAX_STEP,0,4222,98,17927,0,0,3329,0,0,0,0
34,0,1,1,ACCEPT,13.6708,2.5894,5127,-2,-1,0.8051,109.25,508.50,44.00,40.00,101.50,550.50,149.00,121.00,0.0936,42.71,1,-15,1.6620,MAX_STEP,0,4711,124,17943,0,0,5127,0,0,0,0
35,0,1,1,ACCEPT,15.2302,3.2396,5381,0,-3,0.2468,109.25,504.75,44.00,40.00,100.00,550.00,164.00,132.00,0.0813,46.19,1,-15,1.7713,MAX_STEP,0,4273,93,20770,0,0,5381,0,0,0,0
36,0,1,1,ACCEPT,18.0943,3.2773,4562,0,-6,0.1030,109.25,497.25,44.00,40.00,97.50,547.00,175.00,140.00,0.0718,51.12,1,-14,1.8293,MAX_STEP,0,4534,84,16366,0,0,4562,0,0,0,0
37,0,1,1,ACCEPT,17.9792,3.0801,2960,1,-10,0.0520,110.62,484.75,44.00,40.00,98.50,541.00,191.00,150.00,0.0594,57.54,1,-14,1.8650,MAX_STEP,0,2649,83,15659,0,0,2960,0,0,0,0
38,0,1,1,ACCEPT,9.7475,2.7278,1473,1,-13,0.2451,112.00,468.50,44.00,40.00,106.50,527.50,209.00,155.00,0.0522,59.26,1,-10,1.6561,MAX_STEP,0,2641,81,17036,0,0,1473,0,0,0,0
