frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,557.50,338.50,49.00,13.00,557.50,338.50,49.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,880,9502,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,12.6360,2.2364,246,-5,2,0.0244,549.84,339.31,49.00,13.00,562.50,317.00,47.00,12.00,0.0000,25.65,1,-6,1.5514,MAX_STEP,0,418,322,8010,0,0,246,0,0,0,0
2,0,1,1,ACCEPT,18.1861,1.8876,168,-11,3,0.0893,533.00,340.53,45.30,12.02,544.50,316.00,43.00,16.00,0.0000,27.09,1,-2,2.1938,ACCEPT,0,172,401,16539,0,0,168,0,0,0,0
3,0,1,1,ACCEPT,7.1551,1.1298,148,-10,-7,0.0338,518.78,337.91,45.30,12.02,556.50,311.50,49.00,15.00,0.0000,46.04,1,5,2.4834,MAX_STEP,0,324,122,20888,0,0,148,0,0,0,0
4,0,1,1,ACCEPT,10.1109,2.0545,226,17,1,0.1372,542.95,338.28,45.30,12.02,543.50,336.00,47.00,16.00,0.6944,2.35,1,0,3.2163,ACCEPT,0,406,218,14640,0,0,226,0,0,0,0
5,0,1,1,ACCEPT,5.2146,1.1800,59,-3,-19,0.6271,538.69,331.16,47.12,12.50,534.50,324.50,41.00,17.00,0.3350,7.86,1,1,2.0126,ACCEPT,0,137,366,3361,0,0,59,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.7697,1.1667,-14,-18,0,0.5714,538.69,331.16,47.12,12.50,0.00,0.00,0.00,0.00,0.0000,632.34,0,0,0.0000,NOT_RUN,0,40,613,0,0,0,14,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-5.5377,1.3750,-11,-1,-1,0.7273,538.69,331.16,47.12,12.50,483.50,297.50,41.00,15.00,0.0000,64.64,0,0,0.0000,NOT_RUN,0,26,566,0,0,0,11,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.1058,1.1667,-7,13,0,0.5714,538.69,331.16,47.12,12.50,472.50,295.50,49.00,15.00,0.0000,75.18,0,0,0.0000,NOT_RUN,0,28,249,0,0,0,8,0,0,0,0
9,0,1,1,ACCEPT,9.6576,1.2895,49,-14,-1,0.1633,518.12,330.77,47.12,12.50,464.00,305.50,46.00,17.00,0.0000,59.73,1,-3,2.9158,MAX_STEP,0,74,145,6967,0,0,49,0,0,0,0
10,0,1,0,LOW_PSR,4.7525,1.2143,17,10,27,0.7059,518.12,330.77,47.12,12.50,457.50,317.00,49.00,18.00,0.0000,62.17,0,0,0.0000,NOT_RUN,0,39,76,0,0,0,17,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.7080,1.1538,-15,7,11,0.2667,518.12,330.77,47.12,12.50,453.00,335.50,44.00,17.00,0.0000,65.30,0,0,0.0000,NOT_RUN,0,46,170,0,0,0,15,0,0,0,0
12,0,1,1,ACCEPT,6.6337,1.0968,34,9,2,0.0000,531.34,331.55,47.12,12.50,452.00,347.00,46.00,14.00,0.0000,80.83,1,3,2.3690,MAX_STEP,0,91,242,3092,0,0,34,0,0,0,0
13,0,1,1,ACCEPT,7.4210,1.4000,21,3,9,0.3810,535.75,335.06,47.12,12.50,454.50,347.00,47.00,16.00,0.0000,82.12,1,3,2.0947,MAX_STEP,0,49,300,3194,0,0,21,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-3.9900,1.0714,-15,16,-2,0.2000,535.75,335.06,47.12,12.50,444.50,353.00,47.00,18.00,0.0000,93.00,0,0,0.0000,NOT_RUN,0,74,188,0,0,0,15,0,0,0,0
15,0,1,1,ACCEPT,6.0087,1.3529,23,4,0,0.1739,541.62,335.06,47.12,12.50,451.50,365.00,41.00,18.00,0.0000,94.97,1,4,2.0590,MAX_STEP,0,67,274,10208,0,0,23,0,0,0,0
16,0,1,1,ACCEPT,5.2573,1.1364,50,-7,2,0.4400,531.34,335.84,47.12,12.50,458.50,385.00,41.00,18.00,0.0000,87.88,1,0,3.1513,ACCEPT,0,206,95,4695,0,0,50,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-4.3267,1.0769,-14,11,4,0.0714,531.34,335.84,47.12,12.50,448.50,403.50,45.00,17.00,0.0000,106.96,0,0,0.0000,NOT_RUN,0,75,173,0,0,0,14,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-4.4284,1.0667,-16,1,-5,0.3750,531.34,335.84,47.12,12.50,435.50,402.50,43.00,17.00,0.0000,116.74,0,0,0.0000,NOT_RUN,0,87,271,0,0,0,16,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-5.3918,1.3077,-17,-1,0,0.9412,531.34,335.84,47.12,12.50,422.00,382.50,46.00,17.00,0.0000,118.88,0,0,0.0000,NOT_RUN,0,83,313,0,0,0,17,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-5.2690,1.1818,-13,-8,0,0.3846,531.34,335.84,47.12,12.50,407.00,381.50,38.00,15.00,0.0000,132.46,0,0,0.0000,NOT_RUN,0,62,405,0,0,0,13,0,0,0,0
21,0,1,1,ACCEPT,13.7839,1.3548,42,-11,8,0.2143,515.19,338.97,47.12,12.50,408.00,380.50,44.00,15.00,0.0000,114.95,1,-8,1.7397,MAX_STEP,0,61,271,3902,0,0,42,0,0,0,0
22,0,1,1,ACCEPT,6.0949,1.2083,29,-14,16,0.4138,494.62,345.22,47.12,12.50,402.00,381.50,44.00,15.00,0.0000,99.48,1,11,2.0109,MAX_STEP,0,112,277,3698,0,0,29,0,0,0,0
23,0,1,1,ACCEPT,8.5631,1.8235,31,1,13,0.0323,496.09,350.30,47.12,12.50,393.00,372.50,44.00,15.00,0.0000,105.46,1,13,2.0324,MAX_STEP,0,78,207,5050,0,0,31,0,0,0,0
24,0,1,1,ACCEPT,7.6102,1.3571,38,-6,4,0.6842,487.28,351.86,47.12,12.50,388.50,359.50,37.00,17.00,0.0000,99.08,1,10,1.9422,MAX_STEP,0,128,210,6330,0,0,38,0,0,0,0
