frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,176.00,655.00,34.00,30.00,176.00,655.00,34.00,30.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,167,25166,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,43.9244,7.3789,3778,0,1,0.8047,176.00,655.94,34.00,30.00,177.00,656.50,36.00,29.00,0.9109,1.15,1,0,3.2113,ACCEPT,0,2115,159,20664,0,0,3778,0,0,0,0
2,0,1,1,ACCEPT,20.3113,4.2028,2093,2,3,0.4802,178.12,658.75,34.00,30.00,177.00,662.00,38.00,26.00,0.7214,3.44,1,0,3.1105,ACCEPT,0,1928,105,27974,0,0,2093,0,0,0,0
3,0,1,1,ACCEPT,13.6837,2.1930,1886,3,1,0.6872,181.31,659.69,34.00,30.00,178.00,666.50,36.00,23.00,0.5096,7.58,1,0,2.9855,ACCEPT,0,2478,97,30669,0,0,1886,0,0,0,0
4,0,1,1,ACCEPT,10.1294,1.7324,2311,2,-2,0.3639,183.44,657.81,34.00,30.00,179.50,667.00,37.00,22.00,0.4071,10.00,1,0,3.0902,ACCEPT,0,3727,169,17693,0,0,2311,0,0,0,0
5,0,1,1,ACCEPT,7.3806,1.1236,2519,1,5,0.1925,184.50,662.50,34.00,30.00,179.50,669.50,37.00,23.00,0.4660,8.60,1,0,2.7979,ACCEPT,0,3893,187,20015,0,0,2519,0,0,0,0
6,0,1,1,ACCEPT,9.1761,1.0694,5025,-3,-2,0.6529,181.31,660.62,35.36,31.20,179.50,669.50,37.00,25.00,0.4831,9.06,1,1,2.3956,ACCEPT,0,6108,260,15255,0,0,5025,0,0,0,0
7,0,1,1,ACCEPT,16.0219,1.9114,7770,-3,-4,0.4422,177.98,656.75,36.77,32.45,176.50,666.00,39.00,34.00,0.5300,9.37,1,1,2.2381,ACCEPT,0,6957,252,14213,0,0,7770,0,0,0,0
8,0,1,1,ACCEPT,16.9919,2.6489,9801,-1,-4,0.2872,176.83,652.69,38.25,33.75,175.00,663.00,44.00,32.00,0.4700,10.47,1,1,2.1299,ACCEPT,0,8120,231,11374,0,0,9801,0,0,0,0
9,0,1,1,ACCEPT,16.0650,2.3515,9987,1,-4,0.2631,178.02,648.50,39.78,35.10,174.50,657.50,45.00,27.00,0.4887,9.66,1,1,2.7994,ACCEPT,0,10320,304,13173,0,0,9987,0,0,0,0
10,0,1,1,ACCEPT,12.4788,1.1717,10313,-1,-7,0.0211,176.77,640.84,41.37,36.50,175.00,647.50,38.00,27.00,0.6005,6.89,1,1,2.7824,ACCEPT,0,12961,241,14040,0,0,10313,0,0,0,0
11,0,1,1,ACCEPT,13.3511,2.1625,9048,-1,-5,0.1062,175.47,635.14,41.37,36.50,174.50,639.50,37.00,31.00,0.6929,4.47,1,0,2.9737,ACCEPT,0,9521,203,12694,0,0,9048,0,0,0,0
12,0,1,1,ACCEPT,19.7376,2.7828,11212,0,-3,0.5684,175.47,631.72,41.37,36.50,172.50,633.50,35.00,35.00,0.7690,3.46,1,0,2.9486,ACCEPT,0,9271,196,11134,0,0,11212,0,0,0,0
