frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,118.00,378.50,14.00,81.00,118.00,378.50,14.00,81.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,312,25910,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,15.3085,2.7943,394,4,-3,0.0508,119.75,370.91,14.00,81.00,120.50,368.50,13.00,83.00,0.8470,2.52,1,0,3.2603,ACCEPT,0,706,191,26053,0,0,394,0,0,0,0
2,0,1,1,ACCEPT,15.1381,2.2459,411,3,-3,0.2311,121.06,363.31,14.00,81.00,122.00,358.00,12.00,82.00,0.7595,5.39,1,0,3.1801,ACCEPT,0,421,172,32651,0,0,411,0,0,0,0
3,0,1,1,ACCEPT,11.1118,2.0868,553,3,-3,0.3165,122.38,355.72,14.00,81.00,121.00,350.00,14.00,82.00,0.7219,5.88,1,0,3.1701,ACCEPT,0,768,145,32767,0,0,553,0,0,0,0
4,0,1,1,ACCEPT,7.9480,1.5420,441,5,-4,0.5397,124.56,345.59,14.00,81.00,121.50,342.50,15.00,83.00,0.6112,4.35,1,0,3.1909,ACCEPT,0,786,153,32767,0,0,441,0,0,0,0
5,0,1,1,ACCEPT,11.0184,2.3158,616,0,-1,0.9221,124.56,343.06,14.00,81.00,121.00,334.50,16.00,81.00,0.5173,9.27,1,0,3.1898,ACCEPT,0,809,142,32754,0,0,616,0,0,0,0
6,0,1,1,ACCEPT,9.6622,2.1326,595,1,-2,0.5261,125.00,338.00,14.00,81.00,121.00,328.00,16.00,80.00,0.4733,10.77,1,0,3.1775,ACCEPT,0,1020,122,29958,0,0,595,0,0,0,0
7,0,1,1,ACCEPT,5.8050,1.2774,723,9,-5,0.2047,128.94,325.34,14.00,81.00,118.00,321.50,34.00,67.00,0.3450,11.59,1,0,3.2737,ACCEPT,0,2474,147,32767,0,0,723,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.6172,1.0646,-544,-4,12,0.4228,128.94,325.34,14.00,81.00,116.50,318.00,53.00,54.00,0.2333,14.44,0,0,0.0000,NOT_RUN,0,2421,163,0,0,0,544,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-5.1490,1.0629,-608,-3,11,0.0247,128.94,325.34,14.00,81.00,115.00,312.50,66.00,45.00,0.1813,18.95,0,0,0.0000,NOT_RUN,0,2835,150,0,0,0,608,0,0,0,0
