frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,560.50,57.00,23.00,277.50,560.50,57.00,23.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1411,4889,0,0,0,0,0,0,0
1,0,1,0,LOW_PSR,3.8399,1.0405,334,-8,-1,0.4281,277.50,560.50,57.00,23.00,262.00,565.00,40.00,24.00,0.3814,16.14,0,0,0.0000,NOT_RUN,0,1534,1018,0,0,0,334,0,0,0,0
2,0,1,0,LOW_PSR,3.9853,1.0310,366,-10,4,0.1639,277.50,560.50,57.00,23.00,259.50,568.50,37.00,21.00,0.2414,19.70,0,0,0.0000,NOT_RUN,0,1632,360,0,0,0,366,0,0,0,0
3,0,1,0,LOW_PSR,4.2834,1.1032,513,-5,6,0.7641,277.50,560.50,57.00,23.00,265.00,570.50,42.00,27.00,0.2937,16.01,0,0,0.0000,NOT_RUN,0,2279,328,0,0,0,513,0,0,0,0
4,0,1,0,LOW_PSR,4.5527,1.0402,698,0,12,0.3080,277.50,560.50,57.00,23.00,280.00,570.50,50.00,25.00,0.3761,10.31,0,0,0.0000,NOT_RUN,0,3261,460,0,0,0,698,0,0,0,0
5,0,1,0,LOW_PSR,4.6677,1.0429,754,-9,-21,0.2984,277.50,560.50,57.00,23.00,288.00,565.50,36.00,29.00,0.4728,11.63,0,0,0.0000,NOT_RUN,0,2994,795,0,0,0,754,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.6442,1.0863,-680,-3,7,0.2059,277.50,560.50,57.00,23.00,293.00,553.50,36.00,33.00,0.3523,17.01,0,0,0.0000,NOT_RUN,0,1770,668,0,0,0,680,0,0,0,0
7,0,1,0,LOW_PSR,4.5868,1.0331,375,-5,12,0.3013,277.50,560.50,57.00,23.00,297.00,540.50,34.00,33.00,0.0935,27.93,0,0,0.0000,NOT_RUN,0,1471,623,0,0,0,375,0,0,0,0
8,0,1,1,ACCEPT,6.8294,1.3505,447,-6,17,0.3624,266.81,572.72,57.00,23.00,297.50,525.50,35.00,33.00,0.0000,56.31,1,0,2.8974,ACCEPT,0,1094,666,6323,0,0,447,0,0,0,0
9,0,1,1,ACCEPT,8.6984,1.5502,510,-3,5,0.1137,261.47,576.31,57.00,23.00,292.50,514.50,37.00,37.00,0.0000,69.16,1,0,3.2730,ACCEPT,0,1065,849,6568,0,0,510,0,0,0,0
10,0,1,1,ACCEPT,8.0861,1.7329,584,-3,10,0.1884,256.12,583.50,57.00,23.00,291.00,510.50,32.00,33.00,0.0000,80.90,1,0,3.1692,ACCEPT,0,1273,1003,5103,0,0,584,0,0,0,0
11,0,1,1,ACCEPT,8.7854,1.7427,596,0,6,0.4413,256.12,587.81,57.00,23.00,290.00,504.50,34.00,35.00,0.0000,89.94,1,0,3.0530,ACCEPT,0,1213,813,6036,0,0,596,0,0,0,0
12,0,1,1,ACCEPT,8.6049,1.5345,511,-1,8,0.5264,254.34,593.56,57.00,23.00,292.00,500.00,34.00,42.00,0.0000,100.86,1,0,3.2603,ACCEPT,0,993,847,7236,0,0,511,0,0,0,0
13,0,1,1,ACCEPT,9.3933,1.8006,650,-1,12,0.2092,252.56,602.19,57.00,23.00,291.00,500.50,32.00,27.00,0.0000,108.71,1,0,3.2362,ACCEPT,0,1112,777,6089,0,0,650,0,0,0,0
14,0,1,1,ACCEPT,9.7066,1.8103,630,-1,13,0.1032,250.78,611.53,57.00,23.00,294.50,502.50,23.00,15.00,0.0000,117.47,1,0,3.2392,ACCEPT,0,1020,542,7849,0,0,630,0,0,0,0
15,0,1,1,ACCEPT,9.1497,1.8768,670,0,12,0.0955,250.78,620.16,57.00,23.00,0.00,0.00,0.00,0.00,0.0000,668.94,1,0,3.2417,ACCEPT,0,1184,694,5699,0,0,670,0,0,0,0
16,0,1,1,ACCEPT,10.6138,1.8753,737,0,11,0.1927,250.78,628.06,57.00,23.00,297.00,463.00,26.00,18.00,0.0000,171.41,1,0,3.2309,ACCEPT,0,1149,715,6184,0,0,737,0,0,0,0
17,0,1,1,ACCEPT,10.3310,1.7065,785,1,13,0.1490,252.56,637.41,57.00,23.00,287.50,459.00,43.00,36.00,0.0000,181.79,1,0,3.0342,ACCEPT,0,1252,713,6089,0,0,785,0,0,0,0
18,0,1,1,ACCEPT,10.5515,1.9499,973,1,14,0.1829,254.34,647.47,59.28,23.92,282.50,451.00,55.00,58.00,0.0000,198.48,1,1,2.5901,ACCEPT,0,1760,944,4612,0,0,973,0,0,0,0
19,0,1,1,ACCEPT,11.8735,2.4380,1180,0,12,0.1000,254.34,656.47,59.28,23.92,265.50,429.00,47.00,58.00,0.0000,227.74,1,0,3.1337,ACCEPT,0,1564,926,5121,0,0,1180,0,0,0,0
20,0,1,1,ACCEPT,12.1779,2.3981,1000,-2,13,0.0080,250.62,666.22,59.28,23.92,270.50,418.50,41.00,57.00,0.0000,248.51,1,0,3.2500,ACCEPT,0,1348,794,4708,0,0,1000,0,0,0,0
21,0,1,1,ACCEPT,11.3460,2.1313,1023,-1,17,0.2913,248.77,678.97,61.65,24.88,283.00,405.00,54.00,64.00,0.0000,276.10,1,1,2.4665,ACCEPT,0,1444,990,4846,0,0,1023,0,0,0,0
22,0,1,1,ACCEPT,6.5940,1.3646,655,-3,28,0.1649,243.00,700.84,64.12,25.87,294.50,403.00,51.00,64.00,0.0000,302.26,1,1,2.6571,ACCEPT,0,1838,1196,4432,0,0,655,0,0,0,0
23,0,1,0,NEGATIVE_PEAK,-4.6452,1.2552,-487,-4,2,0.5277,243.00,700.84,64.12,25.87,305.50,400.50,25.00,65.00,0.0000,306.78,0,0,0.0000,NOT_RUN,0,2089,579,0,0,0,487,0,0,0,0
