frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,412.00,578.50,176.00,145.00,412.00,578.50,176.00,145.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,257,28635,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,56.1745,11.0509,3691,0,1,0.8976,412.00,583.03,176.00,145.00,409.50,582.50,177.00,145.00,0.9651,2.56,1,0,3.2541,ACCEPT,0,1309,227,27872,0,0,3691,0,0,0,0
2,0,1,1,ACCEPT,29.1993,7.0603,3396,-1,2,0.6684,406.50,592.09,176.00,145.00,409.00,585.00,178.00,156.00,0.8854,7.52,1,0,3.0839,ACCEPT,0,1856,201,25739,0,0,3396,0,0,0,0
3,0,1,1,ACCEPT,28.4888,7.5681,3277,0,1,0.8666,406.50,596.62,176.00,145.00,408.00,595.00,180.00,150.00,0.9452,2.21,1,0,3.0744,ACCEPT,0,1681,211,25316,0,0,3277,0,0,0,0
4,0,1,1,ACCEPT,23.3495,6.2132,3585,0,1,0.7858,406.50,601.16,176.00,145.00,412.50,598.00,185.00,154.00,0.8814,6.78,1,0,2.9218,ACCEPT,0,1968,221,21163,0,0,3585,0,0,0,0
5,0,1,1,ACCEPT,22.0485,6.0102,3522,1,1,0.8308,412.00,605.69,176.00,145.00,414.00,601.00,188.00,158.00,0.8591,5.10,1,0,3.0034,ACCEPT,0,1976,241,18971,0,0,3522,0,0,0,0
6,0,1,1,ACCEPT,20.7865,6.1391,3708,0,0,1.0000,412.00,605.69,176.00,145.00,417.00,601.50,188.00,157.00,0.8646,6.52,1,0,2.9526,ACCEPT,0,2550,217,22986,0,0,3708,0,0,0,0
7,0,1,1,ACCEPT,15.2334,4.0460,3783,0,0,1.0000,412.00,605.69,176.00,145.00,420.00,601.50,192.00,151.00,0.8668,9.03,1,0,2.9090,ACCEPT,0,3104,210,18333,0,0,3783,0,0,0,0
8,0,1,1,ACCEPT,9.8993,2.6208,2896,0,-4,0.2096,412.00,587.56,176.00,145.00,421.50,593.50,201.00,151.00,0.8100,11.20,1,0,2.6233,ACCEPT,0,3408,184,21723,0,0,2896,0,0,0,0
9,0,1,1,ACCEPT,10.9163,3.3280,3521,0,-2,0.6683,412.00,578.50,176.00,145.00,424.50,588.00,199.00,152.00,0.7736,15.70,1,0,2.7621,ACCEPT,0,3732,176,23841,0,0,3521,0,0,0,0
10,0,1,1,ACCEPT,7.2934,1.7379,2433,0,-6,0.3925,412.00,551.31,176.00,145.00,432.00,574.50,198.00,155.00,0.6045,30.62,1,0,2.6294,ACCEPT,0,4480,224,22269,0,0,2433,0,0,0,0
11,0,1,1,ACCEPT,10.9759,2.5806,3969,1,-3,0.5485,417.50,537.72,176.00,145.00,436.50,559.50,197.00,155.00,0.6211,28.90,1,0,2.7374,ACCEPT,0,6418,206,16622,0,0,3969,0,0,0,0
