frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,56.00,538.00,16.00,18.00,56.00,538.00,16.00,18.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,200,31811,0,0,0,0,0,0,0
1,0,1,0,LOW_PSR,3.9393,1.1445,301,15,-7,0.2060,56.00,538.00,16.00,18.00,65.00,536.50,18.00,17.00,0.2747,9.12,0,0,0.0000,NOT_RUN,0,2339,279,0,0,0,301,0,0,0,0
2,0,1,1,ACCEPT,5.8463,1.0316,98,30,-7,0.2041,71.00,534.06,16.00,18.00,75.00,535.50,16.00,15.00,0.5172,4.25,1,0,3.1789,ACCEPT,0,243,658,13668,0,0,98,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-4.8481,1.4667,-44,28,-6,0.0909,71.00,534.06,16.00,18.00,90.00,532.50,14.00,15.00,0.0000,19.06,0,0,0.0000,NOT_RUN,0,151,540,0,0,0,44,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-3.8267,1.0833,-13,0,1,0.6923,71.00,534.06,16.00,18.00,99.50,531.50,15.00,15.00,0.0000,28.61,0,0,0.0000,NOT_RUN,0,90,669,0,0,0,14,0,0,0,0
5,0,1,0,LOW_PSR,3.8223,1.0000,19,7,-7,0.0000,71.00,534.06,16.00,18.00,116.00,528.50,14.00,13.00,0.0000,45.34,0,0,0.0000,NOT_RUN,0,92,564,0,0,0,19,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-3.6726,1.1875,-19,25,12,0.0000,71.00,534.06,16.00,18.00,125.00,528.50,14.00,13.00,0.0000,54.29,0,0,0.0000,NOT_RUN,0,96,477,0,0,0,19,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-3.1276,1.0714,-15,25,11,0.1333,71.00,534.06,16.00,18.00,135.50,525.00,15.00,14.00,0.0000,65.13,0,0,0.0000,NOT_RUN,0,112,369,0,0,0,15,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-2.8252,1.0000,-14,12,-1,0.4286,71.00,534.06,16.00,18.00,151.00,521.50,14.00,13.00,0.0000,80.98,0,0,0.0000,NOT_RUN,0,96,201,0,0,0,14,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.4444,1.1200,-28,24,-4,0.0357,71.00,534.06,16.00,18.00,163.50,519.50,13.00,13.00,0.0000,93.64,0,0,0.0000,NOT_RUN,0,148,208,0,0,0,28,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-4.3099,1.3333,-36,24,-18,0.2500,71.00,534.06,16.00,18.00,174.50,530.00,13.00,12.00,0.0000,103.58,0,0,0.0000,NOT_RUN,0,175,94,0,0,0,36,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.9394,1.3803,-98,20,-16,0.4898,71.00,534.06,16.00,18.00,179.00,539.50,12.00,13.00,0.0000,108.14,0,0,0.0000,NOT_RUN,0,374,60,0,0,0,98,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-4.5836,1.0364,-228,16,-13,0.3289,71.00,534.06,16.00,18.00,184.00,549.00,14.00,12.00,0.0000,113.98,0,0,0.0000,NOT_RUN,0,1030,67,0,0,0,228,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-4.5009,1.0201,-203,18,-11,0.1084,71.00,534.06,16.00,18.00,194.00,559.50,12.00,13.00,0.0000,125.60,0,0,0.0000,NOT_RUN,0,952,41,0,0,0,203,0,0,0,0
14,0,1,0,LOW_PSR,4.4117,1.0090,335,6,-15,0.1463,71.00,534.06,16.00,18.00,201.00,567.50,14.00,13.00,0.0000,134.23,0,0,0.0000,NOT_RUN,0,1474,50,0,0,0,335,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-4.8024,1.0381,-409,14,-7,0.0391,71.00,534.06,16.00,18.00,212.00,579.00,14.00,12.00,0.0000,147.99,0,0,0.0000,NOT_RUN,0,1722,53,0,0,0,409,0,0,0,0
16,0,1,0,LOW_PSR,4.6726,1.0984,491,6,-10,0.1894,71.00,534.06,16.00,18.00,220.00,587.00,12.00,12.00,0.0000,158.12,0,0,0.0000,NOT_RUN,0,2692,163,0,0,0,491,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-5.1283,1.2061,-398,15,-6,0.3568,71.00,534.06,16.00,18.00,230.00,592.00,12.00,12.00,0.0000,169.23,0,0,0.0000,NOT_RUN,0,1475,44,0,0,0,398,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-5.0946,1.1959,-580,10,-8,0.0793,71.00,534.06,16.00,18.00,240.50,600.00,13.00,12.00,0.0000,181.87,0,0,0.0000,NOT_RUN,0,2665,47,0,0,0,580,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-4.8588,1.1951,-582,10,-7,0.0653,71.00,534.06,16.00,18.00,248.50,607.00,13.00,12.00,0.0000,191.90,0,0,0.0000,NOT_RUN,0,2639,57,0,0,0,582,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-4.6417,1.0769,-588,11,-4,0.1718,71.00,534.06,16.00,18.00,263.00,614.00,12.00,12.00,0.0000,207.98,0,0,0.0000,NOT_RUN,0,3069,88,0,0,0,588,0,0,0,0
21,0,1,0,NEGATIVE_PEAK,-4.8290,1.0915,-632,10,-6,0.0475,71.00,534.06,16.00,18.00,271.00,616.00,12.00,12.00,0.0000,216.13,0,0,0.0000,NOT_RUN,0,3267,49,0,0,0,632,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-4.4762,1.0462,-702,7,-7,0.1382,71.00,534.06,16.00,18.00,275.00,617.50,12.00,13.00,0.0000,220.40,0,0,0.0000,NOT_RUN,0,4129,71,0,0,0,702,0,0,0,0
23,0,1,0,NEGATIVE_PEAK,-4.5766,1.0955,-849,4,-5,0.1084,71.00,534.06,16.00,18.00,272.00,621.00,12.00,12.00,0.0000,219.00,0,0,0.0000,NOT_RUN,0,4819,80,0,0,0,849,0,0,0,0
24,0,1,0,NEGATIVE_PEAK,-4.0107,1.0025,-791,6,-12,0.3110,71.00,534.06,16.00,18.00,272.00,625.00,12.00,12.00,0.0000,220.61,0,0,0.0000,NOT_RUN,0,5698,106,0,0,0,791,0,0,0,0
25,0,1,0,LOW_PSR,4.6466,1.1951,1023,1,-7,0.0655,71.00,534.06,16.00,18.00,273.00,630.00,12.00,12.00,0.0000,223.62,0,0,0.0000,NOT_RUN,0,6976,130,0,0,0,1023,0,0,0,0
26,0,1,0,LOW_PSR,4.4764,1.1145,1071,1,-6,0.1522,71.00,534.06,16.00,18.00,274.00,632.50,12.00,13.00,0.0000,225.61,0,0,0.0000,NOT_RUN,0,7481,134,0,0,0,1071,0,0,0,0
27,0,1,0,LOW_PSR,4.2640,1.0378,1042,-3,-6,0.3580,71.00,534.06,16.00,18.00,275.00,635.00,12.00,14.00,0.0000,227.61,0,0,0.0000,NOT_RUN,0,7354,76,0,0,0,1042,0,0,0,0
28,0,1,0,LOW_PSR,4.3148,1.0950,1072,0,-5,0.6791,71.00,534.06,16.00,18.00,278.00,640.50,12.00,13.00,0.0000,232.76,0,0,0.0000,NOT_RUN,0,7886,90,0,0,0,1072,0,0,0,0
29,0,1,0,LOW_PSR,4.4899,1.1402,1204,-2,-8,0.0050,71.00,534.06,16.00,18.00,280.50,641.00,13.00,12.00,0.0000,235.21,0,0,0.0000,NOT_RUN,0,8903,178,0,0,0,1204,0,0,0,0
