frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,213.00,108.00,52.00,265.00,213.00,108.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,535,31980,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,27.5320,5.8208,4645,0,-1,0.9180,265.00,211.38,108.00,52.00,267.00,211.00,112.00,52.00,0.9507,2.03,1,0,3.1886,ACCEPT,0,3362,590,29932,0,0,4645,0,0,0,0
2,0,1,1,ACCEPT,15.0285,3.1906,3682,0,0,1.0000,265.00,211.38,108.00,52.00,269.50,210.00,111.00,50.00,0.8749,4.71,1,0,2.6429,ACCEPT,0,3950,594,17935,0,0,3682,0,0,0,0
3,0,1,1,ACCEPT,12.7991,2.0704,4441,0,-2,0.8401,265.00,208.12,108.00,52.00,270.00,206.00,112.00,50.00,0.8435,5.43,1,0,2.3399,ACCEPT,0,5058,483,18513,0,0,4441,0,0,0,0
4,0,1,1,ACCEPT,10.8087,1.6864,4125,0,-1,0.8698,265.00,206.50,103.85,50.00,274.00,201.50,110.00,57.00,0.7075,10.30,1,-1,2.2826,ACCEPT,0,4215,553,16931,0,0,4125,0,0,0,0
5,0,1,1,ACCEPT,9.5527,1.6464,4358,1,-2,0.7297,268.25,203.38,96.01,46.23,277.50,196.50,111.00,61.00,0.6359,11.53,1,-2,2.0457,ACCEPT,0,5500,520,17203,0,0,4358,0,0,0,0
6,0,1,1,ACCEPT,9.4631,1.7740,4701,0,0,1.0000,268.25,203.38,92.32,44.45,279.00,195.00,110.00,60.00,0.5883,13.63,1,-1,2.6595,ACCEPT,0,6246,417,15753,0,0,4701,0,0,0,0
7,0,1,1,ACCEPT,8.5392,1.5026,4658,1,-2,0.6116,271.14,200.59,88.77,42.74,282.00,199.50,106.00,53.00,0.6472,10.91,1,-1,2.6100,ACCEPT,0,6820,288,17544,0,0,4658,0,0,0,0
8,0,1,1,ACCEPT,6.5303,1.3742,4087,0,1,0.9998,271.14,201.92,88.77,42.74,282.50,193.00,103.00,66.00,0.5176,14.44,1,0,2.2593,ACCEPT,0,6707,390,11882,0,0,4087,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-5.7052,1.0546,-3419,19,0,0.9415,271.14,201.92,88.77,42.74,282.50,193.00,101.00,66.00,0.5181,14.44,0,0,0.0000,NOT_RUN,0,5892,349,0,0,0,3419,0,0,0,0
10,0,1,1,ACCEPT,6.0524,1.2107,3763,-1,1,0.8212,268.36,203.25,88.77,42.74,285.00,194.50,106.00,69.00,0.4507,18.80,1,0,2.8279,ACCEPT,0,6512,396,13427,0,0,3763,0,0,0,0
11,0,1,1,ACCEPT,7.4535,1.5137,5074,0,2,0.5901,268.36,205.91,88.77,42.74,283.00,210.00,98.00,46.00,0.6182,15.20,1,0,2.5294,ACCEPT,0,7259,527,11342,0,0,5074,0,0,0,0
12,0,1,1,ACCEPT,9.4848,2.1472,6635,0,2,0.5771,268.36,208.56,88.77,42.74,282.50,214.00,101.00,46.00,0.5935,15.15,1,-5,1.8407,MAX_STEP,0,8868,411,11868,0,0,6635,0,0,0,0
