frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,188.00,350.00,66.00,46.00,188.00,350.00,66.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,847,32141,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,37.3880,7.2340,17897,0,0,1.0000,188.00,350.00,66.00,46.00,191.00,351.50,64.00,45.00,0.8557,3.35,1,0,2.8164,ACCEPT,0,10033,826,28807,0,0,17897,0,0,0,0
2,0,1,1,ACCEPT,20.5282,4.7625,14497,-1,-1,0.9451,185.94,348.56,66.00,46.00,193.50,352.00,61.00,40.00,0.6782,8.31,1,0,2.5584,ACCEPT,0,12994,851,25955,0,0,14497,0,0,0,0
3,0,1,1,ACCEPT,12.4247,3.0827,13348,0,-2,0.8360,185.94,345.69,68.64,47.84,196.00,350.00,64.00,34.00,0.5393,10.95,1,1,2.3656,ACCEPT,0,17310,583,27415,0,0,13348,0,0,0,0
4,0,1,1,ACCEPT,10.7743,2.2104,10789,1,1,0.9389,188.08,347.19,68.64,47.84,197.00,346.00,64.00,36.00,0.5868,9.00,1,-7,1.7796,MAX_STEP,0,19175,801,18250,0,0,10789,0,0,0,0
5,0,1,1,ACCEPT,5.0644,1.0351,6638,10,-9,0.6811,209.48,333.69,68.64,47.84,195.50,341.00,63.00,44.00,0.4936,15.78,1,-2,1.6540,LOW_CONF,0,16703,860,12258,0,0,6638,0,0,0,0
6,0,1,1,ACCEPT,5.9858,1.3111,5584,-11,-7,0.7627,185.94,323.19,68.64,47.84,196.50,338.00,63.00,48.00,0.4085,18.19,1,-3,3.0238,MAX_STEP,0,11341,1042,11072,0,0,5584,0,0,0,0
7,0,1,1,ACCEPT,8.6807,1.8907,8389,0,-1,0.9095,185.94,321.69,66.00,46.00,198.00,338.00,64.00,48.00,0.3623,20.29,1,-1,3.2330,ACCEPT,0,13585,845,10484,0,0,8389,0,0,0,0
8,0,1,1,ACCEPT,9.6338,2.1074,9867,-1,-4,0.0485,183.88,315.94,61.02,42.53,200.00,342.50,68.00,37.00,0.1428,31.07,1,-2,2.6284,ACCEPT,0,14973,647,12025,0,0,9867,0,0,0,0
9,0,1,1,ACCEPT,8.7651,1.8799,11110,0,-6,0.1080,183.88,307.97,66.00,46.00,200.00,341.50,66.00,37.00,0.0782,37.21,1,2,2.9283,ACCEPT,0,17737,723,14933,0,0,11110,0,0,0,0
