frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,67.00,233.00,78.00,90.00,67.00,233.00,78.00,90.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,526,27485,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,66.9664,17.7867,6172,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,91.00,0.9765,0.71,1,0,3.2638,ACCEPT,0,2289,429,27735,0,0,6172,0,0,0,0
2,0,1,1,ACCEPT,64.6047,17.7500,6319,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.1600,ACCEPT,0,2436,377,26430,0,0,6319,0,0,0,0
3,0,1,1,ACCEPT,65.6147,17.2961,6659,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,89.00,0.9765,0.71,1,0,3.1735,ACCEPT,0,2539,329,26563,0,0,6659,0,0,0,0
4,0,1,1,ACCEPT,65.9487,18.3989,6826,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.2330,ACCEPT,0,2636,267,26415,0,0,6826,0,0,0,0
5,0,1,1,ACCEPT,60.3158,13.5393,6377,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,231.50,80.00,91.00,0.9435,1.80,1,0,3.1237,ACCEPT,0,2546,273,26673,0,0,6377,0,0,0,0
6,0,1,1,ACCEPT,55.6541,12.4034,6611,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,3.0077,ACCEPT,0,2786,268,22858,0,0,6611,0,0,0,0
7,0,1,1,ACCEPT,50.8469,11.3198,6690,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,2.9433,ACCEPT,0,2844,282,21853,0,0,6690,0,0,0,0
8,0,1,1,ACCEPT,39.3568,8.2356,6432,1,0,0.9967,69.44,233.00,78.00,90.00,69.50,230.50,79.00,91.00,0.9345,2.50,1,0,2.4294,ACCEPT,0,3548,289,21574,0,0,6432,0,0,0,0
9,0,1,1,ACCEPT,33.0414,6.8276,6534,0,-1,0.9862,69.44,230.19,78.00,90.00,70.50,229.50,79.00,91.00,0.9587,1.27,1,0,2.6800,ACCEPT,0,3640,257,19488,0,0,6534,0,0,0,0
