frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,37.50,213.50,37.00,61.00,37.50,213.50,37.00,61.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,541,28383,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,41.5753,8.6230,6062,1,0,0.7877,38.66,213.50,37.00,61.00,40.00,212.00,34.00,60.00,0.8756,2.01,1,0,3.1426,ACCEPT,0,2662,481,16466,0,0,6062,0,0,0,0
2,0,1,1,ACCEPT,26.1537,5.9978,5518,2,0,0.6241,40.97,213.50,37.00,61.00,40.50,211.50,33.00,63.00,0.8404,2.05,1,0,2.9739,ACCEPT,0,3451,424,16941,0,0,5518,0,0,0,0
3,0,1,1,ACCEPT,25.3946,5.2197,5512,2,0,0.7609,43.28,213.50,37.00,61.00,42.00,210.50,34.00,63.00,0.8383,3.26,1,0,2.7500,ACCEPT,0,3294,355,13191,0,0,5512,0,0,0,0
4,0,1,1,ACCEPT,25.5648,5.1422,5533,2,-1,0.7296,45.59,211.59,37.00,61.00,43.50,212.00,33.00,60.00,0.8726,2.13,1,0,2.9635,ACCEPT,0,3364,317,12734,0,0,5533,0,0,0,0
5,0,1,1,ACCEPT,26.5600,5.3263,6056,0,0,1.0000,45.59,211.59,37.00,61.00,45.50,211.50,35.00,59.00,0.9149,0.13,1,0,2.9146,ACCEPT,0,4025,278,11330,0,0,6056,0,0,0,0
6,0,1,1,ACCEPT,26.0444,5.1357,5752,1,0,0.8145,46.75,211.59,37.00,61.00,46.00,211.00,32.00,60.00,0.8482,0.96,1,0,2.7327,ACCEPT,0,3559,246,10472,0,0,5752,0,0,0,0
7,0,1,1,ACCEPT,26.5423,4.7629,5544,2,-1,0.6517,49.06,209.69,37.00,61.00,45.50,210.50,33.00,61.00,0.7957,3.65,1,0,2.9022,ACCEPT,0,3654,212,9827,0,0,5544,0,0,0,0
8,0,1,1,ACCEPT,25.3299,4.3978,5528,2,0,0.7583,51.38,209.69,37.00,61.00,48.00,209.50,32.00,63.00,0.7996,3.38,1,0,2.9576,ACCEPT,0,4228,212,8127,0,0,5528,0,0,0,0
9,0,1,1,ACCEPT,25.6100,4.8059,5248,1,0,0.8184,52.53,209.69,37.00,61.00,50.00,210.00,30.00,62.00,0.8002,2.55,1,0,2.8023,ACCEPT,0,3509,177,7607,0,0,5248,0,0,0,0
10,0,1,1,ACCEPT,24.7515,5.6927,5095,1,0,0.8591,53.69,209.69,35.58,58.65,51.00,209.00,30.00,60.00,0.8269,2.77,1,-1,2.6666,ACCEPT,0,2984,181,7156,0,0,5095,0,0,0,0
11,0,1,1,ACCEPT,18.9970,4.4364,4219,1,-1,0.9303,54.80,207.86,37.00,61.00,53.50,208.00,33.00,64.00,0.8544,1.30,1,1,2.7865,ACCEPT,0,3155,192,6028,0,0,4219,0,0,0,0
12,0,1,1,ACCEPT,22.0707,5.0051,4940,2,0,0.7901,57.11,207.86,37.00,61.00,54.00,210.50,32.00,65.00,0.7758,4.08,1,0,2.9423,ACCEPT,0,3466,191,6714,0,0,4940,0,0,0,0
13,0,1,1,ACCEPT,22.0103,4.3632,5022,1,0,0.8650,58.27,207.86,37.00,61.00,55.50,209.00,33.00,64.00,0.8184,2.99,1,0,2.9110,ACCEPT,0,3437,182,7481,0,0,5022,0,0,0,0
14,0,1,1,ACCEPT,20.9862,3.6524,5201,1,0,0.8364,59.42,207.86,37.00,61.00,56.50,209.00,33.00,64.00,0.8112,3.14,1,0,2.9344,ACCEPT,0,3509,185,6838,0,0,5201,0,0,0,0
15,0,1,1,ACCEPT,21.2333,3.5751,5216,2,0,0.7222,61.73,207.86,37.00,61.00,57.50,209.50,33.00,69.00,0.7062,4.54,1,0,2.7319,ACCEPT,0,3566,189,6969,0,0,5216,0,0,0,0
16,0,1,1,ACCEPT,21.6455,3.6526,5183,0,0,1.0000,61.73,207.86,37.00,61.00,60.00,208.00,34.00,66.00,0.8437,1.74,1,0,2.7555,ACCEPT,0,3730,165,7141,0,0,5183,0,0,0,0
17,0,1,1,ACCEPT,23.1795,4.8036,5894,1,0,0.8692,62.89,207.86,37.00,61.00,60.00,209.50,34.00,69.00,0.7610,3.32,1,0,2.5932,ACCEPT,0,3996,164,6577,0,0,5894,0,0,0,0
18,0,1,1,ACCEPT,21.8763,3.7917,5589,1,0,0.8513,64.05,207.86,37.00,61.00,62.50,210.50,31.00,67.00,0.7740,3.06,1,0,2.5849,ACCEPT,0,3560,170,6390,0,0,5589,0,0,0,0
19,0,1,1,ACCEPT,20.8932,3.7250,5364,1,0,0.8565,65.20,207.86,37.00,61.00,63.50,209.00,31.00,68.00,0.7643,2.05,1,0,2.6572,ACCEPT,0,3565,186,6866,0,0,5364,0,0,0,0
20,0,1,1,ACCEPT,21.2746,3.7889,5744,1,0,0.8901,66.36,207.86,37.00,61.00,65.00,205.00,32.00,64.00,0.7964,3.17,1,0,2.6416,ACCEPT,0,3647,188,6856,0,0,5744,0,0,0,0
21,0,1,1,ACCEPT,21.0586,4.1057,5436,1,0,0.8298,67.52,207.86,37.00,61.00,67.00,207.00,34.00,62.00,0.8952,1.00,1,0,2.6835,ACCEPT,0,4097,186,6366,0,0,5436,0,0,0,0
22,0,1,1,ACCEPT,22.5483,4.4843,5556,0,0,1.0000,67.52,207.86,37.00,61.00,68.50,207.50,35.00,63.00,0.9175,1.05,1,0,2.5903,ACCEPT,0,4021,187,6276,0,0,5556,0,0,0,0
23,0,1,1,ACCEPT,22.7992,4.2168,5562,2,-1,0.7880,69.83,205.95,37.00,61.00,70.00,207.50,36.00,65.00,0.9146,1.56,1,0,2.6809,ACCEPT,0,5139,204,7805,0,0,5562,0,0,0,0
24,0,1,1,ACCEPT,23.0765,3.8571,6615,1,1,0.8493,70.98,207.86,37.00,61.00,70.50,208.50,33.00,65.00,0.8426,0.80,1,0,2.6496,ACCEPT,0,5486,210,8179,0,0,6615,0,0,0,0
25,0,1,1,ACCEPT,23.6864,4.4123,7267,2,-1,0.7696,73.30,205.95,37.00,61.00,72.50,208.00,37.00,64.00,0.8983,2.20,1,0,2.7165,ACCEPT,0,5115,187,9205,0,0,7267,0,0,0,0
26,0,1,1,ACCEPT,22.9955,4.5862,6916,1,0,0.9615,74.45,205.95,37.00,61.00,73.00,209.50,36.00,67.00,0.8308,3.83,1,0,2.6793,ACCEPT,0,4702,178,9502,0,0,6916,0,0,0,0
27,0,1,1,ACCEPT,23.3272,4.8622,6812,1,0,0.9128,75.61,205.95,37.00,61.00,74.00,209.00,36.00,70.00,0.8035,3.45,1,0,2.6589,ACCEPT,0,4656,181,9052,0,0,6812,0,0,0,0
28,0,1,1,ACCEPT,25.3487,5.2969,6886,0,0,1.0000,75.61,205.95,37.00,61.00,75.50,208.50,33.00,69.00,0.7985,2.55,1,0,2.6135,ACCEPT,0,4138,183,9189,0,0,6886,0,0,0,0
29,0,1,1,ACCEPT,27.0490,6.2202,7259,1,0,0.9485,76.77,205.95,37.00,61.00,75.50,208.50,33.00,67.00,0.8200,2.84,1,0,2.6920,ACCEPT,0,4428,181,9407,0,0,7259,0,0,0,0
30,0,1,1,ACCEPT,26.0832,5.0554,7487,1,0,0.9657,77.92,205.95,37.00,61.00,76.00,208.00,32.00,68.00,0.7868,2.81,1,0,2.7955,ACCEPT,0,5245,168,10369,0,0,7487,0,0,0,0
31,0,1,1,ACCEPT,26.7323,5.3073,7616,0,0,1.0000,77.92,205.95,37.00,61.00,76.50,207.50,33.00,67.00,0.8200,2.10,1,0,2.8132,ACCEPT,0,5176,171,9886,0,0,7616,0,0,0,0
32,0,1,1,ACCEPT,25.7328,4.3771,7730,0,0,1.0000,77.92,205.95,37.00,61.00,75.50,206.00,33.00,70.00,0.7703,2.42,1,0,2.6752,ACCEPT,0,5369,161,10735,0,0,7730,0,0,0,0
33,0,1,1,ACCEPT,23.2249,4.1172,7304,0,0,1.0000,77.92,205.95,37.00,61.00,76.00,207.00,32.00,72.00,0.7482,2.19,1,0,2.6498,ACCEPT,0,5548,158,10710,0,0,7304,0,0,0,0
34,0,1,1,ACCEPT,20.1066,3.9885,6593,0,0,1.0000,77.92,205.95,37.00,61.00,76.00,205.50,32.00,69.00,0.7768,1.97,1,0,2.5904,ACCEPT,0,5744,168,12982,0,0,6593,0,0,0,0
35,0,1,1,ACCEPT,15.3802,2.6532,6357,-1,-1,0.9783,76.77,204.05,37.00,61.00,75.50,204.50,37.00,67.00,0.8527,1.34,1,0,2.6952,ACCEPT,0,7621,176,15203,0,0,6357,0,0,0,0
36,0,1,1,ACCEPT,16.5998,3.5843,8373,0,1,0.9926,76.77,205.95,37.00,61.00,77.50,204.50,35.00,67.00,0.8654,1.63,1,0,2.6715,ACCEPT,0,8778,180,15559,0,0,8373,0,0,0,0
37,0,1,1,ACCEPT,16.7092,4.0710,8891,1,0,0.9857,77.92,205.95,37.00,61.00,77.00,205.50,34.00,67.00,0.8427,1.03,1,0,2.5586,ACCEPT,0,9496,171,15697,0,0,8891,0,0,0,0
38,0,1,1,ACCEPT,16.9530,4.0984,9250,0,0,1.0000,77.92,205.95,37.00,61.00,76.00,206.50,34.00,69.00,0.8018,2.00,1,0,2.5570,ACCEPT,0,9047,184,15914,0,0,9250,0,0,0,0
39,0,1,1,ACCEPT,17.2755,4.3335,9434,0,0,1.0000,77.92,205.95,37.00,61.00,76.00,209.50,34.00,73.00,0.7612,4.03,1,0,2.6109,ACCEPT,0,8739,191,15128,0,0,9434,0,0,0,0
