frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,225.50,610.00,45.00,52.00,225.50,610.00,45.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,163,16016,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,31.6837,5.1535,3525,0,-1,0.9518,225.50,608.38,46.80,54.08,224.50,610.00,47.00,56.00,0.9043,1.91,1,1,2.9510,ACCEPT,0,1908,141,15608,0,0,3525,0,0,0,0
2,0,1,1,ACCEPT,24.0598,4.1600,3640,-1,-1,0.9602,224.03,606.69,46.80,54.08,225.50,607.50,51.00,57.00,0.8706,1.68,1,0,3.2380,ACCEPT,0,2245,145,16217,0,0,3640,0,0,0,0
3,0,1,1,ACCEPT,19.4367,3.0660,4694,0,-1,0.8507,224.03,605.00,48.67,56.24,224.50,604.50,51.00,55.00,0.9342,0.69,1,1,2.9372,ACCEPT,0,3399,160,22243,0,0,4694,0,0,0,0
4,0,1,1,ACCEPT,16.5015,2.8525,5628,-1,-1,0.9133,222.52,603.25,48.67,56.24,224.00,601.50,52.00,53.00,0.8813,2.29,1,0,3.1548,ACCEPT,0,4991,118,16975,0,0,5628,0,0,0,0
5,0,1,1,ACCEPT,17.4945,3.2486,6965,-1,-1,0.9202,221.00,601.50,46.80,54.08,222.50,599.50,51.00,51.00,0.8549,2.50,1,-1,3.0010,ACCEPT,0,5872,130,16961,0,0,6965,0,0,0,0
6,0,1,1,ACCEPT,19.5939,3.6169,8402,0,-1,0.8070,221.00,599.81,46.80,54.08,222.50,599.00,51.00,52.00,0.8852,1.71,1,0,3.1161,ACCEPT,0,6350,119,17521,0,0,8402,0,0,0,0
7,0,1,1,ACCEPT,18.6232,3.3507,9707,0,-1,0.9865,221.00,598.12,46.80,54.08,220.00,597.50,50.00,45.00,0.7873,1.18,1,0,2.9918,ACCEPT,0,7153,123,15950,0,0,9707,0,0,0,0
8,0,1,1,ACCEPT,9.8409,1.5006,6775,2,0,0.8207,223.94,598.12,46.80,54.08,218.50,599.00,49.00,34.00,0.5244,5.51,1,0,2.9541,ACCEPT,0,9027,121,15342,0,0,6775,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-6.0032,1.0407,-4267,-7,3,0.2719,223.94,598.12,46.80,54.08,219.00,600.50,52.00,19.00,0.3159,5.48,0,0,0.0000,NOT_RUN,0,12464,145,0,0,0,4267,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.1910,1.0186,-3607,4,1,0.6451,223.94,598.12,46.80,54.08,216.00,598.00,46.00,16.00,0.2321,7.94,0,0,0.0000,NOT_RUN,0,14357,116,0,0,0,3607,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-5.4043,1.0604,-4041,-3,-1,0.8666,223.94,598.12,46.80,54.08,214.50,596.50,45.00,21.00,0.2825,9.58,0,0,0.0000,NOT_RUN,0,13760,131,0,0,0,4041,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-5.7778,1.2177,-4291,-5,-2,0.4598,223.94,598.12,46.80,54.08,213.50,596.00,45.00,22.00,0.2847,10.65,0,0,0.0000,NOT_RUN,0,13223,118,0,0,0,4291,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.7190,1.2555,-4074,-5,-3,0.2027,223.94,598.12,46.80,54.08,213.00,594.50,46.00,23.00,0.2941,11.52,0,0,0.0000,NOT_RUN,0,12613,115,0,0,0,4074,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-5.1748,1.1795,-3620,-6,-3,0.1354,223.94,598.12,46.80,54.08,212.00,592.50,48.00,23.00,0.2893,13.20,0,0,0.0000,NOT_RUN,0,11810,119,0,0,0,3620,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-4.6783,1.1048,-3227,-7,-4,0.2482,223.94,598.12,46.80,54.08,211.00,591.00,48.00,26.00,0.3108,14.77,0,0,0.0000,NOT_RUN,0,11557,96,0,0,0,3227,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.3540,1.0051,-2958,-8,-5,0.2042,223.94,598.12,46.80,54.08,209.50,590.00,47.00,24.00,0.2705,16.57,0,0,0.0000,NOT_RUN,0,11566,102,0,0,0,2958,0,0,0,0
17,0,1,0,LOW_PSR,4.5956,1.0576,3084,-9,-16,0.0723,223.94,598.12,46.80,54.08,209.00,588.00,48.00,24.00,0.2683,18.05,0,0,0.0000,NOT_RUN,0,11597,118,0,0,0,3084,0,0,0,0
18,0,1,0,LOW_PSR,4.5748,1.0496,3089,-10,-16,0.0813,223.94,598.12,46.80,54.08,209.00,587.00,48.00,24.00,0.2683,18.63,0,0,0.0000,NOT_RUN,0,11853,134,0,0,0,3089,0,0,0,0
19,0,1,0,LOW_PSR,4.5438,1.0224,3064,-10,-17,0.2399,223.94,598.12,46.80,54.08,208.50,586.50,47.00,23.00,0.2505,19.33,0,0,0.0000,NOT_RUN,0,11766,100,0,0,0,3064,0,0,0,0
20,0,1,0,LOW_PSR,4.6226,1.0391,3112,-10,-17,0.3249,223.94,598.12,46.80,54.08,208.50,586.50,49.00,23.00,0.2565,19.33,0,0,0.0000,NOT_RUN,0,12033,105,0,0,0,3112,0,0,0,0
21,0,1,0,NEGATIVE_PEAK,-4.5071,1.0083,-3044,-9,-7,0.3633,223.94,598.12,46.80,54.08,208.50,585.50,49.00,23.00,0.2565,19.94,0,0,0.0000,NOT_RUN,0,12174,108,0,0,0,3044,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-4.4143,1.0360,-2964,-10,-8,0.4133,223.94,598.12,46.80,54.08,207.00,585.50,50.00,23.00,0.2447,21.13,0,0,0.0000,NOT_RUN,0,12248,103,0,0,0,2964,0,0,0,0
23,0,1,0,NEGATIVE_PEAK,-4.5142,1.0281,-2997,-10,-8,0.4301,223.94,598.12,46.80,54.08,208.50,584.00,51.00,24.00,0.2721,20.92,0,0,0.0000,NOT_RUN,0,12313,102,0,0,0,2997,0,0,0,0
24,0,1,0,NEGATIVE_PEAK,-4.5188,1.0516,-3034,-10,-8,0.4631,223.94,598.12,46.80,54.08,206.50,584.00,49.00,24.00,0.2457,22.44,0,0,0.0000,NOT_RUN,0,12423,113,0,0,0,3034,0,0,0,0
25,0,1,0,NEGATIVE_PEAK,-4.6265,1.0538,-3073,-9,-8,0.4452,223.94,598.12,46.80,54.08,206.50,583.00,49.00,24.00,0.2446,23.08,0,0,0.0000,NOT_RUN,0,12629,126,0,0,0,3073,0,0,0,0
26,0,1,0,NEGATIVE_PEAK,-4.6825,1.0759,-3162,-9,-9,0.4709,223.94,598.12,46.80,54.08,206.50,583.00,49.00,24.00,0.2446,23.08,0,0,0.0000,NOT_RUN,0,12746,132,0,0,0,3162,0,0,0,0
27,0,1,0,NEGATIVE_PEAK,-4.7808,1.0915,-3291,-9,-9,0.4655,223.94,598.12,46.80,54.08,206.50,582.00,49.00,24.00,0.2320,23.75,0,0,0.0000,NOT_RUN,0,12705,113,0,0,0,3291,0,0,0,0
28,0,1,0,NEGATIVE_PEAK,-5.0331,1.1416,-3507,-9,-9,0.4825,223.94,598.12,46.80,54.08,207.50,582.50,47.00,23.00,0.2396,22.68,0,0,0.0000,NOT_RUN,0,12764,125,0,0,0,3507,0,0,0,0
29,0,1,0,NEGATIVE_PEAK,-4.9769,1.1426,-3438,-8,-9,0.5052,223.94,598.12,46.80,54.08,207.00,581.50,48.00,23.00,0.2250,23.73,0,0,0.0000,NOT_RUN,0,12928,122,0,0,0,3438,0,0,0,0
30,0,1,0,NEGATIVE_PEAK,-5.2238,1.2183,-3533,-9,-10,0.4823,223.94,598.12,46.80,54.08,207.50,581.00,49.00,22.00,0.2230,23.74,0,0,0.0000,NOT_RUN,0,12762,138,0,0,0,3533,0,0,0,0
31,0,1,0,NEGATIVE_PEAK,-5.5783,1.2322,-3661,-8,-10,0.4256,223.94,598.12,46.80,54.08,208.00,581.00,50.00,22.00,0.2300,23.39,0,0,0.0000,NOT_RUN,0,12823,126,0,0,0,3661,0,0,0,0
32,0,1,0,NEGATIVE_PEAK,-5.4947,1.1997,-3473,-8,-10,0.4040,223.94,598.12,46.80,54.08,209.00,579.50,52.00,21.00,0.2194,23.88,0,0,0.0000,NOT_RUN,0,12587,126,0,0,0,3473,0,0,0,0
33,0,1,0,NEGATIVE_PEAK,-5.1215,1.1225,-3106,-8,-11,0.3258,223.94,598.12,46.80,54.08,207.50,578.50,53.00,21.00,0.1969,25.60,0,0,0.0000,NOT_RUN,0,12511,102,0,0,0,3106,0,0,0,0
34,0,1,0,LOW_PSR,4.5865,1.0023,2648,-10,-20,0.4165,223.94,598.12,46.80,54.08,203.50,576.50,45.00,17.00,0.1204,29.75,0,0,0.0000,NOT_RUN,0,13002,123,0,0,0,2648,0,0,0,0
35,0,1,0,NEGATIVE_PEAK,-4.6371,1.0713,-2841,-1,-10,0.5857,223.94,598.12,46.80,54.08,204.50,576.00,47.00,18.00,0.1276,29.45,0,0,0.0000,NOT_RUN,0,13778,138,0,0,0,2841,0,0,0,0
36,0,1,1,ACCEPT,6.0613,1.1676,3679,-9,-18,0.3101,210.72,567.75,46.80,54.08,204.00,572.50,46.00,31.00,0.4511,8.23,1,0,2.4727,ACCEPT,0,13839,157,11984,0,0,3679,0,0,0,0
37,0,1,1,ACCEPT,16.0151,2.6675,6706,-1,0,0.9396,209.25,567.75,46.80,54.08,206.00,569.00,50.00,42.00,0.6934,3.48,1,0,2.8867,ACCEPT,0,5643,135,14692,0,0,6706,0,0,0,0
38,0,1,1,ACCEPT,19.8637,2.6699,12797,0,0,1.0000,209.25,567.75,46.80,54.08,210.00,567.50,58.00,49.00,0.7446,0.79,1,0,2.9094,ACCEPT,0,9552,137,13706,0,0,12797,0,0,0,0
39,0,1,1,ACCEPT,21.7920,2.9660,12638,0,-1,0.9356,209.25,566.06,46.80,54.08,209.50,565.50,57.00,49.00,0.7566,0.62,1,0,2.9246,ACCEPT,0,9091,129,13052,0,0,12638,0,0,0,0
40,0,1,1,ACCEPT,25.1322,3.3179,13723,1,0,0.9682,210.72,566.06,46.80,54.08,211.00,565.00,56.00,48.00,0.7557,1.10,1,0,2.8480,ACCEPT,0,9313,133,13537,0,0,13723,0,0,0,0
41,0,1,1,ACCEPT,27.3256,3.8814,14237,0,0,1.0000,210.72,566.06,46.80,54.08,212.00,564.50,56.00,47.00,0.7423,2.02,1,0,3.0371,ACCEPT,0,8901,135,14328,0,0,14237,0,0,0,0
42,0,1,1,ACCEPT,28.2121,4.2101,15089,0,-1,0.9873,210.72,564.38,46.80,54.08,211.00,564.00,56.00,46.00,0.7287,0.47,1,0,3.0098,ACCEPT,0,9509,139,16752,0,0,15089,0,0,0,0
43,0,1,1,ACCEPT,30.4952,4.5338,16299,0,0,1.0000,210.72,564.38,46.80,54.08,211.50,564.00,55.00,46.00,0.7403,0.87,1,0,3.0730,ACCEPT,0,9549,133,16227,0,0,16299,0,0,0,0
44,0,1,1,ACCEPT,32.4898,4.9238,16667,1,0,0.9968,212.19,564.38,46.80,54.08,212.00,562.50,56.00,47.00,0.7423,1.88,1,0,3.0208,ACCEPT,0,9298,128,16320,0,0,16667,0,0,0,0
45,0,1,1,ACCEPT,34.6417,5.5486,16840,0,0,1.0000,212.19,564.38,46.80,54.08,212.50,563.00,57.00,46.00,0.7176,1.41,1,0,3.0721,ACCEPT,0,8949,123,17142,0,0,16840,0,0,0,0
46,0,1,1,ACCEPT,36.0725,5.7659,17880,0,0,1.0000,212.19,564.38,46.80,54.08,212.50,562.50,57.00,47.00,0.7307,1.90,1,0,3.0962,ACCEPT,0,9200,124,17517,0,0,17880,0,0,0,0
47,0,1,1,ACCEPT,36.2481,5.8604,18009,0,0,1.0000,212.19,564.38,46.80,54.08,212.50,562.50,57.00,47.00,0.7307,1.90,1,0,3.1401,ACCEPT,0,9426,133,18873,0,0,18009,0,0,0,0
48,0,1,1,ACCEPT,37.4505,5.8228,18604,0,0,1.0000,212.19,564.38,46.80,54.08,213.50,562.50,55.00,47.00,0.7542,2.29,1,0,3.1792,ACCEPT,0,9459,125,18675,0,0,18604,0,0,0,0
49,0,1,1,ACCEPT,39.4292,6.0061,18679,1,0,0.9580,213.66,564.38,46.80,54.08,212.50,562.50,55.00,47.00,0.7542,2.20,1,0,3.0713,ACCEPT,0,9188,135,19017,0,0,18679,0,0,0,0
50,0,1,1,ACCEPT,41.3498,7.1493,18288,0,0,1.0000,213.66,564.38,46.80,54.08,213.50,563.50,55.00,47.00,0.7542,0.89,1,0,3.1415,ACCEPT,0,9038,132,19875,0,0,18288,0,0,0,0
51,0,1,1,ACCEPT,41.9654,6.9161,18556,0,0,1.0000,213.66,564.38,46.80,54.08,215.00,565.00,56.00,48.00,0.7557,1.48,1,0,3.1138,ACCEPT,0,8794,139,18565,0,0,18556,0,0,0,0
52,0,1,1,ACCEPT,43.3408,6.3170,18989,1,1,0.8927,215.12,566.06,46.80,54.08,216.00,565.00,56.00,46.00,0.7287,1.38,1,0,3.1367,ACCEPT,0,8633,127,17977,0,0,18989,0,0,0,0
53,0,1,1,ACCEPT,44.4122,6.8400,18591,0,0,1.0000,215.12,566.06,46.80,54.08,216.00,566.50,58.00,47.00,0.7194,0.98,1,0,3.1038,ACCEPT,0,8627,125,15551,0,0,18591,0,0,0,0
54,0,1,1,ACCEPT,44.7785,6.3976,18054,1,1,0.8954,216.59,567.75,46.80,54.08,217.50,567.00,59.00,46.00,0.6962,1.18,1,0,3.1191,ACCEPT,0,8185,131,17262,0,0,18054,0,0,0,0
55,0,1,1,ACCEPT,35.9442,5.2000,16224,0,0,1.0000,216.59,567.75,46.80,54.08,217.50,568.00,59.00,42.00,0.6459,0.94,1,0,3.0498,ACCEPT,0,9206,121,17775,0,0,16224,0,0,0,0
56,0,1,1,ACCEPT,10.5114,1.3116,8671,0,0,1.0000,216.59,567.75,46.80,54.08,216.00,572.50,54.00,33.00,0.5578,4.79,1,0,2.7866,ACCEPT,0,11364,145,16557,0,0,8671,0,0,0,0
57,0,1,1,ACCEPT,5.6960,1.1022,5081,0,-2,0.5119,216.59,564.38,46.80,54.08,214.00,577.50,50.00,17.00,0.2992,13.38,1,0,2.5868,ACCEPT,0,13459,153,21917,0,0,5081,0,0,0,0
58,0,1,1,ACCEPT,6.6588,1.2479,4525,-2,-2,0.7021,213.66,561.00,46.80,54.08,212.50,580.50,47.00,27.00,0.3392,19.53,1,0,2.8991,ACCEPT,0,10754,144,15638,0,0,4525,0,0,0,0
59,0,1,1,ACCEPT,6.5766,1.0493,3854,0,-1,0.9019,213.66,559.31,46.80,54.08,212.50,585.50,47.00,43.00,0.2897,26.21,1,0,2.9813,ACCEPT,0,9838,147,13627,0,0,3854,0,0,0,0
60,0,1,1,ACCEPT,6.9423,1.0639,2947,2,0,0.9518,216.59,559.31,46.80,54.08,215.50,589.00,47.00,50.00,0.2655,29.71,1,0,3.0639,ACCEPT,0,7226,144,11877,0,0,2947,0,0,0,0
61,0,1,1,ACCEPT,8.0097,1.2812,2966,1,0,0.9821,218.06,559.31,46.80,54.08,215.50,591.50,49.00,53.00,0.2327,32.29,1,0,2.7577,ACCEPT,0,6409,140,10403,0,0,2966,0,0,0,0
62,0,1,1,ACCEPT,8.8098,1.4964,2876,1,1,0.7563,219.53,561.00,46.80,54.08,217.00,594.00,50.00,52.00,0.2182,33.10,1,0,2.6885,ACCEPT,0,5690,149,10437,0,0,2876,0,0,0,0
63,0,1,1,ACCEPT,10.0505,1.7117,2963,0,1,0.7881,219.53,562.69,48.67,56.24,219.00,596.50,54.00,53.00,0.2208,33.82,1,1,2.6825,ACCEPT,0,5208,142,9880,0,0,2963,0,0,0,0
64,0,1,1,ACCEPT,11.0873,1.9428,3260,0,1,0.8252,219.53,564.44,50.62,58.49,220.50,598.00,55.00,52.00,0.2324,33.58,1,1,2.7398,ACCEPT,0,5124,142,8657,0,0,3260,0,0,0,0
65,0,1,1,ACCEPT,11.7773,2.1461,3453,0,1,0.8086,219.53,566.27,52.64,60.83,222.00,600.00,54.00,52.00,0.2375,33.82,1,1,2.7996,ACCEPT,0,5022,130,9532,0,0,3453,0,0,0,0
66,0,1,1,ACCEPT,12.1691,2.0767,3900,1,1,0.7844,221.17,568.17,54.75,63.27,223.50,602.00,55.00,52.00,0.2466,33.91,1,1,2.7885,ACCEPT,0,5242,121,8256,0,0,3900,0,0,0,0
67,0,1,1,ACCEPT,12.6510,2.2123,4137,0,1,0.9224,221.17,570.16,54.75,63.27,223.00,604.50,54.00,51.00,0.2385,34.39,1,0,2.8338,ACCEPT,0,5215,119,7662,0,0,4137,0,0,0,0
68,0,1,1,ACCEPT,13.4937,2.1393,4715,1,1,0.9065,222.88,572.14,54.75,63.27,221.00,606.00,52.00,52.00,0.2477,33.91,1,0,2.8604,ACCEPT,0,5635,120,7257,0,0,4715,0,0,0,0
69,0,1,1,ACCEPT,14.7069,2.4290,4909,0,1,0.9434,222.88,574.12,54.75,63.27,224.00,607.50,54.00,53.00,0.2633,33.39,1,0,2.9206,ACCEPT,0,5481,119,6031,0,0,4909,0,0,0,0
70,0,1,1,ACCEPT,15.5903,2.7090,5120,0,1,0.9547,222.88,576.11,54.75,63.27,222.00,610.00,52.00,52.00,0.2503,33.90,1,0,2.9877,ACCEPT,0,5451,117,5592,0,0,5120,0,0,0,0
71,0,1,1,ACCEPT,16.3038,2.8991,5227,0,1,0.9696,222.88,578.09,54.75,63.27,222.50,611.50,53.00,53.00,0.2641,33.41,1,0,3.0278,ACCEPT,0,5373,121,6046,0,0,5227,0,0,0,0
72,0,1,1,ACCEPT,17.4180,3.2176,5618,0,1,0.9689,222.88,580.08,54.75,63.27,220.50,613.50,47.00,51.00,0.2348,33.51,1,0,3.0342,ACCEPT,0,5499,126,5544,0,0,5618,0,0,0,0
73,0,1,1,ACCEPT,17.6902,2.9198,5568,1,0,0.9650,224.58,580.08,56.94,65.80,222.50,615.50,51.00,53.00,0.2340,35.48,1,1,2.7294,ACCEPT,0,5304,125,5143,0,0,5568,0,0,0,0
74,0,1,1,ACCEPT,18.6648,3.1967,5460,0,1,0.8104,224.58,582.14,59.22,68.43,225.50,617.00,57.00,52.00,0.2594,34.87,1,1,2.8518,ACCEPT,0,4769,126,4546,0,0,5460,0,0,0,0
75,0,1,1,ACCEPT,18.1648,2.6825,5483,1,1,0.9520,226.42,584.28,59.22,68.43,226.50,618.50,57.00,53.00,0.2715,34.22,1,0,2.9179,ACCEPT,0,4695,143,4463,0,0,5483,0,0,0,0
76,0,1,1,ACCEPT,19.5807,3.3603,5931,0,1,0.9697,226.42,586.42,59.22,68.43,228.50,621.00,57.00,52.00,0.2574,34.64,1,0,2.9673,ACCEPT,0,4848,161,4264,0,0,5931,0,0,0,0
77,0,1,1,ACCEPT,20.0492,3.3841,5929,0,1,0.9843,226.42,588.56,59.22,68.43,225.00,622.50,52.00,53.00,0.2571,33.97,1,0,2.9628,ACCEPT,0,4831,166,4295,0,0,5929,0,0,0,0
78,0,1,1,ACCEPT,21.3211,3.7006,6576,1,0,0.9697,228.27,588.56,61.59,71.17,227.00,624.50,56.00,53.00,0.2487,35.96,1,1,2.7615,ACCEPT,0,4985,137,5356,0,0,6576,0,0,0,0
79,0,1,1,ACCEPT,20.9948,3.4092,6123,0,1,0.9577,228.27,590.78,61.59,71.17,228.00,626.50,56.00,53.00,0.2513,35.72,1,0,2.9260,ACCEPT,0,4483,145,4580,0,0,6123,0,0,0,0
80,0,1,1,ACCEPT,21.9063,3.3959,6116,0,1,0.9913,228.27,593.00,61.59,71.17,229.50,628.50,57.00,53.00,0.2573,35.52,1,0,2.9499,ACCEPT,0,4400,149,4449,0,0,6116,0,0,0,0
81,0,1,1,ACCEPT,22.6323,3.6969,6392,0,0,1.0000,228.27,593.00,64.05,74.01,229.50,630.00,57.00,54.00,0.2452,37.02,1,1,2.8096,ACCEPT,0,4478,161,4290,0,0,6392,0,0,0,0
82,0,1,1,ACCEPT,22.4379,3.5631,6385,1,1,0.8534,230.27,595.31,64.05,74.01,230.50,630.50,59.00,53.00,0.2696,35.19,1,0,2.9186,ACCEPT,0,4288,141,4294,0,0,6385,0,0,0,0
83,0,1,1,ACCEPT,23.0491,3.6743,6588,0,1,0.9983,230.27,597.62,64.05,74.01,231.50,633.00,61.00,54.00,0.2778,35.40,1,0,2.8289,ACCEPT,0,4390,161,4160,0,0,6588,0,0,0,0
84,0,1,1,ACCEPT,24.2837,3.9349,7130,1,0,0.9921,232.27,597.62,64.05,74.01,233.00,634.50,62.00,55.00,0.2661,36.88,1,0,2.8893,ACCEPT,0,4580,123,4377,0,0,7130,0,0,0,0
85,0,1,1,ACCEPT,25.1177,3.8567,6811,0,0,1.0000,232.27,597.62,66.61,76.97,234.00,634.50,62.00,55.00,0.2681,36.92,1,1,2.6027,ACCEPT,0,4253,141,4220,0,0,6811,0,0,0,0
86,0,1,1,ACCEPT,24.1983,3.6952,6426,0,1,0.9818,232.27,600.03,66.61,76.97,235.00,637.00,62.00,54.00,0.2613,37.07,1,0,2.9284,ACCEPT,0,4025,123,4533,0,0,6426,0,0,0,0
87,0,1,1,ACCEPT,25.4429,4.0065,6823,0,0,1.0000,232.27,600.03,69.28,80.05,235.50,638.50,63.00,53.00,0.2479,38.60,1,1,2.7263,ACCEPT,0,4145,128,4126,0,0,6823,0,0,0,0
88,0,1,1,ACCEPT,23.4564,3.5977,6386,1,0,0.9634,234.44,600.03,72.05,83.25,235.50,639.50,63.00,55.00,0.2460,39.48,1,1,2.4054,ACCEPT,0,4025,156,4409,0,0,6386,0,0,0,0
89,0,1,1,ACCEPT,22.4531,3.2210,6690,0,0,1.0000,234.44,600.03,74.93,86.58,236.50,641.00,63.00,54.00,0.2297,41.02,1,1,2.2934,ACCEPT,0,4411,159,4670,0,0,6690,0,0,0,0
90,0,1,1,ACCEPT,22.0861,3.4382,7124,1,0,0.9492,236.78,600.03,77.93,90.05,236.00,642.50,64.00,57.00,0.2290,42.48,1,1,2.2406,ACCEPT,0,4599,143,4702,0,0,7124,0,0,0,0
91,0,1,1,ACCEPT,21.7849,3.6741,7271,0,0,1.0000,236.78,600.03,81.04,93.65,236.00,644.50,60.00,61.00,0.2125,44.48,1,1,2.4222,ACCEPT,0,4829,167,4612,0,0,7271,0,0,0,0
92,0,1,1,ACCEPT,20.7442,3.5107,7899,0,-1,0.9848,236.78,597.11,84.28,97.39,236.00,646.00,56.00,64.00,0.1779,48.90,1,1,2.0625,ACCEPT,0,6005,179,4589,0,0,7899,0,0,0,0
93,0,1,1,ACCEPT,20.2317,3.4688,7829,0,0,1.0000,236.78,597.11,87.66,101.29,235.50,646.50,55.00,67.00,0.1794,49.41,1,1,2.1193,ACCEPT,0,6271,163,4718,0,0,7829,0,0,0,0
