frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,504.50,418.50,75.00,59.00,504.50,418.50,75.00,59.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,435,6581,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,17.2230,3.9301,3148,0,0,1.0000,504.50,418.50,75.00,59.00,503.50,419.50,69.00,63.00,0.8660,1.41,1,0,2.7982,ACCEPT,0,3052,517,6330,0,0,3148,0,0,0,0
2,0,1,1,ACCEPT,15.7437,3.2072,3637,-3,3,0.4490,497.47,424.03,72.12,56.73,498.50,425.00,69.00,64.00,0.8523,1.41,1,-1,2.6033,ACCEPT,0,3372,484,6475,0,0,3637,0,0,0,0
3,0,1,1,ACCEPT,12.3812,2.6359,3337,-2,3,0.5295,492.97,429.33,72.12,56.73,492.00,434.50,70.00,65.00,0.8220,5.26,1,0,2.8246,ACCEPT,0,3865,353,8119,0,0,3337,0,0,0,0
4,0,1,1,ACCEPT,11.3814,2.7552,3681,-1,4,0.6205,490.72,436.39,72.12,56.73,488.00,437.50,68.00,69.00,0.7697,2.94,1,3,2.0796,MAX_STEP,0,4363,634,8713,0,0,3681,0,0,0,0
5,0,1,1,ACCEPT,14.8929,2.2474,6767,0,0,1.0000,490.72,436.39,72.12,56.73,489.50,432.00,67.00,72.00,0.7432,4.56,1,0,2.1955,ACCEPT,0,6424,805,7978,0,0,6767,0,0,0,0
6,0,1,1,ACCEPT,10.8155,2.1591,5225,1,-4,0.3418,492.97,429.33,72.12,56.73,491.00,422.00,66.00,74.00,0.7158,7.59,1,-2,1.9888,LOW_CONF,0,5898,693,9766,0,0,5225,0,0,0,0
7,0,1,1,ACCEPT,8.0957,1.7751,4784,2,-7,0.2034,497.47,416.97,72.12,56.73,496.00,410.00,66.00,74.00,0.7158,7.12,1,-1,1.9588,LOW_CONF,0,7074,473,12025,0,0,4784,0,0,0,0
8,0,1,1,ACCEPT,5.3246,1.2381,3151,4,-7,0.2990,506.47,404.61,72.12,56.73,505.50,399.00,59.00,74.00,0.6550,5.69,1,0,1.7029,LOW_CONF,0,7364,293,11937,0,0,3151,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.9414,1.2286,-2752,12,-8,0.2278,506.47,404.61,72.12,56.73,512.50,396.00,49.00,74.00,0.5630,10.51,0,0,0.0000,NOT_RUN,0,8120,196,0,0,0,2752,0,0,0,0
10,0,1,0,LOW_PSR,3.5994,1.0565,1459,-6,16,0.3544,506.47,404.61,72.12,56.73,519.00,404.00,34.00,58.00,0.4665,12.55,0,0,0.0000,NOT_RUN,0,10961,267,0,0,0,1459,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-3.6164,1.0484,-1342,-14,-5,0.2124,506.47,404.61,72.12,56.73,520.00,423.00,32.00,44.00,0.2286,22.83,0,0,0.0000,NOT_RUN,0,10297,266,0,0,0,1342,0,0,0,0
12,0,1,0,LOW_PSR,4.0871,1.1205,1367,-7,6,0.2238,506.47,404.61,72.12,56.73,515.00,442.00,40.00,50.00,0.1172,38.35,0,0,0.0000,NOT_RUN,0,9014,176,0,0,0,1367,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-4.0978,1.3317,-1349,-17,1,0.2313,506.47,404.61,72.12,56.73,503.50,498.50,47.00,81.00,0.0000,93.94,0,0,0.0000,NOT_RUN,0,8188,142,0,0,0,1349,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-3.9956,1.3653,-1308,-17,4,0.1468,506.47,404.61,72.12,56.73,490.00,565.00,46.00,90.00,0.0000,161.23,0,0,0.0000,NOT_RUN,0,8197,139,0,0,0,1308,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-3.5386,1.0272,-1245,-17,7,0.0715,506.47,404.61,72.12,56.73,478.50,633.00,49.00,90.00,0.0000,230.10,0,0,0.0000,NOT_RUN,0,8895,151,0,0,0,1245,0,0,0,0
16,0,1,0,LOW_PSR,3.8061,1.0687,1384,-11,-20,0.0361,506.47,404.61,72.12,56.73,465.50,700.00,47.00,92.00,0.0000,298.22,0,0,0.0000,NOT_RUN,0,9201,123,0,0,0,1384,0,0,0,0
17,0,1,0,LOW_PSR,3.8800,1.1258,1369,-13,-18,0.1220,506.47,404.61,72.12,56.73,451.50,766.00,45.00,94.00,0.0000,365.55,0,0,0.0000,NOT_RUN,0,8917,106,0,0,0,1369,0,0,0,0
18,0,1,0,LOW_PSR,3.7886,1.0668,1261,-14,-17,0.3259,506.47,404.61,72.12,56.73,434.00,828.50,46.00,87.00,0.0000,430.04,0,0,0.0000,NOT_RUN,0,8365,106,0,0,0,1261,0,0,0,0
19,0,1,0,LOW_PSR,3.8839,1.1031,1209,-16,-15,0.2655,506.47,404.61,72.12,56.73,419.00,897.50,46.00,91.00,0.0000,500.59,0,0,0.0000,NOT_RUN,0,7564,92,0,0,0,1209,0,0,0,0
20,0,1,0,LOW_PSR,4.0049,1.1171,1221,-17,-14,0.1163,506.47,404.61,72.12,56.73,407.50,961.00,47.00,86.00,0.0000,565.12,0,0,0.0000,NOT_RUN,0,7108,92,0,0,0,1221,0,0,0,0
21,0,1,0,LOW_PSR,4.0682,1.1406,1217,-16,-14,0.1191,506.47,404.61,72.12,56.73,396.50,1023.00,41.00,86.00,0.0000,628.09,0,0,0.0000,NOT_RUN,0,6851,69,0,0,0,1217,0,0,0,0
22,0,1,0,LOW_PSR,3.9613,1.1195,1293,-15,-15,0.3225,506.47,404.61,72.12,56.73,391.00,1080.50,42.00,83.00,0.0000,685.68,0,0,0.0000,NOT_RUN,0,7265,89,0,0,0,1293,0,0,0,0
23,0,1,0,LOW_PSR,3.7486,1.0615,1209,-14,-16,0.3259,506.47,404.61,72.12,56.73,380.50,1134.00,37.00,84.00,0.0000,740.19,0,0,0.0000,NOT_RUN,0,6834,110,0,0,0,1209,0,0,0,0
24,0,1,0,NEGATIVE_PEAK,-3.4838,1.0009,-1124,-20,9,0.2616,506.47,404.61,72.12,56.73,372.00,1188.50,36.00,85.00,0.0000,795.34,0,0,0.0000,NOT_RUN,0,6373,80,0,0,0,1124,0,0,0,0
25,0,1,0,LOW_PSR,3.4932,1.0295,1150,11,4,0.1887,506.47,404.61,72.12,56.73,361.50,1241.00,37.00,82.00,0.0000,848.86,0,0,0.0000,NOT_RUN,0,6141,115,0,0,0,1150,0,0,0,0
26,0,1,0,LOW_PSR,3.9624,1.1446,1243,12,1,0.1738,506.47,404.61,72.12,56.73,352.00,1291.00,34.00,82.00,0.0000,899.75,0,0,0.0000,NOT_RUN,0,5658,82,0,0,0,1243,0,0,0,0
27,0,1,1,ACCEPT,5.2622,1.4986,1599,13,-3,0.0926,535.72,399.31,69.34,54.55,344.00,1339.50,34.00,79.00,0.0000,959.54,1,-1,2.4857,ACCEPT,0,4837,90,11472,0,0,1599,0,0,0,0
28,0,1,1,ACCEPT,7.1593,1.2643,1086,0,-4,0.0396,535.72,392.50,66.67,52.45,335.50,1385.50,35.00,77.00,0.0000,1012.98,1,-1,2.2803,ACCEPT,0,2036,88,12857,0,0,1086,0,0,0,0
29,0,1,1,ACCEPT,7.0268,1.0839,1253,1,-4,0.4445,537.80,385.94,64.11,50.43,327.00,1429.00,36.00,74.00,0.0000,1064.15,1,-1,2.2669,ACCEPT,0,3095,88,12471,0,0,1253,0,0,0,0
30,0,1,1,ACCEPT,7.5388,1.2755,1324,1,-6,0.5249,539.80,376.47,61.64,48.49,317.50,1464.50,33.00,77.00,0.0000,1110.51,1,-1,2.5986,ACCEPT,0,2862,121,10788,0,0,1324,0,0,0,0
31,0,1,1,ACCEPT,9.0070,1.7552,1692,1,-4,0.3540,541.72,370.41,61.64,48.49,308.50,1502.00,33.00,76.00,0.0000,1155.38,1,-1,1.4014,LOW_CONF,0,3136,93,18562,0,0,1692,0,0,0,0
