frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,219.00,316.00,168.00,48.00,219.00,316.00,168.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1209,6392,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,60.0078,12.1419,3764,0,1,0.9806,219.00,317.50,168.00,48.00,219.50,316.00,169.00,50.00,0.9351,1.58,1,0,3.3179,ACCEPT,0,1480,1123,6390,0,0,3764,0,0,0,0
2,0,1,1,ACCEPT,54.5596,10.4422,3613,0,0,1.0000,219.00,317.50,168.00,48.00,219.00,317.00,168.00,50.00,0.9600,0.50,1,0,3.3047,ACCEPT,0,1452,1010,5976,0,0,3613,0,0,0,0
3,0,1,1,ACCEPT,46.7650,7.8054,3208,0,1,0.9598,219.00,319.00,168.00,48.00,219.50,318.50,167.00,49.00,0.9739,0.71,1,0,3.2744,ACCEPT,0,1336,803,6425,0,0,3208,0,0,0,0
4,0,1,1,ACCEPT,41.1925,6.6956,3013,0,1,0.9741,219.00,320.50,168.00,48.00,216.50,321.00,171.00,48.00,0.9512,2.55,1,0,3.2228,ACCEPT,0,1316,684,7209,0,0,3013,0,0,0,0
5,0,1,1,ACCEPT,38.2939,6.1908,2953,0,0,1.0000,219.00,320.50,168.00,48.00,220.50,321.50,165.00,49.00,0.9430,1.80,1,0,3.2403,ACCEPT,0,1351,667,7497,0,0,2953,0,0,0,0
6,0,1,1,ACCEPT,36.3161,6.2270,3045,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,167.00,50.00,0.8979,2.55,1,0,3.2512,ACCEPT,0,1467,774,6688,0,0,3045,0,0,0,0
7,0,1,1,ACCEPT,33.3804,7.3508,3227,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,169.00,50.00,0.8977,2.55,1,0,3.2917,ACCEPT,0,1686,1013,5664,0,0,3227,0,0,0,0
8,0,1,1,ACCEPT,29.8879,7.5945,3615,0,0,1.0000,219.00,320.50,168.00,48.00,220.00,322.50,168.00,49.00,0.9103,2.24,1,0,3.2660,ACCEPT,0,2170,1078,5713,0,0,3615,0,0,0,0
9,0,1,1,ACCEPT,27.3648,5.2536,4019,0,-1,0.9560,219.00,319.00,168.00,48.00,218.50,322.50,163.00,49.00,0.8416,3.54,1,0,3.1295,ACCEPT,0,2665,899,7570,0,0,4019,0,0,0,0
10,0,1,1,ACCEPT,26.1623,6.3586,4699,0,0,1.0000,219.00,319.00,168.00,48.00,216.50,322.50,161.00,47.00,0.8288,4.30,1,0,3.2119,ACCEPT,0,3268,1154,8264,0,0,4699,0,0,0,0
11,0,1,1,ACCEPT,25.3374,5.9399,5340,0,-1,0.9058,219.00,317.50,168.00,48.00,216.50,320.00,161.00,48.00,0.8652,3.54,1,0,3.1384,ACCEPT,0,3852,982,8891,0,0,5340,0,0,0,0
12,0,1,1,ACCEPT,23.6400,4.9698,5591,0,-2,0.7795,219.00,314.50,168.00,48.00,216.00,318.00,160.00,46.00,0.8223,4.61,1,0,2.9874,ACCEPT,0,4229,662,10266,0,0,5591,0,0,0,0
13,0,1,1,ACCEPT,23.3056,4.8156,6111,0,-1,0.9254,219.00,313.00,168.00,48.00,215.00,316.00,158.00,46.00,0.8296,5.00,1,0,3.0515,ACCEPT,0,4639,848,10131,0,0,6111,0,0,0,0
14,0,1,1,ACCEPT,23.9683,5.3886,6504,0,-1,0.8994,219.00,311.50,168.00,48.00,215.00,313.50,156.00,45.00,0.8526,4.47,1,0,3.0657,ACCEPT,0,4761,816,10093,0,0,6504,0,0,0,0
15,0,1,1,ACCEPT,23.9692,6.1091,6830,0,-2,0.7146,219.00,308.50,168.00,48.00,215.50,311.00,159.00,44.00,0.8493,4.30,1,0,3.0091,ACCEPT,0,4882,743,10728,0,0,6830,0,0,0,0
16,0,1,1,ACCEPT,24.6325,5.8937,6766,0,-1,0.8339,219.00,307.00,168.00,48.00,215.00,309.50,160.00,43.00,0.8532,4.72,1,0,3.0325,ACCEPT,0,4836,832,10447,0,0,6766,0,0,0,0
17,0,1,1,ACCEPT,25.2757,6.2274,7174,0,-2,0.8189,219.00,304.00,168.00,48.00,214.00,307.50,158.00,43.00,0.8071,6.10,1,0,2.9904,ACCEPT,0,4914,782,12403,0,0,7174,0,0,0,0
18,0,1,1,ACCEPT,27.5120,6.0749,7782,1,-1,0.9523,224.25,302.50,168.00,48.00,217.00,305.00,154.00,44.00,0.8204,7.67,1,0,3.0568,ACCEPT,0,5144,713,12408,0,0,7782,0,0,0,0
19,0,1,1,ACCEPT,30.6001,6.9829,8582,0,-1,0.8989,224.25,301.00,168.00,48.00,216.50,304.00,163.00,44.00,0.8025,8.31,1,0,3.0874,ACCEPT,0,5375,682,12637,0,0,8582,0,0,0,0
20,0,1,1,ACCEPT,30.2409,6.8633,8689,0,-1,0.9581,224.25,299.50,168.00,48.00,216.00,300.00,158.00,44.00,0.8297,8.27,1,0,3.0879,ACCEPT,0,5452,649,12999,0,0,8689,0,0,0,0
