frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,154,29343,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,5.4597,1.2363,1104,18,-5,0.3451,294.94,429.56,31.00,22.00,274.00,438.50,24.00,21.00,0.0747,22.77,1,0,3.4698,ACCEPT,0,2185,130,19726,0,0,1104,0,0,0,0
2,0,1,1,ACCEPT,5.5829,1.1895,948,0,0,1.0000,294.94,429.56,31.00,22.00,271.00,438.50,26.00,21.00,0.0490,25.55,1,0,3.4025,ACCEPT,0,2117,165,12328,0,0,948,0,0,0,0
3,0,1,1,ACCEPT,6.7972,1.1414,920,4,1,0.2196,298.81,430.25,31.00,22.00,275.50,430.50,25.00,19.00,0.0834,23.31,1,0,3.4935,ACCEPT,0,1467,139,16800,0,0,920,0,0,0,0
4,0,1,1,ACCEPT,5.7247,1.2686,803,5,3,0.3624,303.66,432.31,31.00,22.00,281.00,422.50,22.00,15.00,0.0341,24.69,1,0,3.3452,ACCEPT,0,1847,163,16653,0,0,803,0,0,0,0
5,0,1,1,ACCEPT,7.2911,1.7171,1499,4,-2,0.2035,307.53,430.94,31.00,22.00,287.00,411.00,30.00,16.00,0.0000,28.62,1,0,3.3845,ACCEPT,0,2673,182,13606,0,0,1499,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.5560,1.4085,-1062,1,-17,0.0480,307.53,430.94,31.00,22.00,283.50,407.50,29.00,15.00,0.0000,33.57,0,0,0.0000,NOT_RUN,0,2425,151,0,0,0,1062,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-5.0606,1.3119,-959,0,-21,0.0553,307.53,430.94,31.00,22.00,285.00,407.00,30.00,14.00,0.0000,32.87,0,0,0.0000,NOT_RUN,0,2346,167,0,0,0,959,0,0,0,0
8,0,1,0,LOW_PSR,4.9099,1.1703,1024,3,-18,0.3965,307.53,430.94,31.00,22.00,285.00,404.00,28.00,14.00,0.0000,35.12,0,0,0.0000,NOT_RUN,0,1947,153,0,0,0,1024,0,0,0,0
9,0,1,1,ACCEPT,5.1446,1.0278,1146,2,-6,0.1379,309.47,426.81,31.00,22.00,286.00,404.00,30.00,12.00,0.0000,32.73,1,0,3.6071,ACCEPT,0,2413,166,11433,0,0,1146,0,0,0,0
10,0,1,0,LOW_PSR,4.9917,1.0257,917,19,-2,0.0774,309.47,426.81,31.00,22.00,292.00,400.00,28.00,12.00,0.0000,32.00,0,0,0.0000,NOT_RUN,0,2363,150,0,0,0,917,0,0,0,0
11,0,1,1,ACCEPT,5.5714,1.1936,1085,2,-7,0.4350,311.41,422.00,31.00,22.00,300.00,396.00,28.00,12.00,0.0000,28.39,1,0,3.5494,ACCEPT,0,2507,182,12376,0,0,1085,0,0,0,0
12,0,1,1,ACCEPT,8.2810,1.6459,1483,-1,-3,0.1659,310.44,419.94,31.00,22.00,303.50,395.50,35.00,13.00,0.0000,25.40,1,0,3.5082,ACCEPT,0,2747,189,14969,0,0,1483,0,0,0,0
13,0,1,1,ACCEPT,7.4692,1.7080,1199,3,-2,0.4921,313.34,418.56,31.00,22.00,303.00,400.00,34.00,16.00,0.0080,21.25,1,0,3.5324,ACCEPT,0,2524,187,13756,0,0,1199,0,0,0,0
14,0,1,1,ACCEPT,8.3073,1.8471,1522,1,-2,0.5913,314.31,417.19,31.00,22.00,301.50,401.50,31.00,13.00,0.0313,20.25,1,0,3.5693,ACCEPT,0,2761,199,16182,0,0,1522,0,0,0,0
15,0,1,1,ACCEPT,6.9679,1.4633,1137,4,1,0.2885,318.19,417.88,31.00,22.00,294.50,404.00,31.00,16.00,0.0329,27.45,1,0,3.5726,ACCEPT,0,2499,208,14211,0,0,1137,0,0,0,0
16,0,1,1,ACCEPT,7.5702,1.4644,1091,4,-1,0.4693,322.06,417.19,31.00,22.00,292.00,406.50,32.00,21.00,0.0116,31.91,1,0,3.5797,ACCEPT,0,1964,174,15139,0,0,1091,0,0,0,0
17,0,1,1,ACCEPT,6.6568,1.0018,1131,4,-1,0.3908,325.94,416.50,31.00,22.00,296.50,407.00,31.00,22.00,0.0145,30.93,1,0,3.5889,ACCEPT,0,2169,164,17554,0,0,1131,0,0,0,0
18,0,1,1,ACCEPT,8.3747,1.8482,1704,5,-6,0.0047,330.78,412.38,31.00,22.00,305.50,401.00,31.00,22.00,0.0466,27.72,1,0,3.3587,ACCEPT,0,2595,220,12526,0,0,1704,0,0,0,0
19,0,1,1,ACCEPT,5.9794,1.0755,2335,-5,-5,0.0304,325.94,408.94,31.00,22.00,314.00,397.50,36.00,19.00,0.1669,16.53,1,0,3.4262,ACCEPT,0,6395,180,16532,0,0,2335,0,0,0,0
20,0,1,1,ACCEPT,5.6709,1.0580,2172,5,-17,0.1059,330.78,397.25,31.00,22.00,312.00,396.50,36.00,29.00,0.2309,18.80,1,0,3.3700,ACCEPT,0,3620,154,12168,0,0,2172,0,0,0,0
21,0,1,1,ACCEPT,5.1501,1.0538,2192,3,-7,0.4019,333.69,392.44,31.00,22.00,314.00,394.50,36.00,21.00,0.2296,19.80,1,0,3.3950,ACCEPT,0,4663,109,19088,0,0,2192,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-7.9037,1.1593,-2919,3,0,0.4159,333.69,392.44,31.00,22.00,315.00,392.00,38.00,22.00,0.2897,18.69,0,0,0.0000,NOT_RUN,0,4527,163,0,0,0,2919,0,0,0,0
23,0,1,1,ACCEPT,7.1043,1.4981,2394,-7,7,0.1124,326.91,397.25,31.00,22.00,315.00,399.50,50.00,29.00,0.4186,12.12,1,0,3.3145,ACCEPT,0,4811,135,25247,0,0,2394,0,0,0,0
24,0,1,1,ACCEPT,6.1952,1.3447,2204,-3,6,0.1706,324.00,401.38,31.00,22.00,311.50,401.50,47.00,31.00,0.3747,12.50,1,0,3.4692,ACCEPT,0,6418,121,27640,0,0,2204,0,0,0,0
25,0,1,1,ACCEPT,9.4760,1.4959,5146,16,0,0.0453,339.50,401.38,31.00,22.00,301.50,413.00,47.00,34.00,0.0072,39.74,1,0,3.4093,ACCEPT,0,5763,94,19124,0,0,5146,0,0,0,0
26,0,1,1,ACCEPT,8.9343,1.4088,2092,0,10,0.1845,339.50,408.25,31.00,22.00,294.00,421.00,44.00,34.00,0.0000,47.25,1,0,3.3668,ACCEPT,0,3938,116,14692,0,0,2092,0,0,0,0
27,0,1,1,ACCEPT,9.9983,1.4392,1527,2,12,0.0039,341.44,416.50,31.00,22.00,281.00,430.50,46.00,39.00,0.0000,62.04,1,0,3.4514,ACCEPT,0,2171,95,14523,0,0,1527,0,0,0,0
28,0,1,1,ACCEPT,8.2256,1.1341,1108,3,13,0.1047,344.34,425.44,31.00,22.00,249.00,425.00,38.00,34.00,0.0000,95.34,1,0,3.4114,ACCEPT,0,2123,110,11426,0,0,1108,0,0,0,0
