frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,275.00,720.50,72.00,35.00,275.00,720.50,72.00,35.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1426,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,28.3523,5.6053,5241,0,-3,0.5184,275.00,717.22,72.00,35.00,276.50,717.00,73.00,36.00,0.9332,1.52,1,0,3.2937,ACCEPT,0,2745,1282,32767,0,0,5241,0,0,0,0
2,0,1,1,ACCEPT,21.3393,5.6897,5115,0,-1,0.8043,275.00,716.12,72.00,35.00,275.50,712.00,69.00,32.00,0.7504,4.16,1,0,3.2581,ACCEPT,0,3330,1533,32767,0,0,5115,0,0,0,0
3,0,1,1,ACCEPT,18.6240,5.4832,5538,-1,-3,0.2476,272.75,712.84,72.00,35.00,273.50,710.00,67.00,34.00,0.7923,2.94,1,0,3.1978,ACCEPT,0,3809,889,32767,0,0,5538,0,0,0,0
4,0,1,1,ACCEPT,16.0471,3.5649,4777,-1,-4,0.2767,270.50,708.47,72.00,35.00,273.50,706.00,67.00,34.00,0.7984,3.89,1,0,3.0150,ACCEPT,0,3781,874,32767,0,0,4777,0,0,0,0
5,0,1,1,ACCEPT,16.3447,4.1572,5367,0,-2,0.6221,270.50,706.28,72.00,35.00,272.00,703.00,66.00,32.00,0.7562,3.61,1,0,3.0273,ACCEPT,0,3932,672,32767,0,0,5367,0,0,0,0
6,0,1,1,ACCEPT,14.2619,3.9424,4932,0,-2,0.7470,270.50,704.09,72.00,35.00,270.00,700.50,64.00,31.00,0.7178,3.63,1,0,3.0471,ACCEPT,0,4023,623,32768,0,0,4932,0,0,0,0
7,0,1,1,ACCEPT,14.4001,2.9831,4940,-1,-2,0.5692,268.25,701.91,69.23,33.65,274.50,697.00,73.00,30.00,0.6296,7.95,1,-1,2.8566,ACCEPT,0,4346,587,32767,0,0,4940,0,0,0,0
8,0,1,1,ACCEPT,12.8793,2.6168,4043,0,-3,0.5023,268.25,698.77,69.23,33.65,273.50,694.50,75.00,29.00,0.6713,6.76,1,0,3.0333,ACCEPT,0,3705,790,32768,0,0,4043,0,0,0,0
9,0,1,1,ACCEPT,10.7013,2.0622,4310,0,-2,0.7638,268.25,696.67,69.23,33.65,273.50,693.00,75.00,30.00,0.6980,6.41,1,0,2.9084,ACCEPT,0,4629,523,32767,0,0,4310,0,0,0,0
10,0,1,1,ACCEPT,9.4895,2.1820,3273,1,-2,0.6630,270.41,694.58,69.23,33.65,275.00,690.00,74.00,30.00,0.6705,6.49,1,0,2.7822,ACCEPT,0,3732,392,32767,0,0,3273,0,0,0,0
11,0,1,1,ACCEPT,9.9530,2.0548,2924,1,-3,0.4319,272.56,691.44,66.57,32.36,275.50,686.50,71.00,31.00,0.6788,5.75,1,-1,2.5962,ACCEPT,0,3229,381,32767,0,0,2924,0,0,0,0
12,0,1,1,ACCEPT,10.1206,1.9205,3889,1,-1,0.6894,274.64,690.42,64.01,31.11,277.00,685.00,66.00,30.00,0.6569,5.91,1,-1,2.7825,ACCEPT,0,4661,715,32767,0,0,3889,0,0,0,0
13,0,1,1,ACCEPT,10.7293,2.2170,4904,1,-4,0.3134,276.64,686.55,64.01,31.11,274.00,681.00,62.00,30.00,0.6447,6.14,1,0,3.0281,ACCEPT,0,5985,1696,26566,0,0,4904,0,0,0,0
14,0,1,1,ACCEPT,10.9406,2.0357,10541,0,-5,0.2001,276.64,681.70,64.01,31.11,275.00,678.00,58.00,30.00,0.7164,4.05,1,0,3.1241,ACCEPT,0,14162,1677,24012,0,0,10541,0,0,0,0
15,0,1,1,ACCEPT,13.4261,2.3530,12099,-1,-6,0.0703,274.64,675.89,61.55,29.92,274.50,672.50,61.00,29.00,0.7872,3.39,1,-1,2.9792,ACCEPT,0,13283,1738,24164,0,0,12099,0,0,0,0
16,0,1,1,ACCEPT,12.4600,2.6314,12320,0,-5,0.3033,274.64,671.20,61.55,29.92,275.50,668.00,59.00,28.00,0.7699,3.32,1,0,3.1083,ACCEPT,0,13704,881,32767,0,0,12320,0,0,0,0
17,0,1,1,ACCEPT,13.3226,2.7457,10626,0,-4,0.2812,274.64,667.45,61.55,29.92,275.00,665.00,58.00,30.00,0.8033,2.48,1,0,3.0747,ACCEPT,0,10181,943,32767,0,0,10626,0,0,0,0
18,0,1,1,ACCEPT,12.5633,3.0017,8945,0,-4,0.2946,274.64,663.70,61.55,29.92,274.00,660.50,56.00,29.00,0.7370,3.27,1,0,2.9201,ACCEPT,0,10349,1005,31757,0,0,8945,0,0,0,0
19,0,1,1,ACCEPT,12.9085,3.2584,11802,0,-6,0.1548,274.64,658.08,61.55,29.92,273.00,655.50,56.00,29.00,0.7680,3.06,1,0,2.9487,ACCEPT,0,13145,735,32767,0,0,11802,0,0,0,0
20,0,1,1,ACCEPT,14.1048,3.3021,10220,0,-3,0.5050,274.64,655.27,61.55,29.92,274.00,653.50,58.00,31.00,0.8426,1.88,1,0,2.9315,ACCEPT,0,12384,815,32768,0,0,10220,0,0,0,0
21,0,1,1,ACCEPT,12.9014,2.6023,11130,0,-4,0.2816,274.64,651.52,61.55,29.92,272.00,649.00,58.00,30.00,0.7787,3.65,1,0,2.8453,ACCEPT,0,11738,861,28576,0,0,11130,0,0,0,0
22,0,1,1,ACCEPT,13.2789,2.2080,13427,-1,-5,0.1578,272.72,646.83,61.55,29.92,273.50,646.00,55.00,30.00,0.8481,1.14,1,0,2.8327,ACCEPT,0,14572,959,25460,0,0,13427,0,0,0,0
23,0,1,1,ACCEPT,12.4569,2.8657,12927,0,-3,0.6903,272.72,644.02,61.55,29.92,274.00,642.00,56.00,30.00,0.7998,2.39,1,0,2.8573,ACCEPT,0,17509,1055,30989,0,0,12927,0,0,0,0
24,0,1,1,ACCEPT,12.4415,2.5877,12372,0,-3,0.6376,272.72,641.20,61.55,29.92,272.00,638.50,56.00,33.00,0.7746,2.80,1,0,2.8335,ACCEPT,0,16821,1234,26419,0,0,12372,0,0,0,0
25,0,1,1,ACCEPT,13.2118,2.1736,11896,-1,-3,0.5858,270.80,638.39,61.55,29.92,272.50,635.50,57.00,31.00,0.7715,3.36,1,0,2.8091,ACCEPT,0,14216,997,27624,0,0,11896,0,0,0,0
