frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,411,30399,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,63.7711,14.7642,3632,0,0,1.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,3.3660,ACCEPT,0,1679,411,30492,0,0,3632,0,0,0,0
2,0,1,1,ACCEPT,21.3956,5.7533,2589,0,2,0.5697,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.1958,ACCEPT,0,1808,443,30152,0,0,2589,0,0,0,0
3,0,1,1,ACCEPT,25.8463,6.2661,3014,0,0,1.0000,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.2005,ACCEPT,0,1980,478,26507,0,0,3014,0,0,0,0
4,0,1,1,ACCEPT,21.8066,5.4422,2683,0,1,0.8006,140.50,191.47,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,7.68,1,-1,3.0330,ACCEPT,0,2120,796,23936,0,0,2683,0,0,0,0
5,0,1,1,ACCEPT,23.3920,5.4913,3454,0,1,0.9108,140.50,193.06,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.12,1,0,3.2365,ACCEPT,0,2829,444,24714,0,0,3454,0,0,0,0
6,0,1,1,ACCEPT,20.4942,5.5568,3573,0,0,1.0000,140.50,193.06,163.65,49.00,136.50,204.50,179.00,71.00,0.6218,12.12,1,-1,2.9991,ACCEPT,0,2981,676,20800,0,0,3573,0,0,0,0
7,0,1,1,ACCEPT,21.5862,4.8403,3727,0,0,1.0000,140.50,193.06,163.65,49.00,136.50,204.50,179.00,71.00,0.6218,12.12,1,0,3.1942,ACCEPT,0,2704,448,20913,0,0,3727,0,0,0,0
8,0,1,1,ACCEPT,17.5186,4.0371,3262,-1,-1,0.8231,135.39,191.53,170.19,50.96,139.00,205.00,182.00,78.00,0.6110,13.94,1,1,3.0795,ACCEPT,0,2903,634,16687,0,0,3262,0,0,0,0
9,0,1,1,ACCEPT,18.9631,4.9344,4140,1,-1,0.9215,140.70,189.94,163.65,49.00,139.00,205.00,182.00,78.00,0.5548,15.16,1,-1,2.7032,ACCEPT,0,3036,682,17279,0,0,4140,0,0,0,0
10,0,1,1,ACCEPT,15.5491,2.8844,4543,-1,-2,0.6582,135.59,186.88,163.65,49.00,138.00,203.00,180.00,80.00,0.5459,16.30,1,0,3.2086,ACCEPT,0,4694,581,18813,0,0,4543,0,0,0,0
11,0,1,1,ACCEPT,17.1155,2.8734,4948,0,0,1.0000,135.59,186.88,163.65,49.00,138.00,203.00,180.00,80.00,0.5459,16.30,1,0,3.2151,ACCEPT,0,4177,550,17934,0,0,4948,0,0,0,0
12,0,1,1,ACCEPT,15.3160,2.8743,4734,0,-3,0.3369,135.59,182.28,163.65,49.00,136.50,195.50,183.00,75.00,0.5801,13.25,1,0,3.1237,ACCEPT,0,4813,660,12294,0,0,4734,0,0,0,0
13,0,1,1,ACCEPT,16.7918,2.6512,4751,0,0,1.0000,135.59,182.28,163.65,49.00,136.50,195.50,183.00,75.00,0.5801,13.25,1,0,3.1309,ACCEPT,0,4377,677,10354,0,0,4751,0,0,0,0
14,0,1,1,ACCEPT,14.5197,2.9954,4592,0,-3,0.3791,135.59,177.69,157.35,47.12,136.50,193.00,179.00,78.00,0.5310,15.34,1,-1,2.8947,ACCEPT,0,4706,646,10147,0,0,4592,0,0,0,0
15,0,1,1,ACCEPT,15.8036,2.5915,4802,0,0,1.0000,135.59,177.69,157.35,47.12,136.50,193.00,179.00,78.00,0.5310,15.34,1,0,3.0897,ACCEPT,0,4443,631,11170,0,0,4802,0,0,0,0
16,0,1,1,ACCEPT,14.7687,2.8253,4416,0,-3,0.3546,135.59,173.28,151.30,45.30,135.00,190.00,180.00,78.00,0.4823,16.73,1,-1,2.7898,ACCEPT,0,4266,581,11853,0,0,4416,0,0,0,0
17,0,1,1,ACCEPT,15.5011,2.6018,4803,0,0,1.0000,135.59,173.28,151.30,45.30,135.00,190.00,180.00,78.00,0.4823,16.73,1,0,2.9850,ACCEPT,0,4360,577,13000,0,0,4803,0,0,0,0
18,0,1,1,ACCEPT,14.6290,2.9952,4945,0,-2,0.7871,135.59,170.44,151.30,45.30,135.50,188.50,175.00,81.00,0.4802,18.06,1,0,2.7369,ACCEPT,0,4579,491,14148,0,0,4945,0,0,0,0
19,0,1,1,ACCEPT,15.7320,2.8500,5338,0,0,1.0000,135.59,170.44,151.30,45.30,135.50,188.50,175.00,81.00,0.4802,18.06,1,0,2.7620,ACCEPT,0,4829,515,13353,0,0,5338,0,0,0,0
20,0,1,1,ACCEPT,15.3988,3.5992,5172,0,-1,0.9499,135.59,169.02,145.48,43.56,135.00,189.00,174.00,86.00,0.4235,19.99,1,-1,2.6736,ACCEPT,0,5149,333,14607,0,0,5172,0,0,0,0
21,0,1,1,ACCEPT,15.4882,3.5785,5171,0,0,1.0000,135.59,169.02,145.48,43.56,135.00,189.00,174.00,86.00,0.4235,19.99,1,0,2.8654,ACCEPT,0,5437,453,12554,0,0,5171,0,0,0,0
22,0,1,1,ACCEPT,14.5763,3.1190,4928,0,-1,0.9501,135.59,167.66,145.48,43.56,135.00,188.00,172.00,84.00,0.4368,20.35,1,0,2.6871,ACCEPT,0,5653,385,13045,0,0,4928,0,0,0,0
23,0,1,1,ACCEPT,16.1331,3.5489,5302,0,0,1.0000,135.59,167.66,145.48,43.56,135.00,188.00,172.00,84.00,0.4368,20.35,1,0,2.7213,ACCEPT,0,5743,388,13135,0,0,5302,0,0,0,0
24,0,1,1,ACCEPT,13.8005,2.9215,4692,0,-1,0.9578,135.59,166.30,139.89,41.89,135.50,183.00,169.00,76.00,0.4562,16.70,1,-1,2.6163,ACCEPT,0,4679,343,13276,0,0,4692,0,0,0,0
25,0,1,1,ACCEPT,14.1972,3.1769,5226,0,1,0.9753,135.59,167.61,139.89,41.89,135.50,183.00,169.00,76.00,0.4562,15.39,1,0,2.7979,ACCEPT,0,5764,397,13068,0,0,5226,0,0,0,0
26,0,1,1,ACCEPT,12.6565,2.6344,5245,0,-1,0.9636,135.59,166.30,139.89,41.89,136.50,177.50,169.00,63.00,0.5373,11.24,1,0,2.6815,ACCEPT,0,5888,463,11724,0,0,5245,0,0,0,0
27,0,1,1,ACCEPT,14.3198,2.8719,6413,0,0,1.0000,135.59,166.30,139.89,41.89,136.50,177.50,169.00,63.00,0.5373,11.24,1,0,2.7069,ACCEPT,0,6214,447,12302,0,0,6413,0,0,0,0
28,0,1,1,ACCEPT,12.3832,2.2663,6570,0,0,1.0000,135.59,166.30,134.51,40.28,136.00,171.00,168.00,50.00,0.6449,4.72,1,-1,2.5386,ACCEPT,0,7334,350,14775,0,0,6570,0,0,0,0
29,0,1,1,ACCEPT,13.4714,2.2619,7480,0,-1,0.9926,135.59,165.03,134.51,40.28,136.00,171.00,168.00,50.00,0.6163,5.98,1,0,2.6624,ACCEPT,0,7836,431,12672,0,0,7480,0,0,0,0
30,0,1,1,ACCEPT,11.7596,1.8877,7330,0,-1,0.9783,135.59,163.77,129.33,38.73,136.50,168.50,165.00,45.00,0.6292,4.82,1,-1,2.5763,ACCEPT,0,8267,300,16480,0,0,7330,0,0,0,0
31,0,1,1,ACCEPT,12.6104,2.0263,8101,0,0,1.0000,135.59,163.77,129.33,38.73,136.50,168.50,165.00,45.00,0.6292,4.82,1,0,2.7536,ACCEPT,0,8651,409,12627,0,0,8101,0,0,0,0
