frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,281.50,828.00,103.00,178.00,281.50,828.00,103.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,681,17275,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,38.1968,7.7174,12726,0,0,1.0000,281.50,828.00,107.12,185.12,284.50,827.50,99.00,171.00,0.8537,3.04,1,1,2.8855,ACCEPT,0,6365,602,16294,0,0,12726,0,0,0,0
2,0,1,1,ACCEPT,27.0351,5.1375,11282,0,0,1.0000,281.50,828.00,107.12,185.12,291.00,829.50,90.00,177.00,0.7883,9.62,1,0,2.6488,ACCEPT,0,7050,612,13486,0,0,11282,0,0,0,0
3,0,1,1,ACCEPT,25.1101,5.2102,10983,0,1,0.9848,281.50,833.78,111.40,192.52,291.50,830.50,91.00,177.00,0.7510,10.52,1,1,2.8398,ACCEPT,0,7073,667,11811,0,0,10983,0,0,0,0
4,0,1,1,ACCEPT,21.8535,4.4492,10549,0,0,1.0000,281.50,833.78,115.86,200.23,292.50,830.50,87.00,179.00,0.6713,11.48,1,1,2.7539,ACCEPT,0,7511,731,10632,0,0,10549,0,0,0,0
5,0,1,1,ACCEPT,19.6317,4.1330,10721,0,0,1.0000,281.50,833.78,120.50,208.23,293.50,832.50,91.00,177.00,0.6419,12.07,1,1,2.4130,ACCEPT,0,8279,715,11353,0,0,10721,0,0,0,0
6,0,1,1,ACCEPT,15.8100,3.5178,9491,-1,1,0.9633,277.73,840.28,130.33,225.23,292.00,835.00,94.00,172.00,0.5508,15.21,1,2,2.1461,ACCEPT,0,9416,677,10441,0,0,9491,0,0,0,0
7,0,1,1,ACCEPT,14.2840,2.8647,9190,0,0,1.0000,277.73,840.28,135.54,234.24,293.50,836.50,93.00,171.00,0.5009,16.21,1,1,2.1618,ACCEPT,0,8871,860,9867,0,0,9190,0,0,0,0
8,0,1,1,ACCEPT,14.3426,2.8542,9807,0,0,1.0000,277.73,840.28,135.54,234.24,293.50,843.50,95.00,175.00,0.5236,16.09,1,0,2.1633,ACCEPT,0,10000,704,8396,0,0,9807,0,0,0,0
9,0,1,1,ACCEPT,15.0080,2.6704,9910,0,0,1.0000,277.73,840.28,140.96,243.61,292.50,840.50,97.00,163.00,0.4604,14.77,1,1,2.2096,ACCEPT,0,9608,781,8033,0,0,9910,0,0,0,0
10,0,1,1,ACCEPT,13.8321,2.0458,9478,0,0,1.0000,277.73,840.28,140.96,243.61,292.50,841.00,97.00,160.00,0.4520,14.78,1,0,2.3725,ACCEPT,0,9752,1005,8387,0,0,9478,0,0,0,0
11,0,1,1,ACCEPT,14.6914,2.7959,10426,0,1,0.9961,277.73,847.89,146.60,253.35,291.00,844.50,100.00,157.00,0.4227,13.69,1,1,2.3146,ACCEPT,0,10338,941,9122,0,0,10426,0,0,0,0
12,0,1,1,ACCEPT,14.4823,3.0955,10076,0,0,1.0000,277.73,847.89,146.60,253.35,291.00,841.50,98.00,173.00,0.4565,14.72,1,0,2.2697,ACCEPT,0,10257,1382,8706,0,0,10076,0,0,0,0
13,0,1,1,ACCEPT,15.3690,3.0693,10632,0,0,1.0000,277.73,847.89,146.60,253.35,287.50,842.00,99.00,170.00,0.4531,11.40,1,0,2.2125,ACCEPT,0,11528,1226,9786,0,0,10632,0,0,0,0
14,0,1,1,ACCEPT,15.7645,2.8375,11526,0,0,1.0000,277.73,847.89,140.96,243.61,287.00,845.50,96.00,165.00,0.4613,9.57,1,-1,2.4486,ACCEPT,0,13031,1096,10426,0,0,11526,0,0,0,0
