frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,262.50,304.50,79.00,33.00,262.50,304.50,79.00,33.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,607,17728,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,19.0395,3.1455,4863,0,12,0.0070,262.50,316.88,79.00,33.00,264.00,315.50,82.00,35.00,0.8889,2.03,1,0,3.0581,ACCEPT,0,6436,620,21271,0,0,4863,0,0,0,0
2,0,1,1,ACCEPT,17.4527,2.8661,5136,2,13,0.0925,267.44,330.28,79.00,33.00,269.00,332.00,86.00,36.00,0.8318,2.32,1,0,2.9462,ACCEPT,0,5619,655,18713,0,0,5136,0,0,0,0
3,0,1,1,ACCEPT,22.6249,3.6519,7512,3,11,0.0471,274.84,341.62,79.00,33.00,274.00,342.50,82.00,33.00,0.9145,1.22,1,0,2.9067,ACCEPT,0,5812,853,14933,0,0,7512,0,0,0,0
4,0,1,1,ACCEPT,22.5981,3.3201,8463,-1,9,0.0038,272.38,350.91,79.00,33.00,272.00,352.00,78.00,30.00,0.8976,1.16,1,0,2.9866,ACCEPT,0,6761,595,15367,0,0,8463,0,0,0,0
5,0,1,1,ACCEPT,37.3700,8.8907,14314,-1,-3,0.2764,269.91,347.81,79.00,33.00,268.50,348.50,81.00,33.00,0.9267,1.57,1,0,2.9860,ACCEPT,0,6910,618,12231,0,0,14314,0,0,0,0
6,0,1,1,ACCEPT,27.5496,5.5000,12122,0,-3,0.2906,269.91,344.72,79.00,33.00,269.00,344.00,86.00,30.00,0.8413,1.16,1,0,2.9680,ACCEPT,0,7698,512,16749,0,0,12122,0,0,0,0
7,0,1,1,ACCEPT,26.3697,5.1148,13237,1,-4,0.1968,272.38,340.59,82.16,34.32,272.50,340.50,85.00,33.00,0.9306,0.16,1,1,2.8486,ACCEPT,0,10237,595,13144,0,0,13237,0,0,0,0
8,0,1,1,ACCEPT,25.9479,5.6542,11755,3,-7,0.0315,280.06,333.05,82.16,34.32,277.50,334.00,81.00,30.00,0.8233,2.73,1,0,2.7477,ACCEPT,0,7891,718,11264,0,0,11755,0,0,0,0
9,0,1,1,ACCEPT,26.6828,6.2713,15534,-2,1,0.5120,274.94,334.12,79.00,33.00,275.00,335.00,80.00,32.00,0.9362,0.88,1,-1,2.8716,ACCEPT,0,9874,664,13066,0,0,15534,0,0,0,0
10,0,1,1,ACCEPT,20.7291,3.4198,15762,-3,5,0.1728,267.53,339.28,79.00,33.00,270.50,338.00,81.00,38.00,0.8088,3.23,1,0,3.0542,ACCEPT,0,9754,686,11336,0,0,15762,0,0,0,0
11,0,1,1,ACCEPT,14.0313,2.3570,10385,0,10,0.0027,267.53,349.59,82.16,34.32,268.50,347.50,87.00,37.00,0.8406,2.31,1,1,2.7985,ACCEPT,0,11465,659,13167,0,0,10385,0,0,0,0
12,0,1,1,ACCEPT,12.1696,2.1485,9578,2,17,0.0591,272.66,367.92,82.16,34.32,275.00,365.50,82.00,41.00,0.7943,3.37,1,0,3.0415,ACCEPT,0,14380,535,15505,0,0,9578,0,0,0,0
13,0,1,1,ACCEPT,14.3807,2.6636,14602,2,14,0.0950,277.78,383.02,82.16,34.32,276.00,381.00,82.00,38.00,0.8584,2.69,1,0,2.8658,ACCEPT,0,16340,574,12183,0,0,14602,0,0,0,0
14,0,1,1,ACCEPT,7.1169,1.6279,7176,-2,22,0.0198,272.66,406.73,82.16,34.32,272.50,407.00,85.00,34.00,0.9521,0.31,1,0,2.6091,ACCEPT,0,19316,481,13626,0,0,7176,0,0,0,0
15,0,1,1,ACCEPT,8.5897,1.9113,8874,-2,21,0.0462,267.53,429.38,82.16,34.32,268.00,429.00,88.00,36.00,0.8901,0.60,1,0,2.9580,ACCEPT,0,15982,371,11835,0,0,8874,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.4454,1.0536,-4579,-7,6,0.1463,267.53,429.38,82.16,34.32,263.50,461.50,85.00,41.00,0.0751,32.38,0,0,0.0000,NOT_RUN,0,15076,637,0,0,0,4579,0,0,0,0
17,0,1,1,ACCEPT,5.2049,1.1444,4779,0,5,0.4256,267.53,434.77,82.16,34.32,268.50,477.50,85.00,47.00,0.0000,42.75,1,0,3.3019,ACCEPT,0,14724,496,7722,0,0,4779,0,0,0,0
18,0,1,1,ACCEPT,6.9483,1.5373,4040,0,5,0.5681,267.53,440.16,82.16,34.32,263.00,491.00,88.00,40.00,0.0000,51.05,1,0,3.0325,ACCEPT,0,9527,421,5732,0,0,4040,0,0,0,0
19,0,1,1,ACCEPT,7.4659,2.1226,4345,-2,2,0.5236,262.41,442.31,82.16,34.32,259.50,491.00,89.00,42.00,0.0000,48.77,1,0,3.1217,ACCEPT,0,8992,555,5526,0,0,4345,0,0,0,0
20,0,1,1,ACCEPT,7.5975,1.6642,4332,0,3,0.6173,262.41,445.55,85.45,35.69,255.50,492.00,93.00,42.00,0.0000,46.96,1,1,2.6504,ACCEPT,0,8067,367,6315,0,0,4332,0,0,0,0
21,0,1,1,ACCEPT,7.7822,1.9585,4859,0,-3,0.7213,262.41,442.22,85.45,35.69,260.00,488.00,92.00,42.00,0.0000,45.84,1,0,3.0851,ACCEPT,0,9897,474,7229,0,0,4859,0,0,0,0
22,0,1,1,ACCEPT,8.6323,1.5025,6781,1,-7,0.2231,265.08,434.45,85.45,35.69,263.50,487.00,91.00,38.00,0.0000,52.57,1,0,3.1890,ACCEPT,0,9050,647,6654,0,0,6781,0,0,0,0
23,0,1,1,ACCEPT,10.7895,2.3028,7620,0,0,1.0000,265.08,434.45,88.86,37.12,262.00,484.50,98.00,41.00,0.0000,50.14,1,1,2.7195,ACCEPT,0,8695,522,6230,0,0,7620,0,0,0,0
24,0,1,1,ACCEPT,9.5469,1.7158,7136,-2,-6,0.1062,259.52,427.52,92.42,38.61,254.50,475.50,99.00,37.00,0.0000,48.25,1,1,2.8309,ACCEPT,0,9704,702,6368,0,0,7136,0,0,0,0
25,0,1,1,ACCEPT,7.5953,1.5074,7243,-1,-10,0.2957,256.62,415.48,88.86,37.12,252.00,467.00,104.00,38.00,0.0000,51.72,1,-1,2.7799,ACCEPT,0,12096,517,6764,0,0,7243,0,0,0,0
26,0,1,1,ACCEPT,11.2787,1.7523,8660,1,-8,0.2930,259.41,406.23,88.86,37.12,256.50,458.50,109.00,41.00,0.0000,52.35,1,0,3.1830,ACCEPT,0,8949,575,4996,0,0,8660,0,0,0,0
27,0,1,1,ACCEPT,13.9488,2.1380,9112,2,-6,0.1324,264.97,399.30,92.42,38.61,258.50,453.00,103.00,40.00,0.0000,54.09,1,1,2.4342,ACCEPT,0,9643,571,4676,0,0,9112,0,0,0,0
28,0,1,1,ACCEPT,10.1764,1.6162,7231,-3,-12,0.0880,256.30,384.86,92.42,38.61,252.00,437.50,108.00,49.00,0.0000,52.82,1,0,3.2385,ACCEPT,0,9597,519,4864,0,0,7231,0,0,0,0
29,0,1,1,ACCEPT,13.9408,2.2451,10260,-1,-7,0.1541,253.41,376.44,92.42,38.61,246.50,428.00,109.00,48.00,0.0000,52.02,1,0,3.0527,ACCEPT,0,9619,577,5009,0,0,10260,0,0,0,0
30,0,1,1,ACCEPT,10.0887,1.3569,7863,-1,-16,0.3137,250.52,357.19,92.42,38.61,247.00,412.00,116.00,42.00,0.0000,54.93,1,0,3.2240,ACCEPT,0,9466,443,5344,0,0,7863,0,0,0,0
31,0,1,1,ACCEPT,15.6707,2.9532,10921,1,-5,0.3051,253.41,351.17,96.12,40.15,250.50,408.50,115.00,43.00,0.0000,57.40,1,1,3.0868,ACCEPT,0,10909,460,4338,0,0,10921,0,0,0,0
32,0,1,1,ACCEPT,17.2017,3.3515,10088,2,-1,0.5040,259.41,349.92,99.96,41.76,253.50,411.50,109.00,45.00,0.0000,61.86,1,1,2.9368,ACCEPT,0,10816,528,3570,0,0,10088,0,0,0,0
33,0,1,1,ACCEPT,17.1082,3.1210,10140,-1,-2,0.7288,256.28,347.30,99.96,41.76,249.00,409.00,106.00,44.00,0.0000,62.13,1,0,3.1102,ACCEPT,0,8889,480,4602,0,0,10140,0,0,0,0
34,0,1,1,ACCEPT,14.3993,2.9153,9504,-1,2,0.5556,253.16,349.92,108.12,45.16,246.00,404.00,114.00,48.00,0.0000,54.55,1,2,2.6248,ACCEPT,0,12249,508,4424,0,0,9504,0,0,0,0
35,0,1,1,ACCEPT,14.9566,2.7929,10719,0,1,0.8588,253.16,351.33,108.12,45.16,246.50,408.50,117.00,45.00,0.0000,57.56,1,0,3.1707,ACCEPT,0,11731,600,4367,0,0,10719,0,0,0,0
36,0,1,1,ACCEPT,16.1263,3.3857,10174,2,4,0.2830,259.91,356.95,108.12,45.16,255.50,418.50,119.00,41.00,0.0000,61.70,1,0,3.2326,ACCEPT,0,10902,704,3421,0,0,10174,0,0,0,0
37,0,1,1,ACCEPT,17.9965,3.6901,10325,3,1,0.4034,270.03,358.36,112.44,46.97,262.00,418.50,116.00,47.00,0.0000,60.67,1,1,2.9750,ACCEPT,0,10138,710,3616,0,0,10325,0,0,0,0
38,0,1,1,ACCEPT,18.2353,2.8531,10097,0,3,0.6084,270.03,362.77,112.44,46.97,262.50,423.00,107.00,42.00,0.0000,60.70,1,0,3.1655,ACCEPT,0,10275,636,2831,0,0,10097,0,0,0,0
39,0,1,1,ACCEPT,17.1971,3.5711,8760,0,1,0.8759,270.03,364.23,116.94,48.85,264.00,423.00,110.00,48.00,0.0000,59.07,1,1,2.9450,ACCEPT,0,8393,666,2795,0,0,8760,0,0,0,0
40,0,1,1,ACCEPT,12.2847,2.0761,8373,1,-4,0.3902,273.69,358.11,116.94,48.85,270.00,412.00,110.00,44.00,0.0000,54.02,1,0,3.0890,ACCEPT,0,9291,706,2971,0,0,8373,0,0,0,0
41,0,1,0,NEGATIVE_PEAK,-6.7743,1.1322,-7089,-2,0,0.4848,273.69,358.11,116.94,48.85,276.00,388.50,104.00,43.00,0.1885,30.48,0,0,0.0000,NOT_RUN,0,13574,611,0,0,0,7089,0,0,0,0
42,0,1,1,ACCEPT,11.2787,1.5094,14629,2,-3,0.1270,281.00,353.52,116.94,48.85,283.50,347.00,99.00,46.00,0.6515,6.98,1,0,2.2383,ACCEPT,0,20758,614,2974,0,0,14629,0,0,0,0
43,0,1,1,ACCEPT,10.0579,1.4084,9315,0,-12,0.1691,281.00,335.14,116.94,48.85,281.50,328.50,93.00,45.00,0.6091,6.66,1,0,2.2714,ACCEPT,0,10410,584,3597,0,0,9315,0,0,0,0
44,0,1,1,ACCEPT,10.5267,1.8792,11446,-1,-6,0.1746,277.34,325.95,116.94,48.85,283.50,317.00,89.00,48.00,0.5428,10.87,1,0,2.2592,ACCEPT,0,11773,825,4619,0,0,11446,0,0,0,0
45,0,1,1,ACCEPT,9.3678,1.6496,13225,1,8,0.0412,281.00,338.20,116.94,48.85,287.50,328.00,89.00,48.00,0.5168,12.10,1,0,2.3874,ACCEPT,0,22938,1328,3941,0,0,13225,0,0,0,0
46,0,1,1,ACCEPT,8.1554,1.2216,9896,2,11,0.5123,288.31,355.05,112.44,46.97,297.00,342.50,84.00,49.00,0.4636,15.26,1,-1,2.3918,ACCEPT,0,13698,1095,2618,0,0,9896,0,0,0,0
47,0,1,1,ACCEPT,12.9144,2.1790,12283,0,-2,0.4934,288.31,352.11,112.44,46.97,299.00,339.00,80.00,50.00,0.4387,16.91,1,0,2.4808,ACCEPT,0,11215,864,3504,0,0,12283,0,0,0,0
48,0,1,1,ACCEPT,10.1460,1.8690,8532,-1,-10,0.0203,284.80,337.42,112.44,46.97,294.00,323.50,74.00,51.00,0.4016,16.69,1,0,2.6777,ACCEPT,0,11022,492,3780,0,0,8532,0,0,0,0
49,0,1,1,ACCEPT,13.8671,2.2378,13017,-1,-6,0.0456,281.28,328.61,112.44,46.97,292.50,316.00,79.00,52.00,0.4498,16.88,1,0,2.6152,ACCEPT,0,10475,700,3216,0,0,13017,0,0,0,0
50,0,1,1,ACCEPT,16.2669,2.5546,18296,2,-2,0.3877,288.31,325.67,112.44,46.97,295.00,316.00,88.00,52.00,0.5514,11.76,1,0,2.8829,ACCEPT,0,13967,612,3153,0,0,18296,0,0,0,0
51,0,1,1,ACCEPT,13.7323,2.4664,16902,1,6,0.1433,291.83,334.48,112.44,46.97,298.50,328.00,91.00,52.00,0.6415,9.30,1,0,2.9143,ACCEPT,0,18548,712,2938,0,0,16902,0,0,0,0
52,0,1,1,ACCEPT,10.3817,2.0510,5956,4,-4,0.0537,305.89,328.61,112.44,46.97,296.00,372.00,88.00,50.00,0.0486,44.50,1,0,3.1426,ACCEPT,0,10011,690,2133,0,0,5956,0,0,0,0
53,0,1,1,ACCEPT,11.6536,1.7315,2850,0,16,0.1642,305.89,352.11,112.44,46.97,294.50,405.50,91.00,43.00,0.0000,54.59,1,0,2.8807,ACCEPT,0,5616,450,3050,0,0,2850,0,0,0,0
54,0,1,1,ACCEPT,11.7093,1.7462,1816,-1,19,0.0297,302.38,380.02,112.44,46.97,292.00,434.00,88.00,42.00,0.0000,54.97,1,0,3.0520,ACCEPT,0,3171,374,3568,0,0,1816,0,0,0,0
55,0,1,1,ACCEPT,9.5108,1.0649,3265,1,11,0.0417,305.89,396.17,112.44,46.97,296.50,452.00,91.00,42.00,0.0000,56.61,1,0,2.9830,ACCEPT,0,7476,254,2508,0,0,3265,0,0,0,0
56,0,1,0,NEGATIVE_PEAK,-9.0107,1.8483,-597,20,-5,0.0017,305.89,396.17,112.44,46.97,302.00,490.50,90.00,41.00,0.0000,94.41,0,0,0.0000,NOT_RUN,0,851,281,0,0,0,597,0,0,0,0
57,0,1,0,LOW_PSR,4.7254,1.1343,228,-1,-7,0.4561,305.89,396.17,112.44,46.97,305.50,528.00,89.00,36.00,0.0000,131.83,0,0,0.0000,NOT_RUN,0,819,88,0,0,0,228,0,0,0,0
58,0,1,0,NEGATIVE_PEAK,-5.3975,1.1633,-285,-10,-4,0.7789,305.89,396.17,112.44,46.97,301.00,558.50,86.00,41.00,0.0000,162.40,0,0,0.0000,NOT_RUN,0,1002,95,0,0,0,285,0,0,0,0
59,0,1,0,NEGATIVE_PEAK,-4.7520,1.1078,-257,-10,3,0.5681,305.89,396.17,112.44,46.97,299.50,550.00,83.00,42.00,0.0000,153.96,0,0,0.0000,NOT_RUN,0,877,78,0,0,0,257,0,0,0,0
60,0,1,0,LOW_PSR,4.8841,1.1789,257,3,-1,0.4163,305.89,396.17,112.44,46.97,305.50,521.50,83.00,47.00,0.0000,125.33,0,0,0.0000,NOT_RUN,0,951,86,0,0,0,257,0,0,0,0
