frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,213.50,547.50,29.00,55.00,213.50,547.50,29.00,55.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,207,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.3853,1.7686,665,0,-7,0.2842,213.50,535.47,29.00,55.00,212.50,535.50,33.00,57.00,0.8480,1.00,1,0,2.7729,ACCEPT,0,1449,294,32767,0,0,665,0,0,0,0
2,0,1,1,ACCEPT,10.6094,1.6467,825,0,-3,0.5248,213.50,530.31,29.00,55.00,211.00,527.50,34.00,57.00,0.7749,3.76,1,0,2.5715,ACCEPT,0,950,275,32767,0,0,825,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-4.8827,1.0976,-686,-13,13,0.2770,213.50,530.31,29.00,55.00,211.50,514.50,35.00,49.00,0.4642,15.94,0,0,0.0000,NOT_RUN,0,2097,384,0,0,0,686,0,0,0,0
4,0,1,0,LOW_PSR,4.4077,1.1176,713,-6,-8,0.0168,213.50,530.31,29.00,55.00,212.50,504.50,31.00,53.00,0.3377,25.83,0,0,0.0000,NOT_RUN,0,3389,290,0,0,0,713,0,0,0,0
5,0,1,0,LOW_PSR,4.6753,1.2653,663,-7,-2,0.4706,213.50,530.31,29.00,55.00,212.50,496.50,29.00,51.00,0.2118,33.83,0,0,0.0000,NOT_RUN,0,2699,298,0,0,0,663,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-4.1269,1.0659,-437,-6,-7,0.1876,213.50,530.31,29.00,55.00,210.50,483.00,31.00,46.00,0.0293,47.41,0,0,0.0000,NOT_RUN,0,1516,338,0,0,0,437,0,0,0,0
7,0,1,0,LOW_PSR,4.4476,1.1644,347,-9,5,0.2882,213.50,530.31,29.00,55.00,206.50,465.00,31.00,42.00,0.0000,65.69,0,0,0.0000,NOT_RUN,0,1458,309,0,0,0,347,0,0,0,0
8,0,1,0,LOW_PSR,4.1201,1.2043,389,-11,4,0.2853,213.50,530.31,29.00,55.00,204.00,456.50,32.00,43.00,0.0000,74.42,0,0,0.0000,NOT_RUN,0,1735,385,0,0,0,389,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.6781,1.2013,-382,-6,8,0.1571,213.50,530.31,29.00,55.00,202.50,444.50,41.00,39.00,0.0000,86.51,0,0,0.0000,NOT_RUN,0,1817,370,0,0,0,382,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-3.4308,1.2000,-366,-7,-6,0.1311,213.50,530.31,29.00,55.00,204.50,434.50,51.00,45.00,0.0000,96.23,0,0,0.0000,NOT_RUN,0,1869,322,0,0,0,366,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.5927,1.2005,-449,-9,-8,0.0579,213.50,530.31,29.00,55.00,205.00,428.50,52.00,43.00,0.0000,102.17,0,0,0.0000,NOT_RUN,0,1669,257,0,0,0,449,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-3.9442,1.0994,-376,-10,-10,0.0479,213.50,530.31,29.00,55.00,199.00,416.00,56.00,46.00,0.0000,115.23,0,0,0.0000,NOT_RUN,0,1493,297,0,0,0,376,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-3.9939,1.0513,-328,-11,-1,0.1220,213.50,530.31,29.00,55.00,193.50,400.50,59.00,53.00,0.0000,131.34,0,0,0.0000,NOT_RUN,0,1279,261,0,0,0,328,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-4.0560,1.0909,-348,-12,-13,0.3333,213.50,530.31,29.00,55.00,195.00,393.50,60.00,57.00,0.0000,138.06,0,0,0.0000,NOT_RUN,0,1305,212,0,0,0,348,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-4.3060,1.1969,-304,-12,-4,0.0493,213.50,530.31,29.00,55.00,189.50,379.50,59.00,55.00,0.0000,152.71,0,0,0.0000,NOT_RUN,0,1175,202,0,0,0,304,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.3660,1.0837,-233,-16,19,0.0086,213.50,530.31,29.00,55.00,186.00,368.50,52.00,51.00,0.0000,164.13,0,0,0.0000,NOT_RUN,0,922,95,0,0,0,233,0,0,0,0
