frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,212.00,524.00,28.00,20.00,212.00,524.00,28.00,20.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,103,11306,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,10.7372,2.6192,681,3,14,0.0191,214.62,532.75,28.00,20.00,213.00,533.50,28.00,19.00,0.8277,1.79,1,0,3.1052,ACCEPT,0,909,94,10340,0,0,681,0,0,0,0
2,0,1,1,ACCEPT,8.5392,2.4953,791,6,15,0.0063,219.88,542.12,28.00,20.00,219.50,543.00,27.00,20.00,0.8848,0.95,1,0,2.8484,ACCEPT,0,1126,98,8465,0,0,791,0,0,0,0
3,0,1,1,ACCEPT,9.6410,2.5418,1187,8,13,0.0430,226.88,550.25,28.00,20.00,225.50,551.00,31.00,20.00,0.8409,1.57,1,0,2.9207,ACCEPT,0,1352,113,8571,0,0,1187,0,0,0,0
4,0,1,1,ACCEPT,10.0720,2.2867,1029,4,-2,0.0505,230.38,549.00,26.92,19.23,229.00,550.50,28.00,19.00,0.7786,2.03,1,-1,2.7314,ACCEPT,0,1350,106,11084,0,0,1029,0,0,0,0
5,0,1,1,ACCEPT,8.6527,1.8899,1030,1,-2,0.6621,231.22,547.81,26.92,19.23,230.50,549.50,27.00,19.00,0.7976,1.83,1,0,2.8840,ACCEPT,0,1596,99,12235,0,0,1030,0,0,0,0
6,0,1,0,LOW_PSR,4.6168,1.1200,1297,3,-15,0.2961,231.22,547.81,26.92,19.23,232.00,541.00,26.00,20.00,0.4637,6.86,0,0,0.0000,NOT_RUN,0,3418,106,0,0,0,1297,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-4.1588,1.0813,-1224,-4,-20,0.1544,231.22,547.81,26.92,19.23,237.00,531.00,26.00,16.00,0.0181,17.78,0,0,0.0000,NOT_RUN,0,3213,162,0,0,0,1224,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.1618,1.0382,-571,10,-1,0.1278,231.22,547.81,26.92,19.23,239.50,520.00,25.00,16.00,0.0000,29.02,0,0,0.0000,NOT_RUN,0,1747,101,0,0,0,571,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.9129,1.0625,-391,10,-7,0.1841,231.22,547.81,26.92,19.23,239.50,516.50,29.00,19.00,0.0000,32.39,0,0,0.0000,NOT_RUN,0,1343,75,0,0,0,391,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.1560,1.3150,-501,8,-8,0.1996,231.22,547.81,26.92,19.23,236.50,513.50,27.00,17.00,0.0000,34.72,0,0,0.0000,NOT_RUN,0,1005,126,0,0,0,501,0,0,0,0
11,0,1,0,LOW_PSR,4.0020,1.0129,1019,2,-9,0.2296,231.22,547.81,26.92,19.23,234.00,524.00,26.00,18.00,0.0000,23.97,0,0,0.0000,NOT_RUN,0,3444,130,0,0,0,1019,0,0,0,0
