frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,251.00,338.00,198.00,102.00,251.00,338.00,198.00,102.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,458,19171,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,55.5892,12.5795,3560,0,0,1.0000,251.00,338.00,198.00,102.00,249.50,338.50,201.00,105.00,0.9569,1.58,1,0,3.2035,ACCEPT,0,1354,521,17214,0,0,3560,0,0,0,0
2,0,1,1,ACCEPT,39.4800,7.7697,3947,0,0,1.0000,251.00,338.00,198.00,102.00,248.00,340.00,204.00,110.00,0.9000,3.61,1,0,3.0151,ACCEPT,0,2149,436,16689,0,0,3947,0,0,0,0
3,0,1,1,ACCEPT,28.2353,6.4354,5882,0,-1,0.9757,251.00,334.81,198.00,102.00,247.00,341.00,206.00,114.00,0.8571,7.37,1,0,2.9561,ACCEPT,0,4308,372,18334,0,0,5882,0,0,0,0
4,0,1,1,ACCEPT,24.4332,5.2240,8907,0,0,1.0000,251.00,334.81,198.00,102.00,246.00,340.50,204.00,113.00,0.8567,7.57,1,0,2.9055,ACCEPT,0,6229,445,18190,0,0,8907,0,0,0,0
5,0,1,1,ACCEPT,19.8540,4.3776,7906,0,0,1.0000,251.00,334.81,198.00,102.00,247.00,342.50,204.00,119.00,0.8243,8.67,1,0,2.8892,ACCEPT,0,6379,415,17541,0,0,7906,0,0,0,0
6,0,1,1,ACCEPT,18.1118,4.1316,7346,0,0,1.0000,251.00,334.81,198.00,102.00,245.00,340.00,206.00,114.00,0.8440,7.93,1,0,2.8831,ACCEPT,0,6620,396,13544,0,0,7346,0,0,0,0
7,0,1,1,ACCEPT,16.3678,2.8407,6582,-1,1,0.9730,244.81,338.00,198.00,102.00,244.00,338.50,208.00,117.00,0.8299,0.95,1,0,2.9002,ACCEPT,0,5728,407,12776,0,0,6582,0,0,0,0
8,0,1,1,ACCEPT,14.7421,2.8650,6197,0,0,1.0000,244.81,338.00,198.00,102.00,243.50,339.00,209.00,118.00,0.8189,1.65,1,0,2.7517,ACCEPT,0,6392,561,12458,0,0,6197,0,0,0,0
9,0,1,1,ACCEPT,13.1087,2.9799,6213,0,0,1.0000,244.81,338.00,198.00,102.00,244.00,340.00,208.00,110.00,0.8827,2.16,1,0,2.6185,ACCEPT,0,7394,486,10365,0,0,6213,0,0,0,0
10,0,1,1,ACCEPT,11.2030,2.0679,5515,0,1,0.9920,244.81,341.19,205.92,106.08,244.00,337.00,208.00,118.00,0.8900,4.27,1,1,2.4743,ACCEPT,0,7774,447,10964,0,0,5515,0,0,0,0
11,0,1,1,ACCEPT,11.2414,2.8879,5978,0,0,1.0000,244.81,341.19,198.00,102.00,243.50,336.00,209.00,120.00,0.8053,5.35,1,-1,2.4430,ACCEPT,0,7458,489,10286,0,0,5978,0,0,0,0
12,0,1,1,ACCEPT,9.0214,1.4678,3489,0,-3,0.8272,244.81,331.62,198.00,102.00,244.00,338.00,208.00,122.00,0.7959,6.43,1,0,2.6644,ACCEPT,0,4888,513,9831,0,0,3489,0,0,0,0
13,0,1,1,ACCEPT,9.5630,1.8769,4816,0,0,1.0000,244.81,331.62,198.00,102.00,244.50,339.00,207.00,118.00,0.8268,7.38,1,0,2.7269,ACCEPT,0,7004,495,10437,0,0,4816,0,0,0,0
14,0,1,1,ACCEPT,9.4884,1.6509,5207,0,-1,0.9247,244.81,328.44,198.00,102.00,242.50,338.00,211.00,132.00,0.7251,9.84,1,0,2.6879,ACCEPT,0,7354,419,11222,0,0,5207,0,0,0,0
15,0,1,1,ACCEPT,9.3668,1.5937,5581,0,0,1.0000,244.81,328.44,190.38,98.08,244.00,340.00,208.00,138.00,0.6505,11.59,1,-1,2.7949,ACCEPT,0,7509,482,8012,0,0,5581,0,0,0,0
16,0,1,1,ACCEPT,8.6692,1.6602,4828,0,-1,0.9712,244.81,325.38,183.06,94.30,241.00,339.50,214.00,135.00,0.5976,14.63,1,-1,2.8328,ACCEPT,0,6853,488,7336,0,0,4828,0,0,0,0
17,0,1,1,ACCEPT,8.3097,1.6772,4438,0,-2,0.9425,244.81,319.47,183.06,94.30,242.00,340.00,212.00,136.00,0.5988,20.72,1,0,2.8794,ACCEPT,0,6781,477,6806,0,0,4438,0,0,0,0
18,0,1,1,ACCEPT,8.9844,1.4848,4508,0,-1,0.9747,244.81,316.52,183.06,94.30,241.00,341.50,210.00,139.00,0.5655,25.27,1,0,2.7823,ACCEPT,0,7216,463,6240,0,0,4508,0,0,0,0
19,0,1,1,ACCEPT,9.0733,1.6043,4816,-1,-1,0.9225,239.09,313.56,183.06,94.30,242.00,341.50,212.00,135.00,0.5290,28.09,1,0,2.6047,ACCEPT,0,7462,439,6325,0,0,4816,0,0,0,0
20,0,1,1,ACCEPT,10.0709,2.0296,5218,0,0,1.0000,239.09,313.56,183.06,94.30,241.00,341.50,208.00,133.00,0.5367,28.00,1,0,2.7997,ACCEPT,0,7527,531,6532,0,0,5218,0,0,0,0
21,0,1,1,ACCEPT,10.2253,1.9922,6106,0,0,1.0000,239.09,313.56,183.06,94.30,240.50,341.00,207.00,134.00,0.5450,27.47,1,0,2.8901,ACCEPT,0,9237,438,6674,0,0,6106,0,0,0,0
22,0,1,1,ACCEPT,9.7887,1.8627,5873,0,0,1.0000,239.09,313.56,176.02,90.68,241.00,342.50,206.00,131.00,0.5053,29.00,1,-1,2.8621,ACCEPT,0,10063,454,6850,0,0,5873,0,0,0,0
23,0,1,1,ACCEPT,8.9191,1.5160,6099,0,0,1.0000,239.09,313.56,176.02,90.68,235.00,341.50,210.00,133.00,0.5071,28.24,1,0,3.3118,ACCEPT,0,11433,445,8286,0,0,6099,0,0,0,0
24,0,1,1,ACCEPT,9.5311,1.6105,7347,0,0,1.0000,239.09,313.56,176.02,90.68,231.50,340.50,215.00,135.00,0.5063,27.99,1,0,3.1533,ACCEPT,0,14787,509,8082,0,0,7347,0,0,0,0
25,0,1,1,ACCEPT,9.9457,1.5898,7704,-1,0,0.9913,233.59,313.56,176.02,90.68,229.00,341.00,214.00,134.00,0.5033,27.82,1,0,3.0787,ACCEPT,0,15239,567,9792,0,0,7704,0,0,0,0
26,0,1,1,ACCEPT,9.8489,1.7562,8033,0,0,1.0000,233.59,313.56,176.02,90.68,228.00,340.00,212.00,136.00,0.5186,27.02,1,0,3.0456,ACCEPT,0,15302,585,9951,0,0,8033,0,0,0,0
27,0,1,1,ACCEPT,10.5599,2.1433,9330,0,-1,0.9803,233.59,310.73,176.02,90.68,233.00,341.50,206.00,135.00,0.4926,30.77,1,0,3.0019,ACCEPT,0,17503,607,11012,0,0,9330,0,0,0,0
28,0,1,1,ACCEPT,10.8703,2.2750,10019,0,0,1.0000,233.59,310.73,176.02,90.68,232.00,343.00,204.00,130.00,0.4782,32.30,1,0,2.8735,ACCEPT,0,18082,496,9710,0,0,10019,0,0,0,0
29,0,1,1,ACCEPT,11.1742,2.2655,9814,0,0,1.0000,233.59,310.73,176.02,90.68,230.50,345.00,203.00,130.00,0.4624,34.41,1,0,2.9732,ACCEPT,0,17190,423,10106,0,0,9814,0,0,0,0
30,0,1,1,ACCEPT,10.9290,2.1357,9017,0,0,1.0000,233.59,310.73,169.25,87.19,229.50,346.00,201.00,130.00,0.4358,35.50,1,-1,3.1870,ACCEPT,0,15090,475,9096,0,0,9017,0,0,0,0
31,0,1,1,ACCEPT,10.8215,2.2429,8292,0,0,1.0000,233.59,310.73,169.25,87.19,228.50,344.00,201.00,130.00,0.4531,33.65,1,0,2.9914,ACCEPT,0,13478,631,7146,0,0,8292,0,0,0,0
32,0,1,1,ACCEPT,10.5016,2.2605,7654,0,0,1.0000,233.59,310.73,162.74,83.84,228.50,345.00,199.00,126.00,0.4224,34.64,1,-1,2.5075,ACCEPT,0,11524,508,5957,0,0,7654,0,0,0,0
