frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,670.50,911.50,341.00,183.00,670.50,911.50,341.00,183.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1574,29970,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,20.4660,4.9107,5716,0,-2,0.7208,670.50,900.06,327.88,175.96,669.50,907.50,333.00,177.00,0.9055,7.50,1,-1,2.6481,ACCEPT,0,4147,1339,31440,0,0,5716,0,0,0,0
2,0,1,1,ACCEPT,12.1964,3.0862,4333,1,-2,0.7228,680.75,889.06,327.88,175.96,681.00,888.00,312.00,190.00,0.8844,1.09,1,0,2.3538,ACCEPT,0,3912,1266,31075,0,0,4333,0,0,0,0
3,0,1,1,ACCEPT,8.9072,1.6727,3802,0,-2,0.9311,680.75,878.06,303.15,162.69,693.00,872.50,296.00,207.00,0.7321,13.45,1,-2,2.4122,ACCEPT,0,5921,766,32767,0,0,3802,0,0,0,0
4,0,1,1,ACCEPT,10.0434,2.0672,3262,1,1,0.8884,690.22,883.14,303.15,162.69,712.00,861.50,278.00,237.00,0.6118,30.70,1,-3,2.1412,MAX_STEP,0,3670,789,32767,0,0,3262,0,0,0,0
5,0,1,1,ACCEPT,10.0111,1.9976,3388,0,3,0.2754,690.22,898.38,303.15,162.69,714.50,868.50,279.00,255.00,0.5632,38.50,1,-4,1.9229,MAX_STEP,0,5118,802,32767,0,0,3388,0,0,0,0
6,0,1,1,ACCEPT,9.7785,1.9762,3577,-1,5,0.2893,680.75,923.77,303.15,162.69,720.00,888.50,266.00,289.00,0.4626,52.77,1,-8,2.0001,MAX_STEP,0,5486,743,32767,0,0,3577,0,0,0,0
7,0,1,1,ACCEPT,9.5549,2.0210,3460,0,4,0.0118,680.75,944.08,303.15,162.69,729.00,906.00,262.00,310.00,0.4125,61.47,1,-9,2.0728,MAX_STEP,0,5003,895,32767,0,0,3460,0,0,0,0
8,0,1,1,ACCEPT,8.5172,2.1606,3148,0,4,0.2732,680.75,964.39,303.15,162.69,740.00,926.00,244.00,344.00,0.3544,70.60,1,-11,2.1270,MAX_STEP,0,4453,924,32767,0,0,3148,0,0,0,0
9,0,1,1,ACCEPT,8.2126,2.2839,3113,0,4,0.1491,680.75,984.70,303.15,162.69,739.50,942.50,245.00,353.00,0.3476,72.34,1,-12,1.9223,MAX_STEP,0,4890,884,30211,0,0,3113,0,0,0,0
