frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,530.50,632.00,89.00,70.00,530.50,632.00,89.00,70.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,392,12992,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,30.8214,6.7630,5478,0,0,1.0000,530.50,632.00,89.00,70.00,525.50,628.50,85.00,73.00,0.8129,6.10,1,0,3.2859,ACCEPT,0,2938,321,11927,0,0,5478,0,0,0,0
2,0,1,1,ACCEPT,19.4598,3.7164,4861,0,0,1.0000,530.50,632.00,89.00,70.00,528.00,628.50,80.00,73.00,0.8205,4.30,1,0,2.9037,ACCEPT,0,3414,304,12318,0,0,4861,0,0,0,0
3,0,1,1,ACCEPT,18.6469,3.2795,5093,0,0,1.0000,530.50,632.00,89.00,70.00,523.50,627.50,87.00,71.00,0.7571,8.32,1,0,3.3210,ACCEPT,0,3852,249,11696,0,0,5093,0,0,0,0
4,0,1,1,ACCEPT,16.9408,3.8040,4698,0,0,1.0000,530.50,632.00,92.56,72.80,524.00,628.00,86.00,72.00,0.7790,7.63,1,1,3.3085,ACCEPT,0,3423,217,11391,0,0,4698,0,0,0,0
5,0,1,1,ACCEPT,17.4980,4.3573,5207,0,0,1.0000,530.50,632.00,92.56,72.80,526.50,628.50,89.00,73.00,0.8350,5.32,1,0,3.1585,ACCEPT,0,3553,258,10372,0,0,5207,0,0,0,0
6,0,1,1,ACCEPT,16.0798,3.4973,5739,0,0,1.0000,530.50,632.00,92.56,72.80,526.00,628.00,94.00,74.00,0.8179,6.02,1,0,2.9063,ACCEPT,0,4472,260,8953,0,0,5739,0,0,0,0
7,0,1,1,ACCEPT,16.2589,3.5765,5515,1,0,0.9942,533.39,632.00,92.56,72.80,527.00,629.50,96.00,77.00,0.8192,6.86,1,0,2.2798,ACCEPT,0,4691,317,6812,0,0,5515,0,0,0,0
8,0,1,1,ACCEPT,14.8128,3.0313,5417,0,0,1.0000,533.39,632.00,92.56,72.80,531.00,630.00,100.00,78.00,0.8639,3.12,1,0,2.7197,ACCEPT,0,5348,282,7161,0,0,5417,0,0,0,0
9,0,1,1,ACCEPT,12.5396,3.0615,5229,0,0,1.0000,533.39,632.00,92.56,72.80,537.00,629.50,86.00,77.00,0.8665,4.39,1,0,3.2303,ACCEPT,0,6189,233,7826,0,0,5229,0,0,0,0
