frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,155.00,497.00,104.00,60.00,155.00,497.00,104.00,60.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,466,27122,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,53.6262,11.1542,6581,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,497.50,102.00,57.00,0.9142,2.06,1,0,3.2520,ACCEPT,0,3243,498,24772,0,0,6581,0,0,0,0
2,0,1,1,ACCEPT,46.1965,9.9175,6248,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,498.50,102.00,59.00,0.9153,2.50,1,0,3.1242,ACCEPT,0,3339,547,21605,0,0,6248,0,0,0,0
3,0,1,1,ACCEPT,37.9252,7.6532,5694,0,0,1.0000,155.00,497.00,104.00,60.00,152.00,499.50,102.00,59.00,0.8692,3.91,1,0,2.9482,ACCEPT,0,3407,479,17586,0,0,5694,0,0,0,0
4,0,1,1,ACCEPT,32.1701,6.2527,5221,0,0,1.0000,155.00,497.00,104.00,60.00,151.50,501.50,103.00,59.00,0.8068,5.70,1,0,2.8054,ACCEPT,0,3264,480,14041,0,0,5221,0,0,0,0
5,0,1,1,ACCEPT,29.1277,5.4278,4923,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,501.00,104.00,60.00,0.8140,5.66,1,0,2.6986,ACCEPT,0,3098,556,12891,0,0,4923,0,0,0,0
6,0,1,1,ACCEPT,26.2537,5.1889,4779,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,2.6768,ACCEPT,0,3002,563,11356,0,0,4779,0,0,0,0
7,0,1,1,ACCEPT,24.5437,4.8046,4622,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,2.7379,ACCEPT,0,2965,504,9837,0,0,4622,0,0,0,0
8,0,1,1,ACCEPT,22.8248,4.6320,4280,0,0,1.0000,155.00,497.00,104.00,60.00,150.50,503.00,109.00,58.00,0.7554,7.50,1,0,2.8083,ACCEPT,0,2617,486,8984,0,0,4280,0,0,0,0
9,0,1,1,ACCEPT,21.9589,4.6244,4199,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,504.50,103.00,57.00,0.6786,10.61,1,0,2.7602,ACCEPT,0,2843,548,7297,0,0,4199,0,0,0,0
10,0,1,1,ACCEPT,21.2226,4.5708,4324,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,506.50,103.00,55.00,0.6315,12.10,1,0,2.7929,ACCEPT,0,3015,521,6796,0,0,4324,0,0,0,0
11,0,1,1,ACCEPT,20.5636,4.5636,4162,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,507.00,103.00,54.00,0.6189,12.50,1,0,2.7405,ACCEPT,0,3240,554,6452,0,0,4162,0,0,0,0
12,0,1,1,ACCEPT,19.5254,4.1002,4174,0,0,1.0000,155.00,497.00,104.00,60.00,147.00,508.00,104.00,54.00,0.5935,13.60,1,0,2.6879,ACCEPT,0,3564,520,6649,0,0,4174,0,0,0,0
13,0,1,1,ACCEPT,18.9531,3.9525,4241,0,0,1.0000,155.00,497.00,104.00,60.00,147.00,508.50,104.00,51.00,0.5770,14.01,1,0,2.6134,ACCEPT,0,3307,513,7112,0,0,4241,0,0,0,0
14,0,1,1,ACCEPT,18.7198,3.9861,4301,0,0,1.0000,155.00,497.00,104.00,60.00,146.50,509.00,105.00,50.00,0.5607,14.71,1,0,2.5316,ACCEPT,0,3722,515,6581,0,0,4301,0,0,0,0
15,0,1,1,ACCEPT,17.8901,3.7484,4232,0,0,1.0000,155.00,497.00,104.00,60.00,146.50,510.00,105.00,50.00,0.5406,15.53,1,0,2.4717,ACCEPT,0,3604,618,6366,0,0,4232,0,0,0,0
16,0,1,1,ACCEPT,16.6623,3.3380,4296,0,0,1.0000,155.00,497.00,104.00,60.00,145.00,510.00,104.00,48.00,0.5224,16.40,1,0,2.4310,ACCEPT,0,4133,629,7046,0,0,4296,0,0,0,0
17,0,1,1,ACCEPT,15.9225,3.4864,4473,0,0,1.0000,155.00,497.00,104.00,60.00,145.50,512.00,107.00,48.00,0.4906,17.76,1,0,2.3422,ACCEPT,0,4127,655,7000,0,0,4473,0,0,0,0
18,0,1,1,ACCEPT,15.2629,3.4383,4511,0,0,1.0000,155.00,497.00,104.00,60.00,145.00,511.50,104.00,45.00,0.4861,17.61,1,0,2.2434,ACCEPT,0,4526,711,6899,0,0,4511,0,0,0,0
19,0,1,1,ACCEPT,14.2924,3.2871,4648,0,0,1.0000,155.00,497.00,108.16,62.40,146.50,512.00,107.00,42.00,0.4877,17.24,1,1,2.0223,ACCEPT,0,4874,699,7233,0,0,4648,0,0,0,0
20,0,1,1,ACCEPT,14.3409,3.4701,4754,0,0,1.0000,155.00,497.00,108.16,62.40,145.50,513.00,105.00,42.00,0.4597,18.61,1,0,1.9633,LOW_CONF,0,4180,486,6919,0,0,4754,0,0,0,0
21,0,1,1,ACCEPT,14.2128,3.0630,4763,0,0,1.0000,155.00,497.00,108.16,62.40,146.50,514.00,105.00,38.00,0.4352,19.01,1,0,1.6245,LOW_CONF,0,4151,493,6845,0,0,4763,0,0,0,0
22,0,1,1,ACCEPT,13.9027,2.8322,4591,0,0,1.0000,155.00,497.00,108.16,62.40,148.50,513.50,109.00,37.00,0.4584,17.73,1,6,1.5167,MAX_STEP,0,4026,467,6478,0,0,4591,0,0,0,0
23,0,1,1,ACCEPT,13.7554,2.7754,4746,0,0,1.0000,155.00,497.00,108.16,62.40,148.50,513.50,107.00,35.00,0.4496,17.73,1,7,1.6697,MAX_STEP,0,4313,411,6605,0,0,4746,0,0,0,0
24,0,1,1,ACCEPT,13.3322,2.6358,4589,0,0,1.0000,155.00,497.00,108.16,62.40,148.00,515.00,106.00,32.00,0.4048,19.31,1,8,1.7111,MAX_STEP,0,4256,497,6443,0,0,4589,0,0,0,0
25,0,1,1,ACCEPT,13.2656,2.6413,4551,0,0,1.0000,155.00,497.00,108.16,62.40,149.50,516.00,103.00,32.00,0.3907,19.78,1,9,1.6912,MAX_STEP,0,3933,542,6337,0,0,4551,0,0,0,0
26,0,1,1,ACCEPT,13.8917,2.6288,4624,1,0,0.9894,158.38,497.00,108.16,62.40,151.00,516.00,104.00,30.00,0.3737,20.38,1,7,1.5758,MAX_STEP,0,3881,495,6268,0,0,4624,0,0,0,0
27,0,1,1,ACCEPT,13.9433,2.7294,4498,0,0,1.0000,158.38,497.00,108.16,62.40,152.00,516.50,102.00,29.00,0.3632,20.52,1,7,1.3837,MAX_STEP,0,3608,514,5286,0,0,4498,0,0,0,0
28,0,1,1,ACCEPT,14.8061,2.9973,4475,0,0,1.0000,158.38,497.00,108.16,62.40,153.00,517.50,98.00,27.00,0.3363,21.19,1,1,1.4235,LOW_CONF,0,3395,432,5129,0,0,4475,0,0,0,0
29,0,1,1,ACCEPT,15.3247,2.8821,4499,0,0,1.0000,158.38,497.00,108.16,62.40,155.50,518.00,99.00,26.00,0.3269,21.20,1,0,1.5420,LOW_CONF,0,3572,695,4528,0,0,4499,0,0,0,0
30,0,1,1,ACCEPT,15.4701,2.7348,4403,0,0,1.0000,158.38,497.00,108.16,62.40,157.50,517.50,97.00,25.00,0.3250,20.52,1,-1,1.9212,LOW_CONF,0,3429,639,4322,0,0,4403,0,0,0,0
31,0,1,1,ACCEPT,15.3396,2.6841,4249,0,0,1.0000,158.38,497.00,108.16,62.40,159.00,517.50,96.00,25.00,0.3218,20.51,1,0,2.3323,ACCEPT,0,3355,669,3498,0,0,4249,0,0,0,0
32,0,1,1,ACCEPT,14.9720,2.5849,4216,0,0,1.0000,158.38,497.00,108.16,62.40,163.00,518.00,92.00,22.00,0.2859,21.50,1,0,2.5836,ACCEPT,0,3670,504,3137,0,0,4216,0,0,0,0
33,0,1,1,ACCEPT,13.6614,2.2595,3823,1,0,0.9895,161.75,497.00,112.49,64.90,167.00,517.50,88.00,21.00,0.2532,21.16,1,1,2.3748,ACCEPT,0,3706,627,3073,0,0,3823,0,0,0,0
34,0,1,1,ACCEPT,11.5934,2.2880,3368,0,0,1.0000,161.75,497.00,116.99,67.49,170.50,516.50,85.00,19.00,0.2045,21.37,1,1,2.4080,ACCEPT,0,4026,601,2892,0,0,3368,0,0,0,0
35,0,1,1,ACCEPT,10.1245,2.3541,3357,0,0,1.0000,161.75,497.00,116.99,67.49,176.50,516.50,79.00,19.00,0.1901,24.45,1,0,2.4444,ACCEPT,0,5207,777,2529,0,0,3357,0,0,0,0
36,0,1,1,ACCEPT,9.5224,1.8692,3357,0,0,1.0000,161.75,497.00,116.99,67.49,188.00,516.50,92.00,17.00,0.1636,32.70,1,0,2.7008,ACCEPT,0,6112,782,2856,0,0,3357,0,0,0,0
