frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,98.00,60.50,82.00,75.00,98.00,60.50,82.00,75.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,503,12365,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,41.1226,9.0438,8058,1,2,0.4067,100.56,65.19,82.00,75.00,101.00,69.00,82.00,70.00,0.8910,3.84,1,0,3.2357,ACCEPT,0,3570,357,14388,0,0,8058,0,0,0,0
2,0,1,1,ACCEPT,25.0803,4.9911,7831,2,2,0.2900,105.69,69.88,82.00,75.00,106.00,73.50,84.00,69.00,0.8845,3.64,1,0,3.1428,ACCEPT,0,4344,432,11670,0,0,7831,0,0,0,0
3,0,1,1,ACCEPT,20.6747,3.8877,7060,3,2,0.1824,113.38,74.56,82.00,75.00,111.50,82.00,81.00,62.00,0.7706,7.67,1,0,2.9078,ACCEPT,0,4718,353,11350,0,0,7060,0,0,0,0
4,0,1,1,ACCEPT,19.5394,3.8041,7962,1,3,0.2027,115.94,81.59,78.85,72.12,115.50,91.00,77.00,62.00,0.7373,9.42,1,-1,2.8908,ACCEPT,0,6447,430,10834,0,0,7962,0,0,0,0
5,0,1,1,ACCEPT,15.9869,3.4853,9013,0,5,0.1094,115.94,92.84,78.85,72.12,119.00,100.50,82.00,63.00,0.7453,8.25,1,0,2.5485,ACCEPT,0,7832,423,10869,0,0,9013,0,0,0,0
6,0,1,1,ACCEPT,13.3310,2.4752,8698,1,5,0.1005,118.41,104.09,75.81,69.34,123.00,109.50,80.00,67.00,0.7649,7.09,1,-1,2.5021,ACCEPT,0,9941,634,9351,0,0,8698,0,0,0,0
7,0,1,1,ACCEPT,12.4212,2.1257,8930,0,2,0.5739,118.41,108.44,75.81,69.34,125.50,117.50,77.00,65.00,0.6460,11.51,1,0,2.6127,ACCEPT,0,10797,391,8533,0,0,8930,0,0,0,0
8,0,1,1,ACCEPT,12.0779,2.1710,8228,2,4,0.1631,123.16,117.12,72.90,66.67,126.50,125.00,81.00,66.00,0.7169,8.56,1,-1,2.6329,ACCEPT,0,8069,310,11378,0,0,8228,0,0,0,0
9,0,1,1,ACCEPT,14.2778,2.6267,11182,2,5,0.2021,127.72,127.52,72.90,66.67,132.00,138.00,78.00,70.00,0.6637,11.32,1,0,2.8122,ACCEPT,0,9460,608,7678,0,0,11182,0,0,0,0
10,0,1,1,ACCEPT,16.7436,3.0990,12052,0,4,0.2328,127.72,135.83,72.90,66.67,134.00,148.50,76.00,67.00,0.5898,14.14,1,0,2.8830,ACCEPT,0,9117,363,9395,0,0,12052,0,0,0,0
11,0,1,1,ACCEPT,17.4109,2.9804,12923,0,4,0.1684,127.72,144.14,72.90,66.67,132.00,155.00,74.00,66.00,0.6496,11.67,1,0,2.8342,ACCEPT,0,10820,444,9520,0,0,12923,0,0,0,0
12,0,1,1,ACCEPT,16.6365,3.6133,14941,-1,4,0.1241,125.44,152.45,72.90,66.67,130.00,161.50,72.00,65.00,0.6781,10.13,1,0,2.8582,ACCEPT,0,13859,349,9865,0,0,14941,0,0,0,0
13,0,1,1,ACCEPT,17.3083,3.6422,19209,-1,3,0.4025,123.16,158.69,70.09,64.11,128.00,166.50,74.00,63.00,0.6925,9.19,1,-1,2.7616,ACCEPT,0,17952,281,11427,0,0,19209,0,0,0,0
14,0,1,1,ACCEPT,20.4570,4.3337,21972,-2,2,0.3743,118.78,162.69,70.09,64.11,124.50,170.00,73.00,62.00,0.6858,9.28,1,0,2.8313,ACCEPT,0,18465,285,9969,0,0,21972,0,0,0,0
15,0,1,1,ACCEPT,22.3254,4.3093,22038,-2,3,0.2859,114.41,168.69,70.09,64.11,119.50,173.00,73.00,62.00,0.7630,6.67,1,0,2.7744,ACCEPT,0,17102,296,8502,0,0,22038,0,0,0,0
16,0,1,1,ACCEPT,25.8761,4.1169,22680,-1,3,0.3437,112.22,174.69,70.09,64.11,119.00,178.00,74.00,64.00,0.7529,7.55,1,0,2.7959,ACCEPT,0,14673,272,8833,0,0,22680,0,0,0,0
17,0,1,1,ACCEPT,24.9525,4.2767,23073,-1,3,0.2922,110.03,180.69,67.40,61.64,114.50,184.50,75.00,63.00,0.7847,5.87,1,-1,2.7920,ACCEPT,0,15165,335,8190,0,0,23073,0,0,0,0
18,0,1,1,ACCEPT,24.1798,5.2006,21463,-2,5,0.0700,105.81,190.30,67.40,61.64,113.50,193.50,73.00,65.00,0.7309,8.33,1,0,2.7055,ACCEPT,0,15747,372,9024,0,0,21463,0,0,0,0
19,0,1,1,ACCEPT,22.0711,4.1864,17026,-1,7,0.2045,103.70,203.75,67.40,61.64,111.00,206.00,74.00,64.00,0.7604,7.64,1,0,2.6307,ACCEPT,0,13147,437,7943,0,0,17026,0,0,0,0
20,0,1,1,ACCEPT,20.8038,5.0048,14749,0,8,0.1011,103.70,219.12,67.40,61.64,113.50,223.50,71.00,67.00,0.6655,10.73,1,0,2.7258,ACCEPT,0,13559,404,7792,0,0,14749,0,0,0,0
21,0,1,1,ACCEPT,21.1427,4.4235,13381,0,9,0.0857,103.70,236.42,67.40,61.64,110.00,240.00,72.00,68.00,0.7514,7.24,1,0,2.6785,ACCEPT,0,10426,504,7093,0,0,13381,0,0,0,0
22,0,1,1,ACCEPT,21.3989,4.2600,12307,0,9,0.1227,103.70,253.72,67.40,61.64,111.00,258.00,76.00,68.00,0.7189,8.46,1,0,2.7290,ACCEPT,0,9886,424,7083,0,0,12307,0,0,0,0
23,0,1,1,ACCEPT,20.7906,3.9982,13222,-1,8,0.1668,101.59,269.09,67.40,61.64,110.00,272.00,74.00,68.00,0.7182,8.89,1,0,2.6286,ACCEPT,0,10864,395,7272,0,0,13222,0,0,0,0
24,0,1,1,ACCEPT,20.0432,4.4442,12906,0,8,0.1484,101.59,284.47,67.40,61.64,109.50,288.00,73.00,64.00,0.7195,8.66,1,0,2.8041,ACCEPT,0,10637,466,7246,0,0,12906,0,0,0,0
25,0,1,1,ACCEPT,21.0124,4.0593,14248,0,8,0.1484,101.59,299.84,67.40,61.64,109.50,300.50,75.00,73.00,0.6811,7.93,1,0,2.8246,ACCEPT,0,10719,355,8092,0,0,14248,0,0,0,0
26,0,1,1,ACCEPT,23.8396,5.0549,17020,0,6,0.0765,101.59,311.38,67.40,61.64,109.00,310.50,74.00,73.00,0.6899,7.46,1,0,2.8817,ACCEPT,0,11570,342,8209,0,0,17020,0,0,0,0
27,0,1,1,ACCEPT,25.2228,5.2923,18523,-1,4,0.1179,99.48,319.06,67.40,61.64,108.50,320.50,71.00,67.00,0.7132,9.13,1,0,2.9238,ACCEPT,0,12014,388,7955,0,0,18523,0,0,0,0
28,0,1,1,ACCEPT,26.5738,4.8536,19997,-1,1,0.8825,97.38,320.98,67.40,61.64,105.50,325.00,73.00,62.00,0.7046,9.06,1,0,2.9261,ACCEPT,0,12078,466,7512,0,0,19997,0,0,0,0
29,0,1,1,ACCEPT,26.9969,5.1178,21070,0,0,1.0000,97.38,320.98,67.40,61.64,105.00,323.50,68.00,65.00,0.7422,8.03,1,0,3.0351,ACCEPT,0,12111,372,7211,0,0,21070,0,0,0,0
30,0,1,1,ACCEPT,25.9876,4.9127,20476,0,-4,0.3456,97.38,313.30,67.40,61.64,107.00,319.50,72.00,63.00,0.6338,11.45,1,0,2.9124,ACCEPT,0,11786,355,6796,0,0,20476,0,0,0,0
