frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,273.50,308.00,41.00,46.00,273.50,308.00,41.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,76,11662,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,49.9618,11.5823,3799,0,-1,0.8760,273.50,306.56,41.00,46.00,272.00,303.00,52.00,52.00,0.6831,3.87,1,0,3.2880,ACCEPT,0,1712,74,11481,0,0,3799,0,0,0,0
2,0,1,1,ACCEPT,34.9540,8.5196,3476,1,0,0.9983,274.78,306.56,41.00,46.00,273.50,305.00,55.00,46.00,0.7023,2.02,1,0,3.1424,ACCEPT,0,1835,78,10093,0,0,3476,0,0,0,0
3,0,1,1,ACCEPT,28.2873,5.6475,3140,1,1,0.6596,276.06,308.00,41.00,46.00,275.50,306.50,55.00,49.00,0.6998,1.60,1,0,3.1812,ACCEPT,0,1594,80,7983,0,0,3140,0,0,0,0
4,0,1,1,ACCEPT,27.4028,4.4775,3179,0,0,1.0000,276.06,308.00,41.00,46.00,273.00,305.50,54.00,47.00,0.6885,3.95,1,0,3.1570,ACCEPT,0,1634,77,8635,0,0,3179,0,0,0,0
5,0,1,1,ACCEPT,30.5847,4.8934,3763,3,0,0.4770,279.91,308.00,41.00,46.00,275.00,305.00,54.00,44.00,0.6780,5.75,1,0,3.2259,ACCEPT,0,1713,82,10793,0,0,3763,0,0,0,0
6,0,1,1,ACCEPT,30.0068,5.5499,4451,0,0,1.0000,279.91,308.00,41.00,46.00,276.50,305.00,57.00,48.00,0.6402,4.54,1,0,3.2237,ACCEPT,0,2326,79,11819,0,0,4451,0,0,0,0
7,0,1,1,ACCEPT,33.6704,6.0769,6004,2,0,0.6937,282.47,308.00,41.00,46.00,279.50,304.00,55.00,46.00,0.6392,4.98,1,0,3.2620,ACCEPT,0,2951,89,11358,0,0,6004,0,0,0,0
8,0,1,1,ACCEPT,31.0058,7.3739,6113,2,-1,0.6637,285.03,306.56,41.00,46.00,282.00,304.00,56.00,48.00,0.6620,3.97,1,0,3.1718,ACCEPT,0,3172,88,10969,0,0,6113,0,0,0,0
9,0,1,1,ACCEPT,26.7005,5.7937,6205,1,-1,0.8828,286.31,305.12,41.00,46.00,285.00,303.50,52.00,47.00,0.7389,2.09,1,0,3.1541,ACCEPT,0,3901,93,9323,0,0,6205,0,0,0,0
