frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,118.00,378.50,14.00,81.00,118.00,378.50,14.00,81.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,209,26014,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,9.3832,2.4925,167,3,-4,0.0359,119.31,368.38,14.00,81.00,120.50,368.50,13.00,83.00,0.8204,1.19,1,0,3.3266,ACCEPT,0,358,143,31465,0,0,167,0,0,0,0
2,0,1,1,ACCEPT,10.4289,2.3832,255,4,-2,0.2745,121.06,363.31,14.00,81.00,122.00,358.00,12.00,82.00,0.7595,5.39,1,0,3.1771,ACCEPT,0,344,129,32767,0,0,255,0,0,0,0
3,0,1,1,ACCEPT,7.6781,1.4895,283,3,-3,0.4346,122.38,355.72,14.00,81.00,121.00,350.00,14.00,82.00,0.7219,5.88,1,0,3.1688,ACCEPT,0,510,117,32767,0,0,283,0,0,0,0
4,0,1,1,ACCEPT,5.1285,1.0358,289,2,0,0.7093,123.25,355.72,14.00,81.00,121.50,342.50,15.00,83.00,0.5838,13.33,1,0,2.9527,ACCEPT,0,776,126,32767,0,0,289,0,0,0,0
5,0,1,1,ACCEPT,5.1708,1.1255,287,3,2,0.6794,124.56,360.78,14.00,81.00,121.00,334.50,16.00,81.00,0.3469,26.52,1,0,2.6148,ACCEPT,0,825,106,32767,0,0,287,0,0,0,0
6,0,1,1,ACCEPT,5.8804,1.2918,301,-1,-2,0.6213,124.12,355.72,14.00,81.00,121.00,328.00,16.00,80.00,0.3507,27.89,1,0,3.0934,ACCEPT,0,676,92,32767,0,0,301,0,0,0,0
7,0,1,0,LOW_PSR,3.8962,1.0027,369,10,-13,0.5854,124.12,355.72,14.00,81.00,118.00,321.50,34.00,67.00,0.1951,34.76,0,0,0.0000,NOT_RUN,0,1373,74,0,0,0,369,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-6.3996,1.0496,-444,0,0,1.0000,124.12,355.72,14.00,81.00,116.50,318.00,53.00,54.00,0.1165,38.48,0,0,0.0000,NOT_RUN,0,1285,109,0,0,0,444,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-6.8888,1.0597,-355,0,-2,0.5155,124.12,355.72,14.00,81.00,115.00,312.50,66.00,45.00,0.0724,44.17,0,0,0.0000,NOT_RUN,0,1025,131,0,0,0,355,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-6.8903,1.0557,-303,0,-3,0.1881,124.12,355.72,14.00,81.00,112.00,306.50,76.00,37.00,0.0360,50.69,0,0,0.0000,NOT_RUN,0,848,106,0,0,0,303,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-6.4704,1.0114,-266,-4,-3,0.0376,124.12,355.72,14.00,81.00,107.00,300.00,80.00,30.00,0.0000,58.29,0,0,0.0000,NOT_RUN,0,763,90,0,0,0,266,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-6.4654,1.0079,-255,-6,-4,0.0392,124.12,355.72,14.00,81.00,101.00,297.00,84.00,30.00,0.0000,63.11,0,0,0.0000,NOT_RUN,0,721,74,0,0,0,255,0,0,0,0
