frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,67.00,233.00,78.00,90.00,67.00,233.00,78.00,90.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1455,23795,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,59.7624,14.2626,3965,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,91.00,0.9765,0.71,1,0,0.0000,NOT_RUN,0,1877,1254,24459,0,0,3965,0,0,0,0
2,0,1,1,ACCEPT,58.9795,15.0720,3979,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,0.0000,NOT_RUN,0,1937,1130,23359,0,0,3979,0,0,0,0
3,0,1,1,ACCEPT,59.4830,13.9733,4192,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,89.00,0.9765,0.71,1,0,0.0000,NOT_RUN,0,2017,999,23400,0,0,4192,0,0,0,0
4,0,1,1,ACCEPT,61.2394,14.5684,4152,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,0.0000,NOT_RUN,0,1923,815,25075,0,0,4152,0,0,0,0
5,0,1,1,ACCEPT,58.4763,12.5621,4045,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,231.50,80.00,91.00,0.9435,1.80,1,0,0.0000,NOT_RUN,0,2013,657,26207,0,0,4045,0,0,0,0
6,0,1,1,ACCEPT,56.0080,11.6950,3988,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,0.0000,NOT_RUN,0,1908,599,24688,0,0,3988,0,0,0,0
7,0,1,1,ACCEPT,53.7083,11.8464,4087,0,0,1.0000,67.00,233.00,78.00,90.00,68.00,232.00,78.00,92.00,0.9538,1.41,1,0,0.0000,NOT_RUN,0,1960,567,24338,0,0,4087,0,0,0,0
8,0,1,1,ACCEPT,47.3134,9.7050,3882,0,0,1.0000,67.00,233.00,78.00,90.00,69.50,230.50,79.00,91.00,0.8892,3.54,1,0,0.0000,NOT_RUN,0,1851,465,24262,0,0,3882,0,0,0,0
9,0,1,1,ACCEPT,40.1480,8.0473,3911,1,-1,0.9473,69.44,230.19,78.00,90.00,70.50,229.50,79.00,91.00,0.9587,1.27,1,0,0.0000,NOT_RUN,0,1937,398,25563,0,0,3911,0,0,0,0
