frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,207.50,550.50,25.00,29.00,207.50,550.50,25.00,29.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,720,10399,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,31.2018,6.3807,1391,8,-2,0.0884,213.75,548.69,25.00,29.00,213.50,548.00,27.00,30.00,0.8842,0.73,1,0,0.0000,NOT_RUN,0,1074,616,8642,0,0,1391,0,0,0,0
2,0,1,1,ACCEPT,24.4590,3.8041,1107,9,-3,0.1391,220.78,545.97,25.00,29.00,220.00,546.00,26.00,30.00,0.9095,0.78,1,0,0.0000,NOT_RUN,0,779,648,5461,0,0,1107,0,0,0,0
3,0,1,1,ACCEPT,22.5109,4.2233,870,10,-2,0.2172,228.59,544.16,25.00,29.00,227.50,543.00,29.00,32.00,0.7812,1.59,1,0,0.0000,NOT_RUN,0,579,557,6444,0,0,870,0,0,0,0
4,0,1,1,ACCEPT,21.5409,3.9620,1252,9,-1,0.2181,235.62,543.25,25.00,29.00,235.00,541.50,26.00,29.00,0.8461,1.86,1,0,0.0000,NOT_RUN,0,773,473,7657,0,0,1252,0,0,0,0
5,0,1,1,ACCEPT,20.3127,3.3568,1336,9,-2,0.1984,242.66,541.44,25.00,29.00,242.00,540.00,26.00,28.00,0.8612,1.58,1,0,0.0000,NOT_RUN,0,871,432,6522,0,0,1336,0,0,0,0
6,0,1,1,ACCEPT,20.5513,3.2973,1098,9,-1,0.2678,249.69,540.53,25.00,29.00,249.50,539.00,25.00,28.00,0.8853,1.54,1,0,0.0000,NOT_RUN,0,804,388,5053,0,0,1098,0,0,0,0
7,0,1,1,ACCEPT,21.6470,3.6000,936,8,-1,0.2212,255.94,539.62,25.00,29.00,255.50,539.00,25.00,28.00,0.9248,0.76,1,0,0.0000,NOT_RUN,0,725,367,5337,0,0,936,0,0,0,0
8,0,1,1,ACCEPT,21.2997,3.4629,1167,7,2,0.0874,261.41,541.44,25.00,29.00,261.00,540.00,26.00,32.00,0.8714,1.49,1,0,0.0000,NOT_RUN,0,1016,321,7344,0,0,1167,0,0,0,0
9,0,1,1,ACCEPT,22.0312,2.8955,1691,5,3,0.0934,265.31,544.16,25.00,29.00,263.50,542.50,25.00,29.00,0.7770,2.46,1,0,0.0000,NOT_RUN,0,1277,287,9045,0,0,1691,0,0,0,0
10,0,1,1,ACCEPT,22.3356,2.2190,2077,4,4,0.1021,268.44,547.78,25.00,29.00,266.50,545.50,25.00,29.00,0.7390,2.99,1,0,0.0000,NOT_RUN,0,1298,251,9381,0,0,2077,0,0,0,0
11,0,1,1,ACCEPT,21.1441,1.8840,2193,3,6,0.0301,270.78,553.22,25.00,29.00,270.00,551.50,24.00,29.00,0.8361,1.89,1,0,0.0000,NOT_RUN,0,1303,229,9305,0,0,2193,0,0,0,0
12,0,1,1,ACCEPT,21.2776,1.9810,1775,2,9,0.0935,272.34,561.38,25.00,29.00,272.00,560.00,24.00,28.00,0.8727,1.42,1,0,0.0000,NOT_RUN,0,971,212,6167,0,0,1775,0,0,0,0
13,0,1,1,ACCEPT,20.2725,1.7957,1266,3,10,0.0900,274.69,570.44,25.00,29.00,275.00,569.00,24.00,30.00,0.8730,1.47,1,0,0.0000,NOT_RUN,0,694,171,6303,0,0,1266,0,0,0,0
14,0,1,1,ACCEPT,19.1891,1.7562,922,3,10,0.1182,277.03,579.50,25.00,29.00,277.50,577.00,25.00,28.00,0.8102,2.54,1,0,0.0000,NOT_RUN,0,586,135,4649,0,0,922,0,0,0,0
15,0,1,1,ACCEPT,17.8181,1.4521,591,4,11,0.1286,280.16,589.47,25.00,29.00,280.00,587.50,24.00,27.00,0.8349,1.97,1,0,0.0000,NOT_RUN,0,370,94,4002,0,0,591,0,0,0,0
