frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,584.00,55.00,46.00,68.00,584.00,55.00,46.00,68.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,738,13258,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,26.1554,5.2945,3002,7,10,0.0187,594.06,76.25,46.00,68.00,595.00,78.00,46.00,68.00,0.9128,1.99,1,0,0.0000,NOT_RUN,0,2052,566,11978,0,0,3002,0,0,0,0
2,0,1,1,ACCEPT,21.3498,5.3908,3283,8,12,0.0746,605.56,101.75,46.00,68.00,604.00,102.00,46.00,70.00,0.9085,1.58,1,0,0.0000,NOT_RUN,0,2686,493,10525,0,0,3283,0,0,0,0
3,0,1,1,ACCEPT,16.1237,3.0633,3051,6,11,0.1537,614.19,125.12,46.00,68.00,615.00,127.00,48.00,70.00,0.9081,2.04,1,0,0.0000,NOT_RUN,0,2828,461,13525,0,0,3051,0,0,0,0
4,0,1,1,ACCEPT,14.9678,2.9674,3187,7,11,0.2014,624.25,148.50,46.00,68.00,623.00,152.50,48.00,69.00,0.8457,4.19,1,0,0.0000,NOT_RUN,0,3126,349,13247,0,0,3187,0,0,0,0
5,0,1,1,ACCEPT,12.8878,2.6320,2661,6,12,0.0985,632.88,174.00,46.00,68.00,631.00,179.50,48.00,71.00,0.7917,5.81,1,0,0.0000,NOT_RUN,0,3049,293,11974,0,0,2661,0,0,0,0
6,0,1,1,ACCEPT,11.3467,2.4500,2450,5,12,0.2261,640.06,199.50,46.00,68.00,639.50,205.00,45.00,70.00,0.8333,5.53,1,0,0.0000,NOT_RUN,0,2883,297,11980,0,0,2450,0,0,0,0
7,0,1,1,ACCEPT,10.0964,2.3993,1977,5,13,0.2519,647.25,227.12,46.00,68.00,646.00,233.00,46.00,70.00,0.8018,6.01,1,0,0.0000,NOT_RUN,0,2658,230,12374,0,0,1977,0,0,0,0
8,0,1,1,ACCEPT,10.1376,1.7410,2023,5,13,0.2714,654.44,254.75,46.00,68.00,653.50,260.50,43.00,71.00,0.7969,5.83,1,0,0.0000,NOT_RUN,0,2961,119,11431,0,0,2023,0,0,0,0
9,0,1,1,ACCEPT,9.6964,2.0306,2124,5,14,0.1356,661.62,284.50,46.00,68.00,660.50,291.00,45.00,70.00,0.7914,6.60,1,0,0.0000,NOT_RUN,0,3129,189,8566,0,0,2124,0,0,0,0
10,0,1,1,ACCEPT,8.4249,1.8273,1767,5,14,0.3809,668.81,314.25,46.00,68.00,667.00,322.50,46.00,69.00,0.7315,8.45,1,0,0.0000,NOT_RUN,0,2686,120,8092,0,0,1767,0,0,0,0
11,0,1,1,ACCEPT,8.4058,1.6114,1447,4,16,0.2336,674.56,348.25,46.00,68.00,674.50,355.00,47.00,68.00,0.8035,6.75,1,0,0.0000,NOT_RUN,0,2128,93,9844,0,0,1447,0,0,0,0
12,0,1,1,ACCEPT,6.8059,1.0618,1425,3,15,0.6288,678.88,380.12,46.00,68.00,679.00,388.00,48.00,68.00,0.7627,7.88,1,0,0.0000,NOT_RUN,0,2781,179,6721,0,0,1425,0,0,0,0
13,0,1,1,ACCEPT,6.4013,1.3458,1335,3,15,0.5311,683.19,412.00,46.00,68.00,684.00,421.50,50.00,65.00,0.6981,9.53,1,0,0.0000,NOT_RUN,0,2600,151,7564,0,0,1335,0,0,0,0
14,0,1,1,ACCEPT,7.1563,1.4016,1539,1,16,0.4334,684.62,446.00,46.00,68.00,686.00,455.00,52.00,64.00,0.6839,9.10,1,0,0.0000,NOT_RUN,0,2705,96,6457,0,0,1539,0,0,0,0
15,0,1,1,ACCEPT,7.9916,1.2829,1551,1,15,0.5248,686.06,477.88,46.00,68.00,687.00,487.00,54.00,64.00,0.6594,9.17,1,0,0.0000,NOT_RUN,0,2267,82,6386,0,0,1551,0,0,0,0
