frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,159.50,317.00,75.00,110.00,159.50,317.00,75.00,110.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,896,18517,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,59.4076,12.0318,4163,1,0,0.9813,161.84,317.00,75.00,110.00,157.50,312.00,77.00,114.00,0.8191,6.62,1,0,0.0000,NOT_RUN,0,1650,786,21657,0,0,4163,0,0,0,0
2,0,1,1,ACCEPT,45.4102,9.5124,4604,0,-1,0.9835,161.84,313.56,75.00,110.00,161.00,318.00,78.00,116.00,0.8893,4.52,1,0,0.0000,NOT_RUN,0,2075,687,26288,0,0,4604,0,0,0,0
3,0,1,1,ACCEPT,35.3982,7.8930,4720,1,0,0.8881,164.19,313.56,75.00,110.00,162.00,319.00,80.00,114.00,0.8522,5.86,1,0,0.0000,NOT_RUN,0,2427,700,21388,0,0,4720,0,0,0,0
4,0,1,1,ACCEPT,26.3748,6.2349,4034,1,0,0.9591,166.53,313.56,75.00,110.00,162.00,319.50,80.00,115.00,0.8038,7.47,1,0,0.0000,NOT_RUN,0,2317,605,24394,0,0,4034,0,0,0,0
5,0,1,1,ACCEPT,21.6362,3.9392,3888,0,-1,0.9493,166.53,310.12,75.00,110.00,165.50,321.50,77.00,117.00,0.7973,11.42,1,0,0.0000,NOT_RUN,0,2592,537,21894,0,0,3888,0,0,0,0
6,0,1,1,ACCEPT,18.7412,1.6087,3684,0,-1,0.9995,166.53,306.69,75.00,110.00,166.50,322.50,79.00,119.00,0.7221,15.81,1,0,0.0000,NOT_RUN,0,2527,524,22372,0,0,3684,0,0,0,0
7,0,1,1,ACCEPT,19.9669,1.8638,4268,0,0,1.0000,166.53,306.69,75.00,110.00,169.00,325.00,76.00,114.00,0.6793,18.48,1,0,0.0000,NOT_RUN,0,2739,448,25596,0,0,4268,0,0,0,0
8,0,1,1,ACCEPT,20.8077,2.3016,5243,0,-1,0.9895,166.53,303.25,75.00,110.00,167.00,328.00,80.00,116.00,0.6066,24.75,1,0,0.0000,NOT_RUN,0,3102,390,25816,0,0,5243,0,0,0,0
9,0,1,1,ACCEPT,22.5753,2.9406,5887,0,0,1.0000,166.53,303.25,75.00,110.00,169.00,332.00,76.00,118.00,0.5664,28.86,1,0,0.0000,NOT_RUN,0,3374,331,24295,0,0,5887,0,0,0,0
