frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,338.50,663.00,141.00,32.00,338.50,663.00,141.00,32.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1225,13656,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,55.7531,12.7135,7323,1,0,0.9257,342.91,663.00,141.00,32.00,342.00,663.50,142.00,33.00,0.9574,1.04,1,0,0.0000,NOT_RUN,0,2794,1222,12621,0,0,7323,0,0,0,0
2,0,1,1,ACCEPT,43.6012,8.8344,6723,0,1,0.9415,342.91,664.00,141.00,32.00,344.50,663.00,141.00,34.00,0.9207,1.88,1,0,0.0000,NOT_RUN,0,3131,999,12319,0,0,6723,0,0,0,0
3,0,1,1,ACCEPT,40.3046,7.8411,6563,1,2,0.6171,347.31,666.00,141.00,32.00,346.50,665.50,141.00,35.00,0.9043,0.95,1,0,0.0000,NOT_RUN,0,3109,1016,10866,0,0,6563,0,0,0,0
4,0,1,1,ACCEPT,37.5362,7.5771,6827,0,0,1.0000,347.31,666.00,141.00,32.00,347.00,662.50,142.00,41.00,0.7750,3.51,1,0,0.0000,NOT_RUN,0,3621,806,13049,0,0,6827,0,0,0,0
5,0,1,1,ACCEPT,25.0439,4.1790,4810,1,-4,0.4422,351.72,662.00,141.00,32.00,350.50,658.00,143.00,42.00,0.7492,4.18,1,0,0.0000,NOT_RUN,0,3776,450,13700,0,0,4810,0,0,0,0
6,0,1,1,ACCEPT,27.4594,4.9451,4772,1,-8,0.0224,356.12,654.00,141.00,32.00,354.00,655.00,142.00,46.00,0.6774,2.35,1,0,0.0000,NOT_RUN,0,3233,531,9997,0,0,4772,0,0,0,0
7,0,1,1,ACCEPT,33.7589,6.1310,5383,0,-1,0.8937,356.12,653.00,141.00,32.00,355.00,656.00,140.00,48.00,0.6586,3.20,1,0,0.0000,NOT_RUN,0,3193,649,8727,0,0,5383,0,0,0,0
8,0,1,1,ACCEPT,31.9899,6.0349,6228,0,4,0.2898,356.12,657.00,141.00,32.00,357.00,663.00,140.00,58.00,0.5473,6.06,1,0,0.0000,NOT_RUN,0,3900,566,11847,0,0,6228,0,0,0,0
9,0,1,1,ACCEPT,31.0455,5.3533,6954,1,0,0.9935,360.53,657.00,141.00,32.00,358.00,666.50,140.00,53.00,0.5873,9.83,1,0,0.0000,NOT_RUN,0,4341,515,12500,0,0,6954,0,0,0,0
10,0,1,1,ACCEPT,30.6251,4.9062,6589,0,-4,0.4107,360.53,653.00,141.00,32.00,358.50,661.00,141.00,62.00,0.5049,8.25,1,0,0.0000,NOT_RUN,0,4451,419,11642,0,0,6589,0,0,0,0
11,0,1,1,ACCEPT,30.5063,4.6430,6073,1,-6,0.1205,364.94,647.00,141.00,32.00,361.00,661.00,144.00,70.00,0.4365,14.54,1,0,0.0000,NOT_RUN,0,3884,332,14629,0,0,6073,0,0,0,0
12,0,1,1,ACCEPT,32.5765,5.8316,7447,1,-3,0.5335,369.34,644.00,141.00,32.00,370.50,659.00,139.00,74.00,0.4291,15.04,1,0,0.0000,NOT_RUN,0,4439,244,21762,0,0,7447,0,0,0,0
13,0,1,1,ACCEPT,34.4340,5.6070,8646,2,-2,0.4352,378.16,642.00,141.00,32.00,379.50,662.00,139.00,68.00,0.4243,20.05,1,0,0.0000,NOT_RUN,0,5126,171,20062,0,0,8646,0,0,0,0
14,0,1,1,ACCEPT,31.8545,5.3517,7107,2,-6,0.0826,386.97,636.00,141.00,32.00,383.50,659.00,139.00,68.00,0.3587,23.26,1,0,0.0000,NOT_RUN,0,4549,284,11737,0,0,7107,0,0,0,0
15,0,1,1,ACCEPT,37.8907,6.3479,7262,0,-3,0.5717,386.97,633.00,141.00,32.00,384.50,652.50,137.00,75.00,0.4194,19.66,1,0,0.0000,NOT_RUN,0,4125,463,9188,0,0,7262,0,0,0,0
16,0,1,1,ACCEPT,34.3866,6.8636,6541,-1,4,0.1813,382.56,637.00,141.00,32.00,382.50,658.50,137.00,69.00,0.3976,21.50,1,0,0.0000,NOT_RUN,0,4348,657,10749,0,0,6541,0,0,0,0
17,0,1,1,ACCEPT,31.8237,5.7966,6556,-1,7,0.0804,378.16,644.00,141.00,32.00,378.00,664.50,138.00,67.00,0.4102,20.50,1,0,0.0000,NOT_RUN,0,4810,610,12319,0,0,6556,0,0,0,0
18,0,1,1,ACCEPT,34.1243,6.0364,6797,-1,6,0.0356,373.75,650.00,141.00,32.00,373.00,669.50,138.00,63.00,0.4136,19.51,1,0,0.0000,NOT_RUN,0,4451,486,13953,0,0,6797,0,0,0,0
19,0,1,1,ACCEPT,39.4971,8.4277,8158,-1,2,0.6547,369.34,652.00,141.00,32.00,370.00,671.00,138.00,62.00,0.4198,19.01,1,0,0.0000,NOT_RUN,0,4509,615,13045,0,0,8158,0,0,0,0
20,0,1,1,ACCEPT,30.4932,4.8659,6676,0,-5,0.3129,369.34,647.00,141.00,32.00,368.50,665.00,139.00,62.00,0.4430,18.02,1,0,0.0000,NOT_RUN,0,4558,445,14027,0,0,6676,0,0,0,0
21,0,1,1,ACCEPT,32.6307,5.9935,6449,1,-6,0.1053,373.75,641.00,141.00,32.00,369.00,659.00,140.00,60.00,0.4172,18.62,1,0,0.0000,NOT_RUN,0,4173,502,13111,0,0,6449,0,0,0,0
22,0,1,1,ACCEPT,24.6915,2.4313,4741,-1,1,0.9401,369.34,642.00,141.00,32.00,370.50,661.00,137.00,58.00,0.4004,19.04,1,0,0.0000,NOT_RUN,0,3868,603,13670,0,0,4741,0,0,0,0
23,0,1,1,ACCEPT,23.9382,4.8646,4203,0,12,0.0152,369.34,654.00,141.00,32.00,367.00,671.50,138.00,59.00,0.4357,17.66,1,0,0.0000,NOT_RUN,0,4098,591,10460,0,0,4203,0,0,0,0
24,0,1,1,ACCEPT,34.6992,6.8754,6731,0,6,0.0165,369.34,660.00,141.00,32.00,368.00,672.00,138.00,54.00,0.5566,12.08,1,0,0.0000,NOT_RUN,0,4204,523,11205,0,0,6731,0,0,0,0
25,0,1,1,ACCEPT,35.8115,7.1551,7935,0,-2,0.7932,369.34,658.00,141.00,32.00,368.00,668.00,140.00,54.00,0.5845,10.09,1,0,0.0000,NOT_RUN,0,4553,473,11423,0,0,7935,0,0,0,0
26,0,1,1,ACCEPT,38.3895,8.3375,8004,0,1,0.8536,369.34,659.00,141.00,32.00,367.50,670.50,139.00,53.00,0.5638,11.65,1,0,0.0000,NOT_RUN,0,4412,480,11161,0,0,8004,0,0,0,0
27,0,1,1,ACCEPT,38.8327,7.7486,8167,-1,3,0.4513,364.94,662.00,141.00,32.00,366.00,673.00,140.00,54.00,0.5863,11.05,1,0,0.0000,NOT_RUN,0,4519,510,11427,0,0,8167,0,0,0,0
28,0,1,1,ACCEPT,39.1779,7.1885,8655,-1,2,0.7588,360.53,664.00,141.00,32.00,361.50,674.00,137.00,56.00,0.5621,10.05,1,0,0.0000,NOT_RUN,0,4689,310,15981,0,0,8655,0,0,0,0
29,0,1,1,ACCEPT,40.0910,7.6999,9571,-1,3,0.4533,356.12,667.00,141.00,32.00,356.50,677.50,139.00,57.00,0.5569,10.51,1,0,0.0000,NOT_RUN,0,5108,315,17083,0,0,9571,0,0,0,0
30,0,1,1,ACCEPT,41.3151,9.2245,8874,-1,3,0.4512,351.72,670.00,141.00,32.00,356.50,678.50,129.00,57.00,0.5335,9.75,1,0,0.0000,NOT_RUN,0,4482,382,14062,0,0,8874,0,0,0,0
31,0,1,1,ACCEPT,40.4384,10.6504,8925,-1,1,0.8201,347.31,671.00,141.00,32.00,348.50,680.50,137.00,57.00,0.5523,9.57,1,0,0.0000,NOT_RUN,0,4511,288,16583,0,0,8925,0,0,0,0
32,0,1,1,ACCEPT,39.9362,9.3453,9121,-1,3,0.5014,342.91,674.00,141.00,32.00,349.50,683.00,133.00,56.00,0.5359,11.16,1,0,0.0000,NOT_RUN,0,4788,294,17887,0,0,9121,0,0,0,0
33,0,1,1,ACCEPT,39.5079,8.5343,9072,-1,4,0.2227,338.50,678.00,141.00,32.00,339.00,683.50,140.00,59.00,0.5403,5.52,1,0,0.0000,NOT_RUN,0,4668,276,18272,0,0,9072,0,0,0,0
34,0,1,1,ACCEPT,32.9589,7.9785,7795,-1,-1,0.7960,334.09,677.00,141.00,32.00,334.50,685.50,139.00,53.00,0.5986,8.51,1,0,0.0000,NOT_RUN,0,4847,336,14527,0,0,7795,0,0,0,0
35,0,1,1,ACCEPT,29.2892,6.4869,6675,-1,-7,0.0330,329.69,670.00,141.00,32.00,330.50,678.50,139.00,59.00,0.5382,8.54,1,0,0.0000,NOT_RUN,0,4795,257,14132,0,0,6675,0,0,0,0
36,0,1,1,ACCEPT,30.9017,7.0622,6130,-1,-6,0.0502,325.28,664.00,141.00,32.00,327.50,672.50,139.00,49.00,0.6377,8.78,1,0,0.0000,NOT_RUN,0,4138,348,12798,0,0,6130,0,0,0,0
37,0,1,1,ACCEPT,33.1110,8.1146,7506,0,-4,0.2539,325.28,660.00,141.00,32.00,326.00,665.00,140.00,46.00,0.6904,5.05,1,0,0.0000,NOT_RUN,0,4315,303,15704,0,0,7506,0,0,0,0
38,0,1,1,ACCEPT,35.8000,9.2061,8755,-1,0,0.9878,320.88,660.00,141.00,32.00,322.50,666.00,139.00,42.00,0.7078,6.22,1,0,0.0000,NOT_RUN,0,5133,382,17011,0,0,8755,0,0,0,0
39,0,1,1,ACCEPT,35.4542,7.0319,10154,0,0,1.0000,320.88,660.00,141.00,32.00,320.00,666.00,140.00,38.00,0.7002,6.06,1,0,0.0000,NOT_RUN,0,5641,460,14698,0,0,10154,0,0,0,0
40,0,1,1,ACCEPT,29.9469,6.3882,8854,-1,-4,0.4462,316.47,656.00,141.00,32.00,318.00,657.00,140.00,40.00,0.7850,1.83,1,0,0.0000,NOT_RUN,0,5896,474,15882,0,0,8854,0,0,0,0
41,0,1,1,ACCEPT,25.7536,5.1864,7235,0,-4,0.4681,316.47,652.00,141.00,32.00,317.50,652.50,141.00,43.00,0.7347,1.15,1,0,0.0000,NOT_RUN,0,5815,444,16639,0,0,7235,0,0,0,0
42,0,1,1,ACCEPT,17.2299,2.6982,4927,1,-7,0.1642,320.88,645.00,141.00,32.00,320.00,638.50,142.00,39.00,0.6829,6.56,1,0,0.0000,NOT_RUN,0,5562,304,23470,0,0,4927,0,0,0,0
43,0,1,1,ACCEPT,15.9557,2.8156,4443,0,-8,0.0506,320.88,637.00,141.00,32.00,320.00,628.00,142.00,40.00,0.5937,9.04,1,0,0.0000,NOT_RUN,0,5055,245,22181,0,0,4443,0,0,0,0
44,0,1,1,ACCEPT,9.7065,1.4007,2716,-2,5,0.7051,312.06,642.00,141.00,32.00,314.50,638.00,143.00,40.00,0.7745,4.68,1,0,0.0000,NOT_RUN,0,4873,473,25772,0,0,2716,0,0,0,0
45,0,1,1,ACCEPT,15.7716,2.8276,4247,-1,7,0.2124,307.66,649.00,141.00,32.00,308.50,649.50,141.00,35.00,0.9039,0.98,1,0,0.0000,NOT_RUN,0,3951,319,15098,0,0,4247,0,0,0,0
46,0,1,1,ACCEPT,11.9045,1.9232,4056,0,3,0.7596,307.66,652.00,141.00,32.00,305.50,652.00,137.00,30.00,0.9089,2.16,1,0,0.0000,NOT_RUN,0,4691,430,14055,0,0,4056,0,0,0,0
47,0,1,1,ACCEPT,10.8076,1.8416,4359,0,-1,0.9369,307.66,651.00,141.00,32.00,304.00,646.50,136.00,35.00,0.7294,5.80,1,0,0.0000,NOT_RUN,0,6202,563,12255,0,0,4359,0,0,0,0
48,0,1,1,ACCEPT,9.7335,1.7397,3436,-1,-3,0.7008,303.25,648.00,141.00,32.00,304.50,644.50,137.00,41.00,0.7631,3.72,1,0,0.0000,NOT_RUN,0,5708,361,12978,0,0,3436,0,0,0,0
49,0,1,1,ACCEPT,9.9179,1.3863,3596,0,2,0.8212,303.25,650.00,141.00,32.00,305.00,648.00,136.00,40.00,0.7771,2.66,1,0,0.0000,NOT_RUN,0,6066,403,13054,0,0,3596,0,0,0,0
50,0,1,1,ACCEPT,7.8937,1.3279,3418,0,6,0.5515,303.25,656.00,141.00,32.00,305.00,656.50,136.00,43.00,0.7244,1.82,1,0,0.0000,NOT_RUN,0,5619,538,11397,0,0,3418,0,0,0,0
51,0,1,1,ACCEPT,8.1392,1.5108,3573,1,4,0.4954,307.66,660.00,141.00,32.00,305.50,663.00,135.00,44.00,0.7045,3.69,1,0,0.0000,NOT_RUN,0,6430,475,10816,0,0,3573,0,0,0,0
52,0,1,1,ACCEPT,9.4576,1.5030,4790,-1,4,0.7810,303.25,664.00,141.00,32.00,304.50,666.00,135.00,52.00,0.5990,2.36,1,0,0.0000,NOT_RUN,0,8114,536,12434,0,0,4790,0,0,0,0
53,0,1,1,ACCEPT,12.3113,2.7437,6113,0,1,0.9887,303.25,665.00,141.00,32.00,303.50,666.50,133.00,59.00,0.5252,1.52,1,0,0.0000,NOT_RUN,0,8819,421,13510,0,0,6113,0,0,0,0
54,0,1,1,ACCEPT,13.6199,3.3052,5999,0,0,1.0000,303.25,665.00,141.00,32.00,302.00,667.50,130.00,71.00,0.4341,2.80,1,0,0.0000,NOT_RUN,0,8342,414,13527,0,0,5999,0,0,0,0
55,0,1,1,ACCEPT,13.4857,2.8976,5604,0,0,1.0000,303.25,665.00,141.00,32.00,302.00,666.00,130.00,80.00,0.3869,1.60,1,0,0.0000,NOT_RUN,0,7779,450,12730,0,0,5604,0,0,0,0
56,0,1,1,ACCEPT,11.4164,1.6679,5299,0,4,0.5652,303.25,669.00,141.00,32.00,301.50,669.50,129.00,87.00,0.3556,1.82,1,0,0.0000,NOT_RUN,0,8058,492,11066,0,0,5299,0,0,0,0
57,0,1,1,ACCEPT,11.1577,1.3879,4809,0,5,0.4458,303.25,674.00,141.00,32.00,303.00,675.00,132.00,100.00,0.3132,1.03,1,0,0.0000,NOT_RUN,0,7020,551,10056,0,0,4809,0,0,0,0
58,0,1,1,ACCEPT,11.6504,1.5683,5301,0,4,0.6985,303.25,678.00,141.00,32.00,299.50,679.50,129.00,101.00,0.3078,4.04,1,0,0.0000,NOT_RUN,0,7385,308,13215,0,0,5301,0,0,0,0
59,0,1,1,ACCEPT,13.3748,2.2384,6019,-1,3,0.7495,298.84,681.00,141.00,32.00,299.50,680.00,135.00,108.00,0.2924,1.20,1,0,0.0000,NOT_RUN,0,7639,493,10644,0,0,6019,0,0,0,0
60,0,1,1,ACCEPT,12.0285,2.5459,5405,1,3,0.7186,303.25,684.00,141.00,32.00,300.00,681.50,134.00,111.00,0.2840,4.10,1,0,0.0000,NOT_RUN,0,7977,606,9556,0,0,5405,0,0,0,0
61,0,1,1,ACCEPT,12.5200,2.3041,5198,0,6,0.4296,303.25,690.00,141.00,32.00,300.50,683.50,133.00,109.00,0.2885,7.06,1,0,0.0000,NOT_RUN,0,7564,452,10641,0,0,5198,0,0,0,0
62,0,1,1,ACCEPT,13.7193,2.3227,6090,-1,6,0.4305,298.84,696.00,141.00,32.00,301.50,686.50,137.00,107.00,0.2946,9.86,1,0,0.0000,NOT_RUN,0,8182,376,12721,0,0,6090,0,0,0,0
63,0,1,1,ACCEPT,16.0114,3.1929,6986,0,3,0.6761,298.84,699.00,141.00,32.00,299.50,686.50,135.00,99.00,0.3187,12.52,1,0,0.0000,NOT_RUN,0,8756,345,13084,0,0,6986,0,0,0,0
64,0,1,1,ACCEPT,15.9587,3.0764,6968,0,3,0.6339,298.84,702.00,141.00,32.00,299.50,683.00,137.00,84.00,0.3768,19.01,1,0,0.0000,NOT_RUN,0,8613,396,13124,0,0,6968,0,0,0,0
65,0,1,1,ACCEPT,16.1904,3.1093,7285,-1,4,0.6143,294.44,706.00,141.00,32.00,298.50,681.50,137.00,77.00,0.3676,24.83,1,0,0.0000,NOT_RUN,0,8828,362,14414,0,0,7285,0,0,0,0
66,0,1,1,ACCEPT,16.5725,3.0459,7432,0,4,0.5052,294.44,710.00,141.00,32.00,297.50,691.50,137.00,57.00,0.4022,18.75,1,0,0.0000,NOT_RUN,0,8977,344,11853,0,0,7432,0,0,0,0
67,0,1,1,ACCEPT,17.2702,3.0195,6975,0,5,0.3897,294.44,715.00,141.00,32.00,296.50,698.00,137.00,52.00,0.4169,17.12,1,0,0.0000,NOT_RUN,0,8123,300,10403,0,0,6975,0,0,0,0
68,0,1,1,ACCEPT,17.6922,2.7283,6548,-1,4,0.5909,290.03,719.00,141.00,32.00,293.50,705.50,137.00,45.00,0.4649,13.94,1,0,0.0000,NOT_RUN,0,7589,314,10767,0,0,6548,0,0,0,0
69,0,1,1,ACCEPT,20.2977,3.9447,7779,0,2,0.7360,290.03,721.00,141.00,32.00,292.00,709.00,136.00,42.00,0.4982,12.16,1,0,0.0000,NOT_RUN,0,7853,329,10040,0,0,7779,0,0,0,0
70,0,1,1,ACCEPT,21.7078,4.8263,7587,0,1,0.9077,290.03,722.00,141.00,32.00,290.50,712.00,137.00,40.00,0.5540,10.01,1,0,0.0000,NOT_RUN,0,7399,335,10044,0,0,7587,0,0,0,0
71,0,1,1,ACCEPT,23.3081,5.1028,7695,-1,-2,0.6333,285.62,720.00,141.00,32.00,288.00,710.50,136.00,37.00,0.5534,9.79,1,0,0.0000,NOT_RUN,0,7009,348,9296,0,0,7695,0,0,0,0
72,0,1,1,ACCEPT,25.1121,5.2328,7687,-1,-2,0.7124,281.22,718.00,141.00,32.00,284.50,710.00,137.00,34.00,0.5873,8.65,1,0,0.0000,NOT_RUN,0,6505,308,10945,0,0,7687,0,0,0,0
