frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,59.00,352.00,40.00,40.00,59.00,352.00,40.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1373,13290,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.4140,1.3347,1910,-4,1,0.3387,54.00,353.25,40.00,40.00,52.50,352.50,43.00,35.00,0.8211,1.68,1,0,0.0000,NOT_RUN,0,3219,1250,2324,0,0,1910,0,0,0,0
2,0,1,1,ACCEPT,11.4826,2.6190,715,-7,1,0.1762,45.25,354.50,40.00,40.00,45.50,351.00,47.00,32.00,0.7018,3.51,1,0,0.0000,NOT_RUN,0,1156,1109,10641,0,0,715,0,0,0,0
3,0,1,1,ACCEPT,14.1338,3.1873,3267,-6,0,0.1619,37.75,354.50,40.00,40.00,40.50,352.00,51.00,34.00,0.6890,3.72,1,0,0.0000,NOT_RUN,0,3337,615,14431,0,0,3267,0,0,0,0
4,0,1,1,ACCEPT,10.5708,2.1360,3125,-3,2,0.5699,34.00,357.00,40.00,40.00,37.50,352.50,51.00,39.00,0.6396,5.70,1,0,0.0000,NOT_RUN,0,4969,562,10722,0,0,3125,0,0,0,0
5,0,1,1,ACCEPT,13.8754,2.3900,2684,1,3,0.3826,35.25,360.75,40.00,40.00,39.50,357.00,53.00,40.00,0.6388,5.67,1,0,0.0000,NOT_RUN,0,3059,383,11160,0,0,2684,0,0,0,0
6,0,1,1,ACCEPT,14.6866,3.4906,2789,5,2,0.0337,41.50,363.25,40.00,40.00,43.00,365.00,48.00,40.00,0.7688,2.30,1,0,0.0000,NOT_RUN,0,3775,464,17942,0,0,2789,0,0,0,0
7,0,1,1,ACCEPT,11.1754,1.8865,4337,6,4,0.1194,49.00,368.25,40.00,40.00,52.00,370.00,44.00,38.00,0.7985,3.47,1,0,0.0000,NOT_RUN,0,5678,480,12448,0,0,4337,0,0,0,0
8,0,1,1,ACCEPT,11.7409,2.1799,3660,7,5,0.1781,57.75,374.50,40.00,40.00,58.00,375.00,44.00,40.00,0.8876,0.56,1,0,0.0000,NOT_RUN,0,4562,335,5437,0,0,3660,0,0,0,0
9,0,1,1,ACCEPT,8.8497,1.6417,1269,8,5,0.1828,67.75,380.75,40.00,40.00,66.00,378.50,40.00,39.00,0.8211,2.85,1,0,0.0000,NOT_RUN,0,1985,420,10498,0,0,1269,0,0,0,0
10,0,1,1,ACCEPT,5.8372,1.2135,2160,5,5,0.1458,74.00,387.00,40.00,40.00,73.50,383.00,45.00,40.00,0.7347,4.03,1,0,0.0000,NOT_RUN,0,5981,197,12428,0,0,2160,0,0,0,0
11,0,1,1,ACCEPT,7.4208,1.6877,2680,7,0,0.1134,82.75,387.00,40.00,40.00,79.50,386.50,45.00,39.00,0.8391,3.29,1,0,0.0000,NOT_RUN,0,4008,449,10283,0,0,2680,0,0,0,0
12,0,1,1,ACCEPT,11.2140,2.3218,4769,1,-2,0.7090,84.00,384.50,40.00,40.00,82.00,379.50,40.00,41.00,0.7134,5.39,1,0,0.0000,NOT_RUN,0,5434,198,7588,0,0,4769,0,0,0,0
13,0,1,1,ACCEPT,9.1211,1.9318,2293,-4,-5,0.2085,79.00,378.25,40.00,40.00,77.00,379.00,46.00,36.00,0.7930,2.14,1,0,0.0000,NOT_RUN,0,4020,184,11726,0,0,2293,0,0,0,0
14,0,1,1,ACCEPT,8.7533,2.0414,2860,-8,-5,0.0245,69.00,372.00,40.00,40.00,72.00,370.50,44.00,41.00,0.8078,3.35,1,0,0.0000,NOT_RUN,0,5097,280,9428,0,0,2860,0,0,0,0
15,0,1,1,ACCEPT,7.2372,1.5030,2510,-7,-6,0.1092,60.25,364.50,40.00,40.00,65.50,362.00,49.00,42.00,0.7039,5.81,1,0,0.0000,NOT_RUN,0,4595,311,7231,0,0,2510,0,0,0,0
16,0,1,1,ACCEPT,7.5025,1.4774,2878,-6,-8,0.3169,52.75,354.50,40.00,40.00,55.50,353.50,47.00,43.00,0.7917,2.93,1,0,0.0000,NOT_RUN,0,5516,172,11973,0,0,2878,0,0,0,0
17,0,1,1,ACCEPT,8.6298,1.6549,4205,-5,-6,0.3881,46.50,347.00,40.00,40.00,48.00,349.00,46.00,44.00,0.7905,2.50,1,0,0.0000,NOT_RUN,0,7024,172,10953,0,0,4205,0,0,0,0
18,0,1,1,ACCEPT,12.8834,2.4377,5736,-4,-5,0.2873,41.50,340.75,40.00,40.00,43.00,342.50,42.00,37.00,0.8527,2.30,1,0,0.0000,NOT_RUN,0,5542,239,11807,0,0,5736,0,0,0,0
19,0,1,1,ACCEPT,16.6446,3.8683,8955,-3,-3,0.2164,37.75,337.00,40.00,40.00,39.50,338.50,35.00,39.00,0.8135,2.30,1,0,0.0000,NOT_RUN,0,8556,288,14672,0,0,8955,0,0,0,0
20,0,1,1,ACCEPT,16.2839,3.1892,10971,0,0,1.0000,37.75,337.00,40.00,40.00,41.00,339.00,38.00,38.00,0.7685,3.82,1,0,0.0000,NOT_RUN,0,9481,241,14205,0,0,10971,0,0,0,0
21,0,1,1,ACCEPT,9.3735,1.9301,5935,3,-1,0.6928,41.50,335.75,40.00,40.00,38.50,338.50,47.00,39.00,0.7489,4.07,1,0,0.0000,NOT_RUN,0,9803,164,8684,0,0,5935,0,0,0,0
22,0,1,1,ACCEPT,10.3162,2.3487,3563,5,-1,0.4053,47.75,334.50,40.00,40.00,44.00,340.50,50.00,41.00,0.6079,7.08,1,0,0.0000,NOT_RUN,0,5528,186,6944,0,0,3563,0,0,0,0
23,0,1,1,ACCEPT,8.1229,1.2968,2486,3,3,0.0322,51.50,338.25,40.00,40.00,48.50,342.50,45.00,41.00,0.7113,5.20,1,0,0.0000,NOT_RUN,0,4813,211,15229,0,0,2486,0,0,0,0
24,0,1,1,ACCEPT,9.6116,1.4835,7711,4,3,0.1013,56.50,342.00,40.00,40.00,52.00,346.00,46.00,42.00,0.6759,6.02,1,0,0.0000,NOT_RUN,0,12820,190,11147,0,0,7711,0,0,0,0
25,0,1,1,ACCEPT,8.2047,1.5782,4078,3,3,0.1032,60.25,345.75,40.00,40.00,55.00,352.50,48.00,49.00,0.5877,8.55,1,0,0.0000,NOT_RUN,0,6692,199,11934,0,0,4078,0,0,0,0
26,0,1,1,ACCEPT,12.1920,2.0052,6597,-1,3,0.6883,59.00,349.50,40.00,40.00,57.00,353.50,54.00,51.00,0.5810,4.47,1,0,0.0000,NOT_RUN,0,8143,202,12869,0,0,6597,0,0,0,0
27,0,1,1,ACCEPT,14.3702,2.5882,6574,-4,1,0.3532,54.00,350.75,40.00,40.00,52.50,356.00,53.00,48.00,0.5975,5.46,1,0,0.0000,NOT_RUN,0,6745,183,13188,0,0,6574,0,0,0,0
28,0,1,1,ACCEPT,11.9816,2.5231,7660,-5,1,0.4283,47.75,352.00,40.00,40.00,46.50,360.00,51.00,50.00,0.5543,8.10,1,0,0.0000,NOT_RUN,0,8358,185,9927,0,0,7660,0,0,0,0
29,0,1,1,ACCEPT,13.4364,3.3890,5541,-5,2,0.2620,41.50,354.50,40.00,40.00,43.00,363.50,52.00,43.00,0.5126,9.12,1,0,0.0000,NOT_RUN,0,6134,228,13715,0,0,5541,0,0,0,0
30,0,1,1,ACCEPT,14.6538,3.3870,8647,-2,3,0.3378,39.00,358.25,40.00,40.00,41.50,369.00,51.00,42.00,0.4779,11.04,1,0,0.0000,NOT_RUN,0,10188,219,13059,0,0,8647,0,0,0,0
31,0,1,1,ACCEPT,12.3006,2.5501,5980,4,8,0.0533,44.00,368.25,40.00,40.00,46.00,375.00,52.00,46.00,0.5704,7.04,1,0,0.0000,NOT_RUN,0,9380,183,13837,0,0,5980,0,0,0,0
32,0,1,1,ACCEPT,10.2354,2.0288,5634,7,10,0.2034,52.75,380.75,40.00,40.00,53.50,386.00,49.00,42.00,0.6418,5.30,1,0,0.0000,NOT_RUN,0,7996,187,11281,0,0,5634,0,0,0,0
33,0,1,1,ACCEPT,7.9034,1.4231,3794,12,11,0.0177,67.75,394.50,40.00,40.00,66.00,398.00,48.00,44.00,0.7090,3.91,1,0,0.0000,NOT_RUN,0,6531,142,12317,0,0,3794,0,0,0,0
34,0,1,1,ACCEPT,6.5187,1.5679,2725,17,8,0.5317,89.00,404.50,40.00,40.00,82.00,404.50,48.00,39.00,0.7112,7.00,1,0,0.0000,NOT_RUN,0,5442,179,8736,0,0,2725,0,0,0,0
35,0,1,1,ACCEPT,7.3882,1.1458,2822,10,-3,0.0751,101.50,400.75,40.00,40.00,101.50,413.00,45.00,42.00,0.4915,12.25,1,0,0.0000,NOT_RUN,0,6379,157,6975,0,0,2822,0,0,0,0
36,0,1,0,NEGATIVE_PEAK,-4.9897,1.1704,-1834,19,-2,0.4656,101.50,400.75,40.00,40.00,109.50,413.50,27.00,41.00,0.3539,15.05,0,0,0.0000,NOT_RUN,0,5507,262,0,0,0,1834,0,0,0,0
37,0,1,0,NEGATIVE_PEAK,-4.2553,1.0411,-1140,18,-7,0.1140,101.50,400.75,40.00,40.00,117.00,410.50,22.00,23.00,0.1906,18.31,0,0,0.0000,NOT_RUN,0,3745,169,0,0,0,1140,0,0,0,0
38,0,1,1,ACCEPT,5.8888,1.0958,2220,3,10,0.2180,105.25,413.25,40.00,40.00,124.00,417.00,30.00,38.00,0.2643,19.12,1,0,0.0000,NOT_RUN,0,7447,240,5712,0,0,2220,0,0,0,0
