frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,264.00,438.50,136.00,103.00,264.00,438.50,136.00,103.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3327,23905,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,56.9181,12.6946,10600,1,-1,0.9345,268.25,435.28,136.00,103.00,266.00,437.00,134.00,104.00,0.9362,2.83,1,0,0.0000,NOT_RUN,0,4132,2754,22950,0,0,10600,0,0,0,0
2,0,1,1,ACCEPT,56.6014,12.5900,10563,1,1,0.8641,272.50,438.50,136.00,103.00,270.50,437.00,133.00,102.00,0.9430,2.50,1,0,0.0000,NOT_RUN,0,4218,2510,20658,0,0,10563,0,0,0,0
3,0,1,1,ACCEPT,18.9076,3.3322,5808,2,0,0.5802,281.00,438.50,136.00,103.00,284.00,438.50,120.00,101.00,0.8652,3.00,1,0,0.0000,NOT_RUN,0,4519,1847,15437,0,0,5808,0,0,0,0
4,0,1,1,ACCEPT,8.3734,1.0386,2289,5,0,0.2250,302.25,438.50,136.00,103.00,302.50,445.00,121.00,110.00,0.7951,6.50,1,0,0.0000,NOT_RUN,0,3865,1546,13776,0,0,2289,0,0,0,0
5,0,1,1,ACCEPT,10.8611,2.3511,2431,5,0,0.1962,323.50,438.50,136.00,103.00,323.00,464.50,100.00,113.00,0.4793,26.00,1,0,0.0000,NOT_RUN,0,3136,1144,13875,0,0,2431,0,0,0,0
6,0,1,1,ACCEPT,7.3776,1.5071,1899,2,2,0.0490,332.00,444.94,136.00,103.00,326.00,487.00,90.00,120.00,0.3367,42.49,1,0,0.0000,NOT_RUN,0,3365,1366,13676,0,0,1899,0,0,0,0
7,0,1,1,ACCEPT,5.8113,1.0013,1575,6,-1,0.3721,357.50,441.72,136.00,103.00,350.50,528.00,87.00,114.00,0.0879,86.56,1,0,0.0000,NOT_RUN,0,3338,1497,11591,0,0,1575,0,0,0,0
8,0,1,1,ACCEPT,14.0287,3.1831,2190,2,0,0.6160,366.00,441.72,136.00,103.00,353.00,555.50,98.00,87.00,0.0000,114.52,1,0,0.0000,NOT_RUN,0,2901,1266,6138,0,0,2190,0,0,0,0
9,0,1,1,ACCEPT,13.0636,3.0773,1354,3,-5,0.0340,378.75,425.62,136.00,103.00,356.00,572.50,118.00,81.00,0.0000,148.63,1,0,0.0000,NOT_RUN,0,1893,601,6898,0,0,1354,0,0,0,0
10,0,1,1,ACCEPT,12.9398,2.9573,1384,0,-8,0.0397,378.75,399.88,136.00,103.00,357.00,570.00,110.00,94.00,0.0000,171.51,1,0,0.0000,NOT_RUN,0,1947,299,8649,0,0,1384,0,0,0,0
11,0,1,0,LOW_PSR,4.9577,1.0557,834,12,4,0.6139,378.75,399.88,136.00,103.00,358.50,449.00,97.00,74.00,0.2179,53.13,0,0,0.0000,NOT_RUN,0,2014,1048,0,0,0,834,0,0,0,0
12,0,1,1,ACCEPT,8.0223,1.5438,1411,-11,4,0.2941,332.00,412.75,136.00,103.00,346.00,376.50,100.00,69.00,0.3122,38.86,1,0,0.0000,NOT_RUN,0,2685,1189,26775,0,0,1411,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-5.3894,1.1405,-1055,-14,-2,0.0559,332.00,412.75,136.00,103.00,343.00,315.50,112.00,77.00,0.0000,97.87,0,0,0.0000,NOT_RUN,0,4606,1276,0,0,0,1055,0,0,0,0
14,0,1,1,ACCEPT,8.0730,2.0720,1641,-6,-6,0.0067,306.50,393.44,136.00,103.00,349.00,336.00,100.00,88.00,0.1442,71.45,1,0,0.0000,NOT_RUN,0,4991,876,23611,0,0,1641,0,0,0,0
15,0,1,1,ACCEPT,6.1293,1.0543,2309,0,-2,0.8597,306.50,387.00,136.00,103.00,338.50,382.00,99.00,62.00,0.3571,32.39,1,0,0.0000,NOT_RUN,0,7530,839,28620,0,0,2309,0,0,0,0
16,0,1,1,ACCEPT,5.2961,1.1866,1679,1,10,0.5599,310.75,419.19,136.00,103.00,333.50,419.50,111.00,57.00,0.3935,22.75,1,0,0.0000,NOT_RUN,0,5569,769,26274,0,0,1679,0,0,0,0
17,0,1,0,LOW_PSR,4.9489,1.1443,1491,2,17,0.2857,310.75,419.19,136.00,103.00,334.00,476.50,102.00,67.00,0.1457,61.85,0,0,0.0000,NOT_RUN,0,5609,799,0,0,0,1491,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-4.6715,1.0518,-1077,-11,10,0.2006,310.75,419.19,136.00,103.00,342.00,512.50,100.00,69.00,0.0000,98.41,0,0,0.0000,NOT_RUN,0,5086,635,0,0,0,1077,0,0,0,0
19,0,1,0,LOW_PSR,4.8255,1.0298,1037,-3,2,0.0906,310.75,419.19,136.00,103.00,325.50,532.00,111.00,56.00,0.0000,113.77,0,0,0.0000,NOT_RUN,0,4809,508,0,0,0,1037,0,0,0,0
20,0,1,0,LOW_PSR,4.9438,1.0115,1053,-3,5,0.0655,310.75,419.19,136.00,103.00,322.00,537.50,108.00,47.00,0.0000,118.85,0,0,0.0000,NOT_RUN,0,4735,467,0,0,0,1053,0,0,0,0
21,0,1,1,ACCEPT,5.5288,1.0621,1128,-4,2,0.1126,293.75,425.62,136.00,103.00,328.00,532.00,88.00,44.00,0.0000,111.75,1,0,0.0000,NOT_RUN,0,4592,366,25758,0,0,1128,0,0,0,0
22,0,1,1,ACCEPT,5.3881,1.0981,1545,0,-1,0.9650,293.75,422.41,136.00,103.00,320.00,527.50,100.00,47.00,0.0000,108.32,1,0,0.0000,NOT_RUN,0,5870,251,23857,0,0,1545,0,0,0,0
