frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,212.00,524.00,28.00,20.00,212.00,524.00,28.00,20.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,244,13366,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,18.6319,5.0641,790,3,14,0.0089,214.62,532.75,28.00,20.00,213.00,533.50,28.00,19.00,0.8277,1.79,1,0,0.0000,NOT_RUN,0,853,132,18961,0,0,790,0,0,0,0
2,0,1,1,ACCEPT,12.0375,2.9873,1174,7,14,0.0392,220.75,541.50,28.00,20.00,219.50,543.00,27.00,20.00,0.7904,1.95,1,0,0.0000,NOT_RUN,0,1342,138,14936,0,0,1174,0,0,0,0
3,0,1,1,ACCEPT,12.4494,3.1073,1709,7,12,0.0515,226.88,549.00,28.00,20.00,225.50,551.00,31.00,20.00,0.7456,2.43,1,0,0.0000,NOT_RUN,0,1750,129,12680,0,0,1709,0,0,0,0
4,0,1,1,ACCEPT,14.2795,2.4684,1523,4,0,0.0302,230.38,549.00,28.00,20.00,229.00,550.50,28.00,19.00,0.7821,2.03,1,0,0.0000,NOT_RUN,0,1334,131,11094,0,0,1523,0,0,0,0
5,0,1,1,ACCEPT,12.1065,2.0000,1178,2,-2,0.5238,232.12,547.75,28.00,20.00,230.50,549.50,27.00,19.00,0.7484,2.39,1,0,0.0000,NOT_RUN,0,1216,106,10256,0,0,1178,0,0,0,0
6,0,1,1,ACCEPT,5.9221,1.2990,1086,2,-14,0.1915,233.88,539.00,28.00,20.00,232.00,541.00,26.00,20.00,0.7204,2.74,1,0,0.0000,NOT_RUN,0,1980,145,12371,0,0,1086,0,0,0,0
7,0,1,1,ACCEPT,9.6903,2.1534,2050,5,-14,0.0585,238.25,530.25,28.00,20.00,237.00,531.00,26.00,16.00,0.7305,1.46,1,0,0.0000,NOT_RUN,0,3111,166,8655,0,0,2050,0,0,0,0
8,0,1,1,ACCEPT,9.6960,2.5190,1393,4,-16,0.2032,241.75,520.25,28.00,20.00,239.50,520.00,25.00,16.00,0.6783,2.26,1,0,0.0000,NOT_RUN,0,1884,196,7370,0,0,1393,0,0,0,0
9,0,1,1,ACCEPT,14.9866,4.1145,1905,-1,-8,0.0735,240.88,515.25,28.00,20.00,239.50,516.50,29.00,19.00,0.8037,1.86,1,0,0.0000,NOT_RUN,0,1821,118,11650,0,0,1905,0,0,0,0
10,0,1,1,ACCEPT,14.9452,2.8842,2815,-3,0,0.3847,238.25,515.25,28.00,20.00,236.50,513.50,27.00,17.00,0.7339,2.47,1,0,0.0000,NOT_RUN,0,3193,77,9660,0,0,2815,0,0,0,0
11,0,1,1,ACCEPT,9.9414,2.3176,2459,-2,16,0.0187,236.50,525.25,28.00,20.00,234.00,524.00,26.00,18.00,0.7332,2.80,1,0,0.0000,NOT_RUN,0,3355,121,9602,0,0,2459,0,0,0,0
12,0,1,1,ACCEPT,8.6297,2.3495,1788,-4,14,0.0811,233.00,534.00,28.00,20.00,231.00,533.50,26.00,19.00,0.8204,2.06,1,0,0.0000,NOT_RUN,0,2654,85,8247,0,0,1788,0,0,0,0
13,0,1,1,ACCEPT,10.2908,2.4510,2228,-1,22,0.0557,232.12,547.75,28.00,20.00,232.50,547.00,27.00,20.00,0.8957,0.84,1,0,0.0000,NOT_RUN,0,3464,118,8033,0,0,2228,0,0,0,0
14,0,1,1,ACCEPT,16.9545,4.0301,2946,4,13,0.0207,235.62,555.88,28.00,20.00,234.50,553.50,27.00,19.00,0.7269,2.63,1,0,0.0000,NOT_RUN,0,3010,115,9721,0,0,2946,0,0,0,0
15,0,1,1,ACCEPT,14.7187,3.3859,3264,5,11,0.0714,240.00,562.75,28.00,20.00,240.00,561.50,30.00,19.00,0.8255,1.25,1,0,0.0000,NOT_RUN,0,2999,104,8208,0,0,3264,0,0,0,0
16,0,1,1,ACCEPT,17.4359,3.2021,2805,6,-1,0.0553,245.25,562.12,28.00,20.00,243.50,561.00,29.00,16.00,0.7181,2.08,1,0,0.0000,NOT_RUN,0,2349,77,13714,0,0,2805,0,0,0,0
