frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,557.50,338.50,49.00,13.00,557.50,338.50,49.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,880,9502,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,12.6360,2.2364,246,-5,2,0.0244,549.84,339.31,49.00,13.00,562.50,317.00,47.00,12.00,0.0000,25.65,1,0,0.0000,NOT_RUN,0,418,322,6269,0,0,246,0,0,0,0
2,0,1,1,ACCEPT,16.6043,1.7941,122,-11,3,0.1066,533.00,340.53,49.00,13.00,544.50,316.00,43.00,16.00,0.0000,27.09,1,0,0.0000,NOT_RUN,0,145,401,12788,0,0,122,0,0,0,0
3,0,1,1,ACCEPT,7.1514,1.1078,113,-9,-6,0.0354,519.22,338.09,49.00,13.00,556.50,311.50,49.00,15.00,0.0000,45.79,1,0,0.0000,NOT_RUN,0,232,106,24811,0,0,113,0,0,0,0
4,0,1,1,ACCEPT,10.6325,1.8571,247,16,1,0.0526,543.72,338.50,49.00,13.00,543.50,336.00,47.00,16.00,0.6836,2.51,1,0,0.0000,NOT_RUN,0,366,200,17605,0,0,247,0,0,0,0
5,0,1,1,ACCEPT,5.1634,1.1786,66,-3,-21,0.0152,539.12,329.97,49.00,13.00,534.50,324.50,41.00,17.00,0.4054,7.16,1,0,0.0000,NOT_RUN,0,151,362,3731,0,0,66,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.9782,1.5000,-15,-16,5,0.5333,539.12,329.97,49.00,13.00,0.00,0.00,0.00,0.00,0.0000,632.09,0,0,0.0000,NOT_RUN,0,43,611,0,0,0,15,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-3.8074,1.1667,-7,-2,2,0.4286,539.12,329.97,49.00,13.00,483.50,297.50,41.00,15.00,0.0000,64.41,0,0,0.0000,NOT_RUN,0,24,500,0,0,0,7,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.7632,1.1429,-8,13,-1,0.6250,539.12,329.97,49.00,13.00,472.50,295.50,49.00,15.00,0.0000,75.01,0,0,0.0000,NOT_RUN,0,31,170,0,0,0,9,0,0,0,0
9,0,1,1,ACCEPT,9.0660,1.2000,54,-14,2,0.0370,517.69,330.78,49.00,13.00,464.00,305.50,46.00,17.00,0.0000,59.34,1,0,0.0000,NOT_RUN,0,102,151,3974,0,0,54,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-4.0949,1.1000,-11,-21,-1,0.8182,517.69,330.78,49.00,13.00,457.50,317.00,49.00,18.00,0.0000,61.75,0,0,0.0000,NOT_RUN,0,28,120,0,0,0,11,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.1164,1.0000,-9,6,-2,0.4444,517.69,330.78,49.00,13.00,453.00,335.50,44.00,17.00,0.0000,64.86,0,0,0.0000,NOT_RUN,0,30,162,0,0,0,9,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-6.2176,1.0952,-23,6,13,0.2174,517.69,330.78,49.00,13.00,452.00,347.00,46.00,14.00,0.0000,67.66,0,0,0.0000,NOT_RUN,0,65,322,0,0,0,23,0,0,0,0
13,0,1,1,ACCEPT,6.4169,1.1875,19,11,13,0.4211,534.53,336.06,49.00,13.00,454.50,347.00,47.00,16.00,0.0000,80.78,1,0,0.0000,NOT_RUN,0,40,172,3287,0,0,19,0,0,0,0
14,0,1,1,ACCEPT,5.0769,1.0000,22,11,2,0.0909,551.38,336.88,49.00,13.00,444.50,353.00,47.00,18.00,0.0000,108.08,1,0,0.0000,NOT_RUN,0,87,245,7227,0,0,22,0,0,0,0
15,0,1,1,ACCEPT,7.4915,1.2609,58,1,-1,0.8621,552.91,336.47,49.00,13.00,451.50,365.00,41.00,18.00,0.0000,105.34,1,0,0.0000,NOT_RUN,0,148,237,10472,0,0,58,0,0,0,0
16,0,1,0,LOW_PSR,4.9765,1.0682,47,2,0,0.8298,552.91,336.47,49.00,13.00,458.50,385.00,41.00,18.00,0.0000,106.15,0,0,0.0000,NOT_RUN,0,192,128,0,0,0,47,0,0,0,0
17,0,1,1,ACCEPT,5.8187,1.2439,51,-8,11,0.6471,540.66,340.94,49.00,13.00,448.50,403.50,45.00,17.00,0.0000,111.39,1,0,0.0000,NOT_RUN,0,178,329,6418,0,0,51,0,0,0,0
18,0,1,1,ACCEPT,8.3774,1.8462,24,-9,6,0.4583,526.88,343.38,49.00,13.00,435.50,402.50,43.00,17.00,0.0000,108.84,1,0,0.0000,NOT_RUN,0,66,301,7344,0,0,24,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-4.3085,1.0000,-22,4,-2,0.3636,526.88,343.38,49.00,13.00,422.00,382.50,46.00,17.00,0.0000,111.94,0,0,0.0000,NOT_RUN,0,108,226,0,0,0,22,0,0,0,0
20,0,1,1,ACCEPT,5.4516,1.1579,22,-10,3,0.5909,511.56,344.59,49.00,13.00,407.00,381.50,38.00,15.00,0.0000,110.88,1,0,0.0000,NOT_RUN,0,91,279,8453,0,0,22,0,0,0,0
21,0,1,0,NEGATIVE_PEAK,-4.6270,1.0357,-29,7,1,0.0690,511.56,344.59,49.00,13.00,408.00,380.50,44.00,15.00,0.0000,109.61,0,0,0.0000,NOT_RUN,0,107,208,0,0,0,29,0,0,0,0
22,0,1,1,ACCEPT,8.6056,1.5161,47,-10,3,0.6383,496.25,345.81,49.00,13.00,402.00,381.50,44.00,15.00,0.0000,100.78,1,0,0.0000,NOT_RUN,0,115,268,6908,0,0,47,0,0,0,0
23,0,1,1,ACCEPT,9.8040,1.6667,50,2,12,0.2000,499.31,350.69,49.00,13.00,393.00,372.50,44.00,15.00,0.0000,108.53,1,0,0.0000,NOT_RUN,0,96,232,5234,0,0,50,0,0,0,0
24,0,1,1,ACCEPT,8.9453,1.7647,30,-6,3,0.4333,490.12,351.91,49.00,13.00,388.50,359.50,37.00,17.00,0.0000,101.91,1,0,0.0000,NOT_RUN,0,75,222,9363,0,0,30,0,0,0,0
25,0,1,1,ACCEPT,9.2966,1.6389,59,-3,1,0.6610,485.53,352.31,49.00,13.00,379.50,352.00,49.00,16.00,0.0000,106.03,1,0,0.0000,NOT_RUN,0,133,235,5493,0,0,59,0,0,0,0
26,0,1,1,ACCEPT,8.4841,1.8182,20,-12,3,0.4500,467.16,353.53,49.00,13.00,368.50,355.50,47.00,19.00,0.0000,98.68,1,0,0.0000,NOT_RUN,0,61,296,4296,0,0,20,0,0,0,0
27,0,1,0,NEGATIVE_PEAK,-4.8628,1.0769,-14,0,-1,0.9286,467.16,353.53,49.00,13.00,344.00,355.00,46.00,16.00,0.0000,123.17,0,0,0.0000,NOT_RUN,0,57,222,0,0,0,14,0,0,0,0
28,0,1,0,NEGATIVE_PEAK,-4.5934,1.2000,-6,-31,-1,0.6667,467.16,353.53,49.00,13.00,331.00,356.00,40.00,22.00,0.0000,136.18,0,0,0.0000,NOT_RUN,0,21,406,0,0,0,6,0,0,0,0
29,0,1,0,NEGATIVE_PEAK,-3.6373,1.0000,-3,0,-1,0.6667,467.16,353.53,49.00,13.00,310.50,379.50,51.00,19.00,0.0000,158.79,0,0,0.0000,NOT_RUN,0,9,402,0,0,0,4,0,0,0,0
30,0,1,1,ACCEPT,11.3022,1.7143,12,21,-4,0.2500,499.31,351.91,49.00,13.00,297.00,383.50,52.00,19.00,0.0000,204.76,1,0,0.0000,NOT_RUN,0,17,343,7240,0,0,12,0,0,0,0
