frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,530.50,632.00,89.00,70.00,530.50,632.00,89.00,70.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1098,14400,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,36.9184,8.1263,4055,0,0,1.0000,530.50,632.00,89.00,70.00,525.50,628.50,85.00,73.00,0.8129,6.10,1,0,0.0000,NOT_RUN,0,2416,901,13252,0,0,4055,0,0,0,0
2,0,1,1,ACCEPT,24.2954,5.0990,3141,0,0,1.0000,530.50,632.00,89.00,70.00,528.00,628.50,80.00,73.00,0.8205,4.30,1,0,0.0000,NOT_RUN,0,2374,828,10787,0,0,3141,0,0,0,0
3,0,1,1,ACCEPT,21.7830,3.7564,2915,0,0,1.0000,530.50,632.00,89.00,70.00,523.50,627.50,87.00,71.00,0.7571,8.32,1,0,0.0000,NOT_RUN,0,2215,754,10904,0,0,2915,0,0,0,0
4,0,1,1,ACCEPT,20.1246,4.1704,3132,0,0,1.0000,530.50,632.00,89.00,70.00,524.00,628.00,86.00,72.00,0.7758,7.63,1,0,0.0000,NOT_RUN,0,2215,702,12163,0,0,3132,0,0,0,0
5,0,1,1,ACCEPT,19.7163,4.2108,3575,1,0,0.9709,533.28,632.00,89.00,70.00,526.50,628.50,89.00,73.00,0.7835,7.63,1,0,0.0000,NOT_RUN,0,2534,584,9923,0,0,3575,0,0,0,0
6,0,1,1,ACCEPT,17.8247,3.8216,2935,0,0,1.0000,533.28,632.00,89.00,70.00,526.00,628.00,94.00,74.00,0.7678,8.31,1,0,0.0000,NOT_RUN,0,2510,566,13610,0,0,2935,0,0,0,0
7,0,1,1,ACCEPT,16.9364,3.3911,4249,0,0,1.0000,533.28,632.00,89.00,70.00,527.00,629.50,96.00,77.00,0.7955,6.76,1,0,0.0000,NOT_RUN,0,4026,472,10761,0,0,4249,0,0,0,0
8,0,1,1,ACCEPT,15.0641,3.3868,3888,1,0,0.9758,536.06,632.00,89.00,70.00,531.00,630.00,100.00,78.00,0.7987,5.44,1,0,0.0000,NOT_RUN,0,4560,411,11552,0,0,3888,0,0,0,0
9,0,1,1,ACCEPT,13.2197,3.2707,3879,0,0,1.0000,536.06,632.00,89.00,70.00,537.00,629.50,86.00,77.00,0.8811,2.67,1,0,0.0000,NOT_RUN,0,4382,429,10272,0,0,3879,0,0,0,0
10,0,1,1,ACCEPT,12.2717,2.9548,3008,0,0,1.0000,536.06,632.00,89.00,70.00,539.00,630.50,90.00,75.00,0.8756,3.30,1,0,0.0000,NOT_RUN,0,3873,430,8395,0,0,3008,0,0,0,0
11,0,1,1,ACCEPT,11.6227,2.2686,2686,0,0,1.0000,536.06,632.00,89.00,70.00,538.50,632.00,91.00,70.00,0.9473,2.44,1,0,0.0000,NOT_RUN,0,3992,298,9735,0,0,2686,0,0,0,0
12,0,1,1,ACCEPT,11.6102,1.9472,2987,0,0,1.0000,536.06,632.00,89.00,70.00,540.50,630.50,93.00,71.00,0.8706,4.68,1,0,0.0000,NOT_RUN,0,4268,296,10318,0,0,2987,0,0,0,0
13,0,1,1,ACCEPT,12.4900,2.0132,3205,0,0,1.0000,536.06,632.00,89.00,70.00,540.50,630.00,93.00,78.00,0.8161,4.87,1,0,0.0000,NOT_RUN,0,4267,324,10991,0,0,3205,0,0,0,0
14,0,1,1,ACCEPT,12.4164,1.9076,3592,0,0,1.0000,536.06,632.00,89.00,70.00,541.50,627.00,93.00,74.00,0.7769,7.39,1,0,0.0000,NOT_RUN,0,5141,315,11526,0,0,3592,0,0,0,0
15,0,1,1,ACCEPT,13.3780,2.0331,4174,0,0,1.0000,536.06,632.00,89.00,70.00,542.00,628.00,94.00,72.00,0.7890,7.16,1,0,0.0000,NOT_RUN,0,5417,279,12659,0,0,4174,0,0,0,0
16,0,1,1,ACCEPT,14.8403,2.2837,4805,0,0,1.0000,536.06,632.00,89.00,70.00,542.50,628.50,95.00,73.00,0.7919,7.33,1,0,0.0000,NOT_RUN,0,5693,273,11882,0,0,4805,0,0,0,0
17,0,1,1,ACCEPT,16.0911,2.6979,5520,0,0,1.0000,536.06,632.00,89.00,70.00,542.00,629.50,94.00,67.00,0.8207,6.44,1,0,0.0000,NOT_RUN,0,6005,255,11624,0,0,5520,0,0,0,0
18,0,1,1,ACCEPT,17.4234,2.9592,6312,0,0,1.0000,536.06,632.00,89.00,70.00,542.50,629.50,93.00,69.00,0.8116,6.91,1,0,0.0000,NOT_RUN,0,6398,287,12424,0,0,6312,0,0,0,0
19,0,1,1,ACCEPT,18.3824,3.0373,7004,0,0,1.0000,536.06,632.00,89.00,70.00,542.50,630.00,93.00,70.00,0.8227,6.74,1,0,0.0000,NOT_RUN,0,6955,281,12990,0,0,7004,0,0,0,0
20,0,1,1,ACCEPT,17.9777,2.9791,6709,0,0,1.0000,536.06,632.00,89.00,70.00,542.00,630.50,94.00,71.00,0.8434,6.12,1,0,0.0000,NOT_RUN,0,7287,273,13170,0,0,6709,0,0,0,0
21,0,1,1,ACCEPT,17.8816,3.0078,6912,0,0,1.0000,536.06,632.00,89.00,70.00,541.50,630.50,95.00,71.00,0.8530,5.64,1,0,0.0000,NOT_RUN,0,7710,294,13351,0,0,6912,0,0,0,0
22,0,1,1,ACCEPT,16.1994,2.7396,6449,0,1,0.9989,536.06,634.19,89.00,70.00,542.50,631.50,95.00,71.00,0.8089,6.98,1,0,0.0000,NOT_RUN,0,7545,303,11752,0,0,6449,0,0,0,0
23,0,1,1,ACCEPT,15.9311,2.6341,6219,0,0,1.0000,536.06,634.19,89.00,70.00,543.00,630.00,96.00,76.00,0.7708,8.10,1,0,0.0000,NOT_RUN,0,7312,281,11666,0,0,6219,0,0,0,0
24,0,1,1,ACCEPT,13.5626,2.1081,5072,0,0,1.0000,536.06,634.19,89.00,70.00,544.00,630.00,96.00,70.00,0.7536,8.97,1,0,0.0000,NOT_RUN,0,6743,281,11926,0,0,5072,0,0,0,0
25,0,1,1,ACCEPT,12.7112,2.2933,4855,0,0,1.0000,536.06,634.19,89.00,70.00,547.50,629.50,97.00,73.00,0.6932,12.36,1,0,0.0000,NOT_RUN,0,6648,239,10315,0,0,4855,0,0,0,0
26,0,1,1,ACCEPT,12.4911,2.4949,4446,0,0,1.0000,536.06,634.19,89.00,70.00,550.00,624.50,94.00,81.00,0.5841,16.97,1,0,0.0000,NOT_RUN,0,6384,264,11531,0,0,4446,0,0,0,0
27,0,1,1,ACCEPT,11.2528,2.2151,3923,0,0,1.0000,536.06,634.19,89.00,70.00,550.00,629.50,96.00,69.00,0.6560,14.70,1,0,0.0000,NOT_RUN,0,6004,251,12066,0,0,3923,0,0,0,0
28,0,1,1,ACCEPT,11.6005,2.6316,4108,0,0,1.0000,536.06,634.19,89.00,70.00,549.50,630.00,97.00,74.00,0.6734,14.07,1,0,0.0000,NOT_RUN,0,6588,281,13277,0,0,4108,0,0,0,0
29,0,1,1,ACCEPT,11.9971,2.9066,4482,0,0,1.0000,536.06,634.19,89.00,70.00,552.50,631.50,93.00,77.00,0.6387,16.66,1,0,0.0000,NOT_RUN,0,6551,242,13301,0,0,4482,0,0,0,0
30,0,1,1,ACCEPT,12.2674,3.1879,4581,0,0,1.0000,536.06,634.19,89.00,70.00,552.50,631.50,93.00,75.00,0.6507,16.66,1,0,0.0000,NOT_RUN,0,6495,249,13969,0,0,4581,0,0,0,0
31,0,1,1,ACCEPT,12.7568,3.4545,4819,0,1,0.9907,536.06,636.38,89.00,70.00,551.00,630.50,96.00,77.00,0.6262,16.05,1,0,0.0000,NOT_RUN,0,6700,280,16943,0,0,4819,0,0,0,0
32,0,1,1,ACCEPT,12.5733,3.4021,5440,0,0,1.0000,536.06,636.38,89.00,70.00,553.00,631.50,88.00,79.00,0.6077,17.63,1,0,0.0000,NOT_RUN,0,8029,279,13751,0,0,5440,0,0,0,0
33,0,1,1,ACCEPT,11.5216,3.0711,4060,0,0,1.0000,536.06,636.38,89.00,70.00,552.50,634.00,87.00,80.00,0.6123,16.61,1,0,0.0000,NOT_RUN,0,6533,288,15749,0,0,4060,0,0,0,0
34,0,1,1,ACCEPT,10.7998,2.9320,4442,0,1,0.9993,536.06,638.56,89.00,70.00,553.50,630.50,91.00,75.00,0.5580,19.21,1,0,0.0000,NOT_RUN,0,7367,287,16748,0,0,4442,0,0,0,0
35,0,1,1,ACCEPT,9.4435,2.2668,3908,0,0,1.0000,536.06,638.56,89.00,70.00,553.50,632.50,91.00,75.00,0.5855,18.46,1,0,0.0000,NOT_RUN,0,7908,299,17441,0,0,3908,0,0,0,0
