frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,155.00,497.00,104.00,60.00,155.00,497.00,104.00,60.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1479,15370,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,58.6684,12.0971,6980,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,497.50,102.00,57.00,0.9142,2.06,1,0,0.0000,NOT_RUN,0,3309,1302,14688,0,0,6980,0,0,0,0
2,0,1,1,ACCEPT,54.2473,10.9100,6786,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,498.50,102.00,59.00,0.9153,2.50,1,0,0.0000,NOT_RUN,0,3240,1120,14332,0,0,6786,0,0,0,0
3,0,1,1,ACCEPT,47.7644,8.5378,6207,0,0,1.0000,155.00,497.00,104.00,60.00,152.00,499.50,102.00,59.00,0.8692,3.91,1,0,0.0000,NOT_RUN,0,3082,1018,13865,0,0,6207,0,0,0,0
4,0,1,1,ACCEPT,42.4469,7.5679,5850,0,0,1.0000,155.00,497.00,104.00,60.00,151.50,501.50,103.00,59.00,0.8068,5.70,1,0,0.0000,NOT_RUN,0,3039,944,14138,0,0,5850,0,0,0,0
5,0,1,1,ACCEPT,38.7528,6.7276,5705,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,501.00,104.00,60.00,0.8140,5.66,1,0,0.0000,NOT_RUN,0,3234,742,14517,0,0,5705,0,0,0,0
6,0,1,1,ACCEPT,35.8517,6.4050,5425,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,0.0000,NOT_RUN,0,3259,661,14697,0,0,5425,0,0,0,0
7,0,1,1,ACCEPT,33.6710,5.9908,5224,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,0.0000,NOT_RUN,0,3230,553,13885,0,0,5224,0,0,0,0
8,0,1,1,ACCEPT,31.7174,5.8813,5005,0,0,1.0000,155.00,497.00,104.00,60.00,150.50,503.00,109.00,58.00,0.7554,7.50,1,0,0.0000,NOT_RUN,0,3296,395,14160,0,0,5005,0,0,0,0
9,0,1,1,ACCEPT,30.3581,5.6771,4905,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,504.50,103.00,57.00,0.6786,10.61,1,0,0.0000,NOT_RUN,0,3540,430,12113,0,0,4905,0,0,0,0
10,0,1,1,ACCEPT,29.8235,5.7512,4923,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,506.50,103.00,55.00,0.6315,12.10,1,0,0.0000,NOT_RUN,0,3578,378,10572,0,0,4923,0,0,0,0
11,0,1,1,ACCEPT,28.6491,5.3252,4782,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,507.00,103.00,54.00,0.6189,12.50,1,0,0.0000,NOT_RUN,0,3714,424,9949,0,0,4782,0,0,0,0
12,0,1,1,ACCEPT,27.3017,5.2593,4807,0,0,1.0000,155.00,497.00,104.00,60.00,147.00,508.00,104.00,54.00,0.5935,13.60,1,0,0.0000,NOT_RUN,0,3791,415,9490,0,0,4807,0,0,0,0
13,0,1,1,ACCEPT,26.1658,5.2727,4640,0,0,1.0000,155.00,497.00,104.00,60.00,147.00,508.50,104.00,51.00,0.5770,14.01,1,0,0.0000,NOT_RUN,0,3652,353,8589,0,0,4640,0,0,0,0
14,0,1,1,ACCEPT,25.3575,5.2029,4641,0,0,1.0000,155.00,497.00,104.00,60.00,146.50,509.00,105.00,50.00,0.5607,14.71,1,0,0.0000,NOT_RUN,0,3709,327,8189,0,0,4641,0,0,0,0
15,0,1,1,ACCEPT,23.6750,4.9382,4474,0,0,1.0000,155.00,497.00,104.00,60.00,146.50,510.00,105.00,50.00,0.5406,15.53,1,0,0.0000,NOT_RUN,0,3882,325,7940,0,0,4474,0,0,0,0
16,0,1,1,ACCEPT,21.9114,4.5606,4588,0,0,1.0000,155.00,497.00,104.00,60.00,145.00,510.00,104.00,48.00,0.5224,16.40,1,0,0.0000,NOT_RUN,0,4179,320,8005,0,0,4588,0,0,0,0
17,0,1,1,ACCEPT,21.0171,4.0660,4562,0,0,1.0000,155.00,497.00,104.00,60.00,145.50,512.00,107.00,48.00,0.4906,17.76,1,0,0.0000,NOT_RUN,0,4211,335,8401,0,0,4562,0,0,0,0
18,0,1,1,ACCEPT,19.8506,3.3804,4594,0,0,1.0000,155.00,497.00,104.00,60.00,145.00,511.50,104.00,45.00,0.4861,17.61,1,0,0.0000,NOT_RUN,0,4392,309,8627,0,0,4594,0,0,0,0
19,0,1,1,ACCEPT,18.4754,2.9961,4590,0,0,1.0000,155.00,497.00,104.00,60.00,146.50,512.00,107.00,42.00,0.4822,17.24,1,0,0.0000,NOT_RUN,0,4666,363,8715,0,0,4590,0,0,0,0
20,0,1,1,ACCEPT,17.7149,2.7592,4743,0,0,1.0000,155.00,497.00,104.00,60.00,145.50,513.00,105.00,42.00,0.4539,18.61,1,0,0.0000,NOT_RUN,0,4774,336,9724,0,0,4743,0,0,0,0
21,0,1,1,ACCEPT,17.5600,2.9409,4829,0,0,1.0000,155.00,497.00,104.00,60.00,146.50,514.00,105.00,38.00,0.4292,19.01,1,0,0.0000,NOT_RUN,0,4868,331,10360,0,0,4829,0,0,0,0
22,0,1,1,ACCEPT,16.8594,3.0936,4625,0,0,1.0000,155.00,497.00,104.00,60.00,148.50,513.50,109.00,37.00,0.4524,17.73,1,0,0.0000,NOT_RUN,0,4759,301,10315,0,0,4625,0,0,0,0
23,0,1,1,ACCEPT,16.3120,3.0243,4349,0,0,1.0000,155.00,497.00,104.00,60.00,148.50,513.50,107.00,35.00,0.4438,17.73,1,0,0.0000,NOT_RUN,0,4731,276,10622,0,0,4349,0,0,0,0
24,0,1,1,ACCEPT,16.3136,3.1537,4125,0,0,1.0000,155.00,497.00,104.00,60.00,148.00,515.00,106.00,32.00,0.3984,19.31,1,0,0.0000,NOT_RUN,0,4551,296,10248,0,0,4125,0,0,0,0
25,0,1,1,ACCEPT,16.3913,3.2679,3928,0,0,1.0000,155.00,497.00,104.00,60.00,149.50,516.00,103.00,32.00,0.3840,19.78,1,0,0.0000,NOT_RUN,0,4150,335,10356,0,0,3928,0,0,0,0
26,0,1,1,ACCEPT,16.9021,3.3264,3862,1,0,0.9930,158.25,497.00,104.00,60.00,151.00,516.00,104.00,30.00,0.3675,20.34,1,0,0.0000,NOT_RUN,0,4007,283,10482,0,0,3862,0,0,0,0
27,0,1,1,ACCEPT,17.2520,3.2956,3668,0,0,1.0000,158.25,497.00,104.00,60.00,152.00,516.50,102.00,29.00,0.3568,20.48,1,0,0.0000,NOT_RUN,0,3829,323,9337,0,0,3668,0,0,0,0
28,0,1,1,ACCEPT,18.4346,3.7921,3667,0,0,1.0000,158.25,497.00,104.00,60.00,153.00,517.50,98.00,27.00,0.3295,21.16,1,0,0.0000,NOT_RUN,0,3697,301,9556,0,0,3667,0,0,0,0
29,0,1,1,ACCEPT,19.1752,3.6448,3561,0,0,1.0000,158.25,497.00,104.00,60.00,155.50,518.00,99.00,26.00,0.3271,21.18,1,0,0.0000,NOT_RUN,0,3574,292,9178,0,0,3561,0,0,0,0
30,0,1,1,ACCEPT,19.4646,3.3879,3459,0,0,1.0000,158.25,497.00,104.00,60.00,157.50,517.50,97.00,25.00,0.3267,20.51,1,0,0.0000,NOT_RUN,0,3387,302,9149,0,0,3459,0,0,0,0
31,0,1,1,ACCEPT,19.4882,3.2905,3307,0,0,1.0000,158.25,497.00,104.00,60.00,159.00,517.50,96.00,25.00,0.3235,20.51,1,0,0.0000,NOT_RUN,0,3247,337,7476,0,0,3307,0,0,0,0
32,0,1,1,ACCEPT,19.1620,3.1799,3323,0,0,1.0000,158.25,497.00,104.00,60.00,163.00,518.00,92.00,22.00,0.2864,21.53,1,0,0.0000,NOT_RUN,0,3437,304,8522,0,0,3323,0,0,0,0
33,0,1,1,ACCEPT,17.5789,2.7469,3126,1,0,0.9968,161.50,497.00,104.00,60.00,167.00,517.50,88.00,21.00,0.2781,21.22,1,0,0.0000,NOT_RUN,0,3500,307,8603,0,0,3126,0,0,0,0
34,0,1,1,ACCEPT,14.7689,2.5886,2687,-1,0,0.9948,158.25,497.00,104.00,60.00,170.50,516.50,85.00,19.00,0.2484,23.03,1,0,0.0000,NOT_RUN,0,3532,258,9498,0,0,2687,0,0,0,0
35,0,1,1,ACCEPT,13.3821,3.0985,2894,1,0,0.9800,161.50,497.00,104.00,60.00,176.50,516.50,79.00,19.00,0.2312,24.60,1,0,0.0000,NOT_RUN,0,4270,308,9302,0,0,2894,0,0,0,0
36,0,1,1,ACCEPT,12.0724,2.5079,2844,-1,1,0.9448,158.25,498.88,104.00,60.00,188.00,516.50,92.00,17.00,0.1746,34.58,1,0,0.0000,NOT_RUN,0,4651,302,9210,0,0,2844,0,0,0,0
37,0,1,1,ACCEPT,15.6731,3.1002,4052,0,0,1.0000,158.25,498.88,104.00,60.00,193.00,515.00,90.00,16.00,0.1490,38.31,1,0,0.0000,NOT_RUN,0,5441,251,10658,0,0,4052,0,0,0,0
38,0,1,1,ACCEPT,18.4048,3.8438,4651,0,0,1.0000,158.25,498.88,104.00,60.00,197.50,514.00,83.00,14.00,0.1143,42.06,1,0,0.0000,NOT_RUN,0,5433,315,11275,0,0,4651,0,0,0,0
39,0,1,1,ACCEPT,19.5191,3.8523,5216,0,0,1.0000,158.25,498.88,104.00,60.00,204.00,514.00,78.00,14.00,0.0946,48.19,1,0,0.0000,NOT_RUN,0,5816,259,11802,0,0,5216,0,0,0,0
40,0,1,1,ACCEPT,20.4851,3.7312,5899,0,0,1.0000,158.25,498.88,104.00,60.00,211.00,511.50,70.00,15.00,0.0758,54.24,1,0,0.0000,NOT_RUN,0,6273,327,13316,0,0,5899,0,0,0,0
41,0,1,1,ACCEPT,22.7556,4.1347,6785,0,0,1.0000,158.25,498.88,104.00,60.00,215.00,508.50,66.00,17.00,0.0698,57.56,1,0,0.0000,NOT_RUN,0,6375,324,13449,0,0,6785,0,0,0,0
42,0,1,1,ACCEPT,24.8603,4.8598,7139,0,0,1.0000,158.25,498.88,104.00,60.00,221.50,506.50,61.00,17.00,0.0471,63.71,1,0,0.0000,NOT_RUN,0,6266,365,12489,0,0,7139,0,0,0,0
43,0,1,1,ACCEPT,26.7411,4.8276,6971,0,0,1.0000,158.25,498.88,104.00,60.00,225.50,504.00,59.00,20.00,0.0399,67.45,1,0,0.0000,NOT_RUN,0,5747,334,12158,0,0,6971,0,0,0,0
44,0,1,1,ACCEPT,28.4713,5.0996,7170,0,0,1.0000,158.25,498.88,104.00,60.00,233.00,501.50,52.00,25.00,0.0109,74.80,1,0,0.0000,NOT_RUN,0,5610,323,12513,0,0,7170,0,0,0,0
45,0,1,1,ACCEPT,30.1575,5.5048,7514,0,0,1.0000,158.25,498.88,104.00,60.00,237.50,498.00,47.00,26.00,0.0000,79.25,1,0,0.0000,NOT_RUN,0,5664,335,12695,0,0,7514,0,0,0,0
46,0,1,1,ACCEPT,32.2397,5.7294,7666,1,0,0.9935,161.50,498.88,104.00,60.00,244.00,496.00,46.00,32.00,0.0000,82.55,1,0,0.0000,NOT_RUN,0,5528,388,13111,0,0,7666,0,0,0,0
47,0,1,1,ACCEPT,33.0824,6.0920,7682,-1,0,0.9665,158.25,498.88,104.00,60.00,250.50,494.00,45.00,38.00,0.0000,92.38,1,0,0.0000,NOT_RUN,0,5332,322,13957,0,0,7682,0,0,0,0
48,0,1,1,ACCEPT,34.8650,6.0885,8390,1,0,0.9741,161.50,498.88,104.00,60.00,256.50,489.50,43.00,45.00,0.0000,95.46,1,0,0.0000,NOT_RUN,0,5749,406,13176,0,0,8390,0,0,0,0
49,0,1,1,ACCEPT,34.9765,5.9932,7953,0,0,1.0000,161.50,498.88,104.00,60.00,262.00,487.00,44.00,54.00,0.0000,101.20,1,0,0.0000,NOT_RUN,0,5494,359,12796,0,0,7953,0,0,0,0
50,0,1,1,ACCEPT,36.2096,6.4564,8219,0,0,1.0000,161.50,498.88,104.00,60.00,267.00,482.00,44.00,62.00,0.0000,106.84,1,0,0.0000,NOT_RUN,0,5510,387,12586,0,0,8219,0,0,0,0
51,0,1,1,ACCEPT,37.1068,6.6260,8468,0,0,1.0000,161.50,498.88,104.00,60.00,271.00,478.50,44.00,75.00,0.0000,111.38,1,0,0.0000,NOT_RUN,0,5660,439,11830,0,0,8468,0,0,0,0
52,0,1,1,ACCEPT,38.0029,6.6394,8432,0,0,1.0000,161.50,498.88,104.00,60.00,275.00,474.00,44.00,84.00,0.0000,116.19,1,0,0.0000,NOT_RUN,0,5564,458,11960,0,0,8432,0,0,0,0
53,0,1,1,ACCEPT,39.0800,6.8680,8530,0,1,0.9921,161.50,500.75,104.00,60.00,278.00,469.00,46.00,94.00,0.0000,120.75,1,0,0.0000,NOT_RUN,0,5706,418,12179,0,0,8530,0,0,0,0
54,0,1,1,ACCEPT,40.3435,7.3249,9017,0,0,1.0000,161.50,500.75,104.00,60.00,279.50,463.50,45.00,105.00,0.0000,123.74,1,0,0.0000,NOT_RUN,0,5915,401,12830,0,0,9017,0,0,0,0
55,0,1,1,ACCEPT,41.4629,7.7015,9727,0,0,1.0000,161.50,500.75,104.00,60.00,282.00,458.00,44.00,114.00,0.0000,127.86,1,0,0.0000,NOT_RUN,0,6197,407,13062,0,0,9727,0,0,0,0
56,0,1,1,ACCEPT,42.5954,7.8776,10044,0,0,1.0000,161.50,500.75,104.00,60.00,283.00,450.50,48.00,121.00,0.0000,131.48,1,0,0.0000,NOT_RUN,0,6251,367,12802,0,0,10044,0,0,0,0
57,0,1,1,ACCEPT,42.8163,7.8361,10038,0,0,1.0000,161.50,500.75,104.00,60.00,281.50,451.50,47.00,107.00,0.0000,129.71,1,0,0.0000,NOT_RUN,0,6276,357,13030,0,0,10038,0,0,0,0
58,0,1,1,ACCEPT,43.1557,8.6256,10092,0,0,1.0000,161.50,500.75,104.00,60.00,279.00,441.00,52.00,108.00,0.0000,131.82,1,0,0.0000,NOT_RUN,0,6239,342,12718,0,0,10092,0,0,0,0
59,0,1,1,ACCEPT,43.9882,9.5379,9557,0,0,1.0000,161.50,500.75,104.00,60.00,275.50,428.00,53.00,104.00,0.0000,135.24,1,0,0.0000,NOT_RUN,0,5832,294,12846,0,0,9557,0,0,0,0
60,0,1,1,ACCEPT,43.9801,9.0236,9547,0,0,1.0000,161.50,500.75,104.00,60.00,271.50,414.00,51.00,96.00,0.0000,140.09,1,0,0.0000,NOT_RUN,0,5835,292,12342,0,0,9547,0,0,0,0
61,0,1,1,ACCEPT,44.5435,9.2096,9403,0,0,1.0000,161.50,500.75,104.00,60.00,265.50,398.50,51.00,85.00,0.0000,145.85,1,0,0.0000,NOT_RUN,0,5679,279,12373,0,0,9403,0,0,0,0
62,0,1,1,ACCEPT,44.6226,9.4247,9387,0,0,1.0000,161.50,500.75,104.00,60.00,257.50,380.00,49.00,70.00,0.0000,154.26,1,0,0.0000,NOT_RUN,0,5693,304,13065,0,0,9387,0,0,0,0
63,0,1,1,ACCEPT,44.6360,9.7600,9760,0,0,1.0000,161.50,500.75,104.00,60.00,247.00,364.50,48.00,45.00,0.0000,160.85,1,0,0.0000,NOT_RUN,0,5954,351,13071,0,0,9760,0,0,0,0
64,0,1,1,ACCEPT,45.3499,9.1159,9754,0,0,1.0000,161.50,500.75,104.00,60.00,235.50,341.50,45.00,31.00,0.0000,175.60,1,0,0.0000,NOT_RUN,0,5763,327,13859,0,0,9754,0,0,0,0
65,0,1,1,ACCEPT,45.2359,9.3216,10058,0,1,0.9864,161.50,502.62,104.00,60.00,223.50,330.00,47.00,26.00,0.0000,183.42,1,0,0.0000,NOT_RUN,0,5957,297,14679,0,0,10058,0,0,0,0
66,0,1,1,ACCEPT,46.5607,9.7756,10323,0,0,1.0000,161.50,502.62,104.00,60.00,209.50,321.00,47.00,18.00,0.0000,187.86,1,0,0.0000,NOT_RUN,0,5876,317,14539,0,0,10323,0,0,0,0
67,0,1,1,ACCEPT,46.8446,10.1131,10730,0,0,1.0000,161.50,502.62,104.00,60.00,196.00,309.50,48.00,13.00,0.0000,196.18,1,0,0.0000,NOT_RUN,0,6008,310,15599,0,0,10730,0,0,0,0
68,0,1,1,ACCEPT,47.6700,10.3340,11171,0,0,1.0000,161.50,502.62,104.00,60.00,182.50,301.00,49.00,4.00,0.0000,202.72,1,0,0.0000,NOT_RUN,0,6105,348,14885,0,0,11171,0,0,0,0
69,0,1,1,ACCEPT,47.1413,9.8020,10939,0,0,1.0000,161.50,502.62,104.00,60.00,168.50,292.50,47.00,13.00,0.0000,210.24,1,0,0.0000,NOT_RUN,0,5951,369,14910,0,0,10939,0,0,0,0
70,0,1,1,ACCEPT,46.3681,9.6466,11190,0,0,1.0000,161.50,502.62,104.00,60.00,161.50,284.50,59.00,23.00,0.0000,218.12,1,0,0.0000,NOT_RUN,0,6146,400,16661,0,0,11190,0,0,0,0
71,0,1,1,ACCEPT,46.1788,10.2461,11701,0,0,1.0000,161.50,502.62,104.00,60.00,154.00,279.00,70.00,40.00,0.0000,223.75,1,0,0.0000,NOT_RUN,0,6483,358,17208,0,0,11701,0,0,0,0
72,0,1,1,ACCEPT,45.7379,10.2997,11546,0,0,1.0000,161.50,502.62,104.00,60.00,146.00,271.50,80.00,47.00,0.0000,231.64,1,0,0.0000,NOT_RUN,0,6324,324,18390,0,0,11546,0,0,0,0
73,0,1,1,ACCEPT,45.5764,10.5954,11888,0,0,1.0000,161.50,502.62,104.00,60.00,137.50,263.50,83.00,59.00,0.0000,240.33,1,0,0.0000,NOT_RUN,0,6560,369,17474,0,0,11888,0,0,0,0
74,0,1,1,ACCEPT,44.5678,11.1460,11302,0,0,1.0000,161.50,502.62,104.00,60.00,128.50,258.50,91.00,69.00,0.0000,246.35,1,0,0.0000,NOT_RUN,0,6201,369,16655,0,0,11302,0,0,0,0
75,0,1,1,ACCEPT,43.5233,10.7333,11109,0,0,1.0000,161.50,502.62,104.00,60.00,121.00,253.50,92.00,77.00,0.0000,252.40,1,0,0.0000,NOT_RUN,0,6190,381,16575,0,0,11109,0,0,0,0
76,0,1,1,ACCEPT,43.1797,11.4959,11082,0,1,0.9805,161.50,504.50,104.00,60.00,113.50,250.00,97.00,84.00,0.0000,258.99,1,0,0.0000,NOT_RUN,0,6077,335,16255,0,0,11082,0,0,0,0
77,0,1,1,ACCEPT,44.0860,10.8665,11399,0,0,1.0000,161.50,504.50,104.00,60.00,108.50,247.50,99.00,87.00,0.0000,262.41,1,0,0.0000,NOT_RUN,0,6165,334,15463,0,0,11399,0,0,0,0
78,0,1,1,ACCEPT,43.9708,11.6487,11008,0,0,1.0000,161.50,504.50,104.00,60.00,102.00,246.00,98.00,90.00,0.0000,265.26,1,0,0.0000,NOT_RUN,0,5844,303,16916,0,0,11008,0,0,0,0
79,0,1,1,ACCEPT,44.2380,11.8368,11316,0,0,1.0000,161.50,504.50,104.00,60.00,97.00,246.50,98.00,93.00,0.0000,265.94,1,0,0.0000,NOT_RUN,0,5942,346,16311,0,0,11316,0,0,0,0
80,0,1,1,ACCEPT,44.4029,11.6578,11343,0,0,1.0000,161.50,504.50,104.00,60.00,93.50,247.50,97.00,93.00,0.0000,265.84,1,0,0.0000,NOT_RUN,0,5885,321,17108,0,0,11343,0,0,0,0
81,0,1,1,ACCEPT,45.6165,12.7774,11768,0,0,1.0000,161.50,504.50,104.00,60.00,89.00,249.00,94.00,90.00,0.0000,265.59,1,0,0.0000,NOT_RUN,0,5986,339,15977,0,0,11768,0,0,0,0
82,0,1,1,ACCEPT,44.2750,12.0888,11303,0,0,1.0000,161.50,504.50,104.00,60.00,86.50,253.00,93.00,86.00,0.0000,262.44,1,0,0.0000,NOT_RUN,0,5942,370,15543,0,0,11303,0,0,0,0
83,0,1,1,ACCEPT,45.0104,12.1987,11418,0,0,1.0000,161.50,504.50,104.00,60.00,85.00,257.50,90.00,83.00,0.0000,258.58,1,0,0.0000,NOT_RUN,0,5887,350,15861,0,0,11418,0,0,0,0
84,0,1,1,ACCEPT,44.0877,11.0630,11417,0,0,1.0000,161.50,504.50,104.00,60.00,81.50,262.00,85.00,76.00,0.0000,255.36,1,0,0.0000,NOT_RUN,0,6092,354,17319,0,0,11417,0,0,0,0
85,0,1,1,ACCEPT,44.8956,11.3788,11925,0,1,0.9807,161.50,506.38,104.00,60.00,80.50,269.00,81.00,68.00,0.0000,250.81,1,0,0.0000,NOT_RUN,0,6143,347,16292,0,0,11925,0,0,0,0
86,0,1,1,ACCEPT,46.3183,11.0363,11864,0,0,1.0000,161.50,506.38,104.00,60.00,79.00,274.50,76.00,61.00,0.0000,246.11,1,0,0.0000,NOT_RUN,0,6047,333,16344,0,0,11864,0,0,0,0
87,0,1,1,ACCEPT,46.7518,11.6307,12061,0,0,1.0000,161.50,506.38,104.00,60.00,76.50,281.50,71.00,51.00,0.0000,240.40,1,0,0.0000,NOT_RUN,0,6103,368,15209,0,0,12061,0,0,0,0
88,0,1,1,ACCEPT,46.2849,10.4941,11596,0,0,1.0000,161.50,506.38,104.00,60.00,76.00,288.50,66.00,41.00,0.0000,234.05,1,0,0.0000,NOT_RUN,0,5943,328,14630,0,0,11596,0,0,0,0
89,0,1,1,ACCEPT,46.3809,11.5532,10860,0,1,0.9999,161.50,508.25,104.00,60.00,73.00,300.00,64.00,40.00,0.0000,226.27,1,0,0.0000,NOT_RUN,0,5519,351,14611,0,0,10860,0,0,0,0
90,0,1,1,ACCEPT,47.6666,11.3353,11256,0,0,1.0000,161.50,508.25,104.00,60.00,72.50,311.00,61.00,38.00,0.0000,216.40,1,0,0.0000,NOT_RUN,0,5508,328,15159,0,0,11256,0,0,0,0
91,0,1,1,ACCEPT,47.9709,11.5432,11497,0,0,1.0000,161.50,508.25,104.00,60.00,72.00,323.50,58.00,35.00,0.0000,205.29,1,0,0.0000,NOT_RUN,0,5498,352,14142,0,0,11497,0,0,0,0
92,0,1,1,ACCEPT,48.8626,11.9032,11808,0,0,1.0000,161.50,508.25,104.00,60.00,72.00,334.50,54.00,35.00,0.0000,195.45,1,0,0.0000,NOT_RUN,0,5553,337,15079,0,0,11808,0,0,0,0
93,0,1,1,ACCEPT,47.7082,11.7386,11809,0,0,1.0000,161.50,508.25,104.00,60.00,71.00,341.50,52.00,43.00,0.0000,189.73,1,0,0.0000,NOT_RUN,0,5610,310,15950,0,0,11809,0,0,0,0
94,0,1,1,ACCEPT,47.9245,12.2923,11481,0,0,1.0000,161.50,508.25,104.00,60.00,71.00,349.50,48.00,51.00,0.0000,182.73,1,0,0.0000,NOT_RUN,0,5445,316,15322,0,0,11481,0,0,0,0
