frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,437.50,415.50,107.00,9.00,437.50,415.50,107.00,9.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,656,29429,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.7563,2.7000,675,-1,-19,0.1067,434.16,410.16,107.00,9.00,436.00,409.00,108.00,14.00,0.6239,2.18,1,0,0.0000,NOT_RUN,0,1431,530,13817,0,0,675,0,0,0,0
2,0,1,1,ACCEPT,5.6085,1.4346,307,4,9,0.2215,447.53,412.69,107.00,9.00,437.00,398.50,110.00,15.00,0.0000,17.67,1,0,0.0000,NOT_RUN,0,834,536,8462,0,0,307,0,0,0,0
3,0,1,1,ACCEPT,6.2646,1.1206,288,-1,6,0.7847,444.19,414.38,107.00,9.00,445.50,392.50,105.00,23.00,0.0000,21.91,1,0,0.0000,NOT_RUN,0,764,420,15539,0,0,288,0,0,0,0
4,0,1,1,ACCEPT,7.8681,1.8578,431,4,-12,0.0858,457.56,411.00,107.00,9.00,455.50,394.00,111.00,30.00,0.0664,17.12,1,0,0.0000,NOT_RUN,0,1213,135,25228,0,0,431,0,0,0,0
5,0,1,1,ACCEPT,5.8250,1.0798,257,2,-4,0.6420,464.25,409.88,107.00,9.00,455.50,408.00,115.00,30.00,0.2635,8.95,1,0,0.0000,NOT_RUN,0,966,128,15251,0,0,257,0,0,0,0
6,0,1,0,LOW_PSR,4.8336,1.1964,134,0,9,0.2313,464.25,409.88,107.00,9.00,457.50,411.50,115.00,31.00,0.2614,6.94,0,0,0.0000,NOT_RUN,0,568,263,0,0,0,134,0,0,0,0
7,0,1,1,ACCEPT,5.6882,1.2270,346,0,8,0.3786,464.25,412.12,107.00,9.00,457.50,420.00,113.00,30.00,0.2714,10.37,1,0,0.0000,NOT_RUN,0,700,218,21588,0,0,346,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-3.3145,1.1600,-29,32,0,0.7931,464.25,412.12,107.00,9.00,454.00,440.50,116.00,33.00,0.0000,30.17,0,0,0.0000,NOT_RUN,0,232,241,0,0,0,29,0,0,0,0
9,0,1,0,LOW_PSR,3.8858,1.1228,64,-1,-5,0.3438,464.25,412.12,107.00,9.00,455.00,455.50,118.00,25.00,0.0000,44.35,0,0,0.0000,NOT_RUN,0,395,112,0,0,0,64,0,0,0,0
10,0,1,0,LOW_PSR,4.5124,1.0508,62,-20,-4,0.2581,464.25,412.12,107.00,9.00,456.00,460.50,118.00,21.00,0.0000,49.07,0,0,0.0000,NOT_RUN,0,245,108,0,0,0,62,0,0,0,0
11,0,1,0,LOW_PSR,3.2829,1.0000,35,-21,7,0.2857,464.25,412.12,107.00,9.00,450.00,460.00,120.00,24.00,0.0000,49.95,0,0,0.0000,NOT_RUN,0,249,158,0,0,0,35,0,0,0,0
12,0,1,0,LOW_PSR,3.9592,1.0339,61,-18,-7,0.2131,464.25,412.12,107.00,9.00,446.50,461.50,117.00,27.00,0.0000,52.47,0,0,0.0000,NOT_RUN,0,458,224,0,0,0,61,0,0,0,0
13,0,1,0,LOW_PSR,3.2777,1.0476,66,-16,-15,0.1970,464.25,412.12,107.00,9.00,443.50,464.50,121.00,29.00,0.0000,56.34,0,0,0.0000,NOT_RUN,0,717,157,0,0,0,66,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-3.2986,1.0323,-96,4,-8,0.4167,464.25,412.12,107.00,9.00,435.50,486.00,119.00,28.00,0.0000,79.27,0,0,0.0000,NOT_RUN,0,1080,231,0,0,0,96,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-2.6334,1.0000,-70,8,-7,0.2286,464.25,412.12,107.00,9.00,423.00,507.50,126.00,25.00,0.0000,103.91,0,0,0.0000,NOT_RUN,0,949,221,0,0,0,70,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-3.0463,1.1395,-98,-19,-11,0.2143,464.25,412.12,107.00,9.00,424.00,519.50,124.00,25.00,0.0000,114.67,0,0,0.0000,NOT_RUN,0,1121,313,0,0,0,98,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-4.2539,1.1855,-147,10,-7,0.7551,464.25,412.12,107.00,9.00,427.50,519.00,119.00,24.00,0.0000,113.02,0,0,0.0000,NOT_RUN,0,827,405,0,0,0,147,0,0,0,0
18,0,1,0,LOW_PSR,4.1558,1.1757,174,-4,-8,0.1437,464.25,412.12,107.00,9.00,426.50,517.00,117.00,28.00,0.0000,111.46,0,0,0.0000,NOT_RUN,0,1425,302,0,0,0,174,0,0,0,0
