frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,273.50,308.00,41.00,46.00,273.50,308.00,41.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,246,6448,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,54.7459,13.7882,3516,0,-1,0.8803,273.50,306.56,41.00,46.00,272.00,303.00,52.00,52.00,0.6831,3.87,1,0,0.0000,NOT_RUN,0,1736,173,6439,0,0,3516,0,0,0,0
2,0,1,1,ACCEPT,43.5751,10.7604,3099,1,0,0.9894,274.78,306.56,41.00,46.00,273.50,305.00,55.00,46.00,0.7023,2.02,1,0,0.0000,NOT_RUN,0,1574,155,7809,0,0,3099,0,0,0,0
3,0,1,1,ACCEPT,39.5010,7.9478,3656,1,1,0.6704,276.06,308.00,41.00,46.00,275.50,306.50,55.00,49.00,0.6998,1.60,1,0,0.0000,NOT_RUN,0,1908,168,5937,0,0,3656,0,0,0,0
4,0,1,1,ACCEPT,36.5366,6.8355,3657,0,0,1.0000,276.06,308.00,41.00,46.00,273.00,305.50,54.00,47.00,0.6885,3.95,1,0,0.0000,NOT_RUN,0,2093,180,5229,0,0,3657,0,0,0,0
5,0,1,1,ACCEPT,37.5635,7.8124,3539,3,0,0.4770,279.91,308.00,41.00,46.00,275.00,305.00,54.00,44.00,0.6780,5.75,1,0,0.0000,NOT_RUN,0,1912,142,6897,0,0,3539,0,0,0,0
6,0,1,1,ACCEPT,36.1167,7.8426,4235,0,0,1.0000,279.91,308.00,41.00,46.00,276.50,305.00,57.00,48.00,0.6402,4.54,1,0,0.0000,NOT_RUN,0,2721,127,5871,0,0,4235,0,0,0,0
7,0,1,1,ACCEPT,40.5475,9.5152,4063,2,0,0.6973,282.47,308.00,41.00,46.00,279.50,304.00,55.00,46.00,0.6392,4.98,1,0,0.0000,NOT_RUN,0,2102,122,6625,0,0,4063,0,0,0,0
8,0,1,1,ACCEPT,36.6868,7.8768,4285,2,-1,0.6670,285.03,306.56,41.00,46.00,282.00,304.00,56.00,48.00,0.6620,3.97,1,0,0.0000,NOT_RUN,0,2271,114,5554,0,0,4285,0,0,0,0
9,0,1,1,ACCEPT,32.5418,7.5176,3631,1,-1,0.8898,286.31,305.12,41.00,46.00,285.00,303.50,52.00,47.00,0.7389,2.09,1,0,0.0000,NOT_RUN,0,2109,144,5873,0,0,3631,0,0,0,0
10,0,1,1,ACCEPT,26.9783,6.0592,4199,2,-2,0.4823,288.88,302.25,41.00,46.00,286.00,301.50,52.00,49.00,0.7402,2.97,1,0,0.0000,NOT_RUN,0,3468,69,9569,0,0,4199,0,0,0,0
11,0,1,1,ACCEPT,25.9243,5.1432,4850,-2,-1,0.6676,286.31,300.81,41.00,46.00,284.50,299.00,57.00,52.00,0.6363,2.56,1,0,0.0000,NOT_RUN,0,3316,194,5521,0,0,4850,0,0,0,0
12,0,1,1,ACCEPT,27.3554,5.3781,6572,2,0,0.5910,288.88,300.81,41.00,46.00,286.00,298.00,52.00,52.00,0.6975,4.02,1,0,0.0000,NOT_RUN,0,4445,208,6775,0,0,6572,0,0,0,0
