frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,240.50,549.00,21.00,74.00,240.50,549.00,21.00,74.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,408,15331,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.6500,1.9150,1871,12,3,0.1427,248.38,555.94,21.00,74.00,250.00,556.00,12.00,44.00,0.3398,1.63,1,0,0.0000,NOT_RUN,0,3966,434,10235,0,0,1871,0,0,0,0
2,0,1,1,ACCEPT,12.8518,2.0972,4616,7,1,0.0340,252.97,558.25,21.00,74.00,253.50,565.00,23.00,60.00,0.7527,6.77,1,0,0.0000,NOT_RUN,0,5528,348,12609,0,0,4616,0,0,0,0
3,0,1,1,ACCEPT,12.5353,2.0264,5068,6,1,0.2684,256.91,560.56,21.00,74.00,255.00,560.50,28.00,65.00,0.6794,1.91,1,0,0.0000,NOT_RUN,0,7056,325,12861,0,0,5068,0,0,0,0
4,0,1,1,ACCEPT,15.2552,2.6644,5542,6,0,0.1027,260.84,560.56,21.00,74.00,259.50,563.50,27.00,51.00,0.5758,3.23,1,0,0.0000,NOT_RUN,0,5448,306,14286,0,0,5542,0,0,0,0
5,0,1,1,ACCEPT,16.2860,2.8513,7422,8,1,0.1083,266.09,562.88,21.00,74.00,264.00,564.00,24.00,48.00,0.5673,2.38,1,0,0.0000,NOT_RUN,0,6915,270,12862,0,0,7422,0,0,0,0
6,0,1,1,ACCEPT,17.2448,3.3859,5949,12,2,0.0158,273.97,567.50,21.00,74.00,273.00,566.50,18.00,77.00,0.8284,1.39,1,0,0.0000,NOT_RUN,0,6330,98,19431,0,0,5949,0,0,0,0
7,0,1,1,ACCEPT,15.0789,3.4256,8862,4,0,0.3952,276.59,567.50,21.00,74.00,276.50,563.50,15.00,69.00,0.6422,4.00,1,0,0.0000,NOT_RUN,0,11777,196,17684,0,0,8862,0,0,0,0
8,0,1,1,ACCEPT,16.9865,2.7349,10885,6,1,0.3565,280.53,569.81,21.00,74.00,279.00,569.50,18.00,69.00,0.7967,1.56,1,0,0.0000,NOT_RUN,0,12315,162,17907,0,0,10885,0,0,0,0
9,0,1,1,ACCEPT,15.0546,2.8003,8916,3,1,0.7194,282.50,572.12,21.00,74.00,282.00,572.00,20.00,54.00,0.6950,0.52,1,0,0.0000,NOT_RUN,0,10578,127,16511,0,0,8916,0,0,0,0
