frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,188.00,350.00,66.00,46.00,188.00,350.00,66.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2648,12540,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,43.2642,7.1380,8951,0,0,1.0000,188.00,350.00,66.00,46.00,191.00,351.50,64.00,45.00,0.8557,3.35,1,0,0.0000,NOT_RUN,0,4825,2470,11289,0,0,8951,0,0,0,0
2,0,1,1,ACCEPT,26.1891,6.1474,6756,-1,-1,0.8837,185.94,348.56,66.00,46.00,193.50,352.00,61.00,40.00,0.6782,8.31,1,0,0.0000,NOT_RUN,0,5298,1917,14303,0,0,6756,0,0,0,0
3,0,1,1,ACCEPT,16.4324,3.5264,6471,0,-2,0.7464,185.94,345.69,66.00,46.00,196.00,350.00,64.00,34.00,0.5586,10.95,1,0,0.0000,NOT_RUN,0,6522,1540,17535,0,0,6471,0,0,0,0
4,0,1,1,ACCEPT,12.0062,1.6607,4640,0,-3,0.8765,185.94,341.38,66.00,46.00,197.00,346.00,64.00,36.00,0.5714,11.99,1,0,0.0000,NOT_RUN,0,7127,1533,14753,0,0,4640,0,0,0,0
5,0,1,1,ACCEPT,7.2056,1.4686,3225,0,-8,0.2009,185.94,329.88,66.00,46.00,195.50,341.00,63.00,44.00,0.4715,14.67,1,0,0.0000,NOT_RUN,0,6397,1215,14029,0,0,3225,0,0,0,0
6,0,1,1,ACCEPT,11.3501,3.1456,4061,0,-4,0.0404,185.94,324.12,66.00,46.00,196.50,338.00,63.00,48.00,0.4181,17.44,1,0,0.0000,NOT_RUN,0,5796,1043,12700,0,0,4061,0,0,0,0
7,0,1,1,ACCEPT,12.1140,3.0126,4067,0,-1,0.7895,185.94,322.69,66.00,46.00,198.00,338.00,64.00,48.00,0.3786,19.49,1,0,0.0000,NOT_RUN,0,5671,975,11628,0,0,4067,0,0,0,0
8,0,1,1,ACCEPT,12.8993,2.8958,4862,0,-5,0.0574,185.94,315.50,66.00,46.00,200.00,342.50,68.00,37.00,0.1604,30.44,1,0,0.0000,NOT_RUN,0,6178,623,12483,0,0,4862,0,0,0,0
9,0,1,1,ACCEPT,14.9155,2.8495,5907,-1,-6,0.0240,183.88,306.88,66.00,46.00,200.00,341.50,66.00,37.00,0.0668,38.20,1,0,0.0000,NOT_RUN,0,5966,487,12932,0,0,5907,0,0,0,0
10,0,1,1,ACCEPT,17.2926,4.0541,6146,0,-3,0.4842,183.88,302.56,66.00,46.00,197.50,335.50,69.00,51.00,0.1467,35.64,1,0,0.0000,NOT_RUN,0,5882,540,13940,0,0,6146,0,0,0,0
11,0,1,1,ACCEPT,19.0550,4.5051,7073,-1,-2,0.5815,181.81,299.69,66.00,46.00,197.50,337.50,69.00,49.00,0.0849,40.94,1,0,0.0000,NOT_RUN,0,5978,498,13935,0,0,7073,0,0,0,0
12,0,1,1,ACCEPT,19.2413,4.1139,7911,0,-4,0.2167,181.81,293.94,66.00,46.00,196.00,338.50,68.00,45.00,0.0082,46.77,1,0,0.0000,NOT_RUN,0,7557,415,15901,0,0,7911,0,0,0,0
13,0,1,1,ACCEPT,17.0827,3.7118,7947,-2,-5,0.2095,177.69,286.75,66.00,46.00,200.50,339.00,67.00,36.00,0.0000,57.01,1,0,0.0000,NOT_RUN,0,7905,551,14669,0,0,7947,0,0,0,0
