frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,225.50,610.00,45.00,52.00,225.50,610.00,45.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,483,13684,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,43.1914,6.2167,5222,0,-1,0.9609,225.50,608.38,45.00,52.00,224.50,610.00,47.00,56.00,0.8891,1.91,1,0,0.0000,NOT_RUN,0,2255,356,14740,0,0,5222,0,0,0,0
2,0,1,1,ACCEPT,29.0547,3.8378,4709,-1,-1,0.8522,224.09,606.75,45.00,52.00,225.50,607.50,51.00,57.00,0.8050,1.59,1,0,0.0000,NOT_RUN,0,2561,287,15459,0,0,4709,0,0,0,0
3,0,1,1,ACCEPT,22.7913,3.2558,4659,0,-1,0.8105,224.09,605.12,45.00,52.00,224.50,604.50,51.00,55.00,0.8342,0.75,1,0,0.0000,NOT_RUN,0,3119,234,19731,0,0,4659,0,0,0,0
4,0,1,1,ACCEPT,21.2539,3.4823,5018,-1,-1,0.7146,222.69,603.50,45.00,52.00,224.00,601.50,52.00,53.00,0.8049,2.39,1,0,0.0000,NOT_RUN,0,3539,154,23761,0,0,5018,0,0,0,0
5,0,1,1,ACCEPT,23.4398,3.8874,5835,-1,-2,0.5971,221.28,600.25,45.00,52.00,222.50,599.50,51.00,51.00,0.8594,1.43,1,0,0.0000,NOT_RUN,0,3843,169,23378,0,0,5835,0,0,0,0
6,0,1,1,ACCEPT,26.8041,4.9282,7072,0,0,1.0000,221.28,600.25,45.00,52.00,222.50,599.00,51.00,52.00,0.8433,1.75,1,0,0.0000,NOT_RUN,0,4145,176,25785,0,0,7072,0,0,0,0
7,0,1,1,ACCEPT,25.0052,4.8378,6981,0,-1,0.9222,221.28,598.62,45.00,52.00,220.00,597.50,50.00,45.00,0.7895,1.71,1,0,0.0000,NOT_RUN,0,4631,198,25182,0,0,6981,0,0,0,0
8,0,1,1,ACCEPT,11.2864,1.9295,3888,1,-1,0.8560,222.69,597.00,45.00,52.00,218.50,599.00,49.00,34.00,0.5707,4.64,1,0,0.0000,NOT_RUN,0,4473,195,21332,0,0,3888,0,0,0,0
9,0,1,1,ACCEPT,6.6853,1.1719,1725,-6,-5,0.1849,214.25,588.88,45.00,52.00,219.00,600.50,52.00,19.00,0.3329,12.56,1,0,0.0000,NOT_RUN,0,4420,143,19238,0,0,1725,0,0,0,0
10,0,1,1,ACCEPT,6.2487,1.2066,1314,2,-3,0.0282,217.06,584.00,45.00,52.00,216.00,598.00,46.00,16.00,0.3006,14.04,1,0,0.0000,NOT_RUN,0,3478,163,12732,0,0,1314,0,0,0,0
11,0,1,1,ACCEPT,7.3182,1.3248,930,-1,-2,0.8097,215.66,580.75,45.00,52.00,214.50,596.50,45.00,21.00,0.3830,15.79,1,0,0.0000,NOT_RUN,0,2155,177,14507,0,0,930,0,0,0,0
