frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,406.50,207.00,145.00,64.00,406.50,207.00,145.00,64.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1912,21262,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,29.5081,5.6809,6408,1,3,0.2720,411.03,213.00,145.00,64.00,414.00,212.50,160.00,57.00,0.8155,3.01,1,0,0.0000,NOT_RUN,0,3727,1794,17960,0,0,6408,0,0,0,0
2,0,1,1,ACCEPT,19.0323,3.8099,5132,0,4,0.0177,411.03,221.00,145.00,64.00,418.50,220.00,169.00,56.00,0.7643,7.54,1,0,0.0000,NOT_RUN,0,4177,1012,25230,0,0,5132,0,0,0,0
3,0,1,1,ACCEPT,21.3103,2.9462,6078,1,5,0.4426,415.56,231.00,145.00,64.00,422.00,226.00,172.00,76.00,0.7099,8.15,1,0,0.0000,NOT_RUN,0,4690,1034,26306,0,0,6078,0,0,0,0
4,0,1,1,ACCEPT,21.8920,3.7325,6629,0,4,0.2038,415.56,239.00,145.00,64.00,421.50,232.00,173.00,102.00,0.5259,9.18,1,0,0.0000,NOT_RUN,0,4397,1169,20910,0,0,6629,0,0,0,0
5,0,1,1,ACCEPT,22.5397,4.2111,7382,0,5,0.1231,415.56,249.00,145.00,64.00,423.00,237.00,176.00,134.00,0.3935,14.12,1,0,0.0000,NOT_RUN,0,4867,974,18750,0,0,7382,0,0,0,0
6,0,1,1,ACCEPT,22.1493,3.3883,7329,0,5,0.0629,415.56,259.00,145.00,64.00,421.50,258.50,177.00,153.00,0.3427,5.96,1,0,0.0000,NOT_RUN,0,5154,1018,15906,0,0,7329,0,0,0,0
7,0,1,1,ACCEPT,21.4229,3.8327,6370,1,6,0.0381,420.09,271.00,145.00,64.00,429.00,254.50,186.00,125.00,0.3991,18.75,1,0,0.0000,NOT_RUN,0,4720,940,16507,0,0,6370,0,0,0,0
8,0,1,1,ACCEPT,20.6006,3.4950,7357,0,5,0.0527,420.09,281.00,145.00,64.00,426.00,287.00,204.00,128.00,0.3554,8.42,1,0,0.0000,NOT_RUN,0,5544,632,20770,0,0,7357,0,0,0,0
9,0,1,1,ACCEPT,17.1948,3.4932,6983,1,6,0.0809,424.62,293.00,145.00,64.00,414.50,303.50,227.00,103.00,0.3969,14.59,1,0,0.0000,NOT_RUN,0,6990,430,22342,0,0,6983,0,0,0,0
10,0,1,1,ACCEPT,22.8515,4.6663,8516,0,7,0.0902,424.62,307.00,145.00,64.00,410.50,317.50,235.00,101.00,0.3910,17.60,1,0,0.0000,NOT_RUN,0,7357,453,22157,0,0,8516,0,0,0,0
11,0,1,1,ACCEPT,22.8122,4.6230,9417,0,7,0.0755,424.62,321.00,145.00,64.00,407.00,329.00,224.00,88.00,0.4708,19.36,1,0,0.0000,NOT_RUN,0,8207,498,14151,0,0,9417,0,0,0,0
12,0,1,1,ACCEPT,21.1937,3.1370,6986,0,7,0.1247,424.62,335.00,145.00,64.00,402.00,343.00,218.00,102.00,0.4173,24.00,1,0,0.0000,NOT_RUN,0,5771,641,15088,0,0,6986,0,0,0,0
13,0,1,1,ACCEPT,20.1100,3.1788,7041,0,8,0.1429,424.62,351.00,145.00,64.00,406.00,374.00,214.00,126.00,0.3442,29.60,1,0,0.0000,NOT_RUN,0,6323,527,13034,0,0,7041,0,0,0,0
14,0,1,1,ACCEPT,17.4430,3.1526,5164,1,7,0.0533,429.16,365.00,145.00,64.00,417.50,398.50,213.00,137.00,0.3180,35.47,1,0,0.0000,NOT_RUN,0,4889,559,11551,0,0,5164,0,0,0,0
15,0,1,1,ACCEPT,15.2359,2.5903,4717,1,7,0.1516,433.69,379.00,145.00,64.00,440.00,424.50,192.00,143.00,0.2969,45.94,1,0,0.0000,NOT_RUN,0,5266,561,14555,0,0,4717,0,0,0,0
16,0,1,1,ACCEPT,14.8369,2.8240,5295,0,8,0.0453,433.69,395.00,145.00,64.00,448.00,444.00,206.00,150.00,0.2647,51.05,1,0,0.0000,NOT_RUN,0,7109,595,15870,0,0,5295,0,0,0,0
17,0,1,1,ACCEPT,13.5645,2.5454,5325,1,9,0.0941,438.22,413.00,145.00,64.00,457.00,472.50,206.00,165.00,0.2260,62.39,1,0,0.0000,NOT_RUN,0,8957,468,16271,0,0,5325,0,0,0,0
18,0,1,1,ACCEPT,11.1732,2.0098,5529,2,6,0.0582,447.28,425.00,145.00,64.00,464.50,487.00,213.00,168.00,0.2103,64.35,1,0,0.0000,NOT_RUN,0,10171,428,19200,0,0,5529,0,0,0,0
19,0,1,1,ACCEPT,13.3606,2.6835,5791,0,6,0.0330,447.28,437.00,145.00,64.00,473.00,499.00,218.00,174.00,0.2122,67.12,1,0,0.0000,NOT_RUN,0,9205,543,16827,0,0,5791,0,0,0,0
20,0,1,1,ACCEPT,11.2142,2.5688,3735,0,6,0.2439,447.28,449.00,145.00,64.00,481.00,500.50,210.00,205.00,0.2134,61.56,1,0,0.0000,NOT_RUN,0,7867,480,15661,0,0,3735,0,0,0,0
21,0,1,1,ACCEPT,7.2882,1.3023,2391,-1,8,0.3158,442.75,465.00,145.00,64.00,490.00,503.50,188.00,237.00,0.1652,60.95,1,0,0.0000,NOT_RUN,0,5523,509,16106,0,0,2391,0,0,0,0
22,0,1,1,ACCEPT,8.8572,1.4963,2644,1,9,0.0930,447.28,483.00,145.00,64.00,495.50,501.50,173.00,237.00,0.1642,51.65,1,0,0.0000,NOT_RUN,0,5156,483,18848,0,0,2644,0,0,0,0
23,0,1,1,ACCEPT,13.0498,2.6957,4669,-1,2,0.5232,442.75,487.00,145.00,64.00,465.50,523.50,231.00,219.00,0.1834,43.01,1,0,0.0000,NOT_RUN,0,4699,412,19756,0,0,4669,0,0,0,0
24,0,1,1,ACCEPT,8.9439,1.9008,3028,-2,5,0.5842,433.69,497.00,145.00,64.00,445.50,538.00,319.00,218.00,0.1334,42.67,1,0,0.0000,NOT_RUN,0,5528,490,11191,0,0,3028,0,0,0,0
25,0,1,1,ACCEPT,6.3826,1.3020,1539,-1,7,0.0006,429.16,511.00,145.00,64.00,431.50,528.50,353.00,247.00,0.1064,17.66,1,0,0.0000,NOT_RUN,0,3801,569,8091,0,0,1539,0,0,0,0
26,0,1,1,ACCEPT,8.1763,1.2858,1489,2,8,0.2680,438.22,527.00,145.00,64.00,428.50,533.00,361.00,246.00,0.1045,11.42,1,0,0.0000,NOT_RUN,0,3473,515,15284,0,0,1489,0,0,0,0
27,0,1,1,ACCEPT,9.7996,1.4706,3200,5,11,0.1778,460.88,549.00,145.00,64.00,429.00,557.50,358.00,163.00,0.1590,32.99,1,0,0.0000,NOT_RUN,0,6714,409,17231,0,0,3200,0,0,0,0
28,0,1,1,ACCEPT,10.3980,2.0312,4688,0,4,0.0017,460.88,557.00,145.00,64.00,426.00,567.00,362.00,190.00,0.1349,36.28,1,0,0.0000,NOT_RUN,0,10070,446,17528,0,0,4688,0,0,0,0
29,0,1,1,ACCEPT,9.3363,1.9478,4369,-2,3,0.7741,451.81,563.00,145.00,64.00,425.50,590.50,367.00,243.00,0.1041,38.06,1,0,0.0000,NOT_RUN,0,10317,356,18049,0,0,4369,0,0,0,0
30,0,1,1,ACCEPT,7.5627,1.6884,3468,-3,3,0.7416,438.22,569.00,145.00,64.00,430.50,617.50,359.00,303.00,0.0853,49.11,1,0,0.0000,NOT_RUN,0,7769,328,11023,0,0,3468,0,0,0,0
31,0,1,1,ACCEPT,5.5303,1.0661,1886,-2,4,0.7497,429.16,577.00,145.00,64.00,460.50,625.00,275.00,320.00,0.1055,57.33,1,0,0.0000,NOT_RUN,0,6185,380,12941,0,0,1886,0,0,0,0
32,0,1,1,ACCEPT,5.8932,1.3394,1776,2,-3,0.6633,438.22,571.00,145.00,64.00,465.50,625.50,187.00,321.00,0.1469,60.95,1,0,0.0000,NOT_RUN,0,5176,320,9307,0,0,1776,0,0,0,0
33,0,1,1,ACCEPT,5.0362,1.0747,791,-12,0,0.1631,383.84,571.00,145.00,64.00,489.00,632.00,214.00,288.00,0.0719,121.57,1,0,0.0000,NOT_RUN,0,2455,415,13935,0,0,791,0,0,0,0
34,0,1,1,ACCEPT,10.1014,1.7488,1462,-4,5,0.0568,365.72,581.00,145.00,64.00,478.00,613.00,290.00,294.00,0.0767,116.75,1,0,0.0000,NOT_RUN,0,2189,365,10378,0,0,1462,0,0,0,0
35,0,1,1,ACCEPT,8.6511,1.6507,1139,5,0,0.2730,388.38,581.00,145.00,64.00,475.50,629.50,329.00,261.00,0.1081,99.71,1,0,0.0000,NOT_RUN,0,1545,274,9712,0,0,1139,0,0,0,0
36,0,1,1,ACCEPT,5.7939,1.0902,882,-1,15,0.5907,383.84,611.00,145.00,64.00,430.00,641.00,434.00,190.00,0.1125,55.05,1,0,0.0000,NOT_RUN,0,1635,373,9369,0,0,882,0,0,0,0
37,0,1,1,ACCEPT,9.0877,1.6615,2052,2,7,0.3372,392.91,625.00,145.00,64.00,422.50,699.50,437.00,131.00,0.0528,80.16,1,0,0.0000,NOT_RUN,0,3186,262,10593,0,0,2052,0,0,0,0
