frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,324,10038,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.0188,1.4232,602,18,-4,0.2409,294.94,430.25,31.00,22.00,274.00,438.50,24.00,21.00,0.0791,22.50,1,0,0.0000,NOT_RUN,0,1178,233,8106,0,0,602,0,0,0,0
2,0,1,1,ACCEPT,7.5860,1.5590,449,0,-1,0.9644,294.94,429.56,31.00,22.00,271.00,438.50,26.00,21.00,0.0490,25.55,1,0,0.0000,NOT_RUN,0,691,214,3731,0,0,449,0,0,0,0
3,0,1,1,ACCEPT,8.2004,1.2874,215,4,1,0.1116,298.81,430.25,31.00,22.00,275.50,430.50,25.00,19.00,0.0834,23.31,1,0,0.0000,NOT_RUN,0,301,186,5883,0,0,215,0,0,0,0
4,0,1,1,ACCEPT,6.8435,1.4340,228,5,2,0.3904,303.66,431.62,31.00,22.00,281.00,422.50,22.00,15.00,0.0369,24.42,1,0,0.0000,NOT_RUN,0,441,211,5328,0,0,228,0,0,0,0
5,0,1,1,ACCEPT,8.0203,1.7511,401,4,-2,0.1471,307.53,430.25,31.00,22.00,287.00,411.00,30.00,16.00,0.0000,28.14,1,0,0.0000,NOT_RUN,0,745,228,9343,0,0,401,0,0,0,0
6,0,1,1,ACCEPT,5.2019,1.0846,513,2,-11,0.1774,309.47,422.69,31.00,22.00,283.50,407.50,29.00,15.00,0.0121,30.08,1,0,0.0000,NOT_RUN,0,1380,151,6198,0,0,513,0,0,0,0
7,0,1,1,ACCEPT,7.7644,1.6063,461,-1,-5,0.1931,308.50,419.25,31.00,22.00,285.00,407.00,30.00,14.00,0.0379,26.50,1,0,0.0000,NOT_RUN,0,766,142,6154,0,0,461,0,0,0,0
8,0,1,1,ACCEPT,6.4988,1.3160,379,-9,6,0.5092,299.78,423.38,31.00,22.00,285.00,404.00,28.00,14.00,0.0000,24.37,1,0,0.0000,NOT_RUN,0,805,157,3926,0,0,379,0,0,0,0
9,0,1,1,ACCEPT,6.0587,1.0519,243,-1,3,0.1111,298.81,425.44,31.00,22.00,286.00,404.00,30.00,12.00,0.0000,24.97,1,0,0.0000,NOT_RUN,0,592,178,3454,0,0,243,0,0,0,0
10,0,1,1,ACCEPT,6.9683,1.5511,273,-3,-6,0.1026,295.91,421.31,31.00,22.00,292.00,400.00,28.00,12.00,0.0000,21.67,1,0,0.0000,NOT_RUN,0,501,182,7242,0,0,273,0,0,0,0
11,0,1,1,ACCEPT,6.8289,1.0875,721,-3,0,0.2843,293.00,421.31,31.00,22.00,300.00,396.00,28.00,12.00,0.0000,26.26,1,0,0.0000,NOT_RUN,0,1248,253,5749,0,0,721,0,0,0,0
12,0,1,1,ACCEPT,9.8535,1.5982,1050,-2,-3,0.2124,291.06,419.25,31.00,22.00,303.50,395.50,35.00,13.00,0.0000,26.81,1,0,0.0000,NOT_RUN,0,1296,247,6560,0,0,1050,0,0,0,0
13,0,1,1,ACCEPT,9.9828,1.8067,1449,3,-3,0.2112,293.97,417.19,31.00,22.00,303.00,400.00,34.00,16.00,0.0359,19.42,1,0,0.0000,NOT_RUN,0,1607,260,6320,0,0,1449,0,0,0,0
14,0,1,1,ACCEPT,9.7713,1.7011,1548,2,-2,0.3947,295.91,415.81,31.00,22.00,301.50,401.50,31.00,13.00,0.0807,15.37,1,0,0.0000,NOT_RUN,0,1862,254,6133,0,0,1548,0,0,0,0
15,0,1,1,ACCEPT,11.3661,2.2824,1374,4,-1,0.0590,299.78,415.12,31.00,22.00,294.50,404.00,31.00,16.00,0.2076,12.31,1,0,0.0000,NOT_RUN,0,1801,272,3412,0,0,1374,0,0,0,0
16,0,1,1,ACCEPT,11.2420,2.3454,713,4,1,0.1865,303.66,415.81,31.00,22.00,292.00,406.50,32.00,21.00,0.2175,14.92,1,0,0.0000,NOT_RUN,0,929,212,2711,0,0,713,0,0,0,0
17,0,1,1,ACCEPT,9.5839,1.7897,451,5,-1,0.0288,308.50,415.12,31.00,22.00,296.50,407.00,31.00,22.00,0.2396,14.49,1,0,0.0000,NOT_RUN,0,638,204,5364,0,0,451,0,0,0,0
18,0,1,1,ACCEPT,12.6103,2.0328,1179,3,-5,0.1213,311.41,411.69,31.00,22.00,305.50,401.00,31.00,22.00,0.2628,12.21,1,0,0.0000,NOT_RUN,0,1543,300,6349,0,0,1179,0,0,0,0
