frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,346.50,967.50,519.00,623.00,346.50,967.50,519.00,623.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3389,22290,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,45.0677,11.6145,4971,1,0,0.9724,362.72,967.50,519.00,623.00,360.00,970.50,524.00,617.00,0.9802,4.05,1,0,0.0000,NOT_RUN,0,2650,2835,22463,0,0,4971,0,0,0,0
2,0,1,1,ACCEPT,38.9058,11.0643,4990,1,1,0.7826,378.94,986.97,519.00,623.00,393.50,979.00,525.00,600.00,0.9119,16.60,1,0,0.0000,NOT_RUN,0,2733,2908,19645,0,0,4990,0,0,0,0
3,0,1,1,ACCEPT,22.3396,5.5007,4142,-1,1,0.9479,362.72,1006.44,519.00,623.00,388.50,982.00,527.00,594.00,0.8394,35.52,1,0,0.0000,NOT_RUN,0,3798,2526,18678,0,0,4142,0,0,0,0
4,0,1,1,ACCEPT,15.7808,4.1886,3464,1,1,0.9293,378.94,1025.91,519.00,623.00,400.50,958.50,527.00,641.00,0.7489,70.77,1,0,0.0000,NOT_RUN,0,3900,1643,20891,0,0,3464,0,0,0,0
5,0,1,1,ACCEPT,15.3099,4.1033,3734,0,1,0.9223,378.94,1045.38,519.00,623.00,415.00,936.00,524.00,686.00,0.6328,115.17,1,0,0.0000,NOT_RUN,0,4855,1210,21685,0,0,3734,0,0,0,0
6,0,1,1,ACCEPT,12.5947,2.9029,4337,-3,1,0.3719,330.28,1064.84,519.00,623.00,362.00,938.50,524.00,681.00,0.6090,130.26,1,0,0.0000,NOT_RUN,0,5185,886,16358,0,0,4337,0,0,0,0
7,0,1,1,ACCEPT,13.0727,3.3599,3716,0,1,0.9020,330.28,1084.31,519.00,623.00,339.00,944.50,462.00,669.00,0.5868,140.08,1,0,0.0000,NOT_RUN,0,5011,1072,16972,0,0,3716,0,0,0,0
8,0,1,1,ACCEPT,9.6543,2.6953,3229,1,1,0.7714,346.50,1103.78,519.00,623.00,348.00,953.50,450.00,651.00,0.5513,150.29,1,0,0.0000,NOT_RUN,0,6233,1024,14664,0,0,3229,0,0,0,0
9,0,1,1,ACCEPT,8.5840,2.3752,3121,0,1,0.9016,346.50,1123.25,519.00,623.00,348.00,946.50,460.00,665.00,0.5188,176.76,1,0,0.0000,NOT_RUN,0,6102,987,11743,0,0,3121,0,0,0,0
10,0,1,1,ACCEPT,10.1035,2.3959,3498,0,0,1.0000,346.50,1123.25,519.00,623.00,345.00,936.00,450.00,686.00,0.4985,187.26,1,0,0.0000,NOT_RUN,0,6218,627,17125,0,0,3498,0,0,0,0
