frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,291.00,313.50,24.00,13.00,291.00,313.50,24.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,546,16028,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,5.8078,1.1402,2228,2,-20,0.8510,292.50,305.38,24.00,13.00,293.50,304.50,23.00,13.00,0.8067,1.33,1,0,0.0000,NOT_RUN,0,5222,276,11013,0,0,2228,0,0,0,0
2,0,1,0,LOW_PSR,3.8345,1.0769,504,-4,-15,0.0337,292.50,305.38,24.00,13.00,299.50,292.50,23.00,11.00,0.0000,14.65,0,0,0.0000,NOT_RUN,0,1919,228,0,0,0,504,0,0,0,0
3,0,1,1,ACCEPT,6.6598,1.4432,749,6,10,0.1669,297.00,309.44,24.00,13.00,293.00,277.00,26.00,12.00,0.0000,32.68,1,0,0.0000,NOT_RUN,0,2016,171,10487,0,0,749,0,0,0,0
4,0,1,1,ACCEPT,7.0434,1.2637,1337,5,-15,0.0007,300.75,303.34,24.00,13.00,292.50,264.50,25.00,13.00,0.0000,39.71,1,0,0.0000,NOT_RUN,0,2297,336,13390,0,0,1337,0,0,0,0
5,0,1,0,LOW_PSR,4.9620,1.0306,1617,-3,-9,0.3302,300.75,303.34,24.00,13.00,299.00,254.50,26.00,11.00,0.0000,48.88,0,0,0.0000,NOT_RUN,0,4367,719,0,0,0,1617,0,0,0,0
6,0,1,0,LOW_PSR,4.8750,1.0497,1395,7,-10,0.3441,300.75,303.34,24.00,13.00,284.50,243.50,25.00,11.00,0.0000,62.01,0,0,0.0000,NOT_RUN,0,5352,242,0,0,0,1395,0,0,0,0
7,0,1,1,ACCEPT,6.0560,1.2036,337,8,-12,0.0415,306.75,298.47,24.00,13.00,273.00,237.50,26.00,11.00,0.0000,69.69,1,0,0.0000,NOT_RUN,0,903,125,11321,0,0,337,0,0,0,0
8,0,1,0,LOW_PSR,4.5703,1.0971,1492,5,-3,0.3217,306.75,298.47,24.00,13.00,267.00,234.50,24.00,13.00,0.0000,75.31,0,0,0.0000,NOT_RUN,0,6773,217,0,0,0,1492,0,0,0,0
9,0,1,0,LOW_PSR,3.4386,1.0798,406,16,13,0.1626,306.75,298.47,24.00,13.00,248.00,226.00,26.00,10.00,0.0000,93.29,0,0,0.0000,NOT_RUN,0,2642,78,0,0,0,406,0,0,0,0
10,0,1,1,ACCEPT,7.8492,2.1266,1025,-17,1,0.1483,294.00,298.88,24.00,13.00,231.00,208.50,26.00,15.00,0.0000,110.17,1,0,0.0000,NOT_RUN,0,2374,183,7496,0,0,1025,0,0,0,0
11,0,1,0,LOW_PSR,3.6459,1.1491,185,3,-5,0.6378,294.00,298.88,24.00,13.00,228.00,195.00,24.00,16.00,0.0000,123.07,0,0,0.0000,NOT_RUN,0,1572,81,0,0,0,185,0,0,0,0
12,0,1,1,ACCEPT,6.3256,1.5933,615,1,6,0.3268,294.75,301.31,24.00,13.00,214.50,187.50,25.00,17.00,0.0000,139.26,1,0,0.0000,NOT_RUN,0,1596,234,5038,0,0,615,0,0,0,0
13,0,1,0,LOW_PSR,4.2538,1.0158,257,-4,-6,0.1712,294.75,301.31,24.00,13.00,200.50,184.00,27.00,18.00,0.0000,150.48,0,0,0.0000,NOT_RUN,0,1148,176,0,0,0,257,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-3.6265,1.0159,-256,17,8,0.1914,294.75,301.31,24.00,13.00,200.00,184.50,26.00,15.00,0.0000,150.41,0,0,0.0000,NOT_RUN,0,1268,168,0,0,0,256,0,0,0,0
15,0,1,1,ACCEPT,5.5374,1.0194,525,6,2,0.3295,299.25,302.12,24.00,13.00,199.50,188.50,27.00,15.00,0.0000,151.20,1,0,0.0000,NOT_RUN,0,1512,91,10936,0,0,525,0,0,0,0
16,0,1,1,ACCEPT,5.1900,1.0107,569,15,-5,0.0176,310.50,300.09,24.00,13.00,199.00,191.50,26.00,17.00,0.0000,155.64,1,0,0.0000,NOT_RUN,0,1707,88,12763,0,0,569,0,0,0,0
