frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,171.00,259.00,68.00,54.00,171.00,259.00,68.00,54.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,834,9613,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,22.5073,4.5322,2325,1,-1,0.8142,173.12,257.31,68.00,54.00,173.50,255.50,65.00,55.00,0.8960,1.85,1,0,0.0000,NOT_RUN,0,1709,695,13661,0,0,2325,0,0,0,0
2,0,1,1,ACCEPT,10.1434,1.7106,2039,0,-1,0.8499,173.12,255.62,68.00,54.00,170.50,252.50,69.00,57.00,0.8304,4.08,1,0,0.0000,NOT_RUN,0,3101,667,9857,0,0,2039,0,0,0,0
3,0,1,1,ACCEPT,6.3565,1.4042,1011,-1,-3,0.6746,171.00,250.56,68.00,54.00,169.50,250.00,71.00,56.00,0.9235,1.60,1,0,0.0000,NOT_RUN,0,2170,645,6780,0,0,1011,0,0,0,0
4,0,1,1,ACCEPT,7.0133,1.8808,899,-1,-1,0.8176,168.88,248.88,68.00,54.00,167.50,248.00,71.00,56.00,0.9235,1.63,1,0,0.0000,NOT_RUN,0,1765,459,7183,0,0,899,0,0,0,0
5,0,1,1,ACCEPT,7.1341,1.7606,956,-1,-1,0.8086,166.75,247.19,68.00,54.00,164.00,244.00,68.00,60.00,0.8280,4.21,1,0,0.0000,NOT_RUN,0,1742,538,5718,0,0,956,0,0,0,0
6,0,1,1,ACCEPT,8.5070,2.0437,1028,-2,-1,0.7802,162.50,245.50,68.00,54.00,160.50,241.50,69.00,65.00,0.7865,4.47,1,0,0.0000,NOT_RUN,0,1684,312,8060,0,0,1028,0,0,0,0
7,0,1,1,ACCEPT,10.1076,2.3571,1386,-1,-1,0.7504,160.38,243.81,68.00,54.00,157.50,240.00,65.00,64.00,0.7815,4.78,1,0,0.0000,NOT_RUN,0,2090,253,8706,0,0,1386,0,0,0,0
8,0,1,1,ACCEPT,11.2106,2.6344,1607,-2,-1,0.6459,156.12,242.12,68.00,54.00,152.00,239.00,64.00,66.00,0.7336,5.18,1,0,0.0000,NOT_RUN,0,2029,251,13705,0,0,1607,0,0,0,0
9,0,1,1,ACCEPT,10.7955,2.2157,2116,-3,-1,0.5945,149.75,240.44,68.00,54.00,148.50,238.00,69.00,62.00,0.8409,2.74,1,0,0.0000,NOT_RUN,0,3020,185,16197,0,0,2116,0,0,0,0
